gene	call	pass_count	failed_gates	ms_genetic	cross_genetics	local_breadth	residual_or_perturbation	reachable_modality	not_blocked	direction_clear	strong_l2g_disease_count	strong_qtl_coloc_disease_count	ms_max_l2g_score	ms_max_relevant_qtl_h4	local_positive_disease_count	wave62_call	wave104_call	wave128_call	blocker_text
IL7R	GENETICS_COMPARATOR	5	reachable_modality;not_blocked	True	True	True	True	False	False	True	4	4	0.9447864890098572	0.9844688660839735	3.0	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW	PARK_GENETICS_STATE_NEEDS_DIRECTION_OR_MODALITY	NO_REOPEN_GENETICS_FIRST_ROUTE	prior_art_CD127_autoimmune_axis nan prior-art crowded CD127/IL-7R autoimmune route True prior_art_CD127_autoimmune_axis |  | weak_reachability;manual_or_prior_blocker;prior_branch_closed:cd127_axis_prior_art_and_cell_type_direction_conflict | cd127_axis_prior_art_and_cell_type_direction_conflict | weak_reachability;manual_or_prior_blocker;prior_branch_closed:cd127_axis_prior_art_and_cell_type_direction_conflict | cd127_axis_prior_art_and_cell_type_direction_conflict | prior_art_saturated_cytokin
SP140	GENETICS_COMPARATOR	4	residual_or_perturbation;reachable_modality;not_blocked	True	True	True	False	False	False	True	3	3	0.8754889965057373	0.9868116204727	4.0	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW	PARK_GENETICS_STATE_NEEDS_DIRECTION_OR_MODALITY	NO_REOPEN_GENETICS_FIRST_ROUTE	nan nan nuclear protein with no mature selective autoimmune modality; disease genetics may reflect loss-of-function rather than inhibit-to-treat direction True  |  | weak_reachability;manual_or_prior_blocker;prior_branch_closed:bromodomain_prior_art_weak_perturbation_selectivity | bromodomain_prior_art_weak_perturbation_selectivity | weak_reachability;manual_or_prior_blocker;prior_branch_closed:bromodomain_prior_art_weak_perturbation_selectivity | bromodomain_prior_art_weak_perturbation_selectiv
GAL	GENETICS_COMPARATOR	4	local_breadth;residual_or_perturbation;reachable_modality	True	True	False	False	False	True	True	1	3	0.0	0.8778669465825155	2.0	NO_GO_WAVE62_TARGET_RESOLUTION	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE		nan nan nan False  |  | weak_reachability;insufficient_cross_disease_breadth;no_strong_ms_anchor |  | weak_reachability;insufficient_cross_disease_breadth;no_strong_ms_anchor |  |  |  |  |  |       
IFI30	GENETICS_COMPARATOR	4	residual_or_perturbation;reachable_modality;not_blocked	True	True	True	False	False	False	True	1	3	0.6501023173332214	0.9959013728724722	3.0	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE	PARK_GENETICS_STATE_DIRECTION_NO_MODALITY		direct_antigen_processing_host_defense_and_druggability nan host-defense and antigen-processing risk; prior waves already demoted cathepsin-like lysosomal inhibition True direct_antigen_processing_host_defense_and_druggability |  | weak_reachability;manual_or_prior_blocker |  | weak_reachability;manual_or_prior_blocker |  | insufficient_independent_convergence_after_guardrails | NO_GO_DIRECT_ANTIGEN_PROCESSING_HOST_DEFENSE_AND_POOR_DRUGGABILITY | direct_antigen_processing_host_defense_and_drugga
ARHGAP31	GENETICS_COMPARATOR	4	local_breadth;residual_or_perturbation;reachable_modality	True	True	False	False	False	True	True	0	3	0.0	0.9697933601892716	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE		nan nan nan False  |  | weak_reachability;insufficient_cross_disease_breadth;no_strong_ms_anchor |  | weak_reachability;insufficient_cross_disease_breadth;no_strong_ms_anchor |  |  |  |  |  |       
CD80	GENETICS_COMPARATOR	4	local_breadth;reachable_modality;not_blocked	True	True	False	True	False	False	True	0	3	0.4205642342567444	0.9886715596851404	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE		nan nan nan True  |  | weak_reachability;no_strong_ms_anchor;manual_or_prior_blocker;prior_branch_closed:costimulation_axis_prior_art_and_systemic_safety | costimulation_axis_prior_art_and_systemic_safety | weak_reachability;no_strong_ms_anchor;manual_or_prior_blocker;prior_branch_closed:costimulation_axis_prior_art_and_systemic_safety | costimulation_axis_prior_art_and_systemic_safety | closed_costimulation_comparator |  |  |  |     NO_REOPEN_BLOCKED_BRANCH costimulation blockade prior art; aba
IL6ST	GENETICS_COMPARATOR	4	local_breadth;residual_or_perturbation;direction_clear	True	True	False	False	True	True	False	0	3	0.1300268173217773	0.9979915662125396	2.0	NO_GO_WAVE62_TARGET_RESOLUTION	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE		nan nan nan False  |  | insufficient_cross_disease_breadth;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | insufficient_cross_disease_breadth;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  |  |  |  |  |       
STAT4	GENETICS_COMPARATOR	3	local_breadth;residual_or_perturbation;not_blocked;direction_clear	True	True	False	False	True	False	False	8	7	0.845672070980072	0.955404271318453	2.0	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE	NO_REOPEN_GENETICS_FIRST_ROUTE	STAT4_TF_not_selectively_druggable prior_branch_blocker_or_directionality_unresolved not selectively druggable and prior-art crowded pathway True STAT4_TF_not_selectively_druggable | prior_branch_blocker_or_directionality_unresolved | manual_or_prior_blocker;prior_branch_closed:broad_tf_jak_stat_axis_prior_art_no_selective_target | broad_tf_jak_stat_axis_prior_art_no_selective_target | manual_or_prior_blocker;prior_branch_closed:broad_tf_jak_stat_axis_prior_art_no_selective_target | broad_tf_jak
TAGAP	GENETICS_COMPARATOR	3	local_breadth;residual_or_perturbation;reachable_modality;direction_clear	True	True	False	False	False	True	False	6	3	0.8897240161895752	0.0	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE	NO_REOPEN_GENETICS_FIRST_ROUTE	nan nan nan False  |  | weak_reachability;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | insufficient_independent_convergence_after_guardrails |  |  |  |  nan     
TNRC18	GENETICS_COMPARATOR	3	local_breadth;residual_or_perturbation;reachable_modality;direction_clear	True	True	False	False	False	True	False	6	2	0.8121318221092224	0.0	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE	NO_REOPEN_GENETICS_FIRST_ROUTE	nan nan nan False  |  | weak_reachability;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | insufficient_independent_convergence_after_guardrails |  |  |  |  nan     
PTGER4	GENETICS_COMPARATOR	3	local_breadth;residual_or_perturbation;not_blocked;direction_clear	True	True	False	False	True	False	False	5	3	0.5558526515960693	0.9291922636901228	2.0	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE		EP4_directionality_prior_art_conflicted prior_branch_blocker_or_directionality_unresolved directionality and prior-art conflicts across autoimmune indications True EP4_directionality_prior_art_conflicted | prior_branch_blocker_or_directionality_unresolved | no_positive_perturbation_or_response_direction;manual_or_prior_blocker;prior_branch_closed:ep4_directionality_prior_art_conflicted;no_high_confidence_directional_support | ep4_directionality_prior_art_conflicted | no_positive_perturbation_or_
IL2RA	GENETICS_COMPARATOR	3	local_breadth;residual_or_perturbation;not_blocked;direction_clear	True	True	False	False	True	False	False	5	2	0.8340961933135986	0.8424868378351196	0.0	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE		CD25_IL2_axis_prior_art_directionality prior_branch_blocker_or_directionality_unresolved nan True CD25_IL2_axis_prior_art_directionality | prior_branch_blocker_or_directionality_unresolved | manual_or_prior_blocker;prior_branch_closed:cd25_axis_prior_art_and_treg_effector_direction_conflict | cd25_axis_prior_art_and_treg_effector_direction_conflict | manual_or_prior_blocker;prior_branch_closed:cd25_axis_prior_art_and_treg_effector_direction_conflict | cd25_axis_prior_art_and_treg_effector_direct
IL12A	GENETICS_COMPARATOR	3	local_breadth;residual_or_perturbation;not_blocked;direction_clear	True	True	False	False	True	False	False	4	9	0.8900686502456665	0.0	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE	NO_REOPEN_GENETICS_FIRST_ROUTE	prior_art_IL12_IL23_biologic_class nan nan True prior_art_IL12_IL23_biologic_class |  | weak_reachability;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;no_high_confidence_directional_support |  | weak_reachability;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;no_high_confidence_directional_support |  | prior_art_saturated_cytokine_axis |  | prior_art_IL12_IL23_biologic_class |  |  nan     
IL10	GENETICS_COMPARATOR	3	local_breadth;residual_or_perturbation;not_blocked;direction_clear	True	True	False	False	True	False	False	3	8	0.0	0.9897984902414572	0.0	NO_GO_WAVE62_TARGET_RESOLUTION	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE		nan prior_branch_blocker_or_directionality_unresolved nan True  | prior_branch_blocker_or_directionality_unresolved | no_strong_ms_anchor;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;no_high_confidence_directional_support |  | no_strong_ms_anchor;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;no_high_confidence_directional_support |  | Target is plausible but prior-art/crowding risk is high. |  |  |  |       
PUS10	GENETICS_COMPARATOR	3	local_breadth;residual_or_perturbation;reachable_modality;direction_clear	True	True	False	False	False	True	False	3	4	0.0816564038395881	0.9852343045238628	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE	NO_REOPEN_GENETICS_FIRST_ROUTE	nan nan nan False  |  | weak_reachability;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | insufficient_independent_convergence_after_guardrails |  |  |  |  nan     
TNFRSF1A	GENETICS_COMPARATOR	3	local_breadth;residual_or_perturbation;reachable_modality;not_blocked	True	True	False	False	False	False	True	3	4	0.9539542198181152	0.999796162305538	0.0	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE		TNF_axis_prior_art_and_MS_paradox_risk nan TNF-axis prior art and MS paradox risk True TNF_axis_prior_art_and_MS_paradox_risk |  | weak_reachability;manual_or_prior_blocker;prior_branch_closed:tnf_axis_ms_paradox_and_safety_blocker | tnf_axis_ms_paradox_and_safety_blocker | weak_reachability;manual_or_prior_blocker;prior_branch_closed:tnf_axis_ms_paradox_and_safety_blocker | tnf_axis_ms_paradox_and_safety_blocker | broad_host_defense_ms_direction_risk |  | TNF_axis_prior_art_and_MS_paradox_risk 
RGS14	GENETICS_COMPARATOR	3	local_breadth;residual_or_perturbation;reachable_modality;not_blocked	True	True	False	False	False	False	True	3	3	0.8030093312263489	0.9952074420704352	1.0	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE	NO_REOPEN_GENETICS_FIRST_ROUTE	nan nan nan True  |  | weak_reachability;manual_or_prior_blocker;prior_branch_closed:genetics_without_state_breadth_or_modality | genetics_without_state_breadth_or_modality | weak_reachability;manual_or_prior_blocker;prior_branch_closed:genetics_without_state_breadth_or_modality | genetics_without_state_breadth_or_modality | insufficient_independent_convergence_after_guardrails |  |  |  |  nan   NO_REOPEN_INSUFFICIENT_CONVERGENCE candidate lacks direct perturbation or model support PARK_MS_TARGE
RMI2	GENETICS_COMPARATOR	3	local_breadth;residual_or_perturbation;reachable_modality;direction_clear	True	True	False	False	False	True	False	2	5	0.7914115786552429	0.9780145044618388	0.0	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE	NO_REOPEN_GENETICS_FIRST_ROUTE	nan nan nan False  |  | weak_reachability;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | insufficient_independent_convergence_after_guardrails |  |  |  |  nan     
TTC34	GENETICS_COMPARATOR	3	local_breadth;residual_or_perturbation;reachable_modality;direction_clear	True	True	False	False	False	True	False	2	5	0.3978502154350281	0.9674284461684486	0.0	NO_GO_WAVE62_TARGET_RESOLUTION	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE		nan nan nan False  |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  |  |  |  |  |       
TNFRSF14	GENETICS_COMPARATOR	3	local_breadth;residual_or_perturbation;not_blocked;direction_clear	True	True	False	False	True	False	False	2	4	0.0652648583054542	0.9398596564252308	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE		HVEM_LIGHT_axis_directionality_prior_art prior_branch_blocker_or_directionality_unresolved nan True HVEM_LIGHT_axis_directionality_prior_art | prior_branch_blocker_or_directionality_unresolved | no_strong_ms_anchor;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;no_high_confidence_directional_support |  | no_strong_ms_anchor;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;no_high_confidence_directional_support |  | Genetic signal survives triage but 
GALC	GENETICS_COMPARATOR	3	residual_or_perturbation;reachable_modality;not_blocked;direction_clear	True	True	True	False	False	False	False	2	3	0.7024610638618469	0.9873343718864264	3.0	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW	PARK_GENETICS_STATE_NEEDS_DIRECTION_OR_MODALITY	NO_REOPEN_GENETICS_FIRST_ROUTE	nan nan loss of GALC causes Krabbe disease, so inhibition is biologically unsafe; activation/restoration modality for inflammatory autoimmune lesions is unproven True  |  | weak_reachability;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;prior_branch_closed:lysosomal_enzyme_delivery_direction_blocker;no_high_confidence_directional_support | lysosomal_enzyme_delivery_direction_blocker | weak_reachability;no_positive_perturbation_or_response_direction;manual_or_prior_blocke
IL6R	GENETICS_COMPARATOR	3	local_breadth;residual_or_perturbation;not_blocked;direction_clear	True	True	False	False	True	False	False	2	3	0.0	0.9398497867793156	0.0	NO_GO_WAVE62_TARGET_RESOLUTION	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE		prior_art_IL6R_axis prior_branch_blocker_or_directionality_unresolved nan True prior_art_IL6R_axis | prior_branch_blocker_or_directionality_unresolved | no_strong_ms_anchor;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;no_high_confidence_directional_support |  | no_strong_ms_anchor;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;no_high_confidence_directional_support |  | Direct clinical or therapeutic-class prior art blocks novelty. |  | prior_art
CD83	GENETICS_COMPARATOR	3	local_breadth;residual_or_perturbation;reachable_modality;direction_clear	True	True	False	False	False	True	False	1	5	0.0	0.9553555791585512	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE		nan nan nan False  |  | weak_reachability;insufficient_cross_disease_breadth;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;insufficient_cross_disease_breadth;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  |  |  |  |  |       
SNX29	GENETICS_COMPARATOR	3	local_breadth;residual_or_perturbation;reachable_modality;direction_clear	True	True	False	False	False	True	False	1	4	0.0	0.987925585835159	0.0	NO_GO_WAVE62_TARGET_RESOLUTION	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE		nan nan nan False  |  | weak_reachability;insufficient_cross_disease_breadth;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;insufficient_cross_disease_breadth;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  |  |  |  |  |       
TIMMDC1	GENETICS_COMPARATOR	3	local_breadth;residual_or_perturbation;reachable_modality;direction_clear	True	True	False	False	False	True	False	1	3	0.4899875223636627	0.9897445585012262	2.0	NO_GO_WAVE62_TARGET_RESOLUTION	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE	NO_REOPEN_GENETICS_FIRST_ROUTE	nan nan nan False  |  | weak_reachability;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | insufficient_independent_convergence_after_guardrails |  |  |  |  nan     
SIRPB1	GENETICS_COMPARATOR	3	local_breadth;residual_or_perturbation;reachable_modality;direction_clear	True	True	False	False	False	True	False	0	6	0.0	0.9438772520186	2.0	NO_GO_WAVE62_TARGET_RESOLUTION	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE		nan nan nan False  |  | weak_reachability;insufficient_cross_disease_breadth;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;insufficient_cross_disease_breadth;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  |  |  |  |  |       
GPR25	GENETICS_COMPARATOR	3	local_breadth;residual_or_perturbation;reachable_modality;direction_clear	True	True	False	False	False	True	False	0	5	0.0	0.9847496994070368	0.0	NO_GO_WAVE62_TARGET_RESOLUTION	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE		nan nan nan False  |  | weak_reachability;insufficient_cross_disease_breadth;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;insufficient_cross_disease_breadth;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  |  |  |  |  |       
