dataset	system	contrast	n_treatment	n_control	mean_treatment	mean_control	delta	p_value	direction
GSE190634	primary human colonoids	TNF_vs_control	4	4	6.1089681857579565	4.977978765328608	1.1309894204293487	0.00904049519599	UP
GSE190634	primary human colonoids	IL17A_vs_control	4	4	6.135587546886754	4.977978765328608	1.157608781558146	0.0222610005515607	UP
GSE190634	primary human colonoids	IL17A_IL22_vs_control	4	4	6.938321847183609	4.977978765328608	1.960343081855001	0.000747611468802	UP
GSE190634	primary human colonoids	IFNG_vs_control	4	4	5.693399910399489	4.977978765328608	0.7154211450708807	0.0441594639213993	UP
GSE217552	primary human keratinocytes	TNF_IL17A_vs_control	3	3	2.7540816421515637	2.4395006656678793	0.3145809764836844	0.0085866800328947	UP
GSE217552	primary human keratinocytes	fisetin_vs_activated	3	3	2.641638020902274	2.7540816421515637	-0.1124436212492896	0.2501408875601403	NS
GSE217552	primary human keratinocytes	rapamycin_vs_activated	3	3	3.148511116633806	2.7540816421515637	0.3944294744822421	0.0035893676189633	UP
GSE217552	primary human keratinocytes	fisetin_rapamycin_vs_activated	3	3	2.5369658787359	2.7540816421515637	-0.2171157634156637	0.0288280679275029	DOWN
GSE217552	primary human keratinocytes	methotrexate_vs_activated	3	3	2.864925361295414	2.7540816421515637	0.1108437191438502	0.3127284415191462	NS
GSE237845	human colonic fibroblast line CCD-18Co	TWEAK_TNFSF12_vs_vehicle	3	3	4.1619762515126455	1.911501072625126	2.2504751788875197	9.506404652570848e-05	UP
