source_domain	check	status	detail
dailymed.nlm.nih.gov	domain_present_in_rollup	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/catalogs/indexes/source_domain_independence_rollup_v48.tsv
dailymed.nlm.nih.gov	field_matches.source_domain	PASS	expected=dailymed.nlm.nih.gov observed=dailymed.nlm.nih.gov
dailymed.nlm.nih.gov	field_matches.matrix_rows	PASS	expected=4 observed=4
dailymed.nlm.nih.gov	field_matches.canonical_source_clusters	PASS	expected=2 observed=2
dailymed.nlm.nih.gov	field_matches.decision_relationship_rows	PASS	expected=0 observed=0
dailymed.nlm.nih.gov	field_matches.convergence_rows	PASS	expected=0 observed=0
dailymed.nlm.nih.gov	field_matches.contradiction_rows	PASS	expected=0 observed=0
dailymed.nlm.nih.gov	field_matches.insufficient_overlap_rows	PASS	expected=4 observed=4
dailymed.nlm.nih.gov	field_matches.relationship_counts	PASS	expected=insufficient-overlap:4 observed=insufficient-overlap:4
dailymed.nlm.nih.gov	field_matches.synthesis_status_counts	PASS	expected=NO_DIRECT_EXTERNAL_CORROBORATION:4 observed=NO_DIRECT_EXTERNAL_CORROBORATION:4
dailymed.nlm.nih.gov	field_matches.source_independence_classes	PASS	expected=not_decision_relationship:4 observed=not_decision_relationship:4
dailymed.nlm.nih.gov	field_matches.canonical_source_urls	PASS	expected=https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9da42362-3bb5-4b83-b4bb-b59fd4e55f0d;https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6c42107a-2a42-4263-97b6-ae0d7675c92a observed=https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9da42362-3bb5-4b83-b4bb-b59fd4e55f0d;https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6c42107a-2a42-4263-97b6-ae0d7675c92a
dailymed.nlm.nih.gov	field_matches.grounded_findings	PASS	expected=Bounded APC/HLA-II early treatment-response monitoring scalar;Coupled-axis successor rule does not beat scalar;T/B-readable early IFN/APC/STAT1 monitoring state;V22 scalar is immune-tone bounded, not steroid/composition artifact observed=Bounded APC/HLA-II early treatment-response monitoring scalar;Coupled-axis successor rule does not beat scalar;T/B-readable early IFN/APC/STAT1 monitoring state;V22 scalar is immune-tone bounded, not steroid/composition artifact
dailymed.nlm.nih.gov	field_matches.interpretation_boundary	PASS	expected=Insufficient-overlap/resource context only; not external corroboration or contradiction. observed=Insufficient-overlap/resource context only; not external corroboration or contradiction.
disgenet.com	domain_present_in_rollup	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/catalogs/indexes/source_domain_independence_rollup_v48.tsv
disgenet.com	field_matches.source_domain	PASS	expected=disgenet.com observed=disgenet.com
disgenet.com	field_matches.matrix_rows	PASS	expected=1 observed=1
disgenet.com	field_matches.canonical_source_clusters	PASS	expected=1 observed=1
disgenet.com	field_matches.decision_relationship_rows	PASS	expected=0 observed=0
disgenet.com	field_matches.convergence_rows	PASS	expected=0 observed=0
disgenet.com	field_matches.contradiction_rows	PASS	expected=0 observed=0
disgenet.com	field_matches.insufficient_overlap_rows	PASS	expected=1 observed=1
disgenet.com	field_matches.relationship_counts	PASS	expected=insufficient-overlap:1 observed=insufficient-overlap:1
