snp	chr	position	z1	p1	pip1	z2	p2	pip2	SNP.PP.H4.abf
rs1250563	10	81047383	6.51135059482155	7.44732e-11	0.0690037326881894	-6.43556818181818	1.17201e-10	0.290317689464727	0.347661555220288
rs1250573	10	81042475	6.44084905924908	1.18801e-10	0.0507721233442532	-6.47329545454545	9.00534e-11	0.287504422853838	0.221879688611463
rs1250566	10	81046453	6.50574738336193	7.72859e-11	0.067265674610331	-6.39787878787879	1.55299e-10	0.230467883866032	0.264522998551947
rs1892497	10	81043707	6.40397016268336	1.51401e-10	0.047891526451033	-6.38132075471698	1.70699e-10	0.216464112806108	0.151958918428236
rs1250551	10	81059335	6.66417175724147	2.66195e-11	0.191913553077656	-5.6668992248062	1.456e-08	0.01281242373272	0.0085949282311011
rs1250550	10	81060317	6.62084347120843	3.57108e-11	0.186948946506301	-5.50583011583012	3.73697e-08	0.0119005666633722	0.00385474297773767
rs73300715	10	80660878	-0.667112702938465	0.5047	0.0155310187590237	2.77361397934869	0.00553197	0.0862784019326801	1.25659213011968e-16
rs60946803	10	80659073	-0.688877649471274	0.4909	0.015681968916118	2.74822310756972	0.00599004	0.0830120436686715	1.20203856346886e-16
rs4519033	10	80640327	-0.205988455442337	0.8368	0.0136072838421072	2.56566422167889	0.0103001	0.0762709861281435	5.50336670136525e-17
rs1346421	10	80573708	0.650295783267118	0.5155	0.0125678004476012	2.48622916666667	0.0130801	0.064997731961996	2.22696821142479e-17
rs1866158	10	80883149	-0.460860012000988	0.644899	0.0128959533860199	-2.46632926829268	0.0138201	0.0645202893088649	1.07751607785264e-16
rs1866159	10	80883083	-0.432606429461787	0.665301	0.0128048588751086	-2.43410703363914	0.0149101	0.0625548111180173	9.76203504296993e-17
rs1250777	10	81266063	-2.60252071777855	0.00925401	0.0392063438529373	2.47930051813471	0.0131199	0.0623022730589274	4.07128391274522e-16
rs2181079	10	81175250	0.567757747989888	0.5702	0.0125699491114231	2.81395867768595	0.00480596	0.0616865631332987	3.34041907957782e-17
rs10509404	10	80759722	0.753748235009042	0.451	0.0134810941215117	2.53233836206897	0.01133	0.0616752427000867	1.09694487173723e-16
rs71492202	10	81183416	1.2494516678072	0.2115	0.0134890777979274	2.08393700787402	0.0370698	0.0613663549157121	4.98718125997318e-17
rs4267016	10	81174603	0.579282245593212	0.5624	0.0125661718434144	2.80595867768595	0.00507294	0.0609937742509524	3.31972874576882e-17
