snp	chr	position	in_all_trait_cs	z1	p1	pip1	z2	p2	pip2	SNP.PP.H4.abf
rs1250546	10	81032532	False	6.25792169712687	3.90202e-10	0.0286693514223393	-4.52888429752066	5.66696e-06	0.0106733145061895	2.36354883470803e-06
rs1250544	10	81032885	False	6.40495989014536	1.50401e-10	0.034482030554973	-4.94331983805668	8.07904e-07	0.010949198093673	3.832835383379e-05
rs1250542	10	81034670	False	6.43630965355138	1.224e-10	0.0381754244800542	-5.00008097165992	5.48403e-07	0.0108656127395896	6.10410408827614e-05
rs1250540	10	81036007	False	6.44043944608034	1.191e-10	0.0387110922866871	-4.9879674796748	6.12097e-07	0.0108808509679184	5.87417519009175e-05
rs1250538	10	81037800	False	6.44047372928911	1.191e-10	0.0383672600846744	-5.01626016260163	5.30396e-07	0.0110367017463711	6.64848145141671e-05
rs1250537	10	81038069	False	6.45084074588493	1.11199e-10	0.0397718853217067	-5.04081300813008	4.88697e-07	0.0109983442229847	7.99751018973695e-05
rs9665287	10	81039124	False	6.42658020010159	1.305e-10	0.0366469533262296	-5.08902834008097	3.62001e-07	0.0109427280699849	8.995472046705e-05
rs1749855	10	81040209	False	6.45157488435134	1.10701e-10	0.0399146950952695	-5.10542510121457	3.37901e-07	0.0109299834895342	0.000112860836449887
rs11002908	10	81041793	False	6.43596925865336	1.22699e-10	0.0378217016706567	-5.09274193548387	3.44699e-07	0.0109395568368285	9.67100431829619e-05
rs1250573	10	81042475	True	6.44084905924908	1.18801e-10	0.0507721233442532	-6.47329545454545	9.00534e-11	0.287504422853838	0.221879688611463
rs1892497	10	81043707	True	6.40397016268336	1.51401e-10	0.047891526451033	-6.38132075471698	1.70699e-10	0.216464112806108	0.151958918428236
rs1250566	10	81046453	True	6.50574738336193	7.72859e-11	0.067265674610331	-6.39787878787879	1.55299e-10	0.230467883866032	0.264522998551947
rs1250565	10	81047015	False	6.46732586143016	9.9747e-11	0.039731918201023	-4.835140562249	1.33199e-06	0.0116690725184712	3.04929399314646e-05
rs1250564	10	81047342	False	6.4679249652617	9.93574e-11	0.0398176707930882	-4.8314859437751	1.341e-06	0.0116828664544795	3.00487216177803e-05
rs1250563	10	81047383	True	6.51135059482155	7.44732e-11	0.0690037326881894	-6.43556818181818	1.17201e-10	0.290317689464727	0.347661555220288
rs942793	10	81048158	False	6.47571150324137	9.43626e-11	0.0465835959629267	-4.84274193548387	1.28399e-06	0.0111796135560722	4.19083906242152e-05
rs1250560	10	81053475	False	6.4682899273887	9.90832e-11	0.0514952326320849	-4.42276422764228	1.00399e-05	0.0106203494273691	4.85484047758593e-06
rs1250559	10	81053560	False	6.46621012901212	1.00501e-10	0.0510995921940146	-4.51215447154472	6.50294e-06	0.010533221377279	7.21182502485785e-06
rs1250551	10	81059335	False	6.66417175724147	2.66195e-11	0.191913553077656	-5.6668992248062	1.456e-08	0.01281242373272	0.0085949282311011
rs1250550	10	81060317	False	6.62084347120843	3.57108e-11	0.186948946506301	-5.50583011583012	3.73697e-08	0.0119005666633722	0.00385474297773767
rs1250549	10	81060474	False	6.14692644898485	7.90005e-10	0.0321560889497547	-4.0779262295082	4.65404e-05	0.0106145158498738	2.5989128272571e-07
rs1782648	10	81060829	False	6.23176973975417	4.61201e-10	0.0415954167046566	-5.37143939393939	7.65491e-08	0.0113229502771651	0.000305314201647786
rs1250547	10	81062608	False	6.4100272190441	1.45499e-10	0.0419373220127148	-3.93802325581395	8.40698e-05	0.0120880217656847	4.01032907610645e-07
rs1266026	10	81062837	False	6.41394790596762	1.41801e-10	0.045161311014432	-4.53285714285714	5.67505e-06	0.0105337201876154	6.18162924519055e-06
rs1250558	10	81065201	False	6.12096861641717	9.29994e-10	0.0240688953084327	-5.47399253731343	4.26098e-08	0.0113190137125886	0.000149686503689029
rs1272633	10	81065508	False	6.09533202590532	1.09199e-09	0.0227312108200375	-5.47399253731343	4.29299e-08	0.0113190137125886	0.00012999256815551
