gene	score	wave62_call	strong_l2g_disease_count	strong_l2g_diseases	strong_qtl_coloc_disease_count	strong_qtl_coloc_diseases	ms_max_l2g_score	ms_max_qtl_h4	broad_positive_disease_count	broad_positive_fdr10_compartment_count	broad_positive_diseases	chembl_target_id	druggable_activity_count	manual_blocker	prior_context_blocker	wave103_call	genetics_gate	cellstate_gate	reachable_gate	unblocked_gate	promote	blockers
TNRC18	15.0	NO_GO_WAVE62_TARGET_RESOLUTION	6	AS;Crohn;MS;Psoriasis;T1D;UC	2	Crohn;UC	0.8121318221092224	0.0	1	0	Crohn disease		0	nan	nan	NO_GO_NO_DIRECTIONAL_SUPPORT	True	False	False	False	False	insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
IL2RA	14.0	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW	5	Crohn;MS;Psoriasis;RA;T1D	2	MS;RA	0.8340961933135986	0.8424868378351196	0	0			0	CD25_IL2_axis_prior_art_directionality	prior_branch_blocker_or_directionality_unresolved	NO_GO_PRIOR_OR_SAFETY_BLOCKED	True	False	False	False	False	insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
ANKRD55	13.5	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW	4	Crohn;MS;RA;T1D	3	Crohn;MS;RA	0.7806254625320435	0.9983304925105227	0	0			0	nan	nan	NO_GO_PRIOR_OR_SAFETY_BLOCKED	True	False	False	False	False	insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
ETS1	13.0	NO_GO_WAVE62_TARGET_RESOLUTION	4	Celiac;Psoriasis;RA;SLE	2	Celiac;Psoriasis	0.0	0.0	2	1	Crohn disease;ulcerative colitis	CHEMBL2169736	0	nan	nan	NO_GO_NO_MS_ANCHOR	False	True	True	False	False	insufficient_cross_disease_ms_genetic_anchor;prior_or_local_no_go_blocker
TNFAIP3	13.0	NO_GO_WAVE62_TARGET_RESOLUTION	4	Psoriasis;RA;SLE;T1D	2	Psoriasis;SLE	0.0	0.0	3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	CHEMBL4523200	0	A20_restoration_not_currently_druggable	prior_branch_blocker_or_directionality_unresolved	NO_GO_PRIOR_OR_SAFETY_BLOCKED	False	True	True	False	False	insufficient_cross_disease_ms_genetic_anchor;prior_or_local_no_go_blocker
RGS1	13.0	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW	4	Celiac;MS;Psoriasis;T1D	2	Celiac;MS	0.884235680103302	0.9856571406462532	1	0	type 1 diabetes mellitus		0	nan	nan	NO_GO_PRIOR_OR_SAFETY_BLOCKED	True	False	False	False	False	insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
IL23R	13.0	NO_GO_WAVE62_TARGET_RESOLUTION	5	AS;Crohn;Psoriasis;RA;UC	4	AS;Crohn;Psoriasis;UC	0.0	0.0	0	0			0	prior_art_IL23_axis	prior_branch_blocker_or_directionality_unresolved	NO_GO_PRIOR_OR_SAFETY_BLOCKED	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
RMI2	12.5	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE	2	MS;T1D	5	Crohn;MS;PBC;Psoriasis;T1D	0.7914115786552429	0.9780145044618388	0	0			0	nan	nan	NO_GO_NO_CROSS_DISEASE_ANCHOR	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
RGS14	12.5	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE	3	Crohn;MS;Psoriasis	3	Crohn;MS;Psoriasis	0.8030093312263489	0.9952074420704352	1	0	Crohn disease		0	nan	nan	NO_GO_PRIOR_OR_SAFETY_BLOCKED	True	False	False	False	False	insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
GALC	12.5	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW	2	Crohn;MS	3	AS;Crohn;MS	0.7024610638618469	0.9873343718864264	3	0	psoriasis;type 1 diabetes mellitus;ulcerative colitis		0	nan	nan	NO_GO_PRIOR_OR_SAFETY_BLOCKED	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
PUS10	12.0	NO_GO_WAVE62_TARGET_RESOLUTION	3	Celiac;Crohn;UC	4	MS;Psoriasis;RA;UC	0.0816564038395881	0.9852343045238628	1	0	type 1 diabetes mellitus		0	nan	nan	NO_GO_NO_DIRECTIONAL_SUPPORT	True	False	False	False	False	insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
CD40	12.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	RA	6	Celiac;Crohn;PBC;Psoriasis;RA;T1D	0.0	0.0	2	0	Crohn disease;ulcerative colitis	CHEMBL1250358	0	prior_art_costimulation_axis	nan	NO_GO_PRIOR_OR_SAFETY_BLOCKED	False	True	True	False	False	insufficient_cross_disease_ms_genetic_anchor;prior_or_local_no_go_blocker
FUT2	11.5	NO_GO_WAVE62_TARGET_RESOLUTION	3	Crohn;Psoriasis;T1D	3	Crohn;Psoriasis;T1D	0.0	0.0	2	0	psoriasis;type 1 diabetes mellitus	CHEMBL4105777	0	nan	nan	NO_GO_NO_MS_ANCHOR	False	True	True	False	False	insufficient_cross_disease_ms_genetic_anchor;prior_or_local_no_go_blocker
PDCD1	11.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		8	AITD;Celiac;Crohn;MS;RA;SLE;T1D;UC	0.0	0.9587479572161116	0	0			0	checkpoint_axis_safety_prior_art	nan	NO_GO_PRIOR_OR_SAFETY_BLOCKED	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
TNFRSF14	11.0	NO_GO_WAVE62_TARGET_RESOLUTION	2	Celiac;RA	4	Celiac;MS;RA;T1D	0.0652648583054542	0.9398596564252308	1	1	type 1 diabetes mellitus		0	HVEM_LIGHT_axis_directionality_prior_art	prior_branch_blocker_or_directionality_unresolved	NO_GO_PRIOR_OR_SAFETY_BLOCKED	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
