study_id	disease_label	study_title	analysis_type	reported_n_samples	factor_rows	factor_columns	factor_counts	number_of_metabolites_json	download_data	data_status	data_features	data_samples	source_note
ST001949	RA	Plasma Metabolome Normalization in Rheumatoid Arthritis following initiation of Methotrexate and the Identification of Metabolic Biomarkers of Efficacy	GC-MS	60	60	Condition	"{""Condition:Control"": 20, ""Condition:RA"": 20, ""Condition:RA+MTX"": 20}"	"{""analysis_id"": ""AN003173"", ""analysis_type"": ""GC POSITIVE ION MODE"", ""num_metabolites"": """", ""num_samples"": ""60"", ""study_id"": ""ST001949"", ""study_title"": ""Plasma Metabolome Normalization in Rheumatoid Arthritis following initiation of Methotrexate and the Identification of Metabolic Biomarkers of Efficacy""}"	True	downloaded	649.0	60.0	RA plasma, control/RA/RA+MTX, GC-MS
ST000899	IBD	Alterations in Lipid, Amino Acid, and Energy Metabolism Distinguish Crohn Disease from Ulcerative Colitis and Control Subjects by Serum Metabolomic Profiling	LC-MS	60	60	Type	"{""Type:Control"": 20, ""Type:Crohn disease"": 20, ""Type:Ulcerative Colitis"": 20}"	"{""1"": {""analysis_id"": ""AN001462"", ""analysis_type"": ""Reversed phase POSITIVE ION MODE"", ""num_metabolites"": ""160"", ""num_samples"": ""60"", ""study_id"": ""ST000899"", ""study_title"": ""Alterations in Lipid, Amino Acid, and Energy Metabolism Distinguish Crohn Disease from Ulcerative Colitis and Control Subjects by Serum Metabolomic Profiling""}, ""2"": {""analysis_id"": ""AN001463"", ""analysis_type"": ""HILIC POSITIVE ION MODE"", ""num_metabolites"": ""131"", ""num_samples"": ""60"", ""study_id"": ""ST000899"", ""study_title"": ""Alterations in Lipid, Amino Acid, and Energy Metabolism Distinguish Crohn Disease from Ulcerative Colitis and Control Subjects by Serum Metabolomic Profiling""}, ""3"": {""analysis_id"": ""AN001464"", ""analysis_type"": ""Reversed phase NEGATIVE ION MODE"", ""num_metabolites"": ""311"", ""num_samples"": ""60"", ""study_id"": ""ST000899"", ""study_title"": ""Alterations in Lipid, Amino Acid, and Energy Metabolism Distinguish Crohn Disease from Ulcerative Colitis and Control Subjects by Serum Metabolomic Profiling""}, ""4"": {""analysis_id"": ""AN001465"", ""analysis_type"": ""HILIC NEGATIVE ION MODE"", ""num_metabolites"": ""69"", ""num_samples"": ""60"", ""study_id"": ""ST000899"", ""study_title"": ""Alterations in Lipid, Amino Acid, and Energy Metabolism Distinguish Crohn Disease from Ulcerative Colitis and Control Subjects by Serum Metabolomic Profiling""}}"	True	downloaded	671.0	60.0	Serum Crohn/UC/control LC-MS
ST002470	UC	Linking bacterial metabolites to disease-associated microbes to uncover mechanisms of host-microbial interactions in intestinal inflammation. Human plasma profiling	LC-MS	89	89	collectionWeek,PUCAI_C3_WKall	"{""collectionWeek:0 | PUCAI_C3_WKall:mild"": 10, ""collectionWeek:0 | PUCAI_C3_WKall:moderate/severe"": 24, ""collectionWeek:12 | PUCAI_C3_WKall:inactive"": 18, ""collectionWeek:12 | PUCAI_C3_WKall:mild"": 4, ""collectionWeek:12 | PUCAI_C3_WKall:moderate/severe"": 2, ""collectionWeek:4 | PUCAI_C3_WKall:inactive"": 14, ""collectionWeek:4 | PUCAI_C3_WKall:mild"": 11, ""collectionWeek:4 | PUCAI_C3_WKall:moderate/severe"": 2, ""collectionWeek:52 | PUCAI_C3_WKall:inactive"": 2, ""collectionWeek:52 | PUCAI_C3_WKall:moderate/severe"": 2}"	"{""1"": {""analysis_id"": ""AN004029"", ""analysis_type"": ""HILIC POSITIVE ION MODE"", ""num_metabolites"": ""290"", ""num_samples"": ""89"", ""study_id"": ""ST002470"", ""study_title"": ""Linking bacterial metabolites to disease-associated microbes to uncover mechanisms of host-microbial interactions in intestinal inflammation. Human plasma profiling""}, ""2"": {""analysis_id"": ""AN004030"", ""analysis_type"": ""Reversed phase POSITIVE ION MODE"", ""num_metabolites"": ""224"", ""num_samples"": ""89"", ""study_id"": ""ST002470"", ""study_title"": ""Linking bacterial metabolites to disease-associated microbes to uncover mechanisms of host-microbial interactions in intestinal inflammation. Human plasma profiling""}, ""3"": {""analysis_id"": ""AN004031"", ""analysis_type"": ""HILIC NEGATIVE ION MODE"", ""num_metabolites"": ""111"", ""num_samples"": ""89"", ""study_id"": ""ST002470"", ""study_title"": ""Linking bacterial metabolites to disease-associated microbes to uncover mechanisms of host-microbial interactions in intestinal inflammation. Human plasma profiling""}, ""4"": {""analysis_id"": ""AN004032"", ""analysis_type"": ""Reversed phase NEGATIVE ION MODE"", ""num_metabolites"": ""103"", ""num_samples"": ""89"", ""study_id"": ""ST002470"", ""study_title"": ""Linking bacterial metabolites to disease-associated microbes to uncover mechanisms of host-microbial interactions in intestinal inflammation. Human plasma profiling""}}"	True	downloaded	728.0	89.0	Human plasma intestinal inflammation severity LC-MS
ST002732	SLE	Impaired metabolism predicts coronary artery calcification in women with systemic lupus erythematosus	LC-MS	207	207	Group	"{""Group:High"": 20, ""Group:Med"": 47, ""Group:Null"": 140}"	"{""1"": {""analysis_id"": ""AN004429"", ""analysis_type"": ""HILIC POSITIVE ION MODE"", ""num_metabolites"": ""105"", ""num_samples"": ""207"", ""study_id"": ""ST002732"", ""study_title"": ""Impaired metabolism predicts coronary artery calcification in women with systemic lupus erythematosus""}, ""2"": {""analysis_id"": ""AN004430"", ""analysis_type"": ""HILIC POSITIVE ION MODE"", ""num_metabolites"": ""39"", ""num_samples"": ""207"", ""study_id"": ""ST002732"", ""study_title"": ""Impaired metabolism predicts coronary artery calcification in women with systemic lupus erythematosus""}}"	True	downloaded	144.0	207.0	Women with SLE, plasma lipidome, coronary calcification group
ST002949	AS	Serum metabolomics reveals metabolic profile and potential biomarkers of ankylosing spondylitis	LC-MS	268	268	Treatment	"{""Treatment:Ankylosing Spondylitis"": 134, ""Treatment:healthy control"": 134}"	"{""1"": {""analysis_id"": ""AN004836"", ""analysis_type"": ""Reversed phase POSITIVE ION MODE"", ""num_metabolites"": ""20"", ""num_samples"": ""268"", ""study_id"": ""ST002949"", ""study_title"": ""Serum metabolomics reveals metabolic profile and potential biomarkers of ankylosing spondylitis""}, ""2"": {""analysis_id"": ""AN004837"", ""analysis_type"": ""Reversed phase NEGATIVE ION MODE"", ""num_metabolites"": ""6"", ""num_samples"": ""268"", ""study_id"": ""ST002949"", ""study_title"": ""Serum metabolomics reveals metabolic profile and potential biomarkers of ankylosing spondylitis""}}"	True	downloaded	26.0	240.0	AS serum vs healthy control LC-MS
ST000422	T1D	Type 1 Diabetes good glycemic control and controls samples	LC-MS	180	180	treatment	"{""treatment:ND"": 90, ""treatment:T1D good glycemic control"": 90}"	"{""1"": {""analysis_id"": ""AN000667"", ""analysis_type"": ""HILIC POSITIVE ION MODE"", ""num_metabolites"": ""1770"", ""num_samples"": ""180"", ""study_id"": ""ST000422"", ""study_title"": ""Type 1 Diabetes good glycemic control and controls samples""}, ""2"": {""analysis_id"": ""AN000668"", ""analysis_type"": ""HILIC NEGATIVE ION MODE"", ""num_metabolites"": ""1051"", ""num_samples"": ""180"", ""study_id"": ""ST000422"", ""study_title"": ""Type 1 Diabetes good glycemic control and controls samples""}, ""3"": {""analysis_id"": ""AN000669"", ""analysis_type"": ""Reversed phase POSITIVE ION MODE"", ""num_metabolites"": ""2906"", ""num_samples"": ""180"", ""study_id"": ""ST000422"", ""study_title"": ""Type 1 Diabetes good glycemic control and controls samples""}, ""4"": {""analysis_id"": ""AN000670"", ""analysis_type"": ""Reversed phase NEGATIVE ION MODE"", ""num_metabolites"": ""667"", ""num_samples"": ""180"", ""study_id"": ""ST000422"", ""study_title"": ""Type 1 Diabetes good glycemic control and controls samples""}}"	True	downloaded	2125.0	180.0	T1D good glycemic control vs non-diabetic plasma LC-MS
ST003328	MS_model	Increased Cholesterol Synthesis Drives Neurotoxicity in Patient Stem Cell-Derived Model of Multiple Sclerosis - cellular lipidomics	LC-MS	42	42	Disease status,Treatment	"{""Disease status:AMC | Treatment:SV"": 9, ""Disease status:AMC | Treatment:untreated"": 9, ""Disease status:PMS | Treatment:SV"": 12, ""Disease status:PMS | Treatment:untreated"": 12}"	"{""1"": {""analysis_id"": ""AN005452"", ""analysis_type"": ""Reversed phase NEGATIVE ION MODE"", ""num_metabolites"": ""217"", ""num_samples"": ""42"", ""study_id"": ""ST003328"", ""study_title"": ""Increased Cholesterol Synthesis Drives Neurotoxicity in Patient Stem Cell-Derived Model of Multiple Sclerosis - cellular lipidomics""}, ""2"": {""analysis_id"": ""AN005453"", ""analysis_type"": ""Reversed phase POSITIVE ION MODE"", ""num_metabolites"": ""425"", ""num_samples"": ""42"", ""study_id"": ""ST003328"", ""study_title"": ""Increased Cholesterol Synthesis Drives Neurotoxicity in Patient Stem Cell-Derived Model of Multiple Sclerosis - cellular lipidomics""}}"	True	downloaded	642.0	42.0	Patient stem-cell-derived MS model cellular lipidomics
ST000298	Psoriasis	Analysis of steroid metabolites in psoriasis.	LC-MS	9	9	Psoriasis Status	"{""Psoriasis Status:Normal"": 3, ""Psoriasis Status:Psoriasis involved"": 3, ""Psoriasis Status:Psoriasis uninvolved"": 3}"	"{""analysis_id"": ""AN000476"", ""analysis_type"": ""MS of steroids"", ""num_metabolites"": ""9"", ""num_samples"": ""9"", ""study_id"": ""ST000298"", ""study_title"": ""Analysis of steroid metabolites in psoriasis.""}"	True	downloaded	9.0	9.0	Psoriasis biopsy steroid metabolites
ST001636	T1D_TEDDY_lipidomics	TEDDY Lipidomics Study	LC-MS	11560	11560	Sex,cc	"{""Sex:Female | cc:1"": 821, ""Sex:Female | cc:2"": 405, ""Sex:Female | cc:3"": 338, ""Sex:Female | cc:4"": 1742, ""Sex:Female | cc:5"": 355, ""Sex:Female | cc:6"": 1776, ""Sex:Male | cc:1"": 741, ""Sex:Male | cc:2"": 319, ""Sex:Male | cc:3"": 664, ""Sex:Male | cc:4"": 1735, ""Sex:Male | cc:5"": 421, ""Sex:Male | cc:6"": 2243}"	"{""1"": {""analysis_id"": ""AN002673"", ""analysis_type"": ""Reversed phase POSITIVE ION MODE"", ""num_metabolites"": ""540"", ""num_samples"": ""11560"", ""study_id"": ""ST001636"", ""study_title"": ""TEDDY Lipidomics Study""}, ""2"": {""analysis_id"": ""AN002674"", ""analysis_type"": ""Reversed phase NEGATIVE ION MODE"", ""num_metabolites"": ""444"", ""num_samples"": ""11560"", ""study_id"": ""ST001636"", ""study_title"": ""TEDDY Lipidomics Study""}}"	False	not_requested			TEDDY Lipidomics; public factors visible but data endpoint empty in local probe
ST001386	T1D_TEDDY_metabolomics	TEDDY Metabolomics Study	GC-MS	11560	0		{}	"{""analysis_id"": ""AN002314"", ""analysis_type"": ""GC-MS data"", ""num_metabolites"": ""144"", ""num_samples"": ""11560"", ""study_id"": ""ST001386"", ""study_title"": ""TEDDY Metabolomics Study""}"	False	not_requested			TEDDY Metabolomics; huge factors and no interpretable disease label in local probe
