study_id	disease_label	feature_id	analysis_id	analysis_summary	feature_label	metabolite_name	refmet_name	ephx2_role	ephx2_family	site	source_note
ST000899	IBD	ME229669	AN001464	Reversed phase NEGATIVE ION MODE	12,13-DiHOME	12,13-DiHOME	12,13-DiHOME	diol	linoleate_epome_dihome	12,13	Serum Crohn/UC/control LC-MS
ST000899	IBD	ME229670	AN001464	Reversed phase NEGATIVE ION MODE	12-HETE	12-HETE	12-HETE	other_oxylipin			Serum Crohn/UC/control LC-MS
ST000899	IBD	ME229671	AN001464	Reversed phase NEGATIVE ION MODE	HODE	13-HODE + 9-HODE	HODE	other_oxylipin			Serum Crohn/UC/control LC-MS
ST000899	IBD	ME229760	AN001464	Reversed phase NEGATIVE ION MODE	9,10-DiHOME	9,10-DiHOME	9,10-DiHOME	diol	linoleate_epome_dihome	9,10	Serum Crohn/UC/control LC-MS
ST002470	UC	ME583599	AN004032	Reversed phase NEGATIVE ION MODE	11-HETE	11-HETE	11-HETE	other_oxylipin			Human plasma intestinal inflammation severity LC-MS
ST002470	UC	ME583600	AN004032	Reversed phase NEGATIVE ION MODE	12,13-DiHOME	12,13-diHOME	12,13-DiHOME	diol	linoleate_epome_dihome	12,13	Human plasma intestinal inflammation severity LC-MS
ST002470	UC	ME583682	AN004032	Reversed phase NEGATIVE ION MODE	12-HEPE	12-HEPE	12-HEPE	other_oxylipin			Human plasma intestinal inflammation severity LC-MS
ST002470	UC	ME583601	AN004032	Reversed phase NEGATIVE ION MODE	12-HETE	12-HETE	12-HETE	other_oxylipin			Human plasma intestinal inflammation severity LC-MS
ST002470	UC	ME583602	AN004032	Reversed phase NEGATIVE ION MODE	13-HODE	13-HODE	13-HODE	other_oxylipin			Human plasma intestinal inflammation severity LC-MS
ST002470	UC	ME583603	AN004032	Reversed phase NEGATIVE ION MODE	15-HETE	15-HETE	15-HETE	other_oxylipin			Human plasma intestinal inflammation severity LC-MS
ST002470	UC	ME583617	AN004032	Reversed phase NEGATIVE ION MODE	9,10-DiHOME	9,10-DiHOME	9,10-DiHOME	diol	linoleate_epome_dihome	9,10	Human plasma intestinal inflammation severity LC-MS
ST002949	AS	ME763801	AN004837	Reversed phase NEGATIVE ION MODE	9,10-DiHOME	9,10-DHOME	9,10-DiHOME	diol	linoleate_epome_dihome	9,10	AS serum vs healthy control LC-MS
ST000422	T1D	ME142562	AN000667	HILIC POSITIVE ION MODE	13S-hydroxy-9E,11Z-octadecadienoic acid	13S-hydroxy-9E,11Z-octadecadienoic acid		other_oxylipin			T1D good glycemic control vs non-diabetic plasma LC-MS
ST000422	T1D	ME142590	AN000667	HILIC POSITIVE ION MODE	5,6-DiHETrE	(+/-)5,6-DiHETrE	5,6-DiHETrE	diol	arachidonate_eet_dhet	5,6	T1D good glycemic control vs non-diabetic plasma LC-MS
ST000422	T1D	ME142743	AN000667	HILIC POSITIVE ION MODE	5,6-DiHETrE	(+/-)5,6-DiHETrE + 1.1581783	5,6-DiHETrE	diol	arachidonate_eet_dhet	5,6	T1D good glycemic control vs non-diabetic plasma LC-MS
ST000422	T1D	ME142719	AN000667	HILIC POSITIVE ION MODE	8-Methoxy-13-hydroxy-9,11-octadecadienoic acid	8-methoxy-13-hydroxy-9,11-octadecadienoic acid	8-Methoxy-13-hydroxy-9,11-octadecadienoic acid	other_oxylipin		9,11	T1D good glycemic control vs non-diabetic plasma LC-MS
ST000422	T1D	ME142553	AN000667	HILIC POSITIVE ION MODE	9,13-DiHOME(11)	9,13-dihydroxy-11-octadecenoic acid	9,13-DiHOME(11)	diol	linoleate_epome_dihome	9,13	T1D good glycemic control vs non-diabetic plasma LC-MS
ST000422	T1D	ME144467	AN000668	HILIC NEGATIVE ION MODE	13S-hydroxy-9E,11Z-octadecadienoic acid	13S-hydroxy-9E,11Z-octadecadienoic acid		other_oxylipin			T1D good glycemic control vs non-diabetic plasma LC-MS
ST000422	T1D	ME146649	AN000669	Reversed phase POSITIVE ION MODE	12-oxo-14,18-dihydroxy-9Z,13E,15Z-octadecatrienoic acid	12-oxo-14,18-dihydroxy-9Z,13E,15Z-octadecatrienoic acid		diol	other_pufa_epoxide_diol	14,18	T1D good glycemic control vs non-diabetic plasma LC-MS
ST000422	T1D	ME147097	AN000669	Reversed phase POSITIVE ION MODE	14,15-EpETrE	(+/-)14,15-EpETrE	14,15-EpETrE	epoxide	arachidonate_eet_dhet	14,15	T1D good glycemic control vs non-diabetic plasma LC-MS
ST000422	T1D	ME147200	AN000669	Reversed phase POSITIVE ION MODE	14,15-EpETrE	(+/-)14,15-EpETrE + 12.448101	14,15-EpETrE	epoxide	arachidonate_eet_dhet	14,15	T1D good glycemic control vs non-diabetic plasma LC-MS
ST000422	T1D	ME147595	AN000669	Reversed phase POSITIVE ION MODE	20-Oxoheneicosanoic acid	20-oxo-heneicosanoic acid	20-Oxoheneicosanoic acid	other_oxylipin			T1D good glycemic control vs non-diabetic plasma LC-MS
ST000422	T1D	ME147625	AN000669	Reversed phase POSITIVE ION MODE	20-Oxoheneicosanoic acid	20-oxo-heneicosanoic acid + 14.685812	20-Oxoheneicosanoic acid	other_oxylipin			T1D good glycemic control vs non-diabetic plasma LC-MS
ST000422	T1D	ME146922	AN000669	Reversed phase POSITIVE ION MODE	8-Hydroxy-9,11-octadecadiynoic acid	8-hydroxy-9,11-octadecadiynoic acid	8-Hydroxy-9,11-octadecadiynoic acid	other_oxylipin		9,11	T1D good glycemic control vs non-diabetic plasma LC-MS
ST000422	T1D	ME146970	AN000669	Reversed phase POSITIVE ION MODE	8-Hydroxy-9,11-octadecadiynoic acid	8-hydroxy-9,11-octadecadiynoic acid + 11.402064	8-Hydroxy-9,11-octadecadiynoic acid	other_oxylipin		9,11	T1D good glycemic control vs non-diabetic plasma LC-MS
