axis	gate	passed	call
CD226_TIGIT_PVR_BALANCE	cross_autoimmune_genetic_anchor_or_gwas_breadth	True	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
CD226_TIGIT_PVR_BALANCE	local_cell_state_support	False	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
CD226_TIGIT_PVR_BALANCE	ms_anchor_or_explicit_non_ms_lead	False	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
CD226_TIGIT_PVR_BALANCE	real_perturbation_or_validated_pharmacology	True	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
CD226_TIGIT_PVR_BALANCE	correct_direction_druggable_modality	True	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
CD226_TIGIT_PVR_BALANCE	safety_not_obviously_unacceptable	True	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
CD226_TIGIT_PVR_BALANCE	not_prior_art_blocked	False	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
IL2RA_TREG_EXPANSION	cross_autoimmune_genetic_anchor_or_gwas_breadth	True	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
IL2RA_TREG_EXPANSION	local_cell_state_support	False	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
IL2RA_TREG_EXPANSION	ms_anchor_or_explicit_non_ms_lead	True	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
IL2RA_TREG_EXPANSION	real_perturbation_or_validated_pharmacology	True	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
IL2RA_TREG_EXPANSION	correct_direction_druggable_modality	True	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
IL2RA_TREG_EXPANSION	safety_not_obviously_unacceptable	True	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
IL2RA_TREG_EXPANSION	not_prior_art_blocked	False	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
CTLA4_CD28_B7_COSTIMULATION	cross_autoimmune_genetic_anchor_or_gwas_breadth	True	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
CTLA4_CD28_B7_COSTIMULATION	local_cell_state_support	False	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
CTLA4_CD28_B7_COSTIMULATION	ms_anchor_or_explicit_non_ms_lead	False	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
CTLA4_CD28_B7_COSTIMULATION	real_perturbation_or_validated_pharmacology	True	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
CTLA4_CD28_B7_COSTIMULATION	correct_direction_druggable_modality	True	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
CTLA4_CD28_B7_COSTIMULATION	safety_not_obviously_unacceptable	True	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
CTLA4_CD28_B7_COSTIMULATION	not_prior_art_blocked	False	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
CD40_CD40LG_APC_HELP	cross_autoimmune_genetic_anchor_or_gwas_breadth	True	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
CD40_CD40LG_APC_HELP	local_cell_state_support	False	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
CD40_CD40LG_APC_HELP	ms_anchor_or_explicit_non_ms_lead	True	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
CD40_CD40LG_APC_HELP	real_perturbation_or_validated_pharmacology	True	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
CD40_CD40LG_APC_HELP	correct_direction_druggable_modality	True	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
CD40_CD40LG_APC_HELP	safety_not_obviously_unacceptable	False	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
CD40_CD40LG_APC_HELP	not_prior_art_blocked	False	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
IL7R_TCELL_SURVIVAL	cross_autoimmune_genetic_anchor_or_gwas_breadth	True	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
IL7R_TCELL_SURVIVAL	local_cell_state_support	True	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
IL7R_TCELL_SURVIVAL	ms_anchor_or_explicit_non_ms_lead	False	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
IL7R_TCELL_SURVIVAL	real_perturbation_or_validated_pharmacology	True	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
IL7R_TCELL_SURVIVAL	correct_direction_druggable_modality	True	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
IL7R_TCELL_SURVIVAL	safety_not_obviously_unacceptable	False	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
IL7R_TCELL_SURVIVAL	not_prior_art_blocked	False	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
IL23_IL12_TH17_AXIS	cross_autoimmune_genetic_anchor_or_gwas_breadth	True	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
IL23_IL12_TH17_AXIS	local_cell_state_support	False	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
IL23_IL12_TH17_AXIS	ms_anchor_or_explicit_non_ms_lead	True	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
IL23_IL12_TH17_AXIS	real_perturbation_or_validated_pharmacology	True	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
IL23_IL12_TH17_AXIS	correct_direction_druggable_modality	True	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
IL23_IL12_TH17_AXIS	safety_not_obviously_unacceptable	True	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
IL23_IL12_TH17_AXIS	not_prior_art_blocked	False	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
BACH2_IKZF_TREG_PROGRAM	cross_autoimmune_genetic_anchor_or_gwas_breadth	True	NO_GO_TOLERANCE_AXIS
BACH2_IKZF_TREG_PROGRAM	local_cell_state_support	False	NO_GO_TOLERANCE_AXIS
BACH2_IKZF_TREG_PROGRAM	ms_anchor_or_explicit_non_ms_lead	False	NO_GO_TOLERANCE_AXIS
BACH2_IKZF_TREG_PROGRAM	real_perturbation_or_validated_pharmacology	True	NO_GO_TOLERANCE_AXIS
BACH2_IKZF_TREG_PROGRAM	correct_direction_druggable_modality	False	NO_GO_TOLERANCE_AXIS
BACH2_IKZF_TREG_PROGRAM	safety_not_obviously_unacceptable	False	NO_GO_TOLERANCE_AXIS
BACH2_IKZF_TREG_PROGRAM	not_prior_art_blocked	False	NO_GO_TOLERANCE_AXIS
TNFRSF4_OX40_AXIS	cross_autoimmune_genetic_anchor_or_gwas_breadth	True	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
TNFRSF4_OX40_AXIS	local_cell_state_support	False	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
TNFRSF4_OX40_AXIS	ms_anchor_or_explicit_non_ms_lead	False	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
TNFRSF4_OX40_AXIS	real_perturbation_or_validated_pharmacology	True	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
TNFRSF4_OX40_AXIS	correct_direction_druggable_modality	True	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
TNFRSF4_OX40_AXIS	safety_not_obviously_unacceptable	True	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
TNFRSF4_OX40_AXIS	not_prior_art_blocked	False	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
TNFRSF18_GITR_AXIS	cross_autoimmune_genetic_anchor_or_gwas_breadth	True	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
TNFRSF18_GITR_AXIS	local_cell_state_support	False	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
TNFRSF18_GITR_AXIS	ms_anchor_or_explicit_non_ms_lead	False	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
TNFRSF18_GITR_AXIS	real_perturbation_or_validated_pharmacology	False	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
TNFRSF18_GITR_AXIS	correct_direction_druggable_modality	True	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
TNFRSF18_GITR_AXIS	safety_not_obviously_unacceptable	False	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
TNFRSF18_GITR_AXIS	not_prior_art_blocked	False	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
LAG3_MHCII_CHECKPOINT	cross_autoimmune_genetic_anchor_or_gwas_breadth	True	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
LAG3_MHCII_CHECKPOINT	local_cell_state_support	True	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
LAG3_MHCII_CHECKPOINT	ms_anchor_or_explicit_non_ms_lead	True	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
LAG3_MHCII_CHECKPOINT	real_perturbation_or_validated_pharmacology	True	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
LAG3_MHCII_CHECKPOINT	correct_direction_druggable_modality	False	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
LAG3_MHCII_CHECKPOINT	safety_not_obviously_unacceptable	False	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
LAG3_MHCII_CHECKPOINT	not_prior_art_blocked	False	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
BTLA_HVEM_CHECKPOINT	cross_autoimmune_genetic_anchor_or_gwas_breadth	True	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
BTLA_HVEM_CHECKPOINT	local_cell_state_support	True	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
BTLA_HVEM_CHECKPOINT	ms_anchor_or_explicit_non_ms_lead	False	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
BTLA_HVEM_CHECKPOINT	real_perturbation_or_validated_pharmacology	True	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
BTLA_HVEM_CHECKPOINT	correct_direction_druggable_modality	False	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
BTLA_HVEM_CHECKPOINT	safety_not_obviously_unacceptable	True	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
BTLA_HVEM_CHECKPOINT	not_prior_art_blocked	False	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
CD6_ALCAM_INTERFACE	cross_autoimmune_genetic_anchor_or_gwas_breadth	True	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
CD6_ALCAM_INTERFACE	local_cell_state_support	False	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
CD6_ALCAM_INTERFACE	ms_anchor_or_explicit_non_ms_lead	True	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
CD6_ALCAM_INTERFACE	real_perturbation_or_validated_pharmacology	True	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
CD6_ALCAM_INTERFACE	correct_direction_druggable_modality	True	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
CD6_ALCAM_INTERFACE	safety_not_obviously_unacceptable	True	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
CD6_ALCAM_INTERFACE	not_prior_art_blocked	False	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED
S1PR_TRAFFICKING_AXIS	cross_autoimmune_genetic_anchor_or_gwas_breadth	False	NO_GO_TOLERANCE_AXIS
S1PR_TRAFFICKING_AXIS	local_cell_state_support	False	NO_GO_TOLERANCE_AXIS
S1PR_TRAFFICKING_AXIS	ms_anchor_or_explicit_non_ms_lead	False	NO_GO_TOLERANCE_AXIS
S1PR_TRAFFICKING_AXIS	real_perturbation_or_validated_pharmacology	True	NO_GO_TOLERANCE_AXIS
S1PR_TRAFFICKING_AXIS	correct_direction_druggable_modality	True	NO_GO_TOLERANCE_AXIS
S1PR_TRAFFICKING_AXIS	safety_not_obviously_unacceptable	True	NO_GO_TOLERANCE_AXIS
S1PR_TRAFFICKING_AXIS	not_prior_art_blocked	False	NO_GO_TOLERANCE_AXIS
