gene	intervention_class	wave83_call	total_score	reachability_score	cross_autoimmune_score	ms_score	perturbation_response_score	safety_prior_penalty	hard_failures	accessible_uniprot	manual_closure_reason	manual_closure_source	chembl_activity_count	chembl_target_id	wave34a_target_class	wave34a_modality	positive_disease_count	positive_diseases	positive_fdr10_compartment_count	genetic_breadth_disease_count	genetic_breadth_diseases	qtl_breadth_disease_count	ms_genetic_score	ms_expr_delta	ms_expr_p	target_resolution_score	genetics_first_score	global_meta_score	model_support_contexts	model_strong_support_contexts	direct_selective	direct_selectivity_score	efferocytosis_screen_call	ibd_response_fdr10	wave68_call	l1000_wave24_call	wave39_call	wave62_call	wave34a_call	wave71_call	wave55_score	manual_prior_blocked	primary_route_note
PTPN2	kinase_or_phosphosignaling	PARK_TARGET_RESOLVED_BUT_PRIOR_CLOSED	16.612136552839484	8.5625	11.0	0.0	0.0	3.0	no_strong_ms_anchor;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;prior_branch_closed:restoration_needed_no_selective_intervention_route;no_high_confidence_directional_support	1	restoration_needed_no_selective_intervention_route	wave29/wave34a closure	1279.0	CHEMBL3807	intracellular phosphatase	would require restoration/activation; inhibitors point wrong way	4.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	1.0	9.0	Celiac;Crohn;Psoriasis;RA;T1D	5.0	0.0	-0.0059418057306839	0.9843569990044077	2.3814103522632157	20.5625	-5.3428	0.0	0.0	0	0.0	UNRESOLVED	0	DESCRIPTIVE_GENE_SIGNAL		NO_GO_SURFACEOME_RESCUE	NO_GO_WAVE62_TARGET_RESOLUTION	DEMOTE_NOT_DRUGGABLE_IN_CORRECT_DIRECTION	PARK_PRIOR_ART_OR_HOST_DEFENSE_PENALIZED	20.0	1	insufficient_breadth; no_ms_anchor; prior_demoted_or_class_blocked; prior_art_or_trial_saturation; reachable protein class by UniProt location/features; ChEMBL exact target found; ChEMBL activity records: 1279
STAT4	receptor_or_ligand_axis	PARK_TARGET_RESOLVED_BUT_PRIOR_CLOSED	13.590128126321112	4.5625	8.0	2.0	2.0	3.0	manual_or_prior_blocker;prior_branch_closed:broad_tf_jak_stat_axis_prior_art_no_selective_target	0	broad_tf_jak_stat_axis_prior_art_no_selective_target	wave82 closure	0.0	CHEMBL4523296	transcription factor	indirect cytokine/JAK pathway blockade	2.0	Crohn disease;ulcerative colitis	0.0	9.0	Celiac;Crohn;MS;PBC;RA;SLE;Sjogren;T1D	7.0	0.845672070980072	0.8684079555977076	0.4607005214454064	4.377520842140743	9.9625	-4.5085	0.0	0.0	0	-0.0502650068931169	UNRESOLVED	1	PARK_GENETIC_PERTURBATION_INTERSECTION			PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW	DEMOTE_NOT_DRUGGABLE_IN_CORRECT_DIRECTION	PARK_PRIOR_ART_OR_HOST_DEFENSE_PENALIZED	24.0	1	Genetics may be broad, but current modality is absent or wrong-direction restoration.
PTGER4	intracellular_other	PARK_TARGET_RESOLVED_BUT_PRIOR_CLOSED	13.509379049490779	7.5	7.0	2.0	0.0	3.0	no_positive_perturbation_or_response_direction;manual_or_prior_blocker;prior_branch_closed:ep4_directionality_prior_art_conflicted;no_high_confidence_directional_support	1	ep4_directionality_prior_art_conflicted	wave62 manual blocker	2168.0	CHEMBL1836	GPCR	small-molecule EP4 agonist/antagonist/PAM depending on direction	2.0	Crohn disease;type 1 diabetes mellitus	0.0	9.0	Crohn;MS;Psoriasis;T1D;UC	3.0	0.5558526515960693	0.272141637998347	0.3034072589589571	4.24586032993851	1.95	-2.9	0.0	0.0	0	0.0	UNRESOLVED	0	DESCRIPTIVE_GENE_SIGNAL			PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW	DEMOTE_NO_TARGET_LEVEL_GENETIC_PACKAGE	NO_REOPEN_INSUFFICIENT_CONVERGENCE	14.0	1	No broad local credible-set/eQTL-backed genetic package; GWAS-only evidence is insufficient.
TYK2	kinase_or_phosphosignaling	PARK_TARGET_RESOLVED_BUT_PRIOR_CLOSED	12.342192178106309	7.5	8.0	0.0	0.0	3.0	no_strong_ms_anchor;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;prior_branch_closed:jak_tyk_prior_art_direction_and_selectivity_blocker;no_high_confidence_directional_support	0	jak_tyk_prior_art_direction_and_selectivity_blocker	wave34a/wave55 closure	17132.0	CHEMBL3553	kinase	approved/clinical allosteric inhibitors	2.0	psoriasis;type 1 diabetes mellitus	0.0	7.0	Crohn;PBC;Psoriasis;RA;SLE;T1D	6.0	0.0	0.0	0.5321339034622258	1.4414478540420532	19.649999999999995	-5.4261	0.0	0.0	0	-0.4053316992344634	UNRESOLVED	0	DESCRIPTIVE_GENE_SIGNAL			NO_GO_WAVE62_TARGET_RESOLUTION	DEMOTE_PRIOR_ART_BLOCKED	PARK_PRIOR_ART_OR_HOST_DEFENSE_PENALIZED	18.5	1	Direct clinical or therapeutic-class prior art blocks novelty.
PTPN22	phosphatase_or_signaling_adaptor	PARK_TARGET_RESOLVED_BUT_PRIOR_CLOSED	12.172309941514323	9.125	5.0	1.0	0.0	3.0	no_strong_ms_anchor;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;prior_branch_closed:restoration_direction_and_pleiotropy_blocker;no_high_confidence_directional_support	1	restoration_direction_and_pleiotropy_blocker	wave49 closure	1114.0	CHEMBL2889	intracellular phosphatase	small-molecule inhibitor/allosteric modulator concept	1.0	Sjogren syndrome	0.0	9.0	Crohn;RA;SLE;T1D	1.0	0.0	0.81950776939291	0.0313351961928456	1.2519946100954795	10.925	-2.746957	0.0	0.0	0	0.0	UNRESOLVED	0	DESCRIPTIVE_GENE_SIGNAL			NO_GO_WAVE62_TARGET_RESOLUTION	PARK_DIRECTION_OR_MODALITY_UNRESOLVED	PARK_PRIOR_ART_OR_HOST_DEFENSE_PENALIZED	18.0	1	Genetic signal survives triage but direction/modality is not clean enough for promotion.
IL2RA	receptor_or_ligand_axis	PARK_TARGET_RESOLVED_BUT_PRIOR_CLOSED	11.722453028433188	5.5	4.5	2.0	2.0	3.0	manual_or_prior_blocker;prior_branch_closed:cd25_axis_prior_art_and_treg_effector_direction_conflict	1	cd25_axis_prior_art_and_treg_effector_direction_conflict	wave62/wave71 closure	0.0	CHEMBL1778	cytokine receptor	IL-2 mutein, low-dose IL-2, anti-CD25 variants	0.0		0.0	10.0	Crohn;MS;Psoriasis;RA;T1D	2.0	0.8340961933135986	0.0	0.3809924198671314	4.443186856221253	7.250000000000001	-1.2261	0.0	0.0	0	0.0	UNRESOLVED	1	DESCRIPTIVE_GENE_SIGNAL			PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW	DEMOTE_PRIOR_ART_BLOCKED	NO_REOPEN_INSUFFICIENT_CONVERGENCE	18.5	1	Direct clinical or therapeutic-class prior art blocks novelty.
GPR65	intracellular_other	PARK_TARGET_RESOLVED_BUT_PRIOR_CLOSED	10.789630509090387	6.5	5.0	2.0	0.0	3.0	no_positive_perturbation_or_response_direction;manual_or_prior_blocker;prior_branch_closed:acid_sensing_gpcr_prior_art_local_mismatch;no_high_confidence_directional_support	1	acid_sensing_gpcr_prior_art_local_mismatch	wave50 closure	99.0	CHEMBL3714081	GPCR	agonist/PAM	1.0	Sjogren syndrome	0.0	5.0	AS;MS	1.0	1.0	0.09040507812532	0.6241465917972195	4.2649283939359135	9.525	-3.305435	0.0	0.0	0	0.0	UNRESOLVED	0	DESCRIPTIVE_GENE_SIGNAL			PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE	PARK_GENETIC_SIGNAL_LOCAL_CELLSTATE_MISMATCH	PARK_PRIOR_ART_OR_HOST_DEFENSE_PENALIZED	15.0	1	Genetic signal is plausible but local expression/state support is contradictory.
CXCR2	intracellular_other	PARK_TARGET_RESOLVED_BUT_PRIOR_CLOSED	9.571821121863575	3.5	7.0	0.0	2.5	3.0	no_strong_ms_anchor;manual_or_prior_blocker;prior_branch_closed:neutrophil_chemokine_axis_prior_art_and_safety	1	neutrophil_chemokine_axis_prior_art_and_safety	wave58 closure	0.0				3.0	Crohn disease;psoriasis;ulcerative colitis	0.0	5.0	AS;Crohn;Psoriasis;RA;UC	1.0	0.0	0.8298247585525846	0.3775250672864965	2.8515541457571705	0.0	-3.423648	1.0	1.0	0	0.0	UNRESOLVED	0	DESCRIPTIVE_GENE_SIGNAL	NO_GO_PRIOR		NO_GO_WAVE62_TARGET_RESOLUTION		PARK_PRIOR_ART_OR_HOST_DEFENSE_PENALIZED	15.0	1	prior_art_and_safety_saturated_neutrophil_axis
CD40	intracellular_other	PARK_TARGET_RESOLVED_BUT_PRIOR_CLOSED	8.390512570200993	3.0	8.0	2.0	1.5	3.0	no_positive_perturbation_or_response_direction;manual_or_prior_blocker;prior_branch_closed:costimulation_axis_prior_art_and_systemic_safety;no_high_confidence_directional_support	0	costimulation_axis_prior_art_and_systemic_safety	wave55 external genetics sweep	0.0	CHEMBL1250358			2.0	Crohn disease;ulcerative colitis	0.0	8.0	RA	6.0	0.7292906022301274	0.0	0.0540269612921963	0.9509171346732832	0.0	-13.0085	1.0	0.0	0	0.0	UNRESOLVED	0	DESCRIPTIVE_GENE_SIGNAL			NO_GO_WAVE62_TARGET_RESOLUTION		NO_REOPEN_BLOCKED_BRANCH	24.0	1	prior_art_saturated_costimulation
CTLA4	receptor_or_ligand_axis	PARK_TARGET_RESOLVED_BUT_PRIOR_CLOSED	7.618198899802115	5.5	4.5	0.0	0.0	3.0	no_strong_ms_anchor;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;prior_branch_closed:checkpoint_axis_prior_art_systemic_immunosuppression;no_high_confidence_directional_support	1	checkpoint_axis_prior_art_systemic_immunosuppression	wave33 closure	0.0	CHEMBL2364164	cell-surface checkpoint receptor	CTLA4-Ig or checkpoint agonism	0.0		0.0	5.0	RA;T1D	2.0	0.0	0.0	0.6033987297082053	1.4379926653474384	8.05	0.0	0.0	0.0	0	0.0	UNRESOLVED	0	DESCRIPTIVE_GENE_SIGNAL			NO_GO_WAVE62_TARGET_RESOLUTION	DEMOTE_PRIOR_ART_BLOCKED		14.0	1	Direct clinical or therapeutic-class prior art blocks novelty.
IL23R	receptor_or_ligand_axis	NO_GO_REACHABLE_BUT_BIOLOGY_INCOMPLETE_OR_BLOCKED	13.794859936574447	7.5	5.5	0.0	2.0	2.0	no_strong_ms_anchor;manual_or_prior_blocker	1			1106.0	CHEMBL4296013	cytokine receptor	anti-IL23/IL23R biologic	0.0		0.0	9.0	AS;Crohn;Psoriasis;RA;UC	4.0	0.0	0.0	1.0	1.4547329104963138	7.250000000000001	0.8566	0.0	0.0	0	0.0	UNRESOLVED	1	DESCRIPTIVE_GENE_SIGNAL			NO_GO_WAVE62_TARGET_RESOLUTION	DEMOTE_PRIOR_ART_BLOCKED	NO_REOPEN_INSUFFICIENT_CONVERGENCE	16.0	1	Direct clinical or therapeutic-class prior art blocks novelty.
MMP7	surface_secreted_other	NO_GO_REACHABLE_BUT_BIOLOGY_INCOMPLETE_OR_BLOCKED	12.76741075	5.0	7.0	1.0	2.0	2.0	no_strong_ms_anchor;manual_or_prior_blocker	1			937.0	CHEMBL4073			4.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	3.0	0.0		0.0	0.0	1.836134503047833	0.1901690746366625	0.0	0.0	-0.930357	0.0	0.0	0	0.0	UNRESOLVED	1	DESCRIPTIVE_GENE_SIGNAL		PARK_REVIEW			NO_REOPEN_INSUFFICIENT_CONVERGENCE	4.0	1	prior_art_or_trial_saturation; reachable protein class by UniProt location/features; ChEMBL exact target found; ChEMBL activity records: 937
IL10	receptor_or_ligand_axis	NO_GO_REACHABLE_BUT_BIOLOGY_INCOMPLETE_OR_BLOCKED	12.377286380208211	7.5	6.0	0.0	0.0	2.0	no_strong_ms_anchor;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;no_high_confidence_directional_support	1			0.0	CHEMBL3712920	cytokine	engineered IL-10 or IL10R agonism	0.0		0.0	7.0	Crohn;T1D;UC	8.0	0.0	0.5386340709389863	0.0920894843746553	1.4620325347214136	15.775	-0.523074	0.0	0.0	0	0.0	UNRESOLVED	0	DESCRIPTIVE_GENE_SIGNAL			NO_GO_WAVE62_TARGET_RESOLUTION	PARK_PRIOR_ART_OR_CROWDING	NO_REOPEN_INSUFFICIENT_CONVERGENCE	16.0	1	Target is plausible but prior-art/crowding risk is high.
