candidate	candidate_type	route_class	manual_prior_class	manual_prior_blocked	manual_modality_ready	manual_wetlab_only	wave94_call	wave94_score	wave94_failures	wave39_call	wave39_score	ms_delta_log2	ms_p	ms_fdr	broad_positive_disease_count	broad_negative_disease_count	myeloid_positive_disease_count	response_nonresponse_high_systems_p20	response_responder_high_systems_p20	response_direction_conflict	response_summary	strict_core_residual_disease_count	strict_core_residual_analyses	retained_residual_disease_count	non_ibd_retained_residual_disease_count	wave55_genetic_diseases_ge_0_25	wave55_n_genetic_diseases_ge_0_25	wave62_call	wave62_strong_l2g_disease_count	wave62_strong_qtl_coloc_disease_count	wave62_ms_max_l2g_score	wave62_ms_max_relevant_qtl_h4	chembl_activity_count	uniprot_accessible	w68_best_cell_state	w68_remission_adjusted_delta	w68_remission_adjusted_p	w68_remission_adjusted_fdr	w68_call	w37_screen_call	w37_contrast_lfc	w37_contrast_fdr	w18_geneformer_support_contexts	w18_strong_support_contexts	w18_real_perturbation_alignment_call	w18_foundation_recommendation	wave79_call	wave79_gate_count	wave79_decision_reason	gate_ms_anchor	gate_ms_trend	gate_cross_disease_residual	gate_cell_resolved_response_or_transition	gate_response_specificity	gate_target_resolved_genetics_ge2	gate_broad_genetics_ge4	gate_real_perturbation_or_validated_model	gate_modality	gate_prior_not_blocked	gate_not_generic_or_closed	critical_gate_count	support_gate_count	wave95_failures	wave95_call	wave95_reason	route_response_systems	route_response_nominal_systems	route_ms_call	route_wave92_call	route_genes
SEL1L3	gene	Expression survivor without a target mechanism or selective modality.	undercharacterized_no_intervention_package	False	False	False	PARK_FOR_NEXT_FORCING_TEST	12.172501683138025	weak_genetic_target_resolution	NO_GO_SURFACEOME_RESCUE	10.0	0.922501683138024	0.0181382735511015	0.8372898579012464	4.0	0.0	0.0	2.0	0.0	False	IBD_external_antitnf:g=-0.288,p=0.128,nonctx=3,respctx=1; RA_GSE198520_baseline_synovium:g=-0.604,p=0.0731,nonctx=1,respctx=0; psoriasis_GSE85034_baseline_skin:g=-0.0574,p=0.923,nonctx=1,respctx=0	0.0		1.0	0.0		0.0	NO_GO_WAVE62_TARGET_RESOLUTION	0.0	0.0	0.0	0.0	0.0	True	DC				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.1018527985910833	1.0	1.0	1.0	model_only_no_real_perturbation_alignment	do_not_promote_from_foundation_model	NO_GO_TARGETABILITY_SHORTLIST_NODE	3.0	insufficient target-level convergence after strict gates	True	True	False	False	True	False	False	False	True	True	True	4	2	gate_cross_disease_residual;gate_cell_resolved_response_or_transition;gate_target_resolved_genetics_ge2;gate_broad_genetics_ge4;gate_real_perturbation_or_validated_model	NO_GO_MARKER_WITHOUT_RESIDUAL_OR_PERTURBATION_SUPPORT	expression/response signal lacks residualized controller evidence and validated perturbation direction					
C15ORF48	gene	Mechanistically interesting immunometabolic clue; not yet a tractable intervention point.	mitochondrial_microprotein_no_direct_modality	False	False	False	PARK_FOR_NEXT_FORCING_TEST	11.473015588579818	weak_genetic_target_resolution	NO_GO_SURFACEOME_RESCUE	10.0	1.223015588579818	0.0037534871126623	0.8344760564031432	4.0	0.0	3.0	0.0	1.0	False	IBD_external_antitnf:g=0.547,p=0.0346,nonctx=0,respctx=4; RA_GSE198520_baseline_synovium:g=0.289,p=0.28,nonctx=0,respctx=1; psoriasis_GSE85034_baseline_skin:g=-0.374,p=0.547,nonctx=1,respctx=0	0.0		3.0	1.0		0.0		0.0	0.0	0.0	0.0	0.0	True	Mono_macro				DESCRIPTIVE_GENE_SIGNAL				0.0	0.0				0.0		True	True	False	False	False	False	False	False	True	True	True	4	1	gate_cross_disease_residual;gate_cell_resolved_response_or_transition;gate_response_specificity;gate_target_resolved_genetics_ge2;gate_broad_genetics_ge4;gate_real_perturbation_or_validated_model	NO_GO_MARKER_WITHOUT_RESIDUAL_OR_PERTURBATION_SUPPORT	expression/response signal lacks residualized controller evidence and validated perturbation direction					
PLEK2	gene	Strong MS expression but no response, genetics, or perturbation package.	intracellular_cytoskeletal_no_modality	False	False	False	PARK_FOR_NEXT_FORCING_TEST	11.5	weak_genetic_target_resolution;no_response_or_perturbation_support	NO_GO_SURFACEOME_RESCUE	10.0	3.0459958234208124	0.0073786076112192	0.8344760564031432	4.0	0.0	2.0	0.0	0.0	False	IBD_external_antitnf:g=-0.0658,p=0.195,nonctx=2,respctx=2; RA_GSE198520_baseline_synovium:g=-0.323,p=0.306,nonctx=1,respctx=0; psoriasis_GSE85034_baseline_skin:g=0.143,p=0.805,nonctx=0,respctx=1	0.0		0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	True	Mono_macro				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.0251894239467287	1.0	0.0	0.0	no_rescue	do_not_promote		0.0		True	True	False	False	False	False	False	False	True	True	True	4	1	gate_cross_disease_residual;gate_cell_resolved_response_or_transition;gate_response_specificity;gate_target_resolved_genetics_ge2;gate_broad_genetics_ge4;gate_real_perturbation_or_validated_model	NO_GO_MARKER_WITHOUT_RESIDUAL_OR_PERTURBATION_SUPPORT	expression/response signal lacks residualized controller evidence and validated perturbation direction					
CHI3L1	gene	Secreted biomarker/remodeling route with response conflict and high prior saturation.	secreted_biomarker_prior_saturation	True	True	False	PARK_FOR_NEXT_FORCING_TEST	8.75	weak_genetic_target_resolution;response_direction_conflict	NO_GO_SURFACEOME_RESCUE	7.0	2.006853151074319	0.0046126032857275	0.8344760564031432	4.0	0.0	0.0	1.0	1.0	True	IBD_external_antitnf:g=-1.61,p=2.14e-06,nonctx=4,respctx=0; RA_GSE198520_baseline_synovium:g=0.824,p=0.00326,nonctx=0,respctx=1; psoriasis_GSE85034_baseline_skin:g=-0.59,p=0.205,nonctx=1,respctx=0	0.0		2.0	1.0		0.0		0.0	0.0	0.0	0.0	0.0	True	Mono_macro	-2.588217362002581	0.0012430147407245	0.0127787096573055	DESCRIPTIVE_GENE_SIGNAL				2.0	1.0	model_only_no_real_perturbation_alignment	do_not_promote_from_foundation_model		0.0		True	True	False	True	False	False	False	False	True	False	True	3	2	gate_cross_disease_residual;gate_response_specificity;gate_target_resolved_genetics_ge2;gate_broad_genetics_ge4;gate_real_perturbation_or_validated_model;gate_prior_not_blocked	NO_GO_PRIOR_ART_OR_SAFETY_BLOCKED	prior-art/safety gate blocks therapeutic promotion					
NRCAM	gene	Consistent response marker but neural adhesion biology and weak genetics make it unsafe as target-first route.	neural_adhesion_safety_and_weak_genetics	False	False	False	PARK_FOR_NEXT_FORCING_TEST	12.048229037479263	limited_cross_disease_breadth;weak_genetic_target_resolution	NO_GO_SURFACEOME_RESCUE	10.0	1.2982290374792624	0.0812547813304489	0.8989378106274888	3.0	0.0	0.0	3.0	0.0	False	IBD_external_antitnf:g=-1.23,p=0.00367,nonctx=4,respctx=0; RA_GSE198520_baseline_synovium:g=-0.714,p=0.00955,nonctx=1,respctx=0; psoriasis_GSE85034_baseline_skin:g=-0.84,p=0.133,nonctx=1,respctx=0	0.0		0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	True	Mono_macro				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	0.2092097024064988	1.0	0.0	0.0				0.0		False	True	False	False	True	False	False	False	True	True	True	3	2	gate_ms_anchor;gate_cross_disease_residual;gate_cell_resolved_response_or_transition;gate_target_resolved_genetics_ge2;gate_broad_genetics_ge4;gate_real_perturbation_or_validated_model	NO_GO_MARKER_WITHOUT_RESIDUAL_OR_PERTURBATION_SUPPORT	expression/response signal lacks residualized controller evidence and validated perturbation direction					
CD58	gene	CD2/CD58 biology strong, but alefacept/CD2-CD58 autoimmune prior art and MS protective-CD58 direction conflict block promotion.	blocked_generic_autoimmune_intervention	True	True	False						0.1797564428759965	0.3110884246237163	0.9095100064215184	0.0	0.0	0.0	0.0	0.0	False		0.0		0.0	0.0		3.0	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE	1.0	2.0	0.9513845443725586	0.9944626523267264	0.0		Mono_macro				DESCRIPTIVE_GENE_SIGNAL				0.0	0.0			PARK_TARGETABILITY_SHORTLIST_NODE	8.0	partial support remains but one or more critical targetability gates fail	True	True	False	False	False	True	False	False	True	False	True	3	2	gate_cross_disease_residual;gate_cell_resolved_response_or_transition;gate_response_specificity;gate_broad_genetics_ge4;gate_real_perturbation_or_validated_model;gate_prior_not_blocked	NO_GO_PRIOR_ART_OR_SAFETY_BLOCKED	prior-art/safety gate blocks therapeutic promotion					
MFGE8	gene	Mechanistically clean debris-opsonin assay concept, but local MS/cross-disease support and bystander-phagocytosis safety are weak.	close_efferocytosis_prior_art_safety_unresolved	False	True	True						0.5586776922734735	0.0686336045013876	0.8989378106274888	0.0	0.0	0.0	0.0	0.0	False		0.0		0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0		Mono_macro	-2.0993768429507735	0.0051610099721996	0.0224142446553593	DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	0.1589236226146265	1.0	0.0	0.0				0.0		False	True	False	True	False	False	False	False	True	True	True	3	2	gate_ms_anchor;gate_cross_disease_residual;gate_response_specificity;gate_target_resolved_genetics_ge2;gate_broad_genetics_ge4;gate_real_perturbation_or_validated_model	PARK_WETLAB_KILL_TEST_ONLY	route can only be reopened by target-specific wet-lab perturbation/safety test					
CD82	gene	Accessible tetraspanin marker; direction and target engagement are not interpretable enough for standalone promotion.	direction_actionability_blocked	False	False	False	PARK_ACCESSIBLE_MARKER_OR_WEAK_ROUTE	8.253694654227074	weak_ms_anchor;weak_genetic_target_resolution	PARK_REVIEW	11.0	0.5036946542270737	0.1728910748647989	0.8993702893651148	5.0	0.0	0.0	2.0	0.0	False	IBD_external_antitnf:g=-1.08,p=5.87e-05,nonctx=4,respctx=0; RA_GSE198520_baseline_synovium:g=-0.169,p=0.603,nonctx=1,respctx=0; psoriasis_GSE85034_baseline_skin:g=-0.797,p=0.146,nonctx=1,respctx=0	0.0		1.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	True	Mono_macro	-2.6224431975896136	0.000462010906814	0.0106542515177422	DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.7753564927591152	0.9971256078463696	0.0	0.0				0.0		False	False	False	True	True	False	False	False	True	True	True	3	2	gate_ms_anchor;gate_ms_trend;gate_cross_disease_residual;gate_target_resolved_genetics_ge2;gate_broad_genetics_ge4;gate_real_perturbation_or_validated_model	NO_GO_MARKER_WITHOUT_RESIDUAL_OR_PERTURBATION_SUPPORT	expression/response signal lacks residualized controller evidence and validated perturbation direction					
CD200	gene	Ligand-side signal with unresolved CD200R1 direction and prior checkpoint closure.	checkpoint_direction_receptor_side_unresolved	False	True	False	PARK_FOR_NEXT_FORCING_TEST	10.58843972441597	directional_negative_context;response_direction_conflict	NO_GO_SURFACEOME_RESCUE	7.0	1.8384397244159705	0.0908591902171466	0.8989378106274888	4.0	1.0	3.0	2.0	1.0	True	IBD_external_antitnf:g=-0.736,p=0.0199,nonctx=4,respctx=0; RA_GSE198520_baseline_synovium:g=-0.815,p=0.01,nonctx=1,respctx=0; psoriasis_GSE85034_baseline_skin:g=0.811,p=0.165,nonctx=0,respctx=1	0.0		0.0	0.0		2.0		0.0	0.0	0.0	0.0	0.0	True	DC				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.135588233704518	0.9971256078463696	0.0	0.0				0.0		False	True	False	False	False	False	False	False	True	True	True	3	1	gate_ms_anchor;gate_cross_disease_residual;gate_cell_resolved_response_or_transition;gate_response_specificity;gate_target_resolved_genetics_ge2;gate_broad_genetics_ge4;gate_real_perturbation_or_validated_model	NO_GO_MARKER_WITHOUT_RESIDUAL_OR_PERTURBATION_SUPPORT	expression/response signal lacks residualized controller evidence and validated perturbation direction					
FXYD5	gene	Only a non-depleting, barrier-preserving perturbation kill test could reopen this route.	novelty_not_blocked_safety_modality_unresolved	False	False	True	NO_GO_ACCESSIBLE_STATE_RERANK	4.852474686441386	directional_negative_context;weak_genetic_target_resolution;response_direction_conflict	PARK_REVIEW	10.5	0.3524746864413863	0.0587113391653537	0.8989378106274888	4.0	1.0	0.0	1.0	1.0	True	IBD_external_antitnf:g=-0.783,p=0.014,nonctx=4,respctx=0; RA_GSE198520_baseline_synovium:g=0.809,p=0.0197,nonctx=0,respctx=1; psoriasis_GSE85034_baseline_skin:g=0.35,p=0.491,nonctx=0,respctx=1	0.0		2.0	1.0		0.0		0.0	0.0	0.0	0.0	0.0	True	DC				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.2178873508531571	1.0	0.0	0.0				0.0		False	True	False	False	False	False	False	False	True	True	True	3	1	gate_ms_anchor;gate_cross_disease_residual;gate_cell_resolved_response_or_transition;gate_response_specificity;gate_target_resolved_genetics_ge2;gate_broad_genetics_ge4;gate_real_perturbation_or_validated_model	PARK_WETLAB_KILL_TEST_ONLY	route can only be reopened by target-specific wet-lab perturbation/safety test					
