sequence	phase	artifact_id	role	command	doc	primary_output	doc_exists	primary_output_exists	script_exists	observed_status	score_values_read
1	cold_start	current_action_card	Confirm the operator is still blocked only on external data and local guards are green.	.venv/bin/python scripts/v45_current_action_card.py --outdir analysis/v45_current_action_card	docs/validation/CURRENT_ACTION_CARD_V45.md	analysis/v45_current_action_card/current_action_card_summary.json	true	true	true	READY_AWAITING_EXTERNAL_DATA	false
2	cold_start	cold_start_operator_sequence	Run the cold-start sequence before touching a received or returned package.	.venv/bin/python scripts/v45_cold_start_operator_sequence.py --outdir analysis/v45_cold_start_operator_sequence	docs/validation/COLD_START_OPERATOR_SEQUENCE_V45.md	analysis/v45_cold_start_operator_sequence/cold_start_operator_sequence_summary.json	true	true	true	PASS	false
3	pre_touch_guard	package_manifest_shape_classifier	Classify the returned package from receipt manifest filenames and terms only.	.venv/bin/python scripts/v46_package_manifest_shape_classifier.py classify --manifest <receipt_manifest.tsv> --terms-class <TERMS_CLASS> --outdir analysis/v46_package_manifest_shape_classifier/<cohort>_<date> --fail-on-error	docs/validation/PACKAGE_MANIFEST_SHAPE_CLASSIFIER_V46.md	analysis/v46_package_manifest_shape_classifier/package_manifest_shape_synthetic_summary.json	true	true	true	PASS	false
4	first_30_minutes	first30_decision_table	Follow the first 30 minutes of package handling without reading score values.	.venv/bin/python scripts/v46_first30_returned_package_decision_table.py --outdir analysis/v46_first30_returned_package_decision_table --fail-on-error	docs/validation/FIRST30_RETURNED_PACKAGE_DECISION_TABLE_V46.md	analysis/v46_first30_returned_package_decision_table/first30_returned_package_decision_summary.json	true	true	true	PASS	false
5	first_30_minutes	first30_status_board	Summarize route, blocker, next command, and safe team wording without reading score values.	.venv/bin/python scripts/v46_first30_returned_package_status_board_dryrun.py --outdir analysis/v46_first30_returned_package_status_board_dryrun --fail-on-error	docs/validation/FIRST30_RETURNED_PACKAGE_STATUS_BOARD_DRYRUN_V46.md	analysis/v46_first30_returned_package_status_board_dryrun/first30_status_board_dryrun_summary.json	true	true	true	PASS	false
6	command_order	command_order_planner	Generate the route-specific command order using package-state and metric-format state.	.venv/bin/python scripts/v46_returned_package_command_order_planner.py plan --cohort-token <cohort>_<date> --package-root <returned_package_dir> --terms-capture <terms_capture_tsv> --terms-class <TERMS_CLASS> --package-kind author_run_aggregate --package-state <package_state> --metric-format-state <metric_format_state> --outdir analysis/v46_returned_package_command_order_planner/<cohort>_<date> --expect-status <PASS_or_BLOCKED>	docs/validation/RETURNED_PACKAGE_COMMAND_ORDER_PLANNER_V46.md	analysis/v46_returned_package_command_order_planner/returned_package_command_order_synthetic_summary.json	true	true	true	PASS	false
7	state_guard	state_transition_validator	Verify no report/score state is reachable before required gates and safe class.	.venv/bin/python scripts/v46_returned_package_state_transition_validator.py --outdir analysis/v46_returned_package_state_transition_validator --fail-on-error	docs/validation/RETURNED_PACKAGE_STATE_TRANSITION_VALIDATOR_V46.md	analysis/v46_returned_package_state_transition_validator/returned_package_state_transition_summary.json	true	true	true	PASS	false
8	interpretation_boundary	safe_interpretation_classifier	Assign the V46 safe class after all prerequisite gate summaries exist.	.venv/bin/python scripts/v46_returned_package_safe_interpretation.py classify --gate-summary <gate_summary> --schema-summary <schema_summary> --analyzable-summary <analyzable_summary> --metadata-summary <metadata_summary> --batch-confounder-summary <batch_summary> --terms-status PASS --outdir analysis/v46_returned_package_safe_interpretation/<cohort>_<date>	docs/validation/RETURNED_PACKAGE_SAFE_INTERPRETATION_V46.md	analysis/v46_returned_package_safe_interpretation/safe_interpretation_synthetic_summary.json	true	true	true	PASS	false
9	underpowered_language	small_n_language	Constrain wording for underpowered or partial-label returns.	.venv/bin/python scripts/v46_small_n_conclusion_language_table.py --outdir analysis/v46_small_n_conclusion_language	docs/validation/SMALL_N_CONCLUSION_LANGUAGE_V46.md	analysis/v46_small_n_conclusion_language/small_n_conclusion_language_summary.json	true	true	true	PASS	false
10	underpowered_language	analyzable_pair_confidence_envelope	Map analyzable-pair counts to pass/fail/inconclusive wording constraints.	.venv/bin/python scripts/v46_analyzable_pair_confidence_envelope.py --outdir analysis/v46_analyzable_pair_confidence_envelope --fail-on-error	docs/validation/ANALYZABLE_PAIR_CONFIDENCE_ENVELOPE_V46.md	analysis/v46_analyzable_pair_confidence_envelope/analyzable_pair_confidence_envelope_summary.json	true	true	true	PASS	false
11	repair_handoff	repair_request_templates	Draft safe author-facing repair requests for blocked returned-package states.	.venv/bin/python scripts/v46_return_repair_request_templates.py --outdir analysis/v46_return_repair_request_templates --fail-on-error	docs/validation/RETURN_REPAIR_REQUEST_TEMPLATES_V46.md	analysis/v46_return_repair_request_templates/return_repair_request_templates_summary.json	true	true	true	PASS	false
12	repair_handoff	first30_repair_template_coverage	Prove every first-30 stop route has local repair or a safe author-facing template.	.venv/bin/python scripts/v46_first30_repair_template_coverage_linter.py --outdir analysis/v46_first30_repair_template_coverage_linter --fail-on-error	docs/validation/FIRST30_REPAIR_TEMPLATE_COVERAGE_LINTER_V46.md	analysis/v46_first30_repair_template_coverage_linter/first30_repair_template_coverage_summary.json	true	true	true	PASS	false
13	report_guard	result_report_safe_class_linter	Ensure any report cites a safe class and avoids forbidden score language when blocked.	.venv/bin/python scripts/v46_result_report_safe_class_linter.py synthetic-check --outdir analysis/v46_result_report_safe_class_linter --fail-on-error	docs/validation/RESULT_REPORT_SAFE_CLASS_LINTER_V46.md	analysis/v46_result_report_safe_class_linter/result_report_safe_class_synthetic_summary.json	true	true	true	PASS	false
