gain_threshold_p10	viable_loss_threshold_p90	cytokine_fold_threshold_p90	n_passing_points	minimum_selectivity	minimum_debris_affinity	maximum_p10_gain	minimum_p90_viable_lost	best_point
1.4	0.1	1.2	922	23.71373705661655	0.0375605524422994	1.5810500210228449	0.0313634362985375	{'debris_affinity': 0.1640608242914804, 'selectivity_debris_over_viable': 562.341325190349, 'viable_affinity': 0.0002917459858315, 'dose': 4.190170906045426, 'median_debris_clearance_gain': 1.7558151387089298, 'p10_debris_clearance_gain': 1.5810500210228449, 'median_viable_lost': 0.0323529105827619, 'p90_viable_lost': 0.0455658384430153, 'median_cytokine_fold': 0.6408268941686945, 'p90_cytokine_fold': 0.7783504068279239, 'median_lipid_burden_fold': 0.3729752854143455, 'passes_safety_window': False}
1.4	0.1	1.5	922	23.71373705661655	0.0375605524422994	1.5810500210228449	0.0313634362985375	{'debris_affinity': 0.1640608242914804, 'selectivity_debris_over_viable': 562.341325190349, 'viable_affinity': 0.0002917459858315, 'dose': 4.190170906045426, 'median_debris_clearance_gain': 1.7558151387089298, 'p10_debris_clearance_gain': 1.5810500210228449, 'median_viable_lost': 0.0323529105827619, 'p90_viable_lost': 0.0455658384430153, 'median_cytokine_fold': 0.6408268941686945, 'p90_cytokine_fold': 0.7783504068279239, 'median_lipid_burden_fold': 0.3729752854143455, 'passes_safety_window': False}
1.5	0.02	1.1	0					{}
1.5	0.02	1.2	0					{}
1.5	0.02	1.5	0					{}
1.5	0.05	1.1	19	316.22776601683796	0.0706536577737033	1.5810500210228449	0.0360737197912545	{'debris_affinity': 0.1640608242914804, 'selectivity_debris_over_viable': 562.341325190349, 'viable_affinity': 0.0002917459858315, 'dose': 4.190170906045426, 'median_debris_clearance_gain': 1.7558151387089298, 'p10_debris_clearance_gain': 1.5810500210228449, 'median_viable_lost': 0.0323529105827619, 'p90_viable_lost': 0.0455658384430153, 'median_cytokine_fold': 0.6408268941686945, 'p90_cytokine_fold': 0.7783504068279239, 'median_lipid_burden_fold': 0.3729752854143455, 'passes_safety_window': False}
1.5	0.05	1.2	19	316.22776601683796	0.0706536577737033	1.5810500210228449	0.0360737197912545	{'debris_affinity': 0.1640608242914804, 'selectivity_debris_over_viable': 562.341325190349, 'viable_affinity': 0.0002917459858315, 'dose': 4.190170906045426, 'median_debris_clearance_gain': 1.7558151387089298, 'p10_debris_clearance_gain': 1.5810500210228449, 'median_viable_lost': 0.0323529105827619, 'p90_viable_lost': 0.0455658384430153, 'median_cytokine_fold': 0.6408268941686945, 'p90_cytokine_fold': 0.7783504068279239, 'median_lipid_burden_fold': 0.3729752854143455, 'passes_safety_window': False}
1.5	0.05	1.5	19	316.22776601683796	0.0706536577737033	1.5810500210228449	0.0360737197912545	{'debris_affinity': 0.1640608242914804, 'selectivity_debris_over_viable': 562.341325190349, 'viable_affinity': 0.0002917459858315, 'dose': 4.190170906045426, 'median_debris_clearance_gain': 1.7558151387089298, 'p10_debris_clearance_gain': 1.5810500210228449, 'median_viable_lost': 0.0323529105827619, 'p90_viable_lost': 0.0455658384430153, 'median_cytokine_fold': 0.6408268941686945, 'p90_cytokine_fold': 0.7783504068279239, 'median_lipid_burden_fold': 0.3729752854143455, 'passes_safety_window': False}
1.5	0.1	1.1	30	100.0	0.0706536577737033	1.5810500210228449	0.0360737197912545	{'debris_affinity': 0.1640608242914804, 'selectivity_debris_over_viable': 562.341325190349, 'viable_affinity': 0.0002917459858315, 'dose': 4.190170906045426, 'median_debris_clearance_gain': 1.7558151387089298, 'p10_debris_clearance_gain': 1.5810500210228449, 'median_viable_lost': 0.0323529105827619, 'p90_viable_lost': 0.0455658384430153, 'median_cytokine_fold': 0.6408268941686945, 'p90_cytokine_fold': 0.7783504068279239, 'median_lipid_burden_fold': 0.3729752854143455, 'passes_safety_window': False}
1.5	0.1	1.2	30	100.0	0.0706536577737033	1.5810500210228449	0.0360737197912545	{'debris_affinity': 0.1640608242914804, 'selectivity_debris_over_viable': 562.341325190349, 'viable_affinity': 0.0002917459858315, 'dose': 4.190170906045426, 'median_debris_clearance_gain': 1.7558151387089298, 'p10_debris_clearance_gain': 1.5810500210228449, 'median_viable_lost': 0.0323529105827619, 'p90_viable_lost': 0.0455658384430153, 'median_cytokine_fold': 0.6408268941686945, 'p90_cytokine_fold': 0.7783504068279239, 'median_lipid_burden_fold': 0.3729752854143455, 'passes_safety_window': False}
1.5	0.1	1.5	30	100.0	0.0706536577737033	1.5810500210228449	0.0360737197912545	{'debris_affinity': 0.1640608242914804, 'selectivity_debris_over_viable': 562.341325190349, 'viable_affinity': 0.0002917459858315, 'dose': 4.190170906045426, 'median_debris_clearance_gain': 1.7558151387089298, 'p10_debris_clearance_gain': 1.5810500210228449, 'median_viable_lost': 0.0323529105827619, 'p90_viable_lost': 0.0455658384430153, 'median_cytokine_fold': 0.6408268941686945, 'p90_cytokine_fold': 0.7783504068279239, 'median_lipid_burden_fold': 0.3729752854143455, 'passes_safety_window': False}
1.75	0.02	1.1	0					{}
1.75	0.02	1.2	0					{}
1.75	0.02	1.5	0					{}
1.75	0.05	1.1	0					{}
1.75	0.05	1.2	0					{}
1.75	0.05	1.5	0					{}
1.75	0.1	1.1	0					{}
1.75	0.1	1.2	0					{}
1.75	0.1	1.5	0					{}
2.0	0.02	1.1	0					{}
2.0	0.02	1.2	0					{}
2.0	0.02	1.5	0					{}
2.0	0.05	1.1	0					{}
2.0	0.05	1.2	0					{}
2.0	0.05	1.5	0					{}
2.0	0.1	1.1	0					{}
2.0	0.1	1.2	0					{}
2.0	0.1	1.5	0					{}
