candidate	source	mechanism	modality	source_call	base_score	support_summary	recommended_next_test	has_concrete_next_test	closure_reason	closed_or_blocked	no_go_source	concrete_bonus	closure_penalty	no_go_penalty	rerank_score
eicosanoid_receptors	wave83	Eicosanoid / leukotriene / prostaglandin sensors	NSAIDs, leukotriene modifiers, prostanoid receptor ligands, and LTA4H inhibitors provide chemical matter	NO_GO_INTERVENTION_CLASS_META_RANK	9.5	route_positive_disease_union_count=5.0; l1000_qval_hits=2.0	Leukotriene/prostaglandin immunology is crowded, directionally contradictory, and not selective for the V3 APC state.	True		False	True	0.5	0.0	-2.0	8.0
TREM1	wave91	inflammatory_nfkb		NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR	8.0	ibd=NONRESPONSE_HIGH_NOMINAL; ra=NO_SUPPORT; ms=MS_WM_NULL_OR_WEAK; wave62=nan	PARK_RECEPTOR_ROUTE_BUT_NO_LOCAL_MS_OR_GENETIC_ANCHOR	True		False	True	0.5	0.0	-2.0	6.5
IRF1	wave91	ifn_apc		NO_GO_RESPONSE_SIGNAL_NOT_SHARED_ACROSS_DISEASES	8.0	ibd=NONRESPONSE_HIGH_NOMINAL; ra=NO_SUPPORT; ms=MS_WM_NULL_OR_WEAK; wave62=NO_GO_WAVE62_TARGET_RESOLUTION	UNSPECIFIED_ROUTE_NOT_AUDITED	True		False	True	0.5	0.0	-2.0	6.5
IFI30_TARGETABILITY	wave83	IFI30 targetability shortlist route	benchmark_antigen_processing_no_clean_modality	NO_GO_INTERVENTION_CLASS_META_RANK	7.7	gate_count=5.0; ra_p=0.3778191741777486; ibd_p=0.6648210415593697	insufficient target-level convergence after strict gates	True		False	True	0.5	0.0	-2.0	6.199999999999999
CTSB	wave91	lysosomal_apc		NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR	7.5	ibd=NONRESPONSE_HIGH_NOMINAL; ra=NO_SUPPORT; ms=MS_WM_NULL_OR_WEAK; wave62=NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_BROAD_CATHEPSIN_HOST_DEFENSE_AND_PROTEASE_SELECTIVITY	True		False	True	0.5	0.0	-2.0	6.0
retinoid_vdr_rxr	wave83	Retinoid/RAR/RXR/VDR differentiation-barrier axis	retinoids, rexinoids, vitamin-D analogs, and VDR agonists exist	NO_GO_INTERVENTION_CLASS_META_RANK	7.1	route_positive_disease_union_count=4.0; l1000_qval_hits=0.0	Vitamin D, retinoic-acid, and RXR/RAR immunomodulation are very crowded and pleiotropic.	True		False	True	0.5	0.0	-2.0	5.6
IL7R_TARGETED_ROUTE	wave83	IL7R targeted autoimmune route	small molecule or biologic depending on target	NO_GO_INTERVENTION_CLASS_META_RANK	7.0	gate_pass=5/9	strict_ms_white_matter_anchor; real_perturbation_or_efferocytosis; module_specific_not_generic_immunology; prior_art_not_blocking	True		False	True	0.5	0.0	-2.0	5.5
RFX5	wave91	hla_ii_apc		NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR	7.0	ibd=NONRESPONSE_HIGH_WEAK; ra=NONRESPONSE_HIGH_NOMINAL; ms=MS_WM_NULL_OR_WEAK; wave62=nan	UNSPECIFIED_ROUTE_NOT_AUDITED	True		False	True	0.5	0.0	-2.0	5.5
ppar_lxr_lipid_nuclear	wave83	PPAR/LXR/RXR lipid nuclear receptors	approved PPAR agonists and preclinical LXR agonists exist; RXR agonists are pleiotropic	NO_GO_INTERVENTION_CLASS_META_RANK	6.8	route_positive_disease_union_count=2.0; l1000_qval_hits=2.0	Already demoted in Wave19 for mixed/negative local signal and saturated PPAR/LXR autoimmune/metabolic prior art.	True		False	True	0.5	0.0	-2.0	5.3
MED16_MEDIATOR_MODULE	wave83	drug Mediator regulatory machinery, ideally via a selective CDK8/19 or Mediator-module strategy	small molecule or genetic perturbation depending on route	NO_GO_INTERVENTION_CLASS_META_RANK	6.6	selectivity=2.3051173986620066; target_vs_ifn=2.3416465218333142	The real Med16_KO signal is strong, but the route lacks a target-specific MS anchor and a safe selective druggable handle; practical Mediator/CDK8/19 modulation risks broad transcriptional or oncology-like toxicity.	True		False	True	0.5	0.0	-2.0	5.1
