timestamp_utc	database	class	disease_scope	query	hit_count	closest_prior_art_or_top_results	url	worker_interpretation
2026-05-27	EuropePMC	CTSS_cathepsinS	pan_autoimmune	"cathepsin S inhibitor" autoimmune	94	MED:41223760 Evaluation of LY3000328 on autoimmune diabetes in mice; MED:39739628 cathepsin S inhibitor in celiac disease; MED:36864622 cathepsin S inhibitor in primary Sjogren syndrome	https://europepmc.org/search?query=%22cathepsin+S+inhibitor%22+autoimmune	Direct intervention lane is saturated and includes autoimmune clinical testing.
2026-05-27	EuropePMC_preprint	CTSS_cathepsinS	preprints	"cathepsin S inhibitor" autoimmune SRC:PPR	1	PPR556367 atopic dermatitis GWAS meta-analysis; no direct therapeutic white-space support	https://europepmc.org/search?query=%22cathepsin+S+inhibitor%22+autoimmune+SRC%3APPR	Preprint search did not rescue novelty.
2026-05-27	ClinicalTrials.gov	CTSS_cathepsinS	trials	cathepsin S autoimmune	2	NCT00425321 active RA RWJ-445380; NCT01947738 VBY-891 healthy volunteer safety	https://clinicaltrials.gov/search?term=cathepsin+S+autoimmune	Clinical trial prior art blocks a broad cathepsin-S autoimmune claim.
2026-05-27	PubMed	CTSS_cathepsinS	Sjogren	"cathepsin S inhibitor" Sjogren	4	PMID:36864622 randomized cathepsin-S inhibitor study in primary Sjogren syndrome	https://pubmed.ncbi.nlm.nih.gov/?term=%22cathepsin+S+inhibitor%22+Sjogren	Direct Sjogren prior art is blocking.
2026-05-27	PubMed	CTSS_cathepsinS	celiac	"cathepsin S inhibitor" celiac	1	PMID:39739628 randomized cathepsin-S inhibitor study in celiac disease	https://pubmed.ncbi.nlm.nih.gov/?term=%22cathepsin+S+inhibitor%22+celiac	Direct celiac prior art is blocking.
2026-05-27	PubMed	CTSS_cathepsinS	RA	"cathepsin S inhibitor" rheumatoid arthritis	5	PMID:21439785 orally active selective cathepsin-S inhibitor suppresses disease in autoimmunity models; RA clinical trial also present in ClinicalTrials.gov	https://pubmed.ncbi.nlm.nih.gov/?term=%22cathepsin+S+inhibitor%22+rheumatoid+arthritis	RA cathepsin-S therapeutic concept is not novel.
2026-05-27	PubMed	CTSS_cathepsinS	MS	"cathepsin S" "multiple sclerosis"	23	PMID:38923513 cathepsin S as immunological-activity marker in RRMS; multiple biomarker/model records	https://pubmed.ncbi.nlm.nih.gov/?term=%22cathepsin+S%22+%22multiple+sclerosis%22	MS biology is known; not enough for a new target claim.
2026-05-27	GooglePatents	CTSS_cathepsinS	pan_autoimmune	cathepsin S inhibitor autoimmune disease	NA_browser	EP0912601B2 covers cathepsin-S inhibition to suppress class-II MHC immune responses and lists MS, T1D, Graves, MG, SLE, RA, Hashimoto; US8227468B2 lists RA, psoriasis, lupus	https://patents.google.com/patent/EP0912601B2/en	Blocking patent prior art for autoimmune CTSS inhibition.
2026-05-27	Espacenet	CTSS_cathepsinS	pan_autoimmune	cathepsin S inhibitor autoimmune disease	NA_browser	Search page recorded; no independent counts used	https://worldwide.espacenet.com/patent/search?q=cathepsin%20S%20inhibitor%20autoimmune%20disease	Use only as patent-search trace; Google Patents gave clearer prior art.
2026-05-27	PubMed	CTSB_CTSL	MS	"cathepsin B" "multiple sclerosis"	20	PMID:39420987 cathepsins and neurological diseases MR study; PMID:38909243 microglial CTSB/lipophagy in demyelination model	https://pubmed.ncbi.nlm.nih.gov/?term=%22cathepsin+B%22+%22multiple+sclerosis%22	Biology exists; no selective autoimmune intervention white space.
2026-05-27	PubMed	CTSB_CTSL	pan_autoimmune	"cathepsin B" autoimmune	50	Top records include broad autoimmune/inflammatory contexts; no clean selective therapeutic lead	https://pubmed.ncbi.nlm.nih.gov/?term=%22cathepsin+B%22+autoimmune	Broad cathepsin biology, poor selectivity.
2026-05-27	PubMed	CTSB_CTSL	pan_autoimmune	"cathepsin L" autoimmune	45	Top records include MHC-II antigen-processing and autoimmune-regulator contexts	https://pubmed.ncbi.nlm.nih.gov/?term=%22cathepsin+L%22+autoimmune	Broad cathepsin biology, poor selectivity.
2026-05-27	ClinicalTrials.gov	CTSB_CTSL	trials	cathepsin B autoimmune	1	NCT01947738 VBY-891 healthy-volunteer cathepsin inhibitor safety	https://clinicaltrials.gov/search?term=cathepsin+B+autoimmune	Little direct clinical autoimmune tractability beyond CTSS-like class risk.
2026-05-27	PubMed	IFI30_GILT	MS	(IFI30 OR GILT) "multiple sclerosis"	6	PMID:32738499 IFI30 variant association with MS onset/severity; PMID:32196808 rare variants in MS susceptibility genes	https://pubmed.ncbi.nlm.nih.gov/?term=%28IFI30+OR+GILT%29+%22multiple+sclerosis%22	Best as MS axis marker, not cross-autoimmune drug target.
2026-05-27	EuropePMC	IFI30_GILT	pan_autoimmune	IFI30 autoimmune	403	MED:41668326 IFI30 biomarker in ANCA glomerulonephritis; MED:40152123 autoimmune optic neuritis STAT1/IFI30; melanoma MHC-II/PD-L1 mechanism record	https://europepmc.org/search?query=IFI30+autoimmune	Broad biomarker/mechanism literature but no mature intervention class.
2026-05-27	EuropePMC_preprint	IFI30_GILT	preprints	IFI30 autoimmune SRC:PPR	14	Preprints include Sjogren proteomics and MS plasma proteomics; no direct drug claim	https://europepmc.org/search?query=IFI30+autoimmune+SRC%3APPR	Preprints reinforce biomarker status.
2026-05-27	PubMed	IFI30_GILT	EAE_MOG	GILT MOG experimental autoimmune encephalomyelitis	2	PMID:22586035 GILT-free mice switch pathogenic mechanism in MOG EAE; PMID:22392628 GILT required for RTL550-CYS-MOG therapy	https://pubmed.ncbi.nlm.nih.gov/?term=GILT+MOG+experimental+autoimmune+encephalomyelitis	Direction is biologically complicated; direct inhibition could backfire.
2026-05-27	ClinicalTrials.gov	IFI30_GILT	trials	IFI30	1	NCT00134693 unrelated SB-681323/prednisolone protein-marker study returned by term search	https://clinicaltrials.gov/search?term=IFI30	No mature IFI30-targeted clinical program found.
2026-05-27	GooglePatents	IFI30_GILT	pan_autoimmune	IFI30 GILT autoimmune disease therapeutic	NA_browser	No clean IFI30/GILT autoimmune therapeutic patent found in first-page search; hits were mostly unrelated broad immunology	https://patents.google.com/?q=IFI30+GILT+autoimmune+disease+therapeutic	Patent space does not block as strongly as druggability and uncertain direction do.
2026-05-27	PubMed	HLA_DM	pan_autoimmune	("HLA-DM" OR HLA-DMA OR HLA-DMB) autoimmune	73	PMID:42096071 human pancreatic ductal cells as nonprofessional APCs under cytokines; autoimmune transcriptome records	https://pubmed.ncbi.nlm.nih.gov/?term=%28%22HLA-DM%22+OR+HLA-DMA+OR+HLA-DMB%29+autoimmune	Known antigen-editing biology; not an accessible target.
2026-05-27	PubMed	HLA_DM	celiac	"HLA-DM" celiac disease	6	PMID:30926644 HLA-DQ2 epitope selection; PMID:22805744 peptide-loading regulation in celiac disease and T1D	https://pubmed.ncbi.nlm.nih.gov/?term=%22HLA-DM%22+celiac+disease	Strong disease biology but no clear intervention modality.
2026-05-27	PubMed	HLA_DM	MS	"HLA-DM" "multiple sclerosis"	9	PMID:32010139 protective MS HLA-DRB1 allele peptide-loading kinetics; PMID:31201628 MHC-II loading and MS resistance	https://pubmed.ncbi.nlm.nih.gov/?term=%22HLA-DM%22+%22multiple+sclerosis%22	Mechanistic background; not a clean druggable node.
2026-05-27	ClinicalTrials.gov	HLA_DM	trials	HLA-DM	18	Mostly noisy records unrelated to HLA-DM modulation; no specific HLA-DM autoimmune intervention identified	https://clinicaltrials.gov/search?term=HLA-DM	Clinical translation appears absent or nonspecific.
2026-05-27	GooglePatents	HLA_DM	pan_autoimmune	HLA-DM autoimmune therapeutic	NA_browser	US5985547A covers HLA-DMB mutation and suggests inhibiting DM beta for autoimmune diseases including diabetes, dermatitis, RA, MS, MG, SLE	https://patents.google.com/patent/US5985547A/en	Old patent prior art constrains HLA-DM-as-therapy novelty.
2026-05-27	GooglePatents	CIITA_HLAII_gate	pan_autoimmune	CIITA MHC class II inhibitor autoimmune	NA_browser	US5672473A covers CIITA-dependent transcription inhibitor discovery for autoimmune disease; US6365616B1 links CIITA/YB-1 aberrant class-II expression to autoimmune thyroid disease	https://patents.google.com/patent/US5672473A	Direct CIITA/MHC-II inhibitor concept is old and broad.
2026-05-27	PubMed	CD74_MIF	MS	"CD74" MIF "multiple sclerosis"	21	PMID:42018964 MIF tautomerase inhibition protects neurons from immune-mediated death; PMID:28923927 MIF/D-DT as MS severity modifiers; PMID:16237048 MIF necessary for EAE progression	https://pubmed.ncbi.nlm.nih.gov/?term=%22CD74%22+MIF+%22multiple+sclerosis%22	MS/EAE CD74/MIF axis is crowded.
2026-05-27	EuropePMC	CD74_MIF	pan_autoimmune	"CD74" MIF autoimmune	1004	Records include MIF/CD74 inflammatory disease mechanisms and therapeutic reviews	https://europepmc.org/search?query=%22CD74%22+MIF+autoimmune	Pan-autoimmune novelty is weak.
2026-05-27	EuropePMC_preprint	CD74_MIF	preprints	"CD74" MIF autoimmune SRC:PPR	16	Preprints include rheumatoid fibroblast-myeloid interactions and other immune contexts	https://europepmc.org/search?query=%22CD74%22+MIF+autoimmune+SRC%3APPR	Preprint space is active; no clean white-space claim.
