gene	scope	axis	ot_n_diseases_score_ge_0_5	ot_diseases_score_ge_0_5	ot_n_diseases_score_ge_0_8	ot_diseases_score_ge_0_8	ot_max_score	target_level_genetics_call	coloc_mr_blocker	allele_direction	target_tissue	broad_positive_disease_count	broad_positive_diseases	broad_negative_disease_count	broad_negative_diseases	ms_wm_delta_log2	perturbation_evidence	wave20_prior_gate	wave20_gate_failures	europepmc_hit_count	clinicaltrials_hit_count	public_chembl_activity_records	local_chembl_activity_values_nM_count	local_chembl_best_standard_value_nM	uniprot_accession	current_feasible_modality	speculative_restoration	modality_precedent	target_selective_restoration	restoration_direction	restoration_modality_score	safety	hard_blocker	needed_to_reopen
GPR65	prompt	acidic tissue pH-sensing GPCR / cAMP brake	5	AS;Crohn;MS;Psoriasis;UC	2	Crohn;UC	0.904011845588684	no_go	broad disease locus evidence exists but is not target-level causal evidence; GTEx cis-eQTL exists but full SNP-level eQTL summary stats were not downloaded; no paired disease GWAS summary stats and eQTL/pQTL summary files were available locally for multi-signal coloc; OpenGWAS endpoint returned auth barrier in this run; local GWAS Catalog parquet lacks an installed reader; disease-direction conflict remains unresolved	IBD-focused variant biology supports reduced GPR65 function as risk; local audit still lacks disease-by-cell coloc.	inflamed gut and acidic tissue myeloid/T-cell compartments; possible epithelial-adjacent immune niches	1	Sjogren syndrome	2	type 1 diabetes mellitus;ulcerative colitis	0.09040507812532	Wave20 manual perturbation score 2.0	NO_GO	blocking or near-blocking prior art for autoimmune use	302	0	99	0			selective small-molecule agonist/PAM is a feasible GPCR modality; ChEMBL and patents indicate chemistry exists.	biomarker-gated agonism in non-IBD autoimmune tissue or compartment-targeted exposure remains speculative.	GPCR small molecules; GPR65 autoimmune/IBD modulator patent precedent.	partial	agonize or positively modulate GPR65 if risk alleles reduce the anti-inflammatory pH/cAMP response	2.0	risk of broad immune suppression or tissue-pH biology effects; direction depends on preserving host defense and not amplifying maladaptive cAMP states.	current modality class is plausible, but local support is weak/contradictory and IBD/GPR65 prior art is already direct.	fine-mapped non-IBD coloc plus selective agonist/PAM rescue in human disease myeloid or epithelial-immune systems.
IL10	prompt	IL-10 regulatory cytokine tolerance	7	AS;Crohn;Psoriasis;RA;SLE;T1D;UC	7	AS;Crohn;Psoriasis;RA;SLE;T1D;UC	0.9671173095703124	locus_only_or_coloc_ready_not_run	broad local locus evidence; secreted cytokine genetics does not define a new target-level autoimmune use	IL10 loss of function is immunoregulatory failure; common-locus direction is not target-resolved locally.	intestinal lamina propria, macrophage/DC/Treg circuits, and other inflamed tissue immune niches	0		0		0.5386340709389863	Wave20 manual perturbation score 2.0	NO_GO	target-level coloc/MR signal not established; blocking or near-blocking prior art for autoimmune use	92281	5	0	0			recombinant or engineered IL-10/IL10R agonism is feasible as a biologic modality.	compartment-targeted IL-10, matrix/fibronectin-targeted IL-10, or gene/cell-local IL-10 delivery is still not a validated cross-autoimmune route here.	systemic recombinant IL-10 and localized/engineered IL-10 concepts have autoimmune/IBD precedent.	partial	increase IL-10 pathway signaling in the right inflammatory compartment	2.0	systemic cytokine exposure can be nonselective; efficacy and dose-limiting immune effects are historical concerns.	restoration modality exists, but direct prior art and lack of local biomarker delta block a new V3 claim.	localized IL-10 delivery with responder biomarker and human disease-cell rescue outside saturated IBD prior art.
PTPN2	prompt	TCPTP cytokine/TCR and epithelial-barrier brake	8	AS;Celiac;Crohn;Psoriasis;RA;SLE;T1D;UC	4	Crohn;Psoriasis;RA;T1D	0.900806963443756	no_go	broad disease locus evidence exists but is not target-level causal evidence; GTEx cis-eQTL exists but full SNP-level eQTL summary stats were not downloaded; no paired disease GWAS summary stats and eQTL/pQTL summary files were available locally for multi-signal coloc; OpenGWAS endpoint returned auth barrier in this run; local GWAS Catalog parquet lacks an installed reader; autoimmune therapeutic direction is restoration/activation, not straightforward inhibition	local Wave14 calls direction likely restoration; published biology links PTPN2 loss of function with inflammatory/autoimmune risk.	T cells, myeloid cells, intestinal epithelium/barrier tissue, thyroid/immune interfaces	4	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0		-0.0059418057306839	Wave20 manual perturbation score 2.5	NO_GO	not druggable now for the required autoimmune direction; blocking or near-blocking prior art for autoimmune use	1332	1	1279	0			no target-selective TCPTP activator/restorer in local ChEMBL/Wave20 evidence; inhibitor chemistry is abundant but wrong direction.	mRNA, gene correction, allele repair, targeted protein stabilization, or pathway-bypass restoration.	PTPN2/PTPN1 inhibitors and degraders for oncology, not autoimmune restoration.	no	restore or increase TCPTP function; inhibition is directionally wrong for autoimmune genetics.	0.25	restoration would need cell-selective tuning; global PTPN2 manipulation touches cytokine signaling, TCR signaling, and barrier homeostasis.	correct direction is restoration, but no current target-selective modality can restore TCPTP in the relevant compartments.	true TCPTP activator/restorer or allele-correcting delivery plus human disease-cell rescue and coloc.
TNFAIP3	prompt	A20 ubiquitin-editing NF-kappaB/TNF/TLR brake	7	AS;Crohn;Psoriasis;RA;SLE;Sjogren;UC	7	AS;Crohn;Psoriasis;RA;SLE;Sjogren;UC	0.953155279159546	no_go	broad disease locus evidence exists but is not target-level causal evidence; no significant GTEx cis-eQTL detected in queried relevant tissues; no paired disease GWAS summary stats and eQTL/pQTL summary files were available locally for multi-signal coloc; OpenGWAS endpoint returned auth barrier in this run; local GWAS Catalog parquet lacks an installed reader; target-level direction likely requires restoration of A20 function, not simple antagonism	human haploinsufficiency and locus biology point to insufficient A20/NF-kappaB braking; local GTEx panel lacked a usable cis-eQTL.	broad immune cells, epithelial/stromal inflammatory interfaces, keratinocytes and gut tissue depending on disease	3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	1	psoriasis	0.328353196360478	Wave20 manual perturbation score 2.0	NO_GO	target-level coloc/MR signal not established; not druggable now for the required autoimmune direction; blocking or near-blocking prior art for autoimmune use	8401	1	0	0			no direct A20 function-restoring small molecule or targeted biologic in local evidence.	gene replacement, mRNA, protein stabilization, E3/DUB complex modulation, or downstream NF-kappaB pathway mimicry.	downstream anti-TNF/NF-kappaB pathway drugs exist, but they are not target-selective A20 restoration.	no	restore A20 function or mimic its negative-feedback complex.	0.25	A20 is broad and tumor-suppressor-adjacent in some contexts; systemic restoration or bypass could be hard to titrate.	strong restoration biology but no current target-selective A20 restoration modality.	selective A20 stabilizer/restorer with immune-cell target engagement and target-level genetic direction.
CLEC16A	prompt	CLEC16A mitophagy/autophagy quality control	7	Crohn;MS;PBC;Psoriasis;RA;SLE;T1D	0		0.7454372644424438	no_go	broad disease locus evidence exists but is not target-level causal evidence; GTEx cis-eQTL exists but full SNP-level eQTL summary stats were not downloaded; no paired disease GWAS summary stats and eQTL/pQTL summary files were available locally for multi-signal coloc; OpenGWAS endpoint returned auth barrier in this run; local GWAS Catalog parquet lacks an installed reader; 16p13 locus has nearby CIITA/DEXI/SOCS1 ambiguity	direction is plausible hypofunction/restoration but not resolved locally; 16p13 locus is ambiguous with CIITA/DEXI/SOCS1.	immune cells, pancreatic beta-cell stress circuits, CNS/glial contexts, and tissue-specific endolysosomal quality control	1	Crohn disease	0		0.1097171053941039	Wave20 manual perturbation score 2.0	NO_GO	target-level coloc/MR signal not established; not druggable now for the required autoimmune direction	667	0	0	0			no selective direct CLEC16A drug; only broad indirect mitophagy/autophagy modulators.	cell-selective mitophagy tuning, targeted gene/mRNA replacement, or precise downstream pathway restoration.	repurposed autophagy/mitophagy modulation concepts, not direct CLEC16A target engagement.	no	restore CLEC16A-linked mitophagy/autophagy if risk alleles cause hypofunction.	0.5	broad autophagy modulation can affect survival, antigen handling, infection, and tissue stress responses.	correct direction may be restoration, but current tools are indirect and not target-selective; locus causality is unresolved.	fine mapping separating CLEC16A from neighboring genes plus selective CLEC16A/mitophagy rescue in disease-relevant cells.
ATG16L1	prompt	autophagy/xenophagy epithelial-immune stress handling	8	AITD;AS;Celiac;Crohn;Psoriasis;SLE;T1D;UC	8	AITD;AS;Celiac;Crohn;Psoriasis;SLE;T1D;UC	0.8641783595085144	locus_only_or_coloc_ready_not_run	broad local locus evidence, but target-level direction and disease tissue vary	ATG16L1 T300A/Crohn biology supports reduced autophagy function, but local cross-disease direction is not target-resolved.	intestinal epithelium/Paneth cells, macrophages, bacterial handling compartments, and gut immune niches	0		0		-0.0960188702877271	Wave20 manual perturbation score 2.0	NO_GO	target-level coloc/MR signal not established; not druggable now for the required autoimmune direction	723	0	0	0			no selective ATG16L1 restoration drug; pathway autophagy modulators are broad.	allele-specific correction, targeted protein stabilization, or compartment-selective autophagy enhancement.	autophagy enhancers/repurposed pathway modulators, not ATG16L1-selective restoration.	no	restore autophagy/xenophagy in hypomorphic risk-variant carriers.	0.5	global autophagy enhancement or suppression has infection, cancer, epithelial stress, and immune-processing liabilities.	restoration direction is plausible, but no current modality restores ATG16L1 selectively in gut/immune compartments.	ATG16L1-selective target engagement or allele-correcting strategy plus gut/immune rescue data.
SH2B3	prompt	LNK hematopoietic cytokine/JAK adaptor brake	10	AITD;AS;Celiac;Crohn;MS;PBC;Psoriasis;RA;T1D;UC	9	AITD;AS;Celiac;Crohn;MS;Psoriasis;RA;T1D;UC	0.9461422562599182	no_go	broad disease locus evidence exists but is not target-level causal evidence; GTEx cis-eQTL exists but full SNP-level eQTL summary stats were not downloaded; no paired disease GWAS summary stats and eQTL/pQTL summary files were available locally for multi-signal coloc; OpenGWAS endpoint returned auth barrier in this run; local GWAS Catalog parquet lacks an installed reader; 12q24 locus is highly pleiotropic across hematopoietic/immune traits	local genetics are broad, but 12q24 pleiotropy prevents a clean allele-to-target direction; restoration is the likely negative-regulator hypothesis.	hematopoietic stem/progenitor, T-cell, myeloid, platelet, and vascular-adjacent blood compartments	1	ulcerative colitis	0		-0.150958184932211	Wave20 manual perturbation score 1.5	NO_GO	target-level coloc/MR signal not established; not druggable now for the required autoimmune direction; real perturbation or strong model support is insufficient	1412	0	0	0			no direct adaptor-function restoration modality.	gene editing/replacement, protein interaction stabilization, or downstream cytokine-pathway tuning.	downstream JAK/cytokine inhibitors exist, but those do not restore LNK itself.	no	restore LNK/SH2B3 negative-regulatory adaptor function.	0.25	hematopoietic, platelet, vascular, and cytokine pleiotropy make systemic restoration risky and hard to disease-target.	broad genetics but no current target-selective restoration modality and substantial pleiotropy.	target-resolved coloc/MR independent of 12q24 pleiotropy plus an LNK-restoring delivery concept.
CARD9	prompt	CARD9 innate fungal/NF-kappaB adaptor	4	AS;Crohn;Psoriasis;UC	4	AS;Crohn;Psoriasis;UC	0.8789491653442383	locus_only_or_coloc_ready_not_run	local locus support reaches four diseases, but target-level druggability is poor	local locus support is IBD/AS/psoriasis/UC-focused; CARD9 loss-of-function biology creates infectious risk, so restoration vs inhibition is not simple.	myeloid cells, gut innate immune/fungal sensing niches	2	psoriasis;type 1 diabetes mellitus	0		-0.4691972101237329	Wave20 manual perturbation score 1.5	NO_GO	target-level coloc/MR signal not established; not druggable now for the required autoimmune direction; real perturbation or strong model support is insufficient	1542	1	0	0			no direct CARD9-restoring or target-selective adaptor modality.	microbiome/fungal axis modulation or protein-interaction tuning.	no local ChEMBL direct target evidence; infection genetics dominate safety thinking.	no	not cleanly restoration; allele/context may require pathway normalization while preserving antifungal immunity.	0.0	antifungal immunity and innate NF-kappaB liabilities are central.	direction is not a clean restoration hypothesis and no direct modality exists.	allele-specific disease mechanism and selective myeloid pathway-normalization data.
IRF5	prompt	TLR7/8/9-IRF5 inflammatory transcriptional switch	9	AS;Crohn;MS;PBC;Psoriasis;RA;SLE;Sjogren;UC	9	AS;Crohn;MS;PBC;Psoriasis;RA;SLE;Sjogren;UC	0.9188385009765624	no_go	broad disease locus evidence exists but is not target-level causal evidence; GTEx cis-eQTL exists but full SNP-level eQTL summary stats were not downloaded; no paired disease GWAS summary stats and eQTL/pQTL summary files were available locally for multi-signal coloc; OpenGWAS endpoint returned auth barrier in this run; local GWAS Catalog parquet lacks an installed reader	broad locus evidence; plausible risk direction is increased IRF5 pathway activation, but local target-level coloc/MR is not completed.	monocytes, macrophages, dendritic cells, B cells, lupus/Sjogren-like IFN niches	0		0		-0.160335979633075	Mixscale_CRISPRi: null_or_wrong_direction; selectivity=-0.00363	NO_GO	blocking or near-blocking prior art for autoimmune use	3523	1	0	0			current inhibitor/degrader programs exist; they are inhibitors, not restoration modalities.	not applicable for this prompt except as pathway comparator.	small-molecule allosteric inhibitors and degraders reported publicly in lupus-relevant systems.	not_applicable	not restoration; genetic and pharmacology precedent point to reducing IRF5 activation in IRF5/TLR-high disease.	0.0	host defense and broad type-I-IFN/TLR biology risks; heavy lupus prior art.	not a restoration target; inhibitor route is feasible but saturated and close to generic TLR/IFN biology.	non-lupus biomarker population and freedom-to-operate beyond active IRF5 inhibitor/degrader programs.
IL6R	prompt	IL-6 receptor inflammatory cytokine signaling	5	AS;Crohn;Psoriasis;RA;UC	5	AS;Crohn;Psoriasis;RA;UC	0.901661455631256	locus_only_or_coloc_ready_not_run	local locus evidence in five diseases; public druggability is established	therapeutic genetic direction is blockade/reduced IL-6 signaling, not restoring a brake.	broad immune, liver/acute-phase, stromal and synovial inflammatory compartments	0		2	psoriasis;ulcerative colitis	0.3662122714747209	Wave20 manual perturbation score 2.5	NO_GO	target-level coloc/MR signal not established; blocking or near-blocking prior art for autoimmune use	31334	5	0	0			approved anti-IL6R biologics are feasible but are inhibitors/blockers.	not applicable.	tocilizumab/sarilumab class and biosimilars; autoimmune use is direct prior art.	not_applicable	not restoration; protective biology and approved drugs point to IL-6R blockade.	0.0	infection risk, lab monitoring, GI perforation and broad cytokine-blockade liabilities by class.	feasible current modality is blockade, not restoration, and the autoimmune target class is fully prior-arted.	not a restoration-first candidate unless a distinct genetically defined agonism story emerges.
TYK2	prompt	TYK2 IL-12/23/type-I-IFN cytokine kinase	7	AITD;Crohn;PBC;Psoriasis;RA;SLE;T1D	7	AITD;Crohn;PBC;Psoriasis;RA;SLE;T1D	0.9417080283164978	coloc_or_mr_ready	public coloc/MR-ready evidence exists, but this is generic JAK/IFN-family biology	protective loss-of-function/inhibition logic is established externally; local Wave20 treated it as generic JAK/IFN comparator.	hematopoietic cytokine signaling across T cells, myeloid cells, dendritic cells, and skin/gut immune niches	2	psoriasis;type 1 diabetes mellitus	0		-0.0976695299908261	Mixscale_CRISPRi: broad_ifn_jak_like_collapse; selectivity=-0.405	NO_GO	explicitly excluded: generic JAK/IFN-family route; no new modality/population delta found; blocking or near-blocking prior art for autoimmune use	5230	5	17132	0			approved/clinical allosteric and ATP-competitive inhibitors.	not applicable.	deucravacitinib and other TYK2 inhibitor programs.	not_applicable	not restoration; protective genetics and approved/clinical precedent support inhibition.	0.0	infection, malignancy/lab-monitoring concerns by cytokine-kinase class; broad JAK/IFN route.	not a restoration target and explicitly excluded as generic JAK/IFN without a new modality/population delta.	no restoration reopen; only a new biomarker-defined TYK2 inhibitor delta could be separately reviewed.
OSMR	local_addition_wave20	OSM/OSMR tissue inflammatory remodeling comparator	4	AS;Crohn;Psoriasis;UC	4	AS;Crohn;Psoriasis;UC	0.8531019687652588	locus_only_or_coloc_ready_not_run	local OT locus support reaches four diseases but prior V3 notes demoted OSMR as UC/IBD-heavy	local OT support reaches four diseases but is locus-level and not directionally resolved for restoration.	stromal, epithelial, fibroblast-like and tissue-remodeling inflammatory compartments	1	psoriasis	0		-0.1853364301887587	Wave20 manual perturbation score 1.5	NO_GO	target-level coloc/MR signal not established; real perturbation or strong model support is insufficient	597	0	0	0			anti-OSM/anti-OSMR biologic concept is feasible but inhibitory.	not applicable.	OSM/OSMR inflammatory tissue remodeling literature and biologic concepts.	not_applicable	not restoration; if anything the current modality concept is OSM/OSMR blockade.	0.0	tissue repair/remodeling biology and disease-specific direction risks.	locally justified comparator, but not a restoration target and previously demoted as IBD/tissue-remodeling prior art.	separate blockade-focused biomarker delta; not this restoration scout.
SLC15A4	local_addition_endolysosomal	endolysosomal TLR/SLC15A4-TASL pathway	1	SLE	1	SLE	0.8919162750244141	no_go	disease genetics is limited to fewer than four diseases at score>=0.5; GTEx cis-eQTL exists but full SNP-level eQTL summary stats were not downloaded; no paired disease GWAS summary stats and eQTL/pQTL summary files were available locally for multi-signal coloc; OpenGWAS endpoint returned auth barrier in this run; local GWAS Catalog parquet lacks an installed reader	local genetics are SLE-heavy and limited; direction does not support broad restoration.	pDC, B-cell and myeloid endolysosomal TLR compartments	1	Crohn disease	0		0.3321058626556699	no direct local perturbation row			0	0	0	0			SLC15A4 inhibitor chemistry exists publicly, but that is not restoration.	not applicable.	chemoproteomic SLC15A4 inhibitor prior art and lupus/TLR pathway saturation.	not_applicable	not restoration; therapeutic concept is inhibition of the TLR7/8/9-IRF5 branch.	0.0	endolysosomal innate immune suppression and host-defense risk.	local endolysosomal comparator, but correct pharmacology is inhibition and genetics breadth is limited.	not a restoration candidate; only inhibitor novelty could be reviewed separately.
TASL	local_addition_endolysosomal	SLC15A4 adaptor / CXorf21-TASL endolysosomal TLR pathway	2	RA;SLE	2	RA;SLE	0.8853315114974976	no_go	disease genetics is limited to fewer than four diseases at score>=0.5; GTEx cis-eQTL exists but full SNP-level eQTL summary stats were not downloaded; no paired disease GWAS summary stats and eQTL/pQTL summary files were available locally for multi-signal coloc; OpenGWAS endpoint returned auth barrier in this run; local GWAS Catalog parquet lacks an installed reader	local locus evidence is RA/SLE only and X-linked/sparse; no restoration direction.	pDC, B-cell and myeloid endolysosomal TLR compartments	1	Sjogren syndrome	0			no direct local perturbation row			0	0	0	0			no direct TASL restoration modality; pathway inhibition would be the relevant comparator.	not applicable.	SLC15A4/TASL lupus/TLR biology prior art.	not_applicable	not restoration; pathway concept is dampening TASL-dependent TLR/IRF signaling.	0.0	host-defense and innate immune suppression liabilities if inhibited; no restoration rationale.	locally justified endolysosomal comparator, but not a restoration target and genetics breadth is limited.	not a restoration candidate.
