disease	channel	modality	cell_or_tissue	ifn_apc	lysosomal_apc	lipid_loader_repair	hif_nampt_metabolic	complement_phagocytosis	myeloid_specificity	evidence_level	key_nodes	notes
MS	GSE111972	new_local_analysis	sorted_microglia_normal_appearing_white_matter	partial	partial	strong	weak	weak	strong	quantitative	GPNMB;CTSD;HLA-DPA1;MSR1	Lipid-loader/repair module FDR 0.0264; lysosomal module nominal FDR 0.103; IFI30 not significant; NAMPT negative direction.
MS	GSE279972_GSE301908_GSE284005	prior_local_analysis	lesion_proteome_snRNA_spatial	partial	strong	partial	partial	partial	partial	quantitative	GPNMB;IFI30;TPP1;LAMP1;CTSD;NAMPT	MS-specific evidence from prior V2/V3 supports lesion-associated lysosomal/AP and lipid-associated states, but compartment and cell specificity vary.
RA	subagent_review	public_literature_and_local	confounded_macrophage_bulk_plus_synovium_scRNA	strong	partial	partial	partial	strong	strong	reviewed	SPP1;STAT1;CCL2;C1Q;MERTK;TREM2;C1QBP;SARM1	RA has inflammatory SPP1/STAT1 macrophages and resident C1Q/MERTK/TREM2 macrophages; local GSE97779 contrast is confounded.
SLE_LN	local_v2_and_subagent	bulk_kidney_and_sorted_blood	myeloid_and_kidney	strong	strong	partial	partial	strong	partial	quantitative	C1QA;C1QB;IFI30;LIPA;CXCL10;GPNMB;TREM2	Lupus nephritis and sorted SLE myeloid data support disease-associated macrophage/monocyte states with IFN/AP and lysosomal genes.
Crohn	local_v2_and_subagent	bulk_ileum_plus_public_scRNA_prioritization	ileum	strong	strong	partial	strong	partial	partial	quantitative	NAMPT;IFI30;GPNMB;SPP1;C1QB;CTSB;IL1B;TNF	Active Crohn ileum supports inflammatory MNP expansion plus IFN/HIF/lysosomal AP; bulk confounding remains.
UC	local_v2_and_subagent	bulk_colon_plus_public_scRNA_prioritization	colon	strong	strong	weak	strong	partial	partial	quantitative	STAT1;IRF1;HIF1A;NAMPT;OSM;TREM1;S100A8;PLA2G7	UC supports STAT1/IRF1/HIF1A/NAMPT/OSM inflammatory axis; lipid-loader genes not central.
psoriasis	local_v2_and_subagent	bulk_skin_plus_public_scRNA_prioritization	skin	strong	strong	weak	partial	partial	partial	quantitative	NAMPT;IFI30;CTSB;CTSD;LIPA;CXCL10;IL1B;C1QB	Psoriasis supports lysosomal/AP/protease/inflammatory state but contradicts MS-like lipid-loader genes.
Sjogren	local_v2_and_subagent	bulk_minor_salivary_gland	salivary_gland	strong	mixed	weak	weak	weak	weak	quantitative	STAT1;IRF1;CXCL10;CD74;LAMP3;HIF1A	Supports IFN/APC recurrence; myeloid and full lysosomal/HIF/NAMPT recurrence blocked.
AITD	subagent_review	public_scRNA_spatial_literature	thyroid_and_PBMC	strong	partial	weak	partial	weak	weak	reviewed	CXCL10;STAT1;IRF1;HLA-II;CD74;CD40;MIF	Supports IFN/APC but dominated by thyroid epithelial autoantigen and lymphoid/B-cell biology.
T1D	subagent_review	public_monocyte_islet_perturbation	islets_and_monocytes	strong	partial	weak	strong	weak	weak	reviewed	STAT1;IRF1;HLA-II;CD74;IFI30;HIF1A;NAMPT;CXCL10	Strong in islets/cytokine perturbation; blood monocyte datasets mixed to negative for full myeloid transition.
MG	subagent_review	public_thymus_pbmc_nmj	thymus_pbmc_neuromuscular_junction	strong	partial	weak	weak	strong	partial	reviewed	HLA-II;CD74;CXCL10;CTSS;C1Q;STAT1;IRF1	MG is partial and thymus/PBMC-anchored; NMJ lesion is antibody/complement effector dominant rather than a local myeloid lysosomal APC module.
SpA_AS_PsA	subagent_review	public_scRNA_synovial_fluid_blood	synovial_fluid_and_blood	strong	strong	weak	partial	partial	strong	reviewed	IFI30;CTSB;CD74;HLA-DRA;STAT1;IRF1;NAMPT;CTSD	Strongest in AS/PsA synovial fluid myeloid cells; gut/enthesis and blood are mixed or blocked.
Celiac	subagent_review	public_scRNA_spatial_bulk_literature	duodenal_mucosa	strong	strong	weak	partial	weak	partial	reviewed	IFNG;STAT1;IRF1;HLA-DQ;CD74;CXCL10;TGM2;LRP1;IL1B;IFI30;CTSS;CTSB	Strong IFN/APC and antigen-processing biology; disease-specific TG2/LRP1/HLA-DQ circuit stronger than lipid-repair module.
PBC	subagent_review	public_scRNA_bulk_gwas_literature	portal_liver_and_blood	strong	strong	weak	partial	partial	partial	reviewed	HLA-II;CD74;CTSS;CXCL10;CXCR3;JAK-STAT;TYK2;IL12;MIF;IL1B	Portal IFN/APC plus CTSS/CD74/HLA-II lysosomal antigen-processing support; lipid-loader/NAMPT weak and CXCL10 neutralization has negative PBC trial prior art.
