report	check	status	detail	field	score_values_read
analysis/v46_report_header_metadata_linter/fixtures/wrong_locked_hash.md	required_field:cohort_token	PASS	synthetic_gafson_return_20260613	cohort_token	false
analysis/v46_report_header_metadata_linter/fixtures/wrong_locked_hash.md	required_field:route_class	PASS	SCORED_AGGREGATE_CANONICAL_PATH	route_class	false
analysis/v46_report_header_metadata_linter/fixtures/wrong_locked_hash.md	required_field:terms_class	PASS	AGGREGATE_ONLY_LOCAL_PREFLIGHT	terms_class	false
analysis/v46_report_header_metadata_linter/fixtures/wrong_locked_hash.md	required_field:safe_class	PASS	ELIGIBLE_FOR_PREREGISTERED_INTERPRETATION	safe_class	false
analysis/v46_report_header_metadata_linter/fixtures/wrong_locked_hash.md	required_field:locked_rule_path	PASS	docs/locked_rules/LOCKED_RULE_V22.md	locked_rule_path	false
analysis/v46_report_header_metadata_linter/fixtures/wrong_locked_hash.md	required_field:locked_rule_sha256	PASS	0000000000000000000000000000000000000000000000000000000000000000	locked_rule_sha256	false
analysis/v46_report_header_metadata_linter/fixtures/wrong_locked_hash.md	cohort_token_format	PASS	synthetic_gafson_return_20260613	cohort_token	false
analysis/v46_report_header_metadata_linter/fixtures/wrong_locked_hash.md	route_class_known	PASS	SCORED_AGGREGATE_CANONICAL_PATH	route_class	false
analysis/v46_report_header_metadata_linter/fixtures/wrong_locked_hash.md	terms_class_known	PASS	AGGREGATE_ONLY_LOCAL_PREFLIGHT	terms_class	false
analysis/v46_report_header_metadata_linter/fixtures/wrong_locked_hash.md	safe_class_known	PASS	ELIGIBLE_FOR_PREREGISTERED_INTERPRETATION	safe_class	false
analysis/v46_report_header_metadata_linter/fixtures/wrong_locked_hash.md	locked_rule_path_exact	PASS	docs/locked_rules/LOCKED_RULE_V22.md	locked_rule_path	false
analysis/v46_report_header_metadata_linter/fixtures/wrong_locked_hash.md	locked_rule_hash_matches_v45_baseline	FAIL	0000000000000000000000000000000000000000000000000000000000000000	locked_rule_sha256	false
analysis/v46_report_header_metadata_linter/fixtures/wrong_locked_hash.md	metadata_before_result_text	PASS	first_result_line=15	all_required_fields	false
