gene	call	suppression_gate_count	restoration_gate_count	broad_positive_disease_count	broad_positive_diseases	broad_specific_positive_disease_count	ms_delta_log2	ms_p	ms_wrong_for_suppression_route	ibd_best_cell_state	ibd_best_adjusted_delta	ibd_best_adjusted_p	ibd_best_adjusted_fdr	ibd_suppression_support	ibd_restoration_support	ra_best_endpoint	ra_best_comparison	ra_best_response_coef	ra_best_response_p	ra_suppression_support	ra_restoration_support	foundation_priority	foundation_suppression_support	foundation_restoration_support	genetic_disease_count_proxy	wave34_call	wave55_score	decision_reason
LILRB1	NO_GO_LILRB_TARGET_LEVEL_CONVERGENCE	3	2	2	Crohn disease;ulcerative colitis	0	-0.2480039987346405	0.3035041507515239	False	Mono_macro	-1.0352058811115483	0.0009370109913549	0.0120158383689099	True	False	baseline_pre	good_vs_moderate_none	0.2336807429365649	0.5410099760862511	False	False	7.5	False	False	0			LILRB signal does not beat LILRA/myeloid-family paralog specificity; RA response direction does not replicate; foundation directionality does not support a clear route; target-level genetic breadth absent
LILRB3	NO_GO_LILRB_TARGET_LEVEL_CONVERGENCE	3	2	2	Crohn disease;ulcerative colitis	0	-0.3769548589371787	0.5039530830837081	False	Mono_macro	-0.8843393597287339	0.0208067078674482	0.0384318074930293	True	False	delta_post_minus_pre	good_vs_moderate_none	-0.4096845227488034	0.12357911974108786	False	False	8.0	False	False	1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	4.0	LILRB signal does not beat LILRA/myeloid-family paralog specificity; RA response direction does not replicate; foundation directionality does not support a clear route; target-level genetic breadth absent
LILRB2	NO_GO_LILRB_TARGET_LEVEL_CONVERGENCE	3	1	2	Crohn disease;ulcerative colitis	0	-0.7296611895492067	0.0077844079989185	True	DC	-0.8841692968765248	0.0050521017110955	0.0224142446553593	True	False	delta_post_minus_pre	good_vs_moderate_none	-0.20958813600144727	0.4156365216852399	False	False	6.5	True	False	0			LILRB signal does not beat LILRA/myeloid-family paralog specificity; MS white matter is nominally lower, opposite a suppression route; RA response direction does not replicate; target-level genetic breadth absent
FCGR2B	NO_GO_LILRB_TARGET_LEVEL_CONVERGENCE	2	3	0		0	0.3743680552898727	0.5995853752716118	False	DC				False	False	baseline_pre	good_vs_moderate_none	-0.5060570459998043	0.18311985409143228	False	False	4.0	False	True	5	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.0	insufficient cross-disease expression breadth; LILRB signal does not beat LILRA/myeloid-family paralog specificity; IBD response direction insufficient or cell-state-limited; RA response direction does not replicate
LILRB4	NO_GO_LILRB_TARGET_LEVEL_CONVERGENCE	2	3	0		0	-0.0567093265778488	0.8864378306397437	False	Mono_macro	-1.4760600397337336	0.0007300093155063	0.0113374916142918	True	False	delta_post_minus_pre	good_vs_moderate_none	0.5219871815387118	0.08310158493870648	False	True	1.75	False	True	1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY		insufficient cross-disease expression breadth; LILRB signal does not beat LILRA/myeloid-family paralog specificity; target-level genetic breadth absent
SIGLEC10	NO_GO_LILRB_TARGET_LEVEL_CONVERGENCE	2	1	0		0	-0.6228823890231006	0.0790960238639784	False	Mono_macro				False	False	delta_post_minus_pre	good_vs_moderate_none	0.25055628155790655	0.3318829063879685	False	False	9.5	True	False	0			insufficient cross-disease expression breadth; LILRB signal does not beat LILRA/myeloid-family paralog specificity; IBD response direction insufficient or cell-state-limited; RA response direction does not replicate; target-level genetic breadth absent
LAIR1	NO_GO_LILRB_TARGET_LEVEL_CONVERGENCE	1	2	1	type 1 diabetes mellitus	0	-0.2811215724373159	0.1069140784882185	False	Mono_macro				False	False	baseline_pre	good_vs_moderate_none	0.771736625287788	0.033802769003198625	False	True	0.25	False	False	0		1.0	insufficient cross-disease expression breadth; LILRB signal does not beat LILRA/myeloid-family paralog specificity; IBD response direction insufficient or cell-state-limited; foundation directionality does not support a clear route; target-level genetic breadth absent
CD300LF	NO_GO_LILRB_TARGET_LEVEL_CONVERGENCE	1	1	1	psoriasis	0	-0.0991212524448474	0.7089814372180329	False	DC				False	False	baseline_pre	moderate_good_vs_none	0.4644050124787168	0.19709861007445925	False	False	0.0	False	False	0			insufficient cross-disease expression breadth; LILRB signal does not beat LILRA/myeloid-family paralog specificity; IBD response direction insufficient or cell-state-limited; RA response direction does not replicate; foundation directionality does not support a clear route; target-level genetic breadth absent
CD300A	NO_GO_LILRB_TARGET_LEVEL_CONVERGENCE	1	1	0		0	-0.3453443248914674	0.0766109345414007	False	DC				False	False	delta_post_minus_pre	good_vs_moderate_none	-0.2778932857966967	0.4744226175403431	False	False	0.0	False	False	0			insufficient cross-disease expression breadth; LILRB signal does not beat LILRA/myeloid-family paralog specificity; IBD response direction insufficient or cell-state-limited; RA response direction does not replicate; foundation directionality does not support a clear route; target-level genetic breadth absent
LILRB5	NO_GO_LILRB_TARGET_LEVEL_CONVERGENCE	1	1	0		0	-0.8824584607192891	0.51569138646586	False	Mono_macro				False	False	delta_post_minus_pre	good_vs_moderate_none			False	False		False	False	0			insufficient cross-disease expression breadth; LILRB signal does not beat LILRA/myeloid-family paralog specificity; IBD response direction insufficient or cell-state-limited; RA response direction does not replicate; foundation directionality does not support a clear route; target-level genetic breadth absent
