axis	genes	core_intervention_genes	role	direction	modality	manual_blocker	manual_prior_risk	manual_druggability	manual_selectivity	candidate_specific_breadth_diseases	global_module_breadth_diseases	best_local_breadth_diseases	best_residual_or_state_diseases	best_genetics_disease_count	best_perturbation_or_model_score	axis_weighted_score	axis_strong_diseases	axis_supportive_diseases	transition_strong_diseases	transition_supportive_diseases	transition_trend_or_better_diseases	axis_gene_mentions	axis_gene_priority	axis_gene_diseases	surface_delta_trend_diseases	surface_residual_state_diseases	surface_negative_diseases	surface_calls	accessible_local_diseases	accessible_state_diseases	accessible_broad_positive_diseases	accessible_negative_diseases	accessible_calls	checkpoint_local_diseases	checkpoint_state_diseases	checkpoint_calls	lysosomal_route_calls	nonexpression_route_calls	nonexpression_route_score	genetics_ready_score	genetics_calls	foundation_contexts	foundation_strong_contexts	foundation_calls	direct_selectivity_score	direct_target_suppression	direct_calls	target_first_module_score	target_first_genetics_score	target_first_gate	europepmc_hit_count	clinicaltrials_hit_count	max_chembl_activity_records	example_chembl_target	example_chembl_pref_name	centrality_score	intervention_score	n_gate_failures	gate_failures	wave30_call
IFNG_IFNGR_JAK_STAT1_CIITA	IFNG;IFNGR1;IFNGR2;JAK1;JAK2;STAT1;IRF1;CIITA;CD74;IFI30	IFNGR1;IFNGR2;JAK1;JAK2;STAT1	canonical inflammatory niche driver of HLA-II/CD74/GILT APC transition	blockade suppresses state but is broad IFN/JAK immunosuppression	JAK inhibitors, IFN-gamma/IFNGR pathway blockade, STAT/CIITA perturbation	Real perturbation support is strong but non-selective; direct JAK/IFN blockade collapses host-defense programs and is saturated prior art.	blocking	3.0	0.0	7.0	14.0	14.0	8.0	1.0	2.0	21.799999999999994	12.0	14.0	3.0	7.0	8.0	0.0	28.199999999999996		6.0	8.0	0.0	NO_GO	0.0	0.0	0.0	0.0		0.0	0.0		cathepsin_IFI30_local_controls:COMPARATOR_ONLY;	baseline_module_response_biomarker:NO_GO;	0.5	2.0	NO_GO_CAUSAL_PROXY	2.0	1.0	model_and_broad_ifn_jak_real_align_not_selective;model_and_gse162463_screen_align_relative_to_ctsh;model_with_readout_concordance_only;no_rescue	0.1522168759847912	1.4021573988750948	broad_ifn_jak_like_collapse;null_or_wrong_direction;target_suppression_not_selective	0.0	0.0	NO_GO_TARGET_FIRST	28324	49	19794.0	CHEMBL2364171	Interferon gamma receptor	20.64	-1.2000000000000002	2	selectivity_window_gate;prior_art_not_blocking_gate	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC
MIF_CD74_CXCR4_CD44	MIF;DDT;CD74;CXCR4;CD44	MIF;CD74;CXCR4;CD44	MIF-responsive CD74/CD44/CXCR4 receptor state at inflamed tissue interfaces	MIF/CD74-axis antagonism or stratified modulation	MIF inhibitors, CD74/CXCR4/CD44 biologics or small molecules	V3 residualization demoted this to biomarker-only; direct therapeutic direction is crowded and receptor state is a marker of IFN/APC activation.	blocking	2.0	0.5	6.0	14.0	14.0	8.0	1.0	2.0	21.799999999999994	12.0	14.0	3.0	7.0	8.0	0.0	25.65		6.0	8.0	0.0	NO_GO	5.0	4.0	2.0	1.0	PARK	0.0	0.0			baseline_module_response_biomarker:NO_GO;	0.5	1.0	NO_GO_CAUSAL_PROXY	2.0	1.0	model_and_gse162463_screen_align_relative_to_ctsh;no_rescue	0.0	0.0		0.0	0.0		53296	730	753.0	CHEMBL2085	Macrophage migration inhibitory factor	18.330000000000002	-2.95	2	selectivity_window_gate;prior_art_not_blocking_gate	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC
LILRB_HLA_INHIBITORY_MYLOID_CHECKPOINT	LILRB1;LILRB2;LILRB3;LILRB4;HLA-DRA;HLA-DRB1	LILRB1;LILRB2;LILRB4	inhibitory HLA-sensing myeloid checkpoint superfamily	agonize inhibitory LILRB signaling, not oncology-style antagonism	agonist antibody/HLA-ligand biologics are concept-level	Disease-state coupling is weak in V3 checkpoint audit and therapeutic format direction is immature.	medium_high	1.5	1.0	7.0	14.0	14.0	7.0	0.0	2.0	21.799999999999994	12.0	14.0	3.0	7.0	8.0	0.0	20.85		7.0	7.0	0.0	NO_GO	2.0	0.0	2.0	0.0	NO_GO;PARK	2.0	0.0	NO_GO;PARK_LOW			0.0	0.0	MODULE_MARKER_NOT_GENETICALLY_ANCHORED	1.0	1.0	model_with_readout_concordance_only;no_rescue	0.0	0.0		0.0	0.0		1495	1	0.0			18.07	1.3499999999999996	3	target_causality_gate;druggable_correct_direction_gate;selectivity_window_gate	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC
SPP1_CD44_INTEGRIN_RETENTION	SPP1;CD44;ITGAV;ITGB1;ITGB3;ITGAM	SPP1;CD44;ITGAV;ITGB1;ITGAM	osteopontin/adhesion-retention route around lipid-loaded myeloid repair/injury states	block pathogenic retention only if repair-preserving window exists	neutralizing antibodies, integrin/CD44 modulation	Direction is context dependent: the same axis can mark repair, fibrosis, retention, and leukocyte migration.	high	2.0	0.5	5.0	9.0	9.0	7.0	1.0	2.0	10.2	3.0	9.0	0.0	0.0	0.0	0.0	7.300000000000001		2.0	6.0	0.0	NO_GO;WATCHLIST	5.0	7.0	2.0	1.0	NO_GO;PARK	0.0	0.0			baseline_module_response_biomarker:NO_GO;	0.5	1.0	NO_GO_CAUSAL_PROXY	2.0	0.0	no_rescue	0.0	0.0		0.0	0.0		34238	18	58.0	CHEMBL1741309	Osteopontin	12.01	-0.9500000000000002	3	target_causality_gate;selectivity_window_gate;prior_art_not_blocking_gate	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC
PTPN2_TCPTP_RESTORATION	PTPN2;JAK1;JAK2;STAT1	PTPN2	genetic cytokine-signaling brake benchmark for the IFN/APC transition	restore TCPTP activity; inhibitors are wrong direction	target-selective restoration/stabilization would be required	Wave29 model found no selective suppression window under stated assumptions and no clinical-ready restoration modality exists.	high	0.5	0.5	0.0	14.0	14.0	0.0	8.0	5.0	21.799999999999994	12.0	14.0	3.0	7.0	8.0	0.0	28.199999999999996		0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0			PTPN2_TCPTP_restoration:PARK_REVIEW;	4.0	9.0	COLOC_NEEDED_NOT_CLAIMABLE;NO_GO_CAUSAL_PROXY	5.0	1.0	model_and_broad_ifn_jak_real_align_not_selective;model_and_gse162463_screen_align_relative_to_ctsh	0.1522168759847912	1.079602966179328	broad_ifn_jak_like_collapse;null_or_wrong_direction;target_suppression_not_selective	0.0	0.0	NO_GO_TARGET_FIRST	1578	1	1279.0	CHEMBL3807	Tyrosine-protein phosphatase non-receptor type 2	14.64	5.1	5	cross_disease_support_gate;residual_or_state_gate;druggable_correct_direction_gate;selectivity_window_gate;prior_art_not_blocking_gate	NO_GO_NICHE_DRIVER
TREM1_TYROBP_AMPLIFICATION	TREM1;TYROBP;SYK;NFKB1;IL1B	TREM1	amplifying myeloid receptor route in acute inflammatory tissues	inhibit TREM1 amplification	inhibitory peptide/antibody precedent	Earlier accessible-target audit found weak cross-disease breadth and no state-coupled support gate.	medium_high	2.0	1.0	4.0	14.0	14.0	4.0	0.0	0.0185665131714457	21.799999999999994	12.0	14.0	3.0	7.0	8.0	0.0	22.59999999999999		3.0	3.0	0.0	NO_GO	4.0	4.0	2.0	1.0	NO_GO;PARK	0.0	0.0				0.0	0.0		0.0	0.0		-0.0207445484518429	0.0185665131714457	null_or_wrong_direction	0.0	0.0	NO_GO_TARGET_FIRST	2065	3	0.0	CHEMBL1697674	Triggering receptor expressed on myeloid cells 1	12.62556995395143	-0.48514678946284384	5	cross_disease_support_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	NO_GO_NICHE_DRIVER
LIPA_LAL_LYSOSOMAL_LIPID_CLEARANCE	LIPA	LIPA	lysosomal acid lipase route for lipid-loaded macrophage/epithelial stress	enhance/replace LAL activity rather than inhibit	enzyme replacement, targeted enzyme, mRNA/LNP, or gene delivery concept	Earlier V3 demoted LIPA because MS gene-level support was weak, myeloid direction was inconsistent, and delivery/MS-repair prior art blocks a claim.	medium_high	1.5	1.0	4.0	14.0	14.0	5.0	0.0	4.0	18.299999999999997	8.0	14.0	0.0	0.0	0.0	0.0	0.0		4.0	5.0	0.0	NO_GO	0.0	0.0	0.0	0.0		0.0	0.0		LIPA_LAL_enhancement:PARK;	baseline_module_response_biomarker:NO_GO;	0.5	0.0	NO_GO_CAUSAL_PROXY	2.0	2.0	model_contradicted_by_gse162463_screen	0.0	0.0		0.0	0.0		1327	47	12.0	CHEMBL4184	Lysosomal acid lipase/cholesteryl ester hydrolase	10.899999999999999	2.95	6	cross_disease_support_gate;upstream_non_marker_gate;target_causality_gate;druggable_correct_direction_gate;selectivity_window_gate;prior_art_not_blocking_gate	NO_GO_NICHE_DRIVER
ITGAM_CR3_COMPLEMENT_PHAGOCYTOSIS	ITGAM;ITGB2;C3;C1QA;C1QB;C1QC;FCER1G	ITGAM;ITGB2;C3	complement-opsonin uptake/phagocytosis axis in myeloid tissue injury and clearance	restore regulated phagocytosis rather than bluntly block complement	integrin/complement biologics, allosteric modulation, complement inhibitors	Complement and CR3 biology is bidirectional: debris clearance can be protective while complement injury can be pathogenic.	high	2.0	0.5	3.0	9.0	9.0	7.0	0.0	0.0	10.2	3.0	9.0	0.0	0.0	0.0	0.0	12.6		3.0	6.0	0.0	NO_GO;WATCHLIST	3.0	7.0	1.0	1.0	NO_GO;PARK	0.0	0.0			baseline_module_response_biomarker:NO_GO;	0.5	0.0	NO_GO_CAUSAL_PROXY	0.0	0.0		0.0	0.0		0.0	0.0		68421	235	1.0	CHEMBL3603	Integrin alpha-M	10.370000000000001	-3.25	5	cross_disease_support_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	NO_GO_NICHE_DRIVER
NPC1_NPC2_CHOLESTEROL_EGRESS	NPC1;NPC2	NPC1;NPC2	lysosomal cholesterol-egress route adjacent to lipid-lysosomal stress	enhance cholesterol egress or functional rescue	cyclodextrin-like or chaperone/gene rescue concepts	Readout-like and delivery-heavy; earlier lysosomal-controller audit parked it without selective autoimmune perturbation.	medium	1.5	0.5	3.0	14.0	14.0	7.0	0.0	0.0	18.299999999999997	8.0	14.0	0.0	0.0	0.0	0.0	0.0		3.0	7.0	0.0	NO_GO	0.0	0.0	0.0	0.0		0.0	0.0		NPC1_NPC2_cholesterol_egress:PARK_READOUT;		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		1493	0	23.0	CHEMBL1293277	NPC intracellular cholesterol transporter 1	10.100000000000001	1.0	6	cross_disease_support_gate;upstream_non_marker_gate;target_causality_gate;perturbation_or_model_gate;druggable_correct_direction_gate;selectivity_window_gate	NO_GO_NICHE_DRIVER
CXCL10_CXCR3_RECRUITMENT	CXCL10;CXCL9;CXCL11;CXCR3	CXCL10;CXCR3	IFN-inducible chemokine recruitment loop coupling inflamed tissue and CXCR3+ lymphocytes	block CXCL10/CXCR3 recruitment	antibodies or chemokine receptor antagonists	Likely downstream of IFN state rather than an upstream controller; recruitment blockade is crowded and not lesion-state selective.	high	2.0	0.5	0.0	14.0	14.0	0.0	0.0	0.0	21.799999999999994	12.0	14.0	3.0	7.0	8.0	0.0	28.199999999999996		0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0				0.0	0.0	NO_GO_CAUSAL_PROXY	0.0	0.0	no_rescue	0.0	0.0		0.0	0.0		32886	48	92.0	CHEMBL3712964	C-X-C motif chemokine 10	9.14	-2.25	6	cross_disease_support_gate;residual_or_state_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	NO_GO_NICHE_DRIVER
CD274_PD1_TOLEROGENIC_CHECKPOINT	CD274;PDCD1;PDCD1LG2	CD274;PDCD1	PD-1/PD-L1 inhibitory checkpoint induced near IFN/APC states	agonize PD-1 pathway or provide PD-L1-like tolerogenic signal	PD-L1-Fc/PD-1 agonist biologic concept	Checkpoint agonism is tractable but saturated and not module-specific in local V3.	blocking	2.5	0.5	4.0	14.0	14.0	3.0	0.0	0.0	21.799999999999994	12.0	14.0	3.0	7.0	8.0	0.0	0.0		0.0	0.0	0.0		4.0	3.0	4.0	0.0	PARK	4.0	3.0	NO_GO;PARK			0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		21701	42	24.0	CHEMBL4523448	Programmed cell death 1 ligand 1	8.5	-3.5	5	cross_disease_support_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	NO_GO_NICHE_DRIVER
SLC15A4_TASL_IRF5_ENDOLYSOSOMAL_TLR	SLC15A4;IRF5;TLR7;TLR9;MYD88;UNC93B1	SLC15A4;IRF5	endolysosomal nucleic-acid sensing/TASL-IRF5 inflammatory checkpoint	inhibit endolysosomal TLR/TASL/IRF5 route if disease genotype or IFN module high	small-molecule transporter/checkpoint inhibition is speculative; TLR inhibitors exist	Strong lupus-adjacent biology but V3 lacks target-selective perturbation and non-crowded autoimmune delta.	high	1.5	1.0	0.0	14.0	14.0	0.0	9.0	1.0	21.799999999999994	12.0	14.0	3.0	7.0	8.0	0.0	0.0		0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0			IRF5_CARD9_myeloid_program:NO_GO;	2.0	9.0	NO_GO_CAUSAL_PROXY	1.0	0.0	no_rescue	-0.0036262518537249	0.0	null_or_wrong_direction	0.0	0.0	NO_GO_TARGET_FIRST	4572	1	0.0			8.3	4.85	6	cross_disease_support_gate;residual_or_state_gate;perturbation_or_model_gate;druggable_correct_direction_gate;selectivity_window_gate;prior_art_not_blocking_gate	NO_GO_NICHE_DRIVER
OSM_OSMR_IL6ST_STAT3	OSM;OSMR;IL6ST;STAT3;SOCS3	OSM;OSMR;IL6ST	tissue-licensing cytokine axis in barrier/stromal injury compartments	block OSM/OSMR if local tissue remodeling drives APC transition	anti-OSM/OSMR biologic concept	Earlier V3 local quant found strongest support in UC/Crohn/T1D compartments but absent/ambiguous MS evidence.	medium_high	2.5	1.0	0.0	14.0	14.0	0.0	0.0	0.0	21.799999999999994	12.0	14.0	3.0	7.0	8.0	0.0	22.59999999999999		0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0				0.0	0.0	NO_GO_CAUSAL_PROXY	0.0	0.0		-0.006237879831838	0.0	null_or_wrong_direction	0.0	0.0	NO_GO_TARGET_FIRST	8314	6	18.0	CHEMBL2412949	Uncharacterized protein	8.02	1.25	6	cross_disease_support_gate;residual_or_state_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	NO_GO_NICHE_DRIVER
TNF_TNFR_NFKB	TNF;TNFRSF1A;TNFRSF1B;NFKB1;RELA;CHUK	TNF;TNFRSF1A;TNFRSF1B	inflammatory costimulus feeding APC and tissue injury programs	block TNF/TNFR signaling	approved biologics and small-molecule pathway comparators	Therapeutic class is already central across autoimmunity and can worsen demyelinating disease; not a new MS/cross-autoimmune intervention point.	blocking	3.0	0.0	0.0	14.0	14.0	0.0	0.0	0.9683862679530189	21.799999999999994	12.0	14.0	3.0	7.0	8.0	0.0	17.650000000000002		0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0				0.0	0.0		0.0	0.0		0.6211601610564657	0.9683862679530189	null_or_wrong_direction;selective_target_suppression;weak_selective_target_suppression	0.0	0.0		266755	1511	133.0	CHEMBL2523	Disintegrin and metalloproteinase domain-containing protein 17	7.320515880385907	-2.725290985637585	5	cross_disease_support_gate;residual_or_state_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	NO_GO_NICHE_DRIVER
