gene	integrated_call	support_score_0_9	manual_or_empirical_blocker	gse282122_best_cell_state	gse282122_adjusted_beta_remission	gse282122_adjusted_fdr	gse282122_response_call	wave68_adjusted_delta	wave68_adjusted_fdr	wave68_best_call	ms_gse111972_delta_log2	ms_gse111972_p	ms_gse111972_fdr	ms_gse111972_call	broad_positive_compartments	broad_positive_fdr10_compartments	broad_negative_compartments	broad_negative_fdr10_compartments	positive_disease_count	positive_diseases	negative_disease_count	negative_diseases	ra_antitnf_mean_post_minus_pre	ra_antitnf_fdr	ra_antitnf_call	ra_response_adjusted_beta	ra_response_adjusted_fdr	ra_response_call	wave37_median_efficient_minus_noneater_lfc	wave37_screen_call	wave37_efferocytosis_direction	geneformer_sources	geneformer_support_contexts_max	geneformer_strong_support_contexts_max	ms_max_l2g_score	strong_qtl_coloc_disease_count	has_cross_autoimmune_genetics	has_any_druggability_flag_wave68	call_priority
LILRB2	PARK_BLOCKED_OR_DIRECTIONALLY_UNRESOLVED	4	No local Wave68/Wave62 cross-autoimmune genetic anchor in this scout.	DC	-0.9485710207136182	0.019112246642343945	remission_adjusted_down_fdr10	-0.8841692968765248	0.0224142446553593	DESCRIPTIVE_GENE_SIGNAL	-0.7296611895492067	0.0077844079989185	0.8344760564031432	ms_down_nominal	2	1	0	0	2	Crohn disease;ulcerative colitis	0	nan	-0.13589639002208728	0.2775140270939661	null_or_weak	0.10776400014622017	0.8942516621719696	null_or_weak		not_present_in_wave37_mouse_screen	null_or_weak		0	0		0.0	False	False	2
AXL	PARK_BLOCKED_OR_DIRECTIONALLY_UNRESOLVED	3	TAM biology likely requires agonism/restoration, while available small-molecule pharmacology is mostly kinase inhibition. Local broad h5ad recurrence is negative/contradictory.	Mono_macro	1.4047722208475784	0.10404276385922731	remission_raw_up_fdr10	1.5226307150162794	0.0361858575875385	DESCRIPTIVE_GENE_SIGNAL	0.2436879373355509	0.2187319600718436	0.8993702893651148	null_or_weak	0	0	3	0	0	nan	3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	-0.07560423625592336	0.6509773487459704	null_or_weak	-0.28455843625197474	0.8942516621719696	null_or_weak	-0.4476354232438678	UNRESOLVED	ko_impairment_trend		0	0		0.0	False	False	2
LILRB4	PARK_BLOCKED_OR_DIRECTIONALLY_UNRESOLVED	3	No local Wave68/Wave62 cross-autoimmune genetic anchor in this scout.	Mono_macro	-1.5072589962308691	0.0167013382375037	remission_adjusted_down_fdr10	-1.4760600397337336	0.0113374916142918	DESCRIPTIVE_GENE_SIGNAL	-0.0567093265778488	0.8864378306397437	0.9842134382901514	null_or_weak	1	0	0	0	1	type 1 diabetes mellitus	0	nan	-0.02908840486047986	0.5352467202231852	null_or_weak	-0.024951744712694693	0.9340516362904793	null_or_weak	-0.437227774910439	UNRESOLVED	ko_impairment_trend		0	0		0.0	False	False	2
BTK	PARK_BLOCKED_OR_DIRECTIONALLY_UNRESOLVED	2	BTK inhibitors are direct MS/autoimmune prior-art comparators and broad B-cell/myeloid immunosuppression, not a new Fc-resolution node. Local broad h5ad recurrence is negative/contradictory.	Mono_macro	0.2680683744699487	0.7499811018737164	null_or_weak			DESCRIPTIVE_GENE_SIGNAL	-0.0897993985966802	0.5626479987667415	0.9419051093293812	null_or_weak	0	0	2	0	0	nan	2	psoriasis;ulcerative colitis	-0.2122754790928653	0.0935551453215358	ra_antitnf_down_fdr10	-0.1521420296966888	0.8942516621719696	null_or_weak	0.4338300491685158	UNRESOLVED	ko_enhancement_trend		0	0		0.0	False	False	2
LILRB1	PARK_BLOCKED_OR_DIRECTIONALLY_UNRESOLVED	2	No local Wave68/Wave62 cross-autoimmune genetic anchor in this scout.	Mono_macro	-1.0751610457311775	0.0103668419129398	remission_adjusted_down_fdr10	-1.0352058811115483	0.0120158383689099	DESCRIPTIVE_GENE_SIGNAL	-0.2480039987346405	0.3035041507515239	0.9075477698307116	null_or_weak	2	0	0	0	2	Crohn disease;ulcerative colitis	0	nan	-0.011846348301633045	0.47157656867302084	null_or_weak	-0.013480868749082638	0.8942516621719696	null_or_weak		not_present_in_wave37_mouse_screen	null_or_weak		0	0		0.0	False	False	2
MERTK	PARK_BLOCKED_OR_DIRECTIONALLY_UNRESOLVED	2	TAM biology likely requires agonism/restoration, while available small-molecule pharmacology is mostly kinase inhibition. Local broad h5ad recurrence is negative/contradictory.	DC	-1.3160158799979678	0.30128754847089084	remission_raw_down_nominal			DESCRIPTIVE_GENE_SIGNAL	0.2471109034794576	0.4292940108131474	0.9195199515584406	null_or_weak	0	0	2	0	0	nan	2	Sjogren syndrome;ulcerative colitis	-0.18165490770809695	0.16480385096903777	null_or_weak	-0.32544087973402597	0.8942516621719696	null_or_weak	-0.6588710945316293	UNRESOLVED	ko_impairment_trend		0	0	0.0	0.0	False	False	2
PIK3CD	PARK_BLOCKED_OR_DIRECTIONALLY_UNRESOLVED	2	PI3K-delta inhibitors are immunosuppressive and infection/colitis-risk comparators; autoimmune direction is not a selective resolution claim.	DC	-0.7365603999101291	0.5096602582417521	remission_raw_down_nominal			DESCRIPTIVE_GENE_SIGNAL	-0.3493015899945177	0.0844049809494602	0.8989378106274888	null_or_weak	0	0	1	0	0	nan	1	type 1 diabetes mellitus	-0.40124209417689055	0.05828694887537024	ra_antitnf_down_fdr10	0.15954402840016857	0.8942516621719696	null_or_weak	0.1378622113439651	UNRESOLVED	null_or_weak		0	0		0.0	False	False	2
PTPN11	PARK_BLOCKED_OR_DIRECTIONALLY_UNRESOLVED	2	SHP2 modulation is pleiotropic growth-factor/oncology biology; inhibition is unlikely to be a clean autoimmune-resolution intervention. Local broad h5ad recurrence is negative/contradictory.	DC	-0.12787787215086782	0.9207211492029318	null_or_weak			DESCRIPTIVE_GENE_SIGNAL	0.1914483871986583	0.1882167336704368	0.8993702893651148	null_or_weak	5	1	4	1	3	Crohn disease;psoriasis;ulcerative colitis	1	type 1 diabetes mellitus	0.054420959859243306	0.43808401802114816	null_or_weak	-0.07408725863425303	0.8942516621719696	null_or_weak	-0.7433928569705706	UNRESOLVED	ko_impairment_trend		0	0		0.0	False	False	2
CD300A	PARK_BLOCKED_OR_DIRECTIONALLY_UNRESOLVED	1	No local Wave68/Wave62 cross-autoimmune genetic anchor in this scout.	DC	0.4478233357795728	0.3977477552235033	null_or_weak			DESCRIPTIVE_GENE_SIGNAL	-0.3453443248914674	0.0766109345414007	0.8989378106274888	null_or_weak	0	0	0	0	0	nan	0	nan	-0.2250193692695781	0.28696283678192014	null_or_weak	-0.4040663907850002	0.8942516621719696	null_or_weak	1.3382347566762522	UNRESOLVED	ko_enhancement_trend		0	0		0.0	False	False	2
CD300LF	PARK_BLOCKED_OR_DIRECTIONALLY_UNRESOLVED	1	No local Wave68/Wave62 cross-autoimmune genetic anchor in this scout.	DC	0.46229903771040265	0.6777742875747493	null_or_weak			DESCRIPTIVE_GENE_SIGNAL	-0.0991212524448474	0.7089814372180329	0.9669212366619434	null_or_weak	1	0	0	0	1	psoriasis	0	nan	-0.2820975379012959	0.16480385096903777	null_or_weak	-0.1195872220900827	0.9251365635092008	null_or_weak	-0.1802260625574201	UNRESOLVED	null_or_weak	geneformer_pivot_panel;wave18_foundation_rescue_source	1	1		0.0	False	False	2
