gene	source	url	use
GPR65	GPR65 experimental colitis and target rationale	https://pmc.ncbi.nlm.nih.gov/articles/PMC8629932/	Shows GPR65 is already framed as an IBD intervention target; supports feasibility and prior-art crowding.
GPR65	WO2023067322A1 GPR65 modulators	https://patents.google.com/patent/WO2023067322A1/en	Patent precedent for GPR65 modulators with autoimmune disease language.
PTPN2	PTPN2 loss-of-function and autoimmunity review	https://pmc.ncbi.nlm.nih.gov/articles/PMC9456094/	Supports restoration direction for autoimmune genetics.
PTPN2	PTPN2/PTPN1 inhibitor oncology precedent	https://www.nature.com/articles/s41586-023-06575-7	Demonstrates strong inhibitor precedent, which is wrong-direction for autoimmune restoration.
TNFAIP3	A20 haploinsufficiency GeneReviews	https://www.ncbi.nlm.nih.gov/sites/books/NBK610430/	Supports insufficient A20 function as an inflammatory disease mechanism.
CLEC16A	CLEC16A autoimmunity/mitophagy review	https://pmc.ncbi.nlm.nih.gov/articles/PMC10179542/	Supports mitophagy restoration concept but mostly via indirect repurposing logic.
IRF5	HotSpot Therapeutics IRF5 inhibitor program	https://www.hotspotthera.com/press_release/hotspot-therapeutics-presents-preclinical-data-from-small-molecule-irf5-inhibitor-program-at-15th-european-lupus-meeting/	Current inhibitor modality precedent; not restoration.
IRF5	Kymera KT-579 IRF5 degrader public material	https://investors.kymeratx.com/node/11946/pdf	Current degrader modality precedent and prior-art crowding.
IL10	Recombinant human IL-10 Crohn trial	https://pubmed.ncbi.nlm.nih.gov/11113068/	Direct IL-10 restoration therapy precedent in IBD.
IL6R	ACTEMRA prescribing information	https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/125276s144%2C125472s056lbl.pdf	Approved IL-6 receptor antagonist precedent; blockade, not restoration.
TYK2	FDA SOTYKTU drug trial snapshot	https://www.fda.gov/drugs/drug-approvals-and-databases/drug-trials-snapshots-sotyktu	Approved TYK2 inhibitor precedent; inhibition, not restoration.
