gene	accession	status	path	url	n_residues_with_plddt	mean_plddt	median_plddt	low_confidence_fraction_lt70
IFI30	P13284	downloaded	data/raw_v3/structures/AF-P13284-F1-model_v6.pdb	https://alphafold.ebi.ac.uk/files/AF-P13284-F1-model_v6.pdb	250	83.2342	97.25	0.268
CTSS	P25774	downloaded	data/raw_v3/structures/AF-P25774-F1-model_v6.pdb	https://alphafold.ebi.ac.uk/files/AF-P25774-F1-model_v6.pdb	331	94.30422960725076	98.12	0.054380664652567974
CTSL	P07711	downloaded	data/raw_v3/structures/AF-P07711-F1-model_v6.pdb	https://alphafold.ebi.ac.uk/files/AF-P07711-F1-model_v6.pdb	333	93.520990990991	97.44	0.06006006006006006
CTSB	P07858	downloaded	data/raw_v3/structures/AF-P07858-F1-model_v6.pdb	https://alphafold.ebi.ac.uk/files/AF-P07858-F1-model_v6.pdb	339	92.143598820059	97.94	0.07374631268436578
CTSD	P07339	downloaded	data/raw_v3/structures/AF-P07339-F1-model_v6.pdb	https://alphafold.ebi.ac.uk/files/AF-P07339-F1-model_v6.pdb	412	84.99332524271844	93.44	0.18446601941747573
JAK1	P23458	downloaded	data/raw_v3/structures/AF-P23458-F1-model_v6.pdb	https://alphafold.ebi.ac.uk/files/AF-P23458-F1-model_v6.pdb	1154	85.5702512998267	91.97	0.13518197573656845
JAK2	O60674	downloaded	data/raw_v3/structures/AF-O60674-F1-model_v6.pdb	https://alphafold.ebi.ac.uk/files/AF-O60674-F1-model_v6.pdb	1132	86.88294169611308	92.75	0.10600706713780919
STAT1	P42224	downloaded	data/raw_v3/structures/AF-P42224-F1-model_v6.pdb	https://alphafold.ebi.ac.uk/files/AF-P42224-F1-model_v6.pdb	750	87.22970666666667	93.62	0.12933333333333333
CIITA	P33076	downloaded	data/raw_v3/structures/AF-P33076-F1-model_v6.pdb	https://alphafold.ebi.ac.uk/files/AF-P33076-F1-model_v6.pdb	1130	68.75140707964601	83.09	0.38495575221238937
RFX5	P48382	downloaded	data/raw_v3/structures/AF-P48382-F1-model_v6.pdb	https://alphafold.ebi.ac.uk/files/AF-P48382-F1-model_v6.pdb	616	57.13431818181818	45.72	0.7061688311688312
