route	route_genes	intervention_direction	prior_status	route_note	wave32_blocking_status	wave32_verdict	wave32_lead_indication	wave48_verdict	wave48_blocker	wave30_call	wave30_intervention_score	wave30_gate_failures	wave30_europepmc_hit_count	wave30_clinicaltrials_hit_count	wave30_max_chembl_activity_records	wave74_call	wave74_blockers
FPR2_ANXA1_BIASED_RESOLUTION	FPR2;ANXA1	biased_agonism_or_resolution_enhancement	NOT_BLOCKED_BUT_IMMATURE	least-blocked pro-resolution/efferocytosis route from Wave48, but prior art and weak MS anchor remain concerns	NOT_BLOCKED_BUT_IMMATURE	Least blocked route, but not yet a finding	IBD first; MS only after CNS/peripheral PK-PD proof										
CD300_RECEPTOR_SPECIFIC_TUNING	CD300A;CD300C;CD300E;CD300LF;CD300LG	receptor_specific_agonism_or_inhibitory_tuning	NOT_BLOCKED_BUT_DIRECTION_AMBIGUOUS	lipid/efferocytosis receptor family with unresolved receptor-specific direction	NOT_BLOCKED_BUT_DIRECTION_AMBIGUOUS	Plausible whitespace only if receptor-specific direction is proven	RA synovium or tissue-injury model first										
GPR65_ENDOLYSOSOMAL_PH_CAMP	GPR65	agonism_or_positive_allosteric_modulation	PARK_GENETIC_DRUGGABLE_LOCAL_WEAK	genetic/druggable acid-sensing GPCR route; local lipid-state coupling previously weak						NO_GO_NICHE_DRIVER	3.5	cross_disease_support_gate;residual_or_state_gate;perturbation_or_model_gate;prior_art_not_blocking_gate	477.0	0.0	99.0		
GPR183_EBI2_OXYSTEROL_NICHE	GPR183;CH25H;CYP7B1;HSD3B7;CYP27A1	oxysterol_niche_modulation	PARK_NO_COHERENT_LOCAL_PROGRAM	Wave74 parked because ligand, receptor, and response programs did not cohere across diseases												PARK_GPR183_OXYSTEROL_NICHE	no cross-disease coherent ligand-plus-GPR183-plus-response context; no local target-resolved genetics or direct intervention/druggability anchor; Wave66 oxysterol-like metabolites remain sparse
MERTK_AXL_TAM_GAS6_PROS1_AGONISM	MERTK;AXL;TYRO3;GAS6;PROS1	agonism_restoration	PARTLY_BLOCKED_AND_DIFFICULT	repair/efferocytosis biology but agonism format, oncology/fibrosis/coagulation risks, and weak local direction	PARTLY_BLOCKED_AND_DIFFICULT	Mechanistically relevant but crowded and not V3-causal	Lupus or RA before MS										
LXR_ABCA1_ABCG1_EFFLUX	NR1H3;NR1H2;ABCA1;ABCG1	efflux_activation_without_lipogenesis	BLOCKED_BY_PRIOR_ART_AND_SAFETY	MS white-matter lipid-efflux biology is plausible, but broad LXR agonism is prior-arted and lipogenic	BLOCKED_BY_PRIOR_ART_AND_SAFETY	Blocked unless tissue-selective non-lipogenic variant appears	None as generic route										
PPAR_RXR_LIPID_REPAIR	PPARG;PPARA;PPARD;RXRA;RXRB;RARA;RARG	nuclear_receptor_modulation	BLOCKED_BY_PRIOR_ART_AND_TOXICITY	crowded autoimmune/remyelination literature and systemic metabolic/retinoid toxicity	BLOCKED_BY_PRIOR_ART_AND_TOXICITY	No-go	None as generic route										
NPC1_NPC2_CHOLESTEROL_EGRESS	NPC1;NPC2	functional_rescue_or_cholesterol_egress_enhancement	NOT_PRIOR_ART_BLOCKED_BUT_TRANSLATIONALLY_WEAK	readout-like lysosomal cholesterol route; delivery and selectivity are weak	NOT_PRIOR_ART_BLOCKED_BUT_TRANSLATIONALLY_WEAK	Readout-like route, not target-ready	No lead indication until ex vivo macrophage assay works			NO_GO_NICHE_DRIVER	1.0	cross_disease_support_gate;upstream_non_marker_gate;target_causality_gate;perturbation_or_model_gate;druggable_correct_direction_gate;selectivity_window_gate	1493.0	0.0	23.0		
LIPA_LAL_LYSOSOMAL_LIPID_CLEARANCE	LIPA	enzyme_enhancement_or_replacement	NOT_DIRECTLY_AUTOIMMUNE_BLOCKED_BUT_WEAK	enzyme replacement precedent but systemic lipid flux and weak MS support	NOT_DIRECTLY_AUTOIMMUNE_BLOCKED_BUT_WEAK	Parked, not promoted	Peripheral macrophage lipid-overload indication only if signal emerges			NO_GO_NICHE_DRIVER	2.95	cross_disease_support_gate;upstream_non_marker_gate;target_causality_gate;druggable_correct_direction_gate;selectivity_window_gate;prior_art_not_blocking_gate	1327.0	47.0	12.0		
FADS_DESATURATION_AXIS	FADS1;FADS2	lipid_desaturation_modulation	PARK_GENETIC_LIPID_AXIS_UNRESOLVED_DIRECTION	autoimmune lipid genetics route; direction and immune-cell specificity unresolved													
SCD_MONOUNSATURATED_LIPID_AXIS	SCD	SCD_modulation	PARK_DRUGGABLE_METABOLIC_AXIS_UNRESOLVED_AUTOIMMUNE_DIRECTION	druggable metabolic enzyme; chronic autoimmune direction and tolerability unresolved													
SQLE_STEROL_SYNTHESIS_AXIS	SQLE	squalene_epoxidase_modulation	PARK_DRUGGABLE_STEROL_AXIS_UNRESOLVED_RELEVANCE	drugged by antifungal chemistry but no clear MS/cross-autoimmune controller evidence yet													
AHR_BARRIER_IMMUNE_METABOLITE_AXIS	AHR;CYP1A1	contextual_AHR_modulation	PARK_PRIOR_ART_BROAD_CONTEXT_DEPENDENT	gut/skin/immune-metabolite axis with broad context dependence													
PTGER4_PROSTAGLANDIN_E2_AXIS	PTGER4;PTGS2	EP4_axis_modulation	PARK_GENETIC_PRIOR_ART_AND_DIRECTION_CONTEXT_DEPENDENT	autoimmune genetic locus and druggable GPCR, but agonism/antagonism direction varies by compartment													
NAMPT_HIF_METABOLIC_STRESS	NAMPT;HIF1A	metabolic_stress_modulation	BLOCKED_BY_PRIOR_ART_AND_SYSTEMIC_METABOLIC_RISK	prior-arted inflammatory metabolic route; systemic toxicity risk													
