route	ibd_nonresponse_high_groups	ibd_nominal_or_trend_groups	ibd_weighted_mean_g	ibd_min_p	ibd_best_cohort	ra_effect_responder_minus_non	ra_hedges_g_responder_minus_non	ra_p	ra_nonresponse_high	ra_nominal_or_trend_nonresponse_high	psoriasis_ada_effect_responder_minus_non	psoriasis_ada_hedges_g_responder_minus_non	psoriasis_ada_p	psoriasis_ada_nonresponse_high	psoriasis_ada_nominal_or_trend_nonresponse_high	response_nonresponse_high_system_count	response_nominal_or_trend_system_count	response_mean_hedges_g	response_effect_sd	ms_genes_present	ms_genes	ms_mean_delta_log2	ms_combined_signed_z	ms_combined_p	ms_positive_nominal	ms_negative_nominal	ms_route_call	ms_top_gene	h5ad_contexts_present	h5ad_positive_context_count	h5ad_positive_disease_count	h5ad_positive_diseases	h5ad_negative_context_count	h5ad_negative_disease_count	h5ad_negative_diseases	h5ad_best_positive_contexts	h5ad_best_negative_contexts	route_genes	intervention_direction	prior_status	route_note	wave32_blocking_status	wave32_verdict	wave32_lead_indication	wave48_verdict	wave48_blocker	wave30_call	wave30_intervention_score	wave30_gate_failures	wave30_europepmc_hit_count	wave30_clinicaltrials_hit_count	wave30_max_chembl_activity_records	wave74_call	wave74_blockers	wave92_call	controller_route_score
CD300_RECEPTOR_SPECIFIC_TUNING	6	4	-0.6472746245762127	0.005765650326165388	GSE12251_UC_ACT1_baseline	-0.31759458314039174	-0.7862887678963391	0.013236702892026655	True	True	-0.0131254030839232	-0.024503010580919592	0.952383844342841	True	False	3	2	-0.4860221343511571	0.40568603527234337	4	CD300A;CD300E;CD300C;CD300LF	-0.39395639265916965	-1.120425269869271	0.2625325814663273	False	False	MS_ROUTE_NULL_OR_WEAK	CD300E	16	2	2	psoriasis;ulcerative colitis	0	0		psoriasis_skin_apc:1.188,p=0.000284;ibd_uc_myeloid:1.13,p=0.0189		CD300A;CD300C;CD300E;CD300LF;CD300LG	receptor_specific_agonism_or_inhibitory_tuning	NOT_BLOCKED_BUT_DIRECTION_AMBIGUOUS	lipid/efferocytosis receptor family with unresolved receptor-specific direction	NOT_BLOCKED_BUT_DIRECTION_AMBIGUOUS	Plausible whitespace only if receptor-specific direction is proven	RA synovium or tissue-injury model first											NO_GO_NO_MS_WHITE_MATTER_ROUTE_ANCHOR	11.0
AHR_BARRIER_IMMUNE_METABOLITE_AXIS	6	4	-0.573098697792705	0.014193086335870313	GSE12251_UC_ACT1_baseline	-0.050315037746899646	-0.13016286202936886	0.6635704220547174	True	False	-0.3300430365939822	-0.9672569593851701	0.1086604037078804	True	True	3	2	-0.5568395064024146	0.4187838379587737	1	AHR	0.4506701497294898	1.0999857331003413	0.2713383380918426	False	False	MS_ROUTE_NULL_OR_WEAK	AHR	17	3	3	Crohn disease;psoriasis;ulcerative colitis	0	0		psoriasis_skin_stromal:1.395,p=0.0148;ibd_uc_epithelial:1.11,p=0.0149;ibd_crohn_epithelial:1.074,p=0.018		AHR;CYP1A1	contextual_AHR_modulation	PARK_PRIOR_ART_BROAD_CONTEXT_DEPENDENT	gut/skin/immune-metabolite axis with broad context dependence														NO_GO_NO_MS_WHITE_MATTER_ROUTE_ANCHOR	10.5
SQLE_STEROL_SYNTHESIS_AXIS	1	0	0.4957320989035493	0.023496837138398723	GSE16879_Crohn_colitis_Leuven_baseline	-0.5329749032772475	-0.6130900760505699	0.07202679826763389	True	True	-0.0530447792930574	-0.08903758997180566	0.838329346575756	True	False	3	1	-0.06879852237294208	0.55468808244855	1	SQLE	-0.3408177110309154	-0.9725897882420279	0.3307572199460259	False	False	MS_ROUTE_NULL_OR_WEAK	SQLE	17	4	4	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0	0		ibd_uc_stromal:1.646,p=0.00033;ibd_crohn_stromal:1.714,p=0.00116;t1d_endothelial_cell:1.299,p=0.0163		SQLE	squalene_epoxidase_modulation	PARK_DRUGGABLE_STEROL_AXIS_UNRESOLVED_RELEVANCE	drugged by antifungal chemistry but no clear MS/cross-autoimmune controller evidence yet														NO_GO_NO_MS_WHITE_MATTER_ROUTE_ANCHOR	9.5
FADS_DESATURATION_AXIS	5	4	-0.43333649969853927	0.0396954644792534	GSE16879_Crohn_all_Leuven_baseline	-0.6872967262263123	-1.0176061355225776	0.0026207663195656167	True	True	0.06339658639684881	0.27750443146174675	0.5223922117835967	False	False	2	2	-0.39114606791979006	0.6485852831963369	2	FADS1;FADS2	-1.0350157964706437	-2.601449233043961	0.00928308036518309	False	True	MS_ROUTE_DOWN_NOMINAL	FADS2	17	7	4	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0	0		ibd_uc_stromal:1.141,p=0.000165;ibd_crohn_epithelial:1.545,p=0.00107;psoriasis_skin_stromal:0.978,p=0.0143		FADS1;FADS2	lipid_desaturation_modulation	PARK_GENETIC_LIPID_AXIS_UNRESOLVED_DIRECTION	autoimmune lipid genetics route; direction and immune-cell specificity unresolved														NO_GO_NO_MS_WHITE_MATTER_ROUTE_ANCHOR	9.0
FPR2_ANXA1_BIASED_RESOLUTION	6	6	-1.4589799487892876	2.0471585441375916e-06	GSE16879_all_IBD_Leuven_baseline	0.26297188091080337	0.8559568762032372	0.020928512789056896	False	False	-0.2886318688946	-0.29669081880337017	0.6230241710599472	True	False	2	1	-0.29990463046314014	1.1574717587767125	2	FPR2;ANXA1	-0.5009801785230293	-0.7376684732301279	0.46071593465160887	False	False	MS_ROUTE_NULL_OR_WEAK	FPR2	17	4	3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0	0		t1d_beta_cell:1.594,p=0.000141;ibd_uc_epithelial:3.972,p=0.000142;t1d_acinar_cell:2.841,p=0.000237		FPR2;ANXA1	biased_agonism_or_resolution_enhancement	NOT_BLOCKED_BUT_IMMATURE	least-blocked pro-resolution/efferocytosis route from Wave48, but prior art and weak MS anchor remain concerns	NOT_BLOCKED_BUT_IMMATURE	Least blocked route, but not yet a finding	IBD first; MS only after CNS/peripheral PK-PD proof											NO_GO_NO_MS_WHITE_MATTER_ROUTE_ANCHOR	8.0
LIPA_LAL_LYSOSOMAL_LIPID_CLEARANCE	2	2	-0.06575332569143091	0.09023001596490828	GSE16879_UC_Leuven_baseline	-0.4586132320788566	-0.5439154266268184	0.06360149207618965	True	True	0.1842381384071895	0.28998478835505187	0.6094744139778947	False	False	2	2	-0.10656132132106579	0.41844517145879884	1	LIPA	0.4580110941773352	1.0972537090938284	0.27253050048443017	False	False	MS_ROUTE_NULL_OR_WEAK	LIPA	17	4	3	Crohn disease;psoriasis;type 1 diabetes mellitus	1	1	ulcerative colitis	t1d_ductal_cell:0.89,p=8.74e-09;t1d_acinar_cell:0.823,p=0.0128;psoriasis_keratinocyte:1.062,p=0.0492	ibd_uc_myeloid:-1.912,p=0.0334	LIPA	enzyme_enhancement_or_replacement	NOT_DIRECTLY_AUTOIMMUNE_BLOCKED_BUT_WEAK	enzyme replacement precedent but systemic lipid flux and weak MS support	NOT_DIRECTLY_AUTOIMMUNE_BLOCKED_BUT_WEAK	Parked, not promoted	Peripheral macrophage lipid-overload indication only if signal emerges			NO_GO_NICHE_DRIVER	2.95	cross_disease_support_gate;upstream_non_marker_gate;target_causality_gate;druggable_correct_direction_gate;selectivity_window_gate;prior_art_not_blocking_gate	1327.0	47.0	12.0			NO_GO_NO_MS_WHITE_MATTER_ROUTE_ANCHOR	7.75
PTGER4_PROSTAGLANDIN_E2_AXIS	6	5	-0.5889456731747243	0.031062565800127454	GSE16879_Crohn_all_Leuven_baseline	-0.45016852070402624	-0.7497381444989274	0.012375142968137746	True	True	0.5896190443996286	0.6165426366815769	0.14772486647872654	False	False	2	2	-0.24071372699735827	0.7467462149282441	2	PTGS2;PTGER4	-0.029062614347141746	-0.012243372890851114	0.9902314458501844	False	False	MS_ROUTE_NULL_OR_WEAK	PTGS2	17	2	2	Crohn disease;type 1 diabetes mellitus	2	2	psoriasis;ulcerative colitis	t1d_ductal_cell:0.803,p=0.00217;ibd_crohn_myeloid:0.869,p=0.029	ibd_uc_stromal:-1.088,p=0.011;psoriasis_keratinocyte:-1.424,p=0.0205	PTGER4;PTGS2	EP4_axis_modulation	PARK_GENETIC_PRIOR_ART_AND_DIRECTION_CONTEXT_DEPENDENT	autoimmune genetic locus and druggable GPCR, but agonism/antagonism direction varies by compartment														NO_GO_NO_MS_WHITE_MATTER_ROUTE_ANCHOR	6.5
GPR65_ENDOLYSOSOMAL_PH_CAMP	6	5	-1.12705025513854	0.00025722609700879357	GSE16879_all_IBD_Leuven_baseline	-0.46184249583898374	-0.7280919943168983	0.012778512264930333	True	True	0.2896399527355366	0.2905445391604229	0.5635921280719001	False	False	2	2	-0.5215325700983385	0.7310224668271195	1	GPR65	0.09040507812532	0.4899820626584647	0.6241465917972194	False	False	MS_ROUTE_NULL_OR_WEAK	GPR65	15	1	1	Sjogren syndrome	2	2	type 1 diabetes mellitus;ulcerative colitis	sjogren_gland_epithelial:0.74,p=0.0212	ibd_uc_stromal:-1.845,p=0.00348;t1d_ductal_cell:-0.576,p=0.0282	GPR65	agonism_or_positive_allosteric_modulation	PARK_GENETIC_DRUGGABLE_LOCAL_WEAK	genetic/druggable acid-sensing GPCR route; local lipid-state coupling previously weak						NO_GO_NICHE_DRIVER	3.5	cross_disease_support_gate;residual_or_state_gate;perturbation_or_model_gate;prior_art_not_blocking_gate	477.0	0.0	99.0			NO_GO_NO_MS_WHITE_MATTER_ROUTE_ANCHOR	6.0
GPR183_EBI2_OXYSTEROL_NICHE	6	3	-0.783975855802468	0.000910829119478765	GSE16879_Crohn_colitis_Leuven_baseline	-0.13180948175160903	-0.3352525939626233	0.346855143939454	True	False	0.19769681368694786	0.39261608405858	0.42635065168551217	False	False	2	1	-0.24220412190217044	0.593789240262136	5	CYP27A1;CYP7B1;HSD3B7;GPR183;CH25H	0.029597266894075786	0.8400592976231529	0.40087513990563595	False	False	MS_ROUTE_NULL_OR_WEAK	CYP7B1	17	2	1	type 1 diabetes mellitus	1	1	ulcerative colitis	t1d_endothelial_cell:1.262,p=0.00236;t1d_ductal_cell:0.371,p=0.0278	ibd_uc_epithelial:-1.303,p=0.0458	GPR183;CH25H;CYP7B1;HSD3B7;CYP27A1	oxysterol_niche_modulation	PARK_NO_COHERENT_LOCAL_PROGRAM	Wave74 parked because ligand, receptor, and response programs did not cohere across diseases												PARK_GPR183_OXYSTEROL_NICHE	no cross-disease coherent ligand-plus-GPR183-plus-response context; no local target-resolved genetics or direct intervention/druggability anchor; Wave66 oxysterol-like metabolites remain sparse	NO_GO_NO_MS_WHITE_MATTER_ROUTE_ANCHOR	5.25
SCD_MONOUNSATURATED_LIPID_AXIS	1	0	0.2617554406676484	0.0009766541210028598	GSE12251_UC_ACT1_baseline	0.09757934651504115	0.1143672931805246	0.6545390805616962	False	False	-0.14534794286518782	-0.1891586391630397	0.6778073678528269	True	False	2	0	0.06232136489504442	0.229918378638403	1	SCD	0.3699574700771606	1.4142770736088774	0.15728056573126764	False	False	MS_ROUTE_NULL_OR_WEAK	SCD	17	5	4	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	1	1	ulcerative colitis	psoriasis_keratinocyte:3.516,p=0.000195;ibd_uc_epithelial:2.815,p=0.000528;ibd_crohn_epithelial:2.551,p=0.00179	ibd_uc_myeloid:-2.839,p=0.016	SCD	SCD_modulation	PARK_DRUGGABLE_METABOLIC_AXIS_UNRESOLVED_AUTOIMMUNE_DIRECTION	druggable metabolic enzyme; chronic autoimmune direction and tolerability unresolved														PARK_DIRECTION_ONLY_UNDERPOWERED_RESPONSE_ROUTE	5.25
