gene_symbol	uniprot_id	polymer_entity_id	entry_id	entity_id	description	entity_length	reference_sequence_coverage	entity_sequence_coverage	reference_ranges	auth_asym_ids	source_url
CD74	P04233	8VRW_3	8VRW	3	HLA class II histocompatibility antigen gamma chain	308	0.9966216216216216	0.9577922077922078	2-296	C,F,I	https://data.rcsb.org/rest/v1/core/polymer_entity/8VRW/3
CD74	P04233	8VSP_3	8VSP	3	HLA class II histocompatibility antigen gamma chain	308	0.9966216216216216	0.9577922077922078	2-296	C,F,I	https://data.rcsb.org/rest/v1/core/polymer_entity/8VSP/3
CD74	P04233	1IIE_1	1IIE	1	PROTEIN (HLA-DR ANTIGENS ASSOCIATED INVARIANT CHAIN)	75	0.2533783783783784	1.0	134-208	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/1IIE/1
CD74	P04233	1ICF_3	1ICF	3	PROTEIN (INVARIANT CHAIN)	65	0.2195945945945946	1.0	210-274	I,J	https://data.rcsb.org/rest/v1/core/polymer_entity/1ICF/3
CD74	P04233	1L3H_1	1L3H	1	MHC CLASS II-ASSOCIATED P41 INVARIANT CHAIN FRAGMENT (P41icf)	65	0.2195945945945946	1.0	210-274	A	https://data.rcsb.org/rest/v1/core/polymer_entity/1L3H/1
CD74	P04233	1MUJ_3	1MUJ	3	CLIP peptide	36	0.08783783783783784	0.7222222222222222	97-122	C	https://data.rcsb.org/rest/v1/core/polymer_entity/1MUJ/3
CD74	P04233	3PDO_3	3PDO	3	HLA class II histocompatibility antigen gamma chain	19	0.06418918918918919	1.0	102-120	C	https://data.rcsb.org/rest/v1/core/polymer_entity/3PDO/3
CD74	P04233	4X5W_3	4X5W	3	HLA class II histocompatibility antigen gamma chain	19	0.06418918918918919	1.0	102-120	C	https://data.rcsb.org/rest/v1/core/polymer_entity/4X5W/3
CD74	P04233	1A6A_3	1A6A	3	HLA class II histocompatibility antigen, gamma chain	15	0.05067567567567568	1.0	103-117	C	https://data.rcsb.org/rest/v1/core/polymer_entity/1A6A/3
CD74	P04233	3PGC_3	3PGC	3	HLA class II histocompatibility antigen gamma chain	15	0.05067567567567568	1.0	106-120	C,F	https://data.rcsb.org/rest/v1/core/polymer_entity/3PGC/3
