portfolio_size	package_ids	n_methods	n_decisions	methods	decisions	burden_min	burden_max	min_scenario_score	max_scenario_score	pareto
1	D02_ms_response_single_cell_trajectory	5	3	M14;M15;M16;M20;M23	composition_response;trajectory_response;within_cell_response	3	5	3	3	True
1	D05_randomized_progression_molecular_substudy	5	3	M12;M20;M22;M23;M29	mediation_identifiability;progression_trajectory;treatment_molecular_mechanism	4	5	3	7	True
1	D04_randomized_progression_trial_ipd	4	3	M09;M21;M25;M30	causal_treatment_effect;clinical_utility;effect_transport	2	4	3	14	True
1	D01_independent_ms_response_bulk	4	2	M11;M12;M13;M29	cross_cohort_transport;external_monitoring_validation	1	2	2	9	True
1	D03_longitudinal_progression_molecular_ipd	4	3	M21;M22;M23;M24	mediation_identifiability;progression_association;progression_trajectory	4	5	3	11	False
1	D06_primary_human_directional_perturbation	4	3	M04;M05;M17;M30	causal_axis_orientation;functional_safety;intervention_direction	3	5	3	15	False
1	D08_genotype_linked_immune_perturbation	4	3	M05;M06;M22;M30	causal_gene_direction;context_specific_genetic_effect;mediation_identifiability	3	5	3	6	False
1	D07_replicated_lesion_spatial	3	2	M18;M19;M20	progression_compartment_localization;spatial_neighborhood	2	4	2	5	False
2	D02_ms_response_single_cell_trajectory;D04_randomized_progression_trial_ipd	9	6	M09;M14;M15;M16;M20;M21;M23;M25;M30	causal_treatment_effect;clinical_utility;composition_response;effect_transport;trajectory_response;within_cell_response	5	9	6	17	True
2	D04_randomized_progression_trial_ipd;D05_randomized_progression_molecular_substudy	9	6	M09;M12;M20;M21;M22;M23;M25;M29;M30	causal_treatment_effect;clinical_utility;effect_transport;mediation_identifiability;progression_trajectory;treatment_molecular_mechanism	6	9	6	20	True
2	D01_independent_ms_response_bulk;D02_ms_response_single_cell_trajectory	9	5	M11;M12;M13;M14;M15;M16;M20;M23;M29	composition_response;cross_cohort_transport;external_monitoring_validation;trajectory_response;within_cell_response	4	7	5	12	True
2	D01_independent_ms_response_bulk;D04_randomized_progression_trial_ipd	8	5	M09;M11;M12;M13;M21;M25;M29;M30	causal_treatment_effect;clinical_utility;cross_cohort_transport;effect_transport;external_monitoring_validation	3	6	5	16	True
2	D02_ms_response_single_cell_trajectory;D06_primary_human_directional_perturbation	9	6	M04;M05;M14;M15;M16;M17;M20;M23;M30	causal_axis_orientation;composition_response;functional_safety;intervention_direction;trajectory_response;within_cell_response	6	10	6	18	False
2	D02_ms_response_single_cell_trajectory;D08_genotype_linked_immune_perturbation	9	6	M05;M06;M14;M15;M16;M20;M22;M23;M30	causal_gene_direction;composition_response;context_specific_genetic_effect;mediation_identifiability;trajectory_response;within_cell_response	6	10	6	9	False
2	D05_randomized_progression_molecular_substudy;D06_primary_human_directional_perturbation	9	6	M04;M05;M12;M17;M20;M22;M23;M29;M30	causal_axis_orientation;functional_safety;intervention_direction;mediation_identifiability;progression_trajectory;treatment_molecular_mechanism	7	10	6	21	False
2	D02_ms_response_single_cell_trajectory;D03_longitudinal_progression_molecular_ipd	8	6	M14;M15;M16;M20;M21;M22;M23;M24	composition_response;mediation_identifiability;progression_association;progression_trajectory;trajectory_response;within_cell_response	7	10	6	14	False
2	D02_ms_response_single_cell_trajectory;D05_randomized_progression_molecular_substudy	8	6	M12;M14;M15;M16;M20;M22;M23;M29	composition_response;mediation_identifiability;progression_trajectory;trajectory_response;treatment_molecular_mechanism;within_cell_response	7	10	6	10	False
2	D03_longitudinal_progression_molecular_ipd;D06_primary_human_directional_perturbation	8	6	M04;M05;M17;M21;M22;M23;M24;M30	causal_axis_orientation;functional_safety;intervention_direction;mediation_identifiability;progression_association;progression_trajectory	7	10	6	18	False
2	D01_independent_ms_response_bulk;D03_longitudinal_progression_molecular_ipd	8	5	M11;M12;M13;M21;M22;M23;M24;M29	cross_cohort_transport;external_monitoring_validation;mediation_identifiability;progression_association;progression_trajectory	5	7	5	13	False
2	D01_independent_ms_response_bulk;D06_primary_human_directional_perturbation	8	5	M04;M05;M11;M12;M13;M17;M29;M30	causal_axis_orientation;cross_cohort_transport;external_monitoring_validation;functional_safety;intervention_direction	4	7	5	17	False
2	D01_independent_ms_response_bulk;D08_genotype_linked_immune_perturbation	8	5	M05;M06;M11;M12;M13;M22;M29;M30	causal_gene_direction;context_specific_genetic_effect;cross_cohort_transport;external_monitoring_validation;mediation_identifiability	4	7	5	12	False
2	D05_randomized_progression_molecular_substudy;D08_genotype_linked_immune_perturbation	8	5	M05;M06;M12;M20;M22;M23;M29;M30	causal_gene_direction;context_specific_genetic_effect;mediation_identifiability;progression_trajectory;treatment_molecular_mechanism	7	10	5	9	False
2	D03_longitudinal_progression_molecular_ipd;D04_randomized_progression_trial_ipd	7	6	M09;M21;M22;M23;M24;M25;M30	causal_treatment_effect;clinical_utility;effect_transport;mediation_identifiability;progression_association;progression_trajectory	6	9	6	20	False
2	D04_randomized_progression_trial_ipd;D06_primary_human_directional_perturbation	7	6	M04;M05;M09;M17;M21;M25;M30	causal_axis_orientation;causal_treatment_effect;clinical_utility;effect_transport;functional_safety;intervention_direction	5	9	6	18	False
2	D04_randomized_progression_trial_ipd;D08_genotype_linked_immune_perturbation	7	6	M05;M06;M09;M21;M22;M25;M30	causal_gene_direction;causal_treatment_effect;clinical_utility;context_specific_genetic_effect;effect_transport;mediation_identifiability	5	9	6	20	False
2	D01_independent_ms_response_bulk;D05_randomized_progression_molecular_substudy	7	5	M11;M12;M13;M20;M22;M23;M29	cross_cohort_transport;external_monitoring_validation;mediation_identifiability;progression_trajectory;treatment_molecular_mechanism	5	7	5	12	False
2	D04_randomized_progression_trial_ipd;D07_replicated_lesion_spatial	7	5	M09;M18;M19;M20;M21;M25;M30	causal_treatment_effect;clinical_utility;effect_transport;progression_compartment_localization;spatial_neighborhood	4	8	5	16	False
2	D02_ms_response_single_cell_trajectory;D07_replicated_lesion_spatial	7	5	M14;M15;M16;M18;M19;M20;M23	composition_response;progression_compartment_localization;spatial_neighborhood;trajectory_response;within_cell_response	5	9	5	8	False
2	D03_longitudinal_progression_molecular_ipd;D07_replicated_lesion_spatial	7	5	M18;M19;M20;M21;M22;M23;M24	mediation_identifiability;progression_association;progression_compartment_localization;progression_trajectory;spatial_neighborhood	6	9	5	16	False
2	D05_randomized_progression_molecular_substudy;D07_replicated_lesion_spatial	7	5	M12;M18;M19;M20;M22;M23;M29	mediation_identifiability;progression_compartment_localization;progression_trajectory;spatial_neighborhood;treatment_molecular_mechanism	6	9	5	12	False
2	D06_primary_human_directional_perturbation;D07_replicated_lesion_spatial	7	5	M04;M05;M17;M18;M19;M20;M30	causal_axis_orientation;functional_safety;intervention_direction;progression_compartment_localization;spatial_neighborhood	5	9	5	17	False
2	D07_replicated_lesion_spatial;D08_genotype_linked_immune_perturbation	7	5	M05;M06;M18;M19;M20;M22;M30	causal_gene_direction;context_specific_genetic_effect;mediation_identifiability;progression_compartment_localization;spatial_neighborhood	5	9	5	8	False
2	D03_longitudinal_progression_molecular_ipd;D08_genotype_linked_immune_perturbation	7	5	M05;M06;M21;M22;M23;M24;M30	causal_gene_direction;context_specific_genetic_effect;mediation_identifiability;progression_association;progression_trajectory	7	10	5	13	False
2	D01_independent_ms_response_bulk;D07_replicated_lesion_spatial	7	4	M11;M12;M13;M18;M19;M20;M29	cross_cohort_transport;external_monitoring_validation;progression_compartment_localization;spatial_neighborhood	3	6	4	11	False
2	D03_longitudinal_progression_molecular_ipd;D05_randomized_progression_molecular_substudy	7	4	M12;M20;M21;M22;M23;M24;M29	mediation_identifiability;progression_association;progression_trajectory;treatment_molecular_mechanism	8	10	4	12	False
2	D06_primary_human_directional_perturbation;D08_genotype_linked_immune_perturbation	6	6	M04;M05;M06;M17;M22;M30	causal_axis_orientation;causal_gene_direction;context_specific_genetic_effect;functional_safety;intervention_direction;mediation_identifiability	6	10	6	18	False
3	D01_independent_ms_response_bulk;D02_ms_response_single_cell_trajectory;D04_randomized_progression_trial_ipd	13	8	M09;M11;M12;M13;M14;M15;M16;M20;M21;M23;M25;M29;M30	causal_treatment_effect;clinical_utility;composition_response;cross_cohort_transport;effect_transport;external_monitoring_validation;trajectory_response;within_cell_response	6	11	8	19	True
3	D02_ms_response_single_cell_trajectory;D04_randomized_progression_trial_ipd;D05_randomized_progression_molecular_substudy	12	9	M09;M12;M14;M15;M16;M20;M21;M22;M23;M25;M29;M30	causal_treatment_effect;clinical_utility;composition_response;effect_transport;mediation_identifiability;progression_trajectory;trajectory_response;treatment_molecular_mechanism;within_cell_response	9	14	9	23	True
3	D02_ms_response_single_cell_trajectory;D04_randomized_progression_trial_ipd;D06_primary_human_directional_perturbation	12	9	M04;M05;M09;M14;M15;M16;M17;M20;M21;M23;M25;M30	causal_axis_orientation;causal_treatment_effect;clinical_utility;composition_response;effect_transport;functional_safety;intervention_direction;trajectory_response;within_cell_response	8	14	9	21	True
3	D02_ms_response_single_cell_trajectory;D04_randomized_progression_trial_ipd;D08_genotype_linked_immune_perturbation	12	9	M05;M06;M09;M14;M15;M16;M20;M21;M22;M23;M25;M30	causal_gene_direction;causal_treatment_effect;clinical_utility;composition_response;context_specific_genetic_effect;effect_transport;mediation_identifiability;trajectory_response;within_cell_response	8	14	9	23	True
3	D04_randomized_progression_trial_ipd;D05_randomized_progression_molecular_substudy;D06_primary_human_directional_perturbation	12	9	M04;M05;M09;M12;M17;M20;M21;M22;M23;M25;M29;M30	causal_axis_orientation;causal_treatment_effect;clinical_utility;effect_transport;functional_safety;intervention_direction;mediation_identifiability;progression_trajectory;treatment_molecular_mechanism	9	14	9	24	True
3	D01_independent_ms_response_bulk;D04_randomized_progression_trial_ipd;D07_replicated_lesion_spatial	11	7	M09;M11;M12;M13;M18;M19;M20;M21;M25;M29;M30	causal_treatment_effect;clinical_utility;cross_cohort_transport;effect_transport;external_monitoring_validation;progression_compartment_localization;spatial_neighborhood	5	10	7	18	True
3	D01_independent_ms_response_bulk;D02_ms_response_single_cell_trajectory;D06_primary_human_directional_perturbation	13	8	M04;M05;M11;M12;M13;M14;M15;M16;M17;M20;M23;M29;M30	causal_axis_orientation;composition_response;cross_cohort_transport;external_monitoring_validation;functional_safety;intervention_direction;trajectory_response;within_cell_response	7	12	8	20	False
3	D01_independent_ms_response_bulk;D02_ms_response_single_cell_trajectory;D08_genotype_linked_immune_perturbation	13	8	M05;M06;M11;M12;M13;M14;M15;M16;M20;M22;M23;M29;M30	causal_gene_direction;composition_response;context_specific_genetic_effect;cross_cohort_transport;external_monitoring_validation;mediation_identifiability;trajectory_response;within_cell_response	7	12	8	15	False
3	D02_ms_response_single_cell_trajectory;D03_longitudinal_progression_molecular_ipd;D06_primary_human_directional_perturbation	12	9	M04;M05;M14;M15;M16;M17;M20;M21;M22;M23;M24;M30	causal_axis_orientation;composition_response;functional_safety;intervention_direction;mediation_identifiability;progression_association;progression_trajectory;trajectory_response;within_cell_response	10	15	9	21	False
3	D02_ms_response_single_cell_trajectory;D05_randomized_progression_molecular_substudy;D06_primary_human_directional_perturbation	12	9	M04;M05;M12;M14;M15;M16;M17;M20;M22;M23;M29;M30	causal_axis_orientation;composition_response;functional_safety;intervention_direction;mediation_identifiability;progression_trajectory;trajectory_response;treatment_molecular_mechanism;within_cell_response	10	15	9	24	False
3	D01_independent_ms_response_bulk;D02_ms_response_single_cell_trajectory;D03_longitudinal_progression_molecular_ipd	12	8	M11;M12;M13;M14;M15;M16;M20;M21;M22;M23;M24;M29	composition_response;cross_cohort_transport;external_monitoring_validation;mediation_identifiability;progression_association;progression_trajectory;trajectory_response;within_cell_response	8	12	8	16	False
3	D01_independent_ms_response_bulk;D03_longitudinal_progression_molecular_ipd;D06_primary_human_directional_perturbation	12	8	M04;M05;M11;M12;M13;M17;M21;M22;M23;M24;M29;M30	causal_axis_orientation;cross_cohort_transport;external_monitoring_validation;functional_safety;intervention_direction;mediation_identifiability;progression_association;progression_trajectory	8	12	8	20	False
3	D02_ms_response_single_cell_trajectory;D03_longitudinal_progression_molecular_ipd;D04_randomized_progression_trial_ipd	11	9	M09;M14;M15;M16;M20;M21;M22;M23;M24;M25;M30	causal_treatment_effect;clinical_utility;composition_response;effect_transport;mediation_identifiability;progression_association;progression_trajectory;trajectory_response;within_cell_response	9	14	9	23	False
3	D02_ms_response_single_cell_trajectory;D06_primary_human_directional_perturbation;D08_genotype_linked_immune_perturbation	11	9	M04;M05;M06;M14;M15;M16;M17;M20;M22;M23;M30	causal_axis_orientation;causal_gene_direction;composition_response;context_specific_genetic_effect;functional_safety;intervention_direction;mediation_identifiability;trajectory_response;within_cell_response	9	15	9	21	False
3	D01_independent_ms_response_bulk;D03_longitudinal_progression_molecular_ipd;D04_randomized_progression_trial_ipd	11	8	M09;M11;M12;M13;M21;M22;M23;M24;M25;M29;M30	causal_treatment_effect;clinical_utility;cross_cohort_transport;effect_transport;external_monitoring_validation;mediation_identifiability;progression_association;progression_trajectory	7	11	8	22	False
3	D01_independent_ms_response_bulk;D04_randomized_progression_trial_ipd;D05_randomized_progression_molecular_substudy	11	8	M09;M11;M12;M13;M20;M21;M22;M23;M25;M29;M30	causal_treatment_effect;clinical_utility;cross_cohort_transport;effect_transport;external_monitoring_validation;mediation_identifiability;progression_trajectory;treatment_molecular_mechanism	7	11	8	22	False
3	D01_independent_ms_response_bulk;D04_randomized_progression_trial_ipd;D06_primary_human_directional_perturbation	11	8	M04;M05;M09;M11;M12;M13;M17;M21;M25;M29;M30	causal_axis_orientation;causal_treatment_effect;clinical_utility;cross_cohort_transport;effect_transport;external_monitoring_validation;functional_safety;intervention_direction	6	11	8	20	False
3	D01_independent_ms_response_bulk;D04_randomized_progression_trial_ipd;D08_genotype_linked_immune_perturbation	11	8	M05;M06;M09;M11;M12;M13;M21;M22;M25;M29;M30	causal_gene_direction;causal_treatment_effect;clinical_utility;context_specific_genetic_effect;cross_cohort_transport;effect_transport;external_monitoring_validation;mediation_identifiability	6	11	8	22	False
3	D01_independent_ms_response_bulk;D05_randomized_progression_molecular_substudy;D06_primary_human_directional_perturbation	11	8	M04;M05;M11;M12;M13;M17;M20;M22;M23;M29;M30	causal_axis_orientation;cross_cohort_transport;external_monitoring_validation;functional_safety;intervention_direction;mediation_identifiability;progression_trajectory;treatment_molecular_mechanism	8	12	8	23	False
3	D02_ms_response_single_cell_trajectory;D04_randomized_progression_trial_ipd;D07_replicated_lesion_spatial	11	8	M09;M14;M15;M16;M18;M19;M20;M21;M23;M25;M30	causal_treatment_effect;clinical_utility;composition_response;effect_transport;progression_compartment_localization;spatial_neighborhood;trajectory_response;within_cell_response	7	13	8	19	False
3	D04_randomized_progression_trial_ipd;D05_randomized_progression_molecular_substudy;D07_replicated_lesion_spatial	11	8	M09;M12;M18;M19;M20;M21;M22;M23;M25;M29;M30	causal_treatment_effect;clinical_utility;effect_transport;mediation_identifiability;progression_compartment_localization;progression_trajectory;spatial_neighborhood;treatment_molecular_mechanism	8	13	8	22	False
3	D02_ms_response_single_cell_trajectory;D06_primary_human_directional_perturbation;D07_replicated_lesion_spatial	11	8	M04;M05;M14;M15;M16;M17;M18;M19;M20;M23;M30	causal_axis_orientation;composition_response;functional_safety;intervention_direction;progression_compartment_localization;spatial_neighborhood;trajectory_response;within_cell_response	8	14	8	20	False
3	D02_ms_response_single_cell_trajectory;D07_replicated_lesion_spatial;D08_genotype_linked_immune_perturbation	11	8	M05;M06;M14;M15;M16;M18;M19;M20;M22;M23;M30	causal_gene_direction;composition_response;context_specific_genetic_effect;mediation_identifiability;progression_compartment_localization;spatial_neighborhood;trajectory_response;within_cell_response	8	14	8	11	False
3	D03_longitudinal_progression_molecular_ipd;D06_primary_human_directional_perturbation;D07_replicated_lesion_spatial	11	8	M04;M05;M17;M18;M19;M20;M21;M22;M23;M24;M30	causal_axis_orientation;functional_safety;intervention_direction;mediation_identifiability;progression_association;progression_compartment_localization;progression_trajectory;spatial_neighborhood	9	14	8	20	False
3	D04_randomized_progression_trial_ipd;D05_randomized_progression_molecular_substudy;D08_genotype_linked_immune_perturbation	11	8	M05;M06;M09;M12;M20;M21;M22;M23;M25;M29;M30	causal_gene_direction;causal_treatment_effect;clinical_utility;context_specific_genetic_effect;effect_transport;mediation_identifiability;progression_trajectory;treatment_molecular_mechanism	9	14	8	22	False
3	D05_randomized_progression_molecular_substudy;D06_primary_human_directional_perturbation;D07_replicated_lesion_spatial	11	8	M04;M05;M12;M17;M18;M19;M20;M22;M23;M29;M30	causal_axis_orientation;functional_safety;intervention_direction;mediation_identifiability;progression_compartment_localization;progression_trajectory;spatial_neighborhood;treatment_molecular_mechanism	9	14	8	23	False
3	D02_ms_response_single_cell_trajectory;D03_longitudinal_progression_molecular_ipd;D08_genotype_linked_immune_perturbation	11	8	M05;M06;M14;M15;M16;M20;M21;M22;M23;M24;M30	causal_gene_direction;composition_response;context_specific_genetic_effect;mediation_identifiability;progression_association;progression_trajectory;trajectory_response;within_cell_response	10	15	8	16	False
3	D02_ms_response_single_cell_trajectory;D05_randomized_progression_molecular_substudy;D08_genotype_linked_immune_perturbation	11	8	M05;M06;M12;M14;M15;M16;M20;M22;M23;M29;M30	causal_gene_direction;composition_response;context_specific_genetic_effect;mediation_identifiability;progression_trajectory;trajectory_response;treatment_molecular_mechanism;within_cell_response	10	15	8	12	False
3	D01_independent_ms_response_bulk;D02_ms_response_single_cell_trajectory;D07_replicated_lesion_spatial	11	7	M11;M12;M13;M14;M15;M16;M18;M19;M20;M23;M29	composition_response;cross_cohort_transport;external_monitoring_validation;progression_compartment_localization;spatial_neighborhood;trajectory_response;within_cell_response	6	11	7	14	False
3	D01_independent_ms_response_bulk;D03_longitudinal_progression_molecular_ipd;D07_replicated_lesion_spatial	11	7	M11;M12;M13;M18;M19;M20;M21;M22;M23;M24;M29	cross_cohort_transport;external_monitoring_validation;mediation_identifiability;progression_association;progression_compartment_localization;progression_trajectory;spatial_neighborhood	7	11	7	18	False
3	D01_independent_ms_response_bulk;D06_primary_human_directional_perturbation;D07_replicated_lesion_spatial	11	7	M04;M05;M11;M12;M13;M17;M18;M19;M20;M29;M30	causal_axis_orientation;cross_cohort_transport;external_monitoring_validation;functional_safety;intervention_direction;progression_compartment_localization;spatial_neighborhood	6	11	7	19	False
