cohort_id	mode	gate_or_output	path	expected_status_or_role	exists_now	handoff_required	interpretation
gse228330_ocrelizumab	pharmacodynamic	data_use_terms	data/quarantine/gse228330_ocrelizumab/governance/data_use_terms_summary.tsv	status=approved_for_preflight	False	True	gate/handoff manifest only; no biological claim
gse228330_ocrelizumab	pharmacodynamic	checksum_manifest	analysis/validation_command_runs/checksum_manifest/gse228330_ocrelizumab/manifest_audit_summary.json	overall_status=PASS	False	True	gate/handoff manifest only; no biological claim
gse228330_ocrelizumab	pharmacodynamic	intake_preflight	analysis/validation_command_runs/intake_preflight/gse228330_ocrelizumab/preflight_summary.json	overall_status=PASS	False	True	gate/handoff manifest only; no biological claim
gse228330_ocrelizumab	pharmacodynamic	response_column_audit	analysis/validation_command_runs/response_column_audit/gse228330_ocrelizumab/response_column_audit_summary.json	PASS for context-only packages with no response-like columns	False	True	gate/handoff manifest only; no biological claim
gse228330_ocrelizumab	pharmacodynamic	module_coverage_precheck	analysis/validation_command_runs/module_coverage/gse228330_ocrelizumab/module_coverage_precheck_summary.json	overall_status=PASS when expression matrix is used	False	True	gate/handoff manifest only; no biological claim
gse228330_ocrelizumab	pharmacodynamic	subject_map_sanity	analysis/validation_command_runs/subject_map_sanity/gse228330_ocrelizumab/subject_map_summary.json	overall_status=PASS when paired deltas are required	False	True	gate/handoff manifest only; no biological claim
gse228330_ocrelizumab	pharmacodynamic	outcome_dictionary	data/quarantine/gse228330_ocrelizumab/metadata/outcome_label_dictionary.tsv	frozen before response scoring	False	True	gate/handoff manifest only; no biological claim
gse228330_ocrelizumab	pharmacodynamic	locked_artifact_hash_audit	analysis/v45_locked_artifact_hash_audit/locked_artifact_hash_audit_summary.json	overall_status=PASS	True	True	gate/handoff manifest only; no biological claim
gse228330_ocrelizumab	pharmacodynamic	precommit_readiness	analysis/v45_precommit_readiness/precommit_readiness_summary.json	overall_status=PASS	True	True	gate/handoff manifest only; no biological claim
gse228330_ocrelizumab	pharmacodynamic	validation_summary	analysis/validation_runs/gse228330_ocrelizumab/validation_summary.json	written by frozen harness after all gates pass	False	False	gate/handoff manifest only; no biological claim
gse228330_ocrelizumab	pharmacodynamic	validation_result_report	analysis/validation_runs/gse228330_ocrelizumab/VALIDATION_RESULT_REPORT.md	filled from V45 template after frozen harness run	False	False	gate/handoff manifest only; no biological claim
