source	objection_id	target_claim	grounded_outcome	disposition	evidence	artifacts	changes_evidential_grade	changes_progression_or_target_verdict
claude	OBJ1	Pooled morphology association for OXPHOS/lysosomal is lesion-context-bounded but real, based on donor-wild p 0.0107/0.0108 and stable LODO directions.	held_changes_evidential_grade	valid_selection_risk_confirmed	Holm across the complete 12-test post-result morphology sequence leaves only a partial resident-adjusted variant passing; the required fully adjusted lysosomal and both mutual-adjustment endpoints fail.	analysis/v54_post_result_morphology_multiplicity/global_post_result_family.tsv;analysis/v54_post_result_morphology_multiplicity/summary.json	True	False
claude	OBJ2	CD44/CXCR4 is inconclusive but same-direction across Amsterdam WM and UK GM in the Macnair 44-donor comparison.	failed_as_positive_heterogeneity_claim	concrete_check_completed	No five-module source-by-stage interaction passes HC3, 300,000 reduced-model wild nulls, BH, and max-T. CD44/CXCR4 source effects are similar but individually imprecise.	analysis/v54_progressive_stage_source_interaction/interaction_tests.tsv;analysis/v54_progressive_stage_source_interaction/source_effects_lodo.tsv	False	False
claude	OBJ3	CD44/CXCR4 is 3/3 higher at chronic-active edges in GSE180759.	already_addressed	requested_safeguard_already_committed	The actual family contains six, not five, modules. CD44/CXCR4 3/3 has exact two-sided p=0.25, BH q=0.50, max-T p=0.25, and is explicitly descriptive/inconclusive.	analysis/v54_progression_lesion_state/gse180759_active_inactive_exact_tests.tsv;analysis/v54_progression_lesion_state/cross_context_outcomes.tsv	False	False
claude	OBJ4	CNS-versus-peripheral localization is not identifiable, and no peripheral null was computed.	already_addressed	fail_closed_contract_already_committed	GSE228330 is formally ineligible and context-only until its subject map, expression, batch, composition, and disability fields pass the P1/P2 contract; the ready-unsent addendum names every blocker.	analysis/v54_cns_peripheral_identifiability/summary.json;docs/validation/PROGRESSION_COHORT_ACQUISITION_SPEC_V54.md;docs/validation/outbound_requests/gse228330_progression_metadata_addendum_V54.md	False	False
claude	OBJ5	The synthetic power grid establishes that null FPR is 0.043 median / 0.060 max and that 7/24 non-null scenarios reach 80% power; OR 1.25/1.5 do not at n=240.	calibration_concern_failed_label_noise_concern_held	two_part_check_completed	The 0.060 null maximum is 90/1,500 with Wilson CI 0.049-0.073; no cell lower bound exceeds 0.05 and the 48-cell reference max-tail is 0.895. Separate 5%/10% label-noise runs materially reduce power and tighten acquisition requirements.	analysis/v54_progression_power_calibration_audit/summary.json;analysis/v54_progression_power_label_noise/summary.json	False	False
claude	OBJ6	0/9 pre-existing candidate states pass the progression-specific first gate and no target closure changed.	already_addressed_with_traceability_tightening	objection_conflates_sequential_gates	The 0/9 result is determined entirely by the frozen first progression-specific gate. Downstream V53 context uses explicit numeric and corrected rules but cannot rescue a first-gate failure; no threshold was created after the V54 result.	docs/plans/PROGRESSION_INTERVENTION_DIRECTION_MAP_V54.md;analysis/v54_progression_intervention_direction_map/gate_counts.tsv;scripts/v53_network_control_probe.py;scripts/v53_combinatorial_intervention_probe.py;analysis/v53_causal_identifiability_sensitivity/summary.json	False	False
gemini	STATIC_PROGRESSION_LEAP	The collective evidence from cross-sectional comparisons (PPMS vs. SPMS, active vs. inactive lesions) provides insight into MS progression.	proposal_rejected_semantic_and_artifact_mismatch	targets_a_claim_not_made	V54 explicitly prohibits ordering cross-sectional stage and morphology states as temporal progression. The committed inputs are not a shared cell-level trajectory object, and pseudotime cannot manufacture disability time or conversion labels.	analysis/v54_progression_data_inventory/progression_question_semantic_contract.tsv;analysis/v54_transition_identifiability/transition_identifiability.tsv	False	False
gemini	PM_INTERACTION_FAILURE	The postmortem microglia comparison (PPMS vs. SPMS) yielded a null result for all modules after being 'nuisance and source controlled'.	failed_as_positive_heterogeneity_claim	concrete_check_completed	Formal source-by-stage interactions were run for all five modules. None passes. The source/tissue-confounded heterogeneity hypothesis is therefore unsupported, not converted into a positive finding.	analysis/v54_progressive_stage_source_interaction/interaction_tests.tsv	False	False
gemini	MORPH_LODO_CONFUSION	The pooled morphology associations (OXPHOS, lysosomal) are robust, as demonstrated by the stability of effect directions in all 21 leave-one-donor-out (LODO) models.	held_changes_morphology_interpretation	concern_valid_proposed_test_replaced	The proposed Fisher test is invalid for repeated multi-class samples. A donor-FE audit shows only 6/21 donors and 3/43 donor-lesion blocks vary in morphology; OXPHOS is direction-retained but null/unstable and lysosomal reverses near zero within donors.	analysis/v54_foamy_donor_estimand_audit/within_donor_tests.tsv;analysis/v54_foamy_donor_estimand_audit/donor_lesion_morphology_coverage.tsv	True	False
gemini	INTERACTION_MODEL_INSTABILITY	The direct lesion-class-3-versus-class-2 interactions for morphology effects are null, contributing to the 'unresolved transport' conclusion.	partly_held_wording_already_bounded	influence_check_completed	Donor deletion flips signs around near-zero interactions, but no deletion changes either coefficient by more than one committed cluster SE. This supports under-resolution, not a donor-specific interaction finding or a valid pooled upgrade.	analysis/v54_foamy_donor_estimand_audit/interaction_donor_influence.tsv;analysis/v54_foamy_lesion_heterogeneity/interaction_tests.tsv	False	False
gemini	SIMULATION_ASSUMPTION_BLINDNESS	The synthetic power grid simulation validates the future acquisition design and provides a reliable estimate of statistical power (e.g., n=240 is insufficient for OR 1.25).	partly_held_design_sensitivity_added	assumptions_were_disclosed_requested_empirical_mapping_rejected	The committed config already lists every parameter. Cross-sectional lesion variance cannot estimate progression-event noise. Prespecified 5%/10% synthetic label-error runs nonetheless show material power loss and make endpoint adjudication mandatory.	analysis/v54_progression_event_power_design/simulation_config.json;analysis/v54_progression_power_label_noise/summary.json;docs/plans/PROGRESSION_POWER_CALIBRATION_AND_LABEL_NOISE_V54.md	False	False
