pert_id	compound	target	moa	mechanism_class	call	passed_gates	gate_count	failed_gates	n_opposite_queries	opposite_queries	best_opposite_rank	min_opposite_qval	max_opposite_abs_score	wave24_call	wave24_blocker	promotion_gate
BRD-A20131130	BRD-A20131130	nan			NO_REOPEN_L1000_UPSTREAM_REGULATOR	7	9	known_target;mechanism_class_relevant	2	ifn_lysosomal_apc_state;mif_cd74_receptor_state	3	3.08543314439944e-07	16.972606567312337	PARK_UNKNOWN	unresolved target/MOA; cannot nominate without deconvolution	PARK_UNKNOWN_ONLY
BRD-K33583600	BRD-K33583600	nan			NO_REOPEN_L1000_UPSTREAM_REGULATOR	7	9	known_target;mechanism_class_relevant	2	ifn_lysosomal_apc_state;mif_cd74_receptor_state	23	8.83733908701768e-06	13.346524291237044	PARK_UNKNOWN	unresolved target/MOA; cannot nominate without deconvolution	PARK_UNKNOWN_ONLY
BRD-K92301463	BRD-K92301463	nan			NO_REOPEN_L1000_UPSTREAM_REGULATOR	7	9	known_target;mechanism_class_relevant	2	ifn_lysosomal_apc_state;mif_cd74_receptor_state	14	8.92001488176717e-06	13.109317894857178	PARK_UNKNOWN	unresolved target/MOA; cannot nominate without deconvolution	PARK_UNKNOWN_ONLY
BRD-K35024477	BRD-K35024477	nan			NO_REOPEN_L1000_UPSTREAM_REGULATOR	7	9	known_target;mechanism_class_relevant	2	ifn_lysosomal_apc_state;mif_cd74_receptor_state	18	8.83733908701768e-06	12.824656850591712	PARK_UNKNOWN	unresolved target/MOA; cannot nominate without deconvolution	PARK_UNKNOWN_ONLY
BRD-K53561341	KIN-001-220	nan			NO_REOPEN_L1000_UPSTREAM_REGULATOR	7	9	known_target;mechanism_class_relevant	2	ifn_lysosomal_apc_state;mif_cd74_receptor_state	11	8.83733908701768e-06	12.2705567486579	PARK_UNKNOWN	unresolved target/MOA; cannot nominate without deconvolution	PARK_UNKNOWN_ONLY
BRD-K01436366	XMD-1150	LRRK2	Leucine rich repeat kinase inhibitor	lysosomal_myeloid_kinase	NO_REOPEN_L1000_UPSTREAM_REGULATOR	7	9	recurrent_reversal;promotion_gate_open	1	mif_cd74_receptor_state	30	9.36227738231777e-06	11.65196046954043	PARK_REVIEW	non-obvious target requires prior-art and safety review	NO_GO
BRD-K42500029	CGP-57380	MKNK1	MAP kinase inhibitor	translation_inflammatory_signaling	NO_REOPEN_L1000_UPSTREAM_REGULATOR	7	9	recurrent_reversal;promotion_gate_open	1	ifn_lysosomal_apc_state	13	5.87567820342275e-05	10.98277098445736	PARK_REVIEW	non-obvious target requires prior-art and safety review	NO_GO
BRD-K37865504	LY-2183240	FAAH	FAAH inhibitor	endocannabinoid_neuroimmune	NO_REOPEN_L1000_UPSTREAM_REGULATOR	7	9	recurrent_reversal;promotion_gate_open	1	mif_cd74_receptor_state	45	0.0002426697405796	9.832139601459511	PARK_REVIEW	non-obvious target requires prior-art and safety review	NO_GO
BRD-K05197617	BRD-K05197617	nan			NO_REOPEN_L1000_UPSTREAM_REGULATOR	6	9	known_target;selective_vs_generic_ifn;mechanism_class_relevant	2	ifn_lysosomal_apc_state;mif_cd74_receptor_state	1	2.85209566712362e-08	19.461953479995746	PARK_UNKNOWN	unresolved target/MOA; cannot nominate without deconvolution	PARK_UNKNOWN_ONLY
BRD-A56020723	CA-074-Me	CTSB	Cathepsin inhibitor	lysosomal_protease	NO_REOPEN_L1000_UPSTREAM_REGULATOR	6	9	not_generic_prior_bucket;prior_triage_not_no_go;promotion_gate_open	2	ifn_lysosomal_apc_state;mif_cd74_receptor_state	41	8.83733908701768e-06	13.944452359401405	NO_GO_PRIOR	generic/prior-art inflammatory target CTSB	NO_GO
BRD-K60870698	BRD-K60870698	nan			NO_REOPEN_L1000_UPSTREAM_REGULATOR	6	9	known_target;recurrent_reversal;mechanism_class_relevant	1	mif_cd74_receptor_state	28	8.83733908701768e-06	13.678191672929724	PARK_UNKNOWN	unresolved target/MOA; cannot nominate without deconvolution	PARK_UNKNOWN_ONLY
BRD-K69516039	BRD-K69516039	nan			NO_REOPEN_L1000_UPSTREAM_REGULATOR	6	9	known_target;recurrent_reversal;mechanism_class_relevant	1	mif_cd74_receptor_state	23	8.83733908701768e-06	13.049837235872364	PARK_UNKNOWN	unresolved target/MOA; cannot nominate without deconvolution	PARK_UNKNOWN_ONLY
BRD-A37735495	BRD-A37735495	nan			NO_REOPEN_L1000_UPSTREAM_REGULATOR	6	9	known_target;recurrent_reversal;mechanism_class_relevant	1	mif_cd74_receptor_state	18	8.83733908701768e-06	12.885656315601116	PARK_UNKNOWN	unresolved target/MOA; cannot nominate without deconvolution	PARK_UNKNOWN_ONLY
BRD-K99530743	BRD-K99530743	nan			NO_REOPEN_L1000_UPSTREAM_REGULATOR	6	9	known_target;recurrent_reversal;mechanism_class_relevant	1	mif_cd74_receptor_state	35	8.83733908701768e-06	12.873736894071506	PARK_UNKNOWN	unresolved target/MOA; cannot nominate without deconvolution	PARK_UNKNOWN_ONLY
BRD-K74133369	oligomycin-a	ATP5F1A	ATPase inhibitor		NO_REOPEN_L1000_UPSTREAM_REGULATOR	6	9	recurrent_reversal;mechanism_class_relevant;promotion_gate_open	1	mif_cd74_receptor_state	39	8.92001488176717e-06	12.35478687391134	PARK_REVIEW	non-obvious target requires prior-art and safety review	NO_GO
BRD-K27305650	LY-294002	MTOR	PLK inhibitor		NO_REOPEN_L1000_UPSTREAM_REGULATOR	6	9	recurrent_reversal;mechanism_class_relevant;promotion_gate_open	1	mif_cd74_receptor_state	32	8.83733908701768e-06	12.33797579119699	PARK_REVIEW	non-obvious target requires prior-art and safety review	NO_GO
