entity	source_family_collapsed_no_readiness_recurrence
apc_hla_ifn_monitoring	10
apc_axis	7
hla_ii_apc	6
metabolic_sterol	5
ifn_apc	5
coupled_apc_axis	4
mif_cd74_receptor_state	4
layer_transfer_map	3
genetic_backdrop_ms_uc	3
tb_readable_compartment	3
lysosomal_apc	3
chr1_kif21b_gpr25	2
cell_composition	2
glucocorticoid_steroid	2
postpartum_apc_split	2
complement_lipid_axis	2
mixscale_validated_ifng_readout	2
multi_lineage_and_rpt_lenses_add_prioritization_not_evidence	1
mif_cd74_receptor_state__mixscale_validated_ifng_readout	1
ms_uc_genetic_backdrop	1
rel_pus10_usp34	1
zfp36l1	1
lysosomal_apc__mixscale_validated_ifng_readout	1
ifn_apc__mif_cd74_receptor_state	1
lipid_loader_repair__lysosomal_apc	1
lipid_loader_repair	1
kif21b	1
ifn_apc__mixscale_validated_ifng_readout	1
ifn_apc__lysosomal_apc	1
hla_ii_apc__mixscale_validated_ifng_readout	1
hla_ii_apc__mif_cd74_receptor_state	1
hla_ii_apc__lysosomal_apc	1
hla_ii_apc__ifn_apc	1
hif_nampt_metabolic	1
gpr25	1
complement_phagocytosis	1
zmiz1	1
