case	row_number	check	status	detail
scored_canonical_to_plan		required_columns_present	PASS	all required columns present
scored_canonical_to_plan		no_extra_columns	PASS	no extra columns
scored_canonical_to_plan		has_at_least_one_row	PASS	9
scored_canonical_to_plan	1	path_is_relative_non_sensitive_aggregate	PASS	relative_non_sensitive_aggregate_path
scored_canonical_to_plan	1	sensitivity_class_safe	PASS	derived_non_sensitive_summary
scored_canonical_to_plan	1	commit_allowed_safe	PASS	yes
scored_canonical_to_plan	1	bytes_present_or_unknown	PASS	123
scored_canonical_to_plan	1	sha_recorded_or_not_recordable	PASS	synthetic
scored_canonical_to_plan	2	path_is_relative_non_sensitive_aggregate	PASS	relative_non_sensitive_aggregate_path
scored_canonical_to_plan	2	sensitivity_class_safe	PASS	derived_non_sensitive_summary
scored_canonical_to_plan	2	commit_allowed_safe	PASS	yes
scored_canonical_to_plan	2	bytes_present_or_unknown	PASS	123
scored_canonical_to_plan	2	sha_recorded_or_not_recordable	PASS	synthetic
scored_canonical_to_plan	3	path_is_relative_non_sensitive_aggregate	PASS	relative_non_sensitive_aggregate_path
scored_canonical_to_plan	3	sensitivity_class_safe	PASS	derived_non_sensitive_summary
scored_canonical_to_plan	3	commit_allowed_safe	PASS	yes
scored_canonical_to_plan	3	bytes_present_or_unknown	PASS	123
scored_canonical_to_plan	3	sha_recorded_or_not_recordable	PASS	synthetic
scored_canonical_to_plan	4	path_is_relative_non_sensitive_aggregate	PASS	relative_non_sensitive_aggregate_path
scored_canonical_to_plan	4	sensitivity_class_safe	PASS	derived_non_sensitive_summary
scored_canonical_to_plan	4	commit_allowed_safe	PASS	yes
scored_canonical_to_plan	4	bytes_present_or_unknown	PASS	123
scored_canonical_to_plan	4	sha_recorded_or_not_recordable	PASS	synthetic
scored_canonical_to_plan	5	path_is_relative_non_sensitive_aggregate	PASS	relative_non_sensitive_aggregate_path
scored_canonical_to_plan	5	sensitivity_class_safe	PASS	derived_non_sensitive_summary
scored_canonical_to_plan	5	commit_allowed_safe	PASS	yes
scored_canonical_to_plan	5	bytes_present_or_unknown	PASS	123
scored_canonical_to_plan	5	sha_recorded_or_not_recordable	PASS	synthetic
scored_canonical_to_plan	6	path_is_relative_non_sensitive_aggregate	PASS	relative_non_sensitive_aggregate_path
scored_canonical_to_plan	6	sensitivity_class_safe	PASS	derived_non_sensitive_summary
scored_canonical_to_plan	6	commit_allowed_safe	PASS	yes
scored_canonical_to_plan	6	bytes_present_or_unknown	PASS	123
scored_canonical_to_plan	6	sha_recorded_or_not_recordable	PASS	synthetic
scored_canonical_to_plan	7	path_is_relative_non_sensitive_aggregate	PASS	relative_non_sensitive_aggregate_path
scored_canonical_to_plan	7	sensitivity_class_safe	PASS	derived_non_sensitive_summary
scored_canonical_to_plan	7	commit_allowed_safe	PASS	yes
scored_canonical_to_plan	7	bytes_present_or_unknown	PASS	123
scored_canonical_to_plan	7	sha_recorded_or_not_recordable	PASS	synthetic
scored_canonical_to_plan	8	path_is_relative_non_sensitive_aggregate	PASS	relative_non_sensitive_aggregate_path
scored_canonical_to_plan	8	sensitivity_class_safe	PASS	derived_non_sensitive_summary
scored_canonical_to_plan	8	commit_allowed_safe	PASS	yes
scored_canonical_to_plan	8	bytes_present_or_unknown	PASS	123
scored_canonical_to_plan	8	sha_recorded_or_not_recordable	PASS	synthetic
scored_canonical_to_plan	9	path_is_relative_non_sensitive_aggregate	PASS	relative_non_sensitive_aggregate_path
scored_canonical_to_plan	9	sensitivity_class_safe	PASS	derived_non_sensitive_summary
scored_canonical_to_plan	9	commit_allowed_safe	PASS	yes
scored_canonical_to_plan	9	bytes_present_or_unknown	PASS	123
scored_canonical_to_plan	9	sha_recorded_or_not_recordable	PASS	synthetic
