gene	wave78_call	gate_count	gate_breadth_ge3_diseases	gate_adjusted_ra_ibd_response_specific	gate_ms_positive_anchor	gate_ms_nonnegative_guardrail	gate_cross_disease_genetics	gate_foundation_model_direction	gate_direct_perturbation	gate_nonblocked_intervention_route	positive_disease_count	positive_diseases	ms_delta_log2	ms_p	ms_fdr	qtl_strong_h4_disease_count	qtl_strong_h4_diseases	wave62_call	best_response_endpoint	ra_response_p	ibd_response_p	ra_target_generic_abs_ratio	ibd_target_generic_abs_ratio	direction_model_call	wave70_call	wave37_call	decision_reason	is_lilrb_target
LILRB4	PARK_LILRB_DIRECTIONALLY_UNRESOLVED	2	0	0	0	1	1	0	0	0	0		-0.0567093265778488	0.8864378306397437	0.9842134382901514	2	Psoriasis;RA		baseline_pre	0.8590436380792678	0.008190714158896033	0.4543434231089129	5.186674448940381	NO_GO_MODEL_DIRECTION_SCREEN	NO_GO_INSUFFICIENT_CONVERGENCE		some target-level signal exists but MS, specificity, model direction, or intervention route is insufficient	True
LILRB5	NO_GO_LILRB_LOCAL_AUDIT	2	0	0	0	1	0	0	0	1	0		-0.8824584607192891	0.51569138646586	0.9344601280416808	0											does not pass target-level local gates	True
LILRB1	PARK_LILRB_DIRECTIONALLY_UNRESOLVED	1	0	0	0	1	0	0	0	0	2	Crohn disease;ulcerative colitis	-0.2480039987346405	0.3035041507515239	0.9075477698307116	0			baseline_pre	0.5065906412483463	0.11181330328680575	4.743266413401367	2.409318442396213	NO_GO_MODEL_DIRECTION_SCREEN	NO_GO_INSUFFICIENT_CONVERGENCE		some target-level signal exists but MS, specificity, model direction, or intervention route is insufficient	True
LILRB2	PARK_LILRB_DIRECTIONALLY_UNRESOLVED	1	0	0	0	0	1	0	0	0	2	Crohn disease;ulcerative colitis	-0.7296611895492067	0.0077844079989185	0.8344760564031432	2	Crohn;T1D		delta_post_minus_pre	0.560814978120791	0.008670751179456704	0.7112286940331803	43.97233755916261	NO_GO_MODEL_DIRECTION_SCREEN	NO_GO_INSUFFICIENT_CONVERGENCE		some target-level signal exists but MS, specificity, model direction, or intervention route is insufficient	True
LILRB3	PARK_LILRB_DIRECTIONALLY_UNRESOLVED	1	0	0	0	1	0	0	0	0	2	Crohn disease;ulcerative colitis	-0.3769548589371787	0.5039530830837081	0.9299116980283588	0			delta_post_minus_pre	0.15417076010826722	0.134413027972797	6.732355663244769	13.573993396018865	NO_GO_MODEL_DIRECTION_SCREEN	NO_GO_INSUFFICIENT_CONVERGENCE		some target-level signal exists but MS, specificity, model direction, or intervention route is insufficient	True
FCGR2B	NO_GO_LILRB_LOCAL_AUDIT	3	0	1	0	1	1	0	0	0	0		0.3743680552898727	0.5995853752716118	0.9466965949245808	4	AS;Crohn;SLE;UC	NO_GO_WAVE62_TARGET_RESOLUTION	baseline_pre	0.0016392923471572544	0.014440997196219175	12.599710200428458	4.745748523081834	MODEL_OPPOSING_BUT_BLOCKED_COMPARATOR	NO_GO_BLOCKED_OR_BROAD_CLASS		does not pass target-level local gates	False
LAIR1	NO_GO_LILRB_LOCAL_AUDIT	2	0	0	0	1	1	0	0	0	1	type 1 diabetes mellitus	-0.2811215724373159	0.1069140784882185	0.8989378106274888	2	Celiac;RA		baseline_pre	0.22314940695470678	0.20933359588261924	6.221536607137744	2.238636113643056	NO_GO_MODEL_DIRECTION_SCREEN	NO_GO_INSUFFICIENT_CONVERGENCE		does not pass target-level local gates	False
CD300LF	NO_GO_LILRB_LOCAL_AUDIT	2	0	0	0	1	1	0	0	0	1	psoriasis	-0.0991212524448474	0.7089814372180329	0.9669212366619434	2	Crohn;RA		baseline_pre	0.5184335275282659	0.721652720745343	2.9813646227711406	0.6118896676043907	NO_GO_LOW_TOKEN_SUPPORT	NO_GO_INSUFFICIENT_CONVERGENCE		does not pass target-level local gates	False
CD300A	NO_GO_LILRB_LOCAL_AUDIT	2	0	0	0	1	1	0	0	0	0		-0.3453443248914674	0.0766109345414007	0.8989378106274888	2	Celiac;T1D		baseline_pre	0.3479890853654423	0.3959645318272508	4.145551635180582	1.1964536841609377	NO_GO_LOW_TOKEN_SUPPORT	NO_GO_INSUFFICIENT_CONVERGENCE		does not pass target-level local gates	False
INPP5D	NO_GO_LILRB_LOCAL_AUDIT	1	0	0	0	1	0	0	0	0	0		-0.3037841690561134	0.0943958111282368	0.8989378106274888	0		NO_GO_WAVE62_TARGET_RESOLUTION	delta_post_minus_pre	0.011341435062937872	0.08249737157599539	3.373817798280097	1.1944276106113365	NO_GO_MODEL_DIRECTION_SCREEN	NO_GO_INSUFFICIENT_CONVERGENCE		does not pass target-level local gates	False
