artifact	temporal_role	action_v53	reason
meta/CURRENT_STATUS.md	live	updated	Live mission state must carry the V53 evidence regrade.
meta/NEXT_ACTIONS.md	live	updated	Resume priority must no longer point to the completed first MIF/CD74 probe.
README.md	live	updated	Public entry point must distinguish broad recurrence from demoted two-arm coupling.
docs/reports/FINDINGS_REPORT_V37.md	historical	preserved_with_delta_pointer_from_live_docs	Authoritative for V37 timepoint; item 4 is superseded for current interpretation.
docs/reports/FINDINGS_SCORES_V37.tsv	historical	preserved_with_delta_pointer_from_live_docs	Machine-readable V37 score must remain auditable rather than silently rewritten.
docs/findings/DEEP_STRUCTURE_V26.md	historical	preserved	Original V26 result is required for the correction trace.
docs/reports/THERAPEUTIC_PATH_V52.md	historical	preserved_with_delta_pointer_from_live_docs	V52 route synthesis predates V53 source-level de-overlap.
docs/reports/THERAPEUTIC_REVIEWER_QUICKSTART_V52.md	historical	preserved	V52 reviewer framing remains a phase-time artifact.
docs/reports/THERAPEUTIC_CLAIM_HIERARCHY_V52.md	historical	preserved	Epistemic hierarchy remains valid; its coupled-axis example is phase-time context.
docs/reports/EXTERNAL_REBUTTAL_CHECKLIST_V45.md	historical	preserved	V45 wording predates the V53 evidence correction.
