method_id	method_family	repository_status	strongest_prior_artifact	held_data_feasible	question_if_used_now	bounded_probe	dominant_risk	preliminary_priority
M01	multi-view joint evidence aggregation	exhausted	analysis/v41_joint_inference/	yes	Can weak cross-modal evidence reveal an unexpected entity?	Do not repeat without a new modality	Circular recurrence and multiple testing	0
M02	corpus recurrence meta-analysis	exhausted	analysis/v41_joint_inference/	yes	Does an entity recur beyond source-preserving chance?	Do not repeat without new independent evidence rows	Duplicated evidence units	0
M03	APC network topology	completed	analysis/v40_dimension_probes/	yes	Is an APC module topologically central?	No repeat; only a readout hub survived	Association is not control	0
M04	association-network controllability	completed_negative	analysis/v53_network_control_probe/	yes	Does a perturbation signature selectively steer the coupled axis?	No repeat; no replicated control node	Symmetric edges are not causal	0
M05	causal orientation from summary dependencies	completed_nonidentifiable	analysis/v53_causal_identifiability_sensitivity/	partial	Can current summaries orient APC edges?	No repeat without selective perturbations	Markov-equivalent directions	0
M06	protective-direction genetics	completed_negative	analysis/v40_dimension_probes/	partial	Does protective direction reveal a tractable target?	No repeat without richer QTL or genotype-linked data	Wrong-direction and restoration bias	0
M07	power and study-design simulation	mature	analysis/v43_power_map/	yes	What sample size and quality make validation decisive?	Extend only for a genuinely new design	Synthetic assumptions are not biology	1
M08	acquisition value of information	completed	docs/validation/PROGRESSION_ACQUISITION_VOI_V54.md	yes	Which external package closes the most important dependency?	Update only when access state changes	Subjective utility assumptions	1
M09	multisite transportability simulation	completed	analysis/v54_progression_multisite_transportability/	yes	When does a score transport across sites?	No repeat without a new site design	Synthetic reference only	1
M10	confounder and negative-control calibration	mature	docs/workups/treatment_response/CONFOUNDER_AUDIT_V32.md	yes	Does the monitoring score survive known nuisance axes?	Use as a gate around new methods	Residual unmeasured confounding	5
M11	class-conditional conformal prediction	untried	none	yes	Can the frozen score issue honest prediction sets and abstain under cohort shift?	Leave-one-cohort-out Mondrian conformal evaluation	Exchangeability fails across cohorts	20
M12	environment-invariant association testing	untried	none	yes	Is the frozen score-response relationship stable across disease and therapy environments?	Exact within-environment null plus held-out-environment sign/risk gate	Small number of environments; not causal identification	25
M13	distributionally robust minimax evaluation	untried	none	yes	What is the worst-cohort performance rather than the pooled average?	Predeclared worst-environment AUC/effect with stratified permutation	Very noisy worst-case estimate	20
M14	one-dimensional optimal transport of cell states	untried	none	yes	Do paired treatments alter full within-cell module distributions beyond mean shifts?	Donor-level Wasserstein shifts with exact response-label max-T null	Cell count and technical depth confounding	20
M15	compositional log-ratio modeling	untried_formally	none	yes	Are apparent state changes explained by relative cell-type abundance?	Donor-level balances with zero handling and exact null	Compositional closure and sparse cell types	16
M16	formal differential abundance neighborhoods	untried	none	partial	Are responder-specific cell neighborhoods altered without hard clusters?	Milo-like donor-aware neighborhood test	Pseudoreplication and no MS response atlas	10
M17	cell-cell communication inference	partially_attempted	analysis/v53_mif_cd74_*	partial	Does an intercellular sender-receiver edge explain the coupled axis?	Only with donor-level replication and expression controls	Ligand-receptor catalogs overcall communication	8
M18	spatial neighborhood statistics	untried	none	blocked_now	Are chronic-active lesion states spatially organized around rims?	Donor/slide-stratified Moran or neighborhood enrichment	GSE281805 common-slide/reconstruction failure	6
M19	topological data analysis	untried	none	yes	Does immune-state geometry contain robust loops or branches missed by linear scores?	Persistent-homology stability under donor bootstrap and label permutation	Hard biological interpretation; batch geometry	8
M20	tensor decomposition across donor-cell-state-time	untried	none	partial	Is there a low-rank interaction specific to treatment response?	Held-out donor reconstruction with permutation family control	Sparse tensor and non-unique factors	10
M21	target-trial emulation	untried_on_real_data	none	blocked_now	Can observational progression data estimate a treatment strategy effect?	Pre-specify eligibility/time zero/strategies/censoring before outcomes	Required longitudinal treatment and disability IPD absent	12
M22	causal mediation	mapped_blocked	docs/workups/treatment_response/APC_HLA_MONITORING_WORKUP_V23.md	no	Does APC/HLA change mediate treatment benefit?	No proxy mediation without same-person treatment mediator and outcome	Cross-cohort joins are invalid	0
M23	functional trajectory or change-point modeling	partially_attempted	analysis/v36_treated_timepoint_audit/	partial	Does response depend on trajectory shape rather than early delta?	Only donors with at least three adequately spaced points	Later timepoints sparse and label-imbalanced	7
M24	hierarchical Bayesian partial pooling	untried_formally	none	yes	Can cohort heterogeneity be estimated without unstable fixed effects?	Prior-sensitivity and leave-one-cohort-out predictive checks	Prior dominance at n=43	12
M25	decision-curve / clinical net-benefit analysis	untried	none	partial	Would acting on the frozen score improve decisions over treat-all/none?	Run only after a validated threshold and explicit harm ratio	No validated threshold or clinical action	4
M26	knockoffs or high-dimensional variable selection	untried	none	no	Can genes be selected with FDR control?	Do not run at current sample sizes	N far below p and no independent validation	0
M27	weak supervision / label modeling	untried	none	no	Can several noisy outcome definitions form a better label?	Requires multiple independently audited labels	Would manufacture outcomes from assumptions	0
M28	matrix completion across missing modalities	untried	none	partial	Can missing evidence views be imputed for joint analysis?	Masked-modality reconstruction only, never claim imputed biology	Missing-not-at-random and circularity	5
M29	sequential experimental design / active learning	untried_formally	none	partial	Which next sample or assay most reduces decision uncertainty?	Prospective acquisition policy using V43/V54 power envelopes	Needs reliable cost and arrival distributions	10
M30	multiverse/specification-curve auditing	partially_attempted	analysis/v38_*	yes	Which conclusions survive all defensible analysis choices?	Formalize only around a frozen estimand	Can become post-hoc researcher freedom	9
