entity	modality	source_file	evidence_label	p_value	effect	direction	status	note	used_for_joint_model	has_p_value
apc_axis	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	Bounded APC/HLA-II early treatment-response monitoring scalar	0.2	5.4	1	provisional	primary validation lead; external validation pending	False	True
apc_hla_ifn_monitoring	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	Bounded APC/HLA-II early treatment-response monitoring scalar	0.2	5.4	1	provisional	primary validation lead; external validation pending	False	True
hla_ii_apc	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	Bounded APC/HLA-II early treatment-response monitoring scalar	0.2	5.4	1	provisional	primary validation lead; external validation pending	False	True
apc_hla_ifn_monitoring	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	Tool-robust but simple V22 scalar	0.01	4.3	1	supported	validate scalar; do not add complexity	False	True
apc_hla_ifn_monitoring	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	V22 scalar is immune-tone bounded, not steroid/composition artifact	0.01	4.3	1	supported	include confounder panels in future validation	False	True
cell_composition	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	V22 scalar is immune-tone bounded, not steroid/composition artifact	0.01	4.3	1	supported	include confounder panels in future validation	False	True
glucocorticoid_steroid	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	V22 scalar is immune-tone bounded, not steroid/composition artifact	0.01	4.3	1	supported	include confounder panels in future validation	False	True
apc_hla_ifn_monitoring	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	Coupled APC remodeling architecture	0.01	4.4	1	supported	mechanistic context for monitoring; not target	False	True
coupled_apc_axis	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	Coupled APC remodeling architecture	0.01	4.4	1	supported	mechanistic context for monitoring; not target	False	True
genetic_backdrop_ms_uc	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	MS-UC is strongest tested genome-wide genetics comparator	0.001	4.2	1	robust	genetic backdrop; low novelty but important context	False	True
layer_transfer_map	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	Layer-specific autoimmune transfer-validity map	0.01	4.4	1	supported	use axes, not disease labels, for transfer	False	True
apc_axis	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	Mucosal IBD early IFN/APC downshift validates while baseline fallback fails	0.01	4.3	1	supported	dynamic response readout survives in mucosal IBD	False	True
apc_hla_ifn_monitoring	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	Mucosal IBD early IFN/APC downshift validates while baseline fallback fails	0.01	4.3	1	supported	dynamic response readout survives in mucosal IBD	False	True
ifn_apc	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	Mucosal IBD early IFN/APC downshift validates while baseline fallback fails	0.01	4.3	1	supported	dynamic response readout survives in mucosal IBD	False	True
