cell_id	disease	axis_a_label	placement_a	axis_b_label	placement_b	placement_distance	status	is_artifact	axis_specific_evidence	compartment_mismatch	causality_mismatch	axis_nonindependence_risk	resolution_grade	next_action
001_ulcerative_colitis_axis_01_ifn_apc_vs_axis_07_treatment_response	ulcerative colitis	IFN/APC antigen-presentation state	near	treatment-response architecture	contradictory	2.5	intervention_derived	False	True	True	True	not_flagged	V11 transfer-validity finding	Use as MS transfer warning: test early compartment-relevant IFN/APC delta, not baseline IFN/APC height. See UC_STATIC_DYNAMIC_APC_DECOUPLING_V11.md.
002_Sjogren_syndrome_axis_01_ifn_apc_vs_axis_04_lipid_lysosomal	Sjogren syndrome	IFN/APC antigen-presentation state	near	lipid-lysosomal / foamy myeloid state	far	3.0	biological	False	True	True	False	not_flagged	Tier 1 candidate	Find independent salivary single-cell/spatial APC replication for lipid-loader/foamy-myeloid component.
003_rheumatoid_arthritis_axis_01_ifn_apc_vs_axis_09_sex_hormonal_pregnancy	rheumatoid arthritis	IFN/APC antigen-presentation state	far	sex, hormonal, and pregnancy modulation	near	3.0	biological	False	True	True	True	not_flagged	Tier 1 perturbation-class candidate	Seek composition-adjusted RA/MS pregnancy data with monocyte/APC resolution.
004_rheumatoid_arthritis_axis_07_treatment_response_vs_axis_09_sex_hormonal_pregnancy	rheumatoid arthritis	treatment-response architecture	far	sex, hormonal, and pregnancy modulation	near	3.0	biological	False	True	False	True	not_flagged	Tier 1 perturbation-class candidate	Test whether pregnancy modules fail to rescue RA anti-TNF APC response in independent cohorts.
005_rheumatoid_arthritis_axis_08_tissue_repair_resolution_vs_axis_09_sex_hormonal_pregnancy	rheumatoid arthritis	tissue repair and resolution biology	far	sex, hormonal, and pregnancy modulation	near	3.0	artifact	True	True	True	True	not_flagged	V11 axis-scope correction	Rebuild RA tissue-repair axis with paired synovial tissue or validated synovial repair endpoints. See RA_TISSUE_REPAIR_PREGNANCY_SCOPE_AUDIT_V11.md.
006_ulcerative_colitis_axis_02_genetics_vs_axis_07_treatment_response	ulcerative colitis	genetic risk architecture	near	treatment-response architecture	contradictory	2.5	intervention_derived	False	True	True	True	not_flagged	V12 supported genetics layer-decoupling finding	Upgrade only when OpenGWAS/coloc can run: test shared loci and 12 shared OpenTargets genes for cross-trait colocalization and response prediction. See UC_GENETICS_TREATMENT_DECOUPLING_V12.md.
007_Crohn_disease_axis_01_ifn_apc_vs_axis_02_genetics	Crohn disease	IFN/APC antigen-presentation state	near	genetic risk architecture	intermediate	1.0	biological	False	True	True	True	not_flagged	V12 supported downstream-convergence finding	Upgrade with in-process OpenGWAS/HDL and cross-trait coloc, then replicate Crohn myeloid IFN/APC in an independent atlas. See CROHN_IFN_APC_GENETICS_DECOUPLING_V12.md.
008_Crohn_disease_axis_02_genetics_vs_axis_07_treatment_response	Crohn disease	genetic risk architecture	intermediate	treatment-response architecture	near	1.0	intervention_derived	False	True	True	True	not_flagged	V12 supported downstream-response convergence finding	Upgrade with executable OpenGWAS/coloc and Crohn-only paired mucosal response cohorts. See CROHN_GENETICS_RESPONSE_REPAIR_DECOUPLING_V12.md.
009_Crohn_disease_axis_02_genetics_vs_axis_08_tissue_repair_resolution	Crohn disease	genetic risk architecture	intermediate	tissue repair and resolution biology	near	1.0	intervention_derived	False	True	True	True	not_flagged	V12 supported downstream-repair convergence finding	Upgrade with executable OpenGWAS/coloc, Crohn-only treatment cohorts, and repair endpoints independent of IFN/APC delta. See CROHN_GENETICS_RESPONSE_REPAIR_DECOUPLING_V12.md.
010_ulcerative_colitis_axis_07_treatment_response_vs_axis_08_tissue_repair_resolution	ulcerative colitis	treatment-response architecture	contradictory	tissue repair and resolution biology	near	2.5	artifact	True	True	False	False	high	downgraded axis-design issue	Rebuild tissue-repair axis with independent repair endpoints.
