dataset	comparison	feature_type	feature	n_case	n_control	mean_case	mean_control	delta	hedges_g	p	limitation
GSE10325	SLE_myeloid_vs_healthy_myeloid	gene	ACSL1	11	10	3218.9363636363637	1278.4149999999997	1940.521363636364	1.0506114599388376	0.02185316369689403	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_myeloid_vs_healthy_myeloid	gene	APOE	11	10	24.03636363636364	12.57	11.466363636363639	0.388223830126053	0.35345565338895124	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_myeloid_vs_healthy_myeloid	gene	GPNMB	11	10	645.6090909090909	83.21	562.3990909090909	0.3939737544566766	0.34670981400971856	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_myeloid_vs_healthy_myeloid	gene	LPL	11	10	63.550000000000004	107.43999999999998	-43.88999999999998	-0.6510084758020032	0.16566896634113398	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_myeloid_vs_healthy_myeloid	gene	TREM2	11	10	43.42727272727273	14.290000000000001	29.13727272727273	0.36887858672431023	0.376968109306302	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_myeloid_vs_healthy_myeloid	gene	SPP1	11	10	762.6363636363636	27.0	735.6363636363636	0.40064016122247864	0.33898042519406735	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_myeloid_vs_healthy_myeloid	gene	PLIN2	11	10	704.7818181818182	402.71500000000003	302.0668181818181	1.4335763234135452	0.0032802903718727396	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_myeloid_vs_healthy_myeloid	gene	CD36	11	10	2561.7909090909093	1249.9	1311.8909090909092	1.0980694899706753	0.016293974105441075	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_myeloid_vs_healthy_myeloid	gene	FABP5	11	10	465.3636363636364	206.4	258.9636363636364	0.6265722042812489	0.1470288321732333	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_myeloid_vs_healthy_myeloid	gene	C1QA	11	10	265.95454545454544	157.39	108.56454545454545	0.7954363732245358	0.07048211188408095	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_myeloid_vs_healthy_myeloid	gene	C1QB	11	10	259.95454545454544	102.89000000000001	157.06454545454542	1.1017360060740238	0.017742774720531325	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_myeloid_vs_healthy_myeloid	gene	CTSB	11	10	3035.959090909091	1797.9100000000003	1238.0490909090909	0.9884929119843541	0.029316066035706856	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_myeloid_vs_healthy_myeloid	gene	CTSD	11	10	861.2181818181817	382.28	478.93818181818176	1.89234944197354	0.0002468958220452127	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
