item	category	relevance	novelty	evidence_grade	supporting_artifact	status	failure_modes	mechanism_level	therapeutic_constraint	direction_modality_labels	has_direction_modality_constraint	target_nomination_like	genetics_or_target_like	direction_or_modality_constraint	hard_restoration_or_up_function	context_or_axis_dependence	specificity_or_tone_constraint	generic_immune_tone_specific	evidence_resolution_gap	mechanism_level_cross_axis_transfer	mechanism_level_exploratory_module
ZMIZ1 opposite-direction MS/Crohn decoupling	decoupling_negative	3	4	supported	docs/workups/genetics/GENETICS_EQTL_WORKUP_V16.md; docs/history/LEAD_INVENTORY_V29.md	transfer-validity finding; not target	opposite_direction;transfer_invalid	genetics_direction	same_locus_opposite_disease_direction	opposite_or_invalid_transfer_direction	True	False	True	True	False	True	False	False	False	False	False
chr1 KIF21B/GPR25 locus resolves to real biology but hard target	decoupling_negative	3	3	supported	docs/workups/genetics/GENETICS_CHR1_REEVALUATION_V19.md	controlled-data handoff; no intervention claim	hard_protective_direction;causal_gene_ambiguity;weak_modality_fit	genetics_to_target	restoration_or_up_function_required	hard_up_function_or_restoration;modality_or_target_fit_failure	True	True	True	True	True	False	False	False	True	False	False
PTGER4 mixed shared/distinct signal closes naive transfer	decoupling_negative	3	3	negative-established	docs/workups/genetics/GENETICS_EQTL_WORKUP_V16.md; docs/history/LEAD_INVENTORY_V29.md	closed transfer target unless signal-specific data arrive	mixed_signals;direction_conflict;transfer_invalid	genetics_direction	signal_specific_direction_unresolved	opposite_or_invalid_transfer_direction;direction_unresolved_or_missing	True	False	True	True	False	True	False	False	False	False	False
MHC overlap is distinct-signal, not simple shared biology	decoupling_negative	3	2	negative-established	analysis/v14_locus_landscape/REPORT.md; analysis/v14_susie_coloc/REPORT.md	HLA overlap should not be overread as shared causal variant	distinct_causal_variants;overlap_not_mechanism	genetics_coloc	shared_region_not_shared_target		False	True	True	False	False	False	True	False	False	False	False
UC genetics vs treatment-response layer split	decoupling_negative	4	3	supported	docs/findings/AXIS_DISAGREEMENT_FINDINGS_V12.md	genetic and response-transfer axes separated	axis_mismatch;baseline_not_dynamic	cross_axis_transfer	genetics_does_not_define_response_rule		False	False	False	False	False	True	True	False	False	True	False
Crohn downstream IFN/APC convergence exceeds genetic proximity	decoupling_negative	3	3	supported	docs/findings/AXIS_DISAGREEMENT_FINDINGS_V12.md	response-monitoring analogy, not genetic target transfer	axis_mismatch;downstream_context_dependence	cross_axis_transfer	response_analogy_not_target_transfer		False	False	False	False	False	True	False	False	False	True	False
RA pregnancy comparator but blood APC treatment-response nontransfer	decoupling_negative	3	3	supported	docs/findings/AXIS_DISAGREEMENT_FINDINGS_V12.md	use RA for postpartum timing, not blood APC biomarker transfer	compartment_mismatch;context_dependence	cross_axis_transfer	pregnancy_timing_not_blood_biomarker		False	False	False	False	False	True	False	False	False	True	False
Sjogren antigen-presentation but not lysosomal/APC lesion-rim transfer	decoupling_negative	2	3	supported	docs/findings/AXIS_DISAGREEMENT_FINDINGS_V12.md	limited comparator role	compartment_mismatch;module_specificity_failure	cross_axis_transfer	antigen_presentation_not_lesion_repair		False	False	False	False	False	True	True	False	False	True	False
No load-bearing invariant found in V26	decoupling_negative	2	4	negative-established	docs/findings/DEEP_STRUCTURE_V26.md	do not claim conserved invariant	invariance_not_supported;underpowered_modality_count	deep_structure	no_conserved_invariant_target		False	False	False	False	False	False	False	False	True	False	False
No validated broad immune-state simulator from held data	kills_closed	4	3	negative-established	docs/workups/treatment_response/MODEL_CARD_V25.md; analysis/v25_immune_state_model/model_validation_summary.json	use only low-resolution directional priors in bounded domain	generalization_failure;heldout_validation_failure;scope_too_broad	modeling	cannot_triage_patient_or_genetics_claims		False	False	False	False	False	False	False	False	True	False	False
Coupled-axis successor rule does not beat scalar	kills_closed	4	3	negative-established	docs/history/LEAD_INVENTORY_V29.md; analysis/v27_coupled_axis/v27_scalar_vs_coupled_metrics.tsv	no V27 successor locked	complexity_no_improvement;small_n_overfit_risk	treatment_response_modeling	do_not_replace_locked_scalar		False	False	False	False	False	False	False	False	False	False	False
Locked V7 general cross-disease baseline fallback killed	kills_closed	4	3	negative-established	docs/findings/KILL_HYP_V6_006.md	baseline fallback rejected; dynamic mucosal IBD survives	baseline_not_dynamic;cross_disease_generalization_failure	treatment_response	baseline_stratifier_invalid		False	False	False	False	False	True	True	False	False	False	False
GPR25 demoted from protected favorite	kills_closed	3	3	negative-established	docs/workups/genetics/GENETICS_CHR1_REEVALUATION_V19.md	conditional causal candidate only	causal_gene_ambiguity;weak_expression_support;hard_protective_direction;immature_chemical_matter	genetics_to_target	agonism_or_restoration_required	hard_up_function_or_restoration;modality_or_target_fit_failure	True	True	True	True	True	False	False	False	True	False	False
NAMPT/eNAMPT not reactivated as target	kills_closed	2	2	negative-established	docs/history/LEAD_INVENTORY_V29.md	marker/covariate only	marker_not_driver;weak_genetic_support;prior_art_not_enough	target_nomination	covariate_not_target	modality_or_target_fit_failure	True	True	True	True	False	False	False	False	False	False	False
ZFP36L1 chr14 parked	kills_closed	2	2	provisional	docs/history/LEAD_SLATE_V21.md	suggestive PP.H4 only; needs robust coloc/QTL direction	subthreshold_coloc;missing_qtl_direction	genetics_coloc	no_direction_matched_target	direction_unresolved_or_missing	True	True	True	True	False	False	False	False	True	False	False
REL/PUS10/USP34 chr2 closed	kills_closed	2	2	negative-established	docs/history/LEAD_SLATE_V21.md	no disease SuSiE-coloc summary	coloc_failure;expression_cannot_rescue	genetics_coloc	no_shared_disease_signal	direction_unresolved_or_missing	True	True	True	False	False	False	False	False	False	False	False
EBV/IFN APC imprint downgraded by specificity control	kills_closed	3	3	negative-established	docs/history/HYPOTHESIS_SLATE_V35.md; docs/history/HYPOTHESIS_SLATE_V36.md	reopen only with EBV-stratified data	module_specificity_failure;random_control_failure	exploratory_module	broad_ifn_not_ebv_specific		False	False	False	False	False	False	True	True	False	False	True
Complement/lipid progressive axis downgraded	kills_closed	2	3	negative-established	docs/history/HYPOTHESIS_SLATE_V35.md; docs/history/HYPOTHESIS_SLATE_V36.md	weak lipid context only	donor_aware_nonreplication;module_specificity_failure	exploratory_module	weak_lipid_context_only		False	False	False	False	False	False	True	False	False	False	True
Lysosomal APC bottleneck not proven	kills_closed	3	3	provisional	docs/history/HYPOTHESIS_SLATE_V35.md; docs/history/HYPOTHESIS_SLATE_V36.md	strong coupling, no bottleneck proof	coupling_not_causality;bottleneck_not_proven	exploratory_module	needs_flux_or_peptidomics		False	False	False	False	False	False	False	False	True	False	True
Metabolic/sterol setpoint is context/confounder axis, not intervention-grade	kills_closed	3	2	provisional	docs/history/HYPOTHESIS_SLATE_V35.md; docs/history/HYPOTHESIS_SLATE_V36.md	use as covariate/context	confounder_context_not_mechanism;direction_not_actionable	exploratory_module	covariate_not_intervention	modality_or_target_fit_failure	True	False	False	True	False	False	True	True	False	False	True
