exclusion	scope	strength	artifact	decision_value	nonreplication_like	interpretation_type
Baseline IFN/APC is not a valid general fallback stratifier	cross-disease treatment response	negative_established	docs/findings/KILL_HYP_V6_006.md	Do not substitute baseline IFN/APC for early on-treatment delta.	True	grounded_negative_or_discrepancy
V22 scalar is not a broad cross-therapy response rule	MS/autoimmune treatment response	negative_established	docs/findings/FINDING_V22.md; analysis/v23_apc_hla_monitoring/v23_pooled_locked_rule_summary.tsv	Do not transfer the rule to fingolimod, adalimumab, or arbitrary DMTs without direct validation.	True	data_gated_or_power_limited
V22 scalar is not a calibrated clinical threshold	clinical utility	negative_established	analysis/v31_multi_lineage_review/v31_cross_cohort_score_grounding.tsv; analysis/v38_adversarial_monitoring/grounded_inversion_results.tsv	Use only rank/direction validation until a fresh cohort calibrates a threshold.	False	grounded_negative_or_discrepancy
Glucocorticoid/steroid signature does not explain the bounded scalar	treatment-response confounding	supported_exclusion	docs/workups/treatment_response/CONFOUNDER_AUDIT_V32.md	Steroid control remains required, but current data do not justify killing the scalar as steroid artifact.	False	grounded_negative_or_discrepancy
Simple marker-level cell-composition shift does not explain the bounded scalar	treatment-response confounding	supported_exclusion	docs/workups/treatment_response/CONFOUNDER_AUDIT_V32.md	Future validation still needs composition adjustment, but current data do not reduce the scalar to composition.	False	grounded_negative_or_discrepancy
Receptor-only CD74/CD44/CXCR4 does not dominate the scalar	treatment-response mechanism	negative_established	docs/workups/treatment_response/ROBUSTNESS_MAP_V28.md	Do not replace the scalar with receptor-only readout.	False	grounded_negative_or_discrepancy
Coupled/dynamic/flexible ML variants do not improve over the scalar	treatment-response modeling	negative_established	docs/workups/treatment_response/ROBUSTNESS_MAP_V28.md; analysis/v27_coupled_axis/v27_scalar_vs_coupled_metrics.tsv	Do not lock a successor rule from held data.	True	grounded_negative_or_discrepancy
A broad immune-state simulator is not validated from current data	in-silico modeling	negative_established	docs/workups/treatment_response/MODEL_CARD_V25.md; analysis/v25_immune_state_model/model_validation_summary.json	Do not use the simulator for patient response, single-cell simulation, or genetics-direction claims.	True	grounded_negative_or_discrepancy
No load-bearing invariant was established	deep structure	negative_established	docs/findings/DEEP_STRUCTURE_V26.md	Do not target a claimed invariant without new evidence.	False	data_gated_or_power_limited
PTGER4 is not a clean MS-UC transfer target	shared genetics target transfer	negative_established	docs/workups/genetics/GENETICS_EQTL_WORKUP_V16.md; docs/history/LEAD_INVENTORY_V29.md	Do not pursue naive PTGER4 agonist/antagonist transfer without signal-specific direction data.	True	data_gated_or_power_limited
MHC/HLA overlap is not simple shared causal biology	shared genetics interpretation	negative_established	analysis/v14_locus_landscape/REPORT.md; analysis/v14_susie_coloc/REPORT.md	Do not infer shared causal variant from HLA overlap alone.	True	grounded_negative_or_discrepancy
EBV/IFN APC imprint is not EBV-specific in current data	infectious-trigger exploratory biology	negative_established	docs/history/HYPOTHESIS_SLATE_V35.md; docs/history/HYPOTHESIS_SLATE_V36.md	Do not revive without EBV-stratified B-cell/APC data beyond random-module controls.	True	data_gated_or_power_limited
Complement/lipid progressive axis is not supported as a combined axis	progressive/lesion biology	negative_established	docs/history/HYPOTHESIS_SLATE_V35.md; docs/history/HYPOTHESIS_SLATE_V36.md	Do not pursue without donor-aware lesion-rim spatial lipid/complement data.	True	data_gated_or_power_limited
NAMPT/eNAMPT is not reactivated as an MS target	target nomination	negative_established	docs/history/LEAD_INVENTORY_V29.md	Use NAMPT/HIF/glycolysis as covariate/context, not target nomination.	False	grounded_negative_or_discrepancy
REL/PUS10/USP34 chr2 is not a current shared-locus lead	genetics colocalization	negative_established	docs/history/LEAD_SLATE_V21.md	Expression/QTL context cannot rescue a failed disease-coloc screen.	True	grounded_negative_or_discrepancy
ZFP36L1 chr14 is not robust enough for lead status	genetics colocalization	data_gated_not_established	docs/history/LEAD_SLATE_V21.md	Park until robust disease coloc and allele-aligned QTL direction exist.	False	data_gated_or_power_limited
