scope	source	query	url	used_for
ahr_tryptophan	EuropePMC API	"(""aryl hydrocarbon receptor"" OR AHR OR IDO1 OR kynurenine) autoimmune"	https://europepmc.org/search?query=%28%22aryl+hydrocarbon+receptor%22+OR+AHR+OR+IDO1+OR+kynurenine%29+autoimmune	prior-art/crowding snapshot
ahr_tryptophan	ClinicalTrials.gov API v2	AHR IDO autoimmune	https://clinicaltrials.gov/search?term=AHR+IDO+autoimmune	clinical prior-art snapshot
ahr_tryptophan	Google Patents search URL	AHR IDO autoimmune drug	https://patents.google.com/?q=AHR+IDO+autoimmune+drug	patent-search pointer; not counted as fetched evidence
bile_acid_fxr_tgr5	EuropePMC API	"(""FXR agonist"" OR NR1H4 OR GPBAR1 OR TGR5 OR ""bile acid receptor"") autoimmune OR ""inflammatory bowel disease"""	https://europepmc.org/search?query=%28%22FXR+agonist%22+OR+NR1H4+OR+GPBAR1+OR+TGR5+OR+%22bile+acid+receptor%22%29+autoimmune+OR+%22inflammatory+bowel+disease%22	prior-art/crowding snapshot
bile_acid_fxr_tgr5	ClinicalTrials.gov API v2	FXR agonist autoimmune inflammatory bowel disease	https://clinicaltrials.gov/search?term=FXR+agonist+autoimmune+inflammatory+bowel+disease	clinical prior-art snapshot
bile_acid_fxr_tgr5	Google Patents search URL	FXR TGR5 autoimmune inflammatory bowel disease	https://patents.google.com/?q=FXR+TGR5+autoimmune+inflammatory+bowel+disease	patent-search pointer; not counted as fetched evidence
ppar_lxr_lipid_nuclear	EuropePMC API	"(""PPAR gamma"" OR PPARG OR ""LXR agonist"" OR NR1H3 OR NR1H2 OR RXR) autoimmune"	https://europepmc.org/search?query=%28%22PPAR+gamma%22+OR+PPARG+OR+%22LXR+agonist%22+OR+NR1H3+OR+NR1H2+OR+RXR%29+autoimmune	prior-art/crowding snapshot
ppar_lxr_lipid_nuclear	ClinicalTrials.gov API v2	PPAR gamma LXR autoimmune	https://clinicaltrials.gov/search?term=PPAR+gamma+LXR+autoimmune	clinical prior-art snapshot
ppar_lxr_lipid_nuclear	Google Patents search URL	PPAR LXR autoimmune agonist	https://patents.google.com/?q=PPAR+LXR+autoimmune+agonist	patent-search pointer; not counted as fetched evidence
scfa_ffar_hcar	EuropePMC API	"(""short chain fatty acid receptor"" OR FFAR2 OR FFAR3 OR HCAR2 OR GPR109A OR butyrate) autoimmune"	https://europepmc.org/search?query=%28%22short+chain+fatty+acid+receptor%22+OR+FFAR2+OR+FFAR3+OR+HCAR2+OR+GPR109A+OR+butyrate%29+autoimmune	prior-art/crowding snapshot
scfa_ffar_hcar	ClinicalTrials.gov API v2	butyrate niacin autoimmune inflammatory bowel disease	https://clinicaltrials.gov/search?term=butyrate+niacin+autoimmune+inflammatory+bowel+disease	clinical prior-art snapshot
scfa_ffar_hcar	Google Patents search URL	FFAR2 HCAR2 autoimmune agonist	https://patents.google.com/?q=FFAR2+HCAR2+autoimmune+agonist	patent-search pointer; not counted as fetched evidence
