candidate	local_residual_gate	modality	intervention_direction	prior_art_blockers	safety_repair_risks	orchestrator_follow_up	recommendation	key_links
ATOX1	Strict residual survives in Crohn/UC stromal only; broad-positive 4 diseases; MS anchor absent.	Intracellular copper chaperone; no human ChEMBL target hit in gene query.	Ambiguous: inhibition would disrupt copper delivery; enhancement would be antioxidant/repair rather than anti-inflammatory.	Inflammation/copper biology exists, but no clean autoimmune therapeutic route; modality is the blocker rather than novelty.	Copper homeostasis, secretory-pathway cuproenzyme delivery, oxidative-stress adaptation.	NO	Do not follow up unless Wave21-A finds a selective target-engagement modality.	https://www.uniprot.org/uniprotkb/O00244/entry
SQLE	Strict residual survives in Crohn/UC stromal; broad-positive 4 diseases; MS anchor absent.	ER sterol-biosynthesis enzyme; ChEMBL human SQLE target has activity records.	Inhibit SQLE if signal is pathogenic; direction conflicts with cholesterol/barrier/repair biology.	SQLE inhibitors are old and crowded in antifungal/oncology/metabolic patent space; no V3-specific autoimmune delta.	Sterol synthesis, epithelial/stromal repair, membrane biology; systemic inhibition is not tissue-state selective.	CONDITIONAL_NO	Only revisit if independent non-IBD residual and perturbation evidence show safe local suppression.	https://www.ebi.ac.uk/chembl/target_report_card/CHEMBL3592/; https://patents.google.com/patent/EP0448934A3/en
LDLRAD3	Strict residual survives in Crohn/UC stromal; broad-positive 3 diseases; MS anchor absent.	Single-pass membrane LDLR-family protein; no ChEMBL target hit; no clinical trial signal.	No defensible autoimmune direction.	External literature is dominated by APP/VEEV receptor biology, not autoimmune druggability.	CNS APP-processing liability and viral-entry/host-defense uncertainty.	NO	Do not follow up.	https://pubmed.ncbi.nlm.nih.gov/34646021/; https://www.uniprot.org/uniprotkb/Q86YD5/entry
IL15	Raw five-disease breadth, but strict-core residual survival is 0 in local table.	Secreted cytokine; antibody/ligand-blocking route already clinically explored.	Block IL-15 or IL-15 receptor signaling.	Direct autoimmune prior art: AMG 714/PRV-015 in celiac disease; broad IL-15 inflammatory-disease reviews and ChEMBL target records.	NK/T-cell homeostasis, host defense, tissue-resident memory biology; systemic immune suppression.	NO	Comparator only; not a residual novel target.	https://clinicaltrials.gov/study/NCT02637141; https://pubmed.ncbi.nlm.nih.gov/31494096/; https://www.ebi.ac.uk/chembl/target_report_card/CHEMBL3712954/
CD82	Raw five-disease breadth, but retained residual is mostly UC stromal and strict-core residual survival is 0.	Four-pass surface tetraspanin; antibody conceivable, but no ChEMBL target hit.	Ambiguous: blocking or agonism could affect adhesion, migration, and immune-cell organization in opposite directions.	Cancer/metastasis and immune-cell tetraspanin biology are public; no clear autoimmune intervention package.	Broad adhesion, migration, phagosome and membrane-domain effects; repair/remodeling risk.	NO	Do not follow up.	https://www.uniprot.org/uniprotkb/P27701/entry
PSME1	Raw five-disease breadth; strict-core residual survival is 0.	Intracellular PA28/immunoproteasome activator; sparse ChEMBL target records but no mature selective route.	Inhibit PA28/immunoproteasome activity if pursuing anti-inflammatory direction.	Generic proteasome/immunoproteasome autoimmune prior art blocks novelty; PSME1 is IFN/antigen-processing machinery.	Antigen processing, proteostasis, antiviral and tumor immune surveillance liabilities.	NO	Demote as generic IFN/proteasome machinery.	https://www.uniprot.org/uniprotkb/Q06323/entry; https://www.ebi.ac.uk/chembl/target_report_card/CHEMBL4295804/; https://pubmed.ncbi.nlm.nih.gov/29034459/
PSME2	Raw five-disease breadth; strict-core residual survival is 0.	Intracellular PA28/immunoproteasome activator; sparse ChEMBL target records but no mature selective route.	Inhibit PA28/immunoproteasome activity if pursuing anti-inflammatory direction.	Same blocker as PSME1: IFN-induced immunoproteasome biology and immunoproteasome inhibitor prior art.	Antigen processing, proteostasis, antiviral and tumor immune surveillance liabilities.	NO	Demote as generic IFN/proteasome machinery.	https://www.uniprot.org/uniprotkb/Q9UL46/entry; https://www.ebi.ac.uk/chembl/target_report_card/CHEMBL4295982/; https://pubmed.ncbi.nlm.nih.gov/29034459/
POMP	Raw five-disease breadth; strict-core residual survival is 0.	Core proteasome maturation chaperone; no ChEMBL target hit.	Reduce proteasome maturation is the only obvious inhibitory direction, but it is unsafe.	POMP-related autoinflammation and immune dysregulation makes the biology a safety warning, not a target opening.	Core proteasome assembly, immunoproteasome assembly, broad proteostasis and immune dysregulation.	NO	Do not follow up.	https://pubmed.ncbi.nlm.nih.gov/29805043/; https://www.uniprot.org/uniprotkb/Q9Y244/entry
IFITM2	Raw five-disease breadth; strict-core residual survival is 0; MS direction negative/non-supportive.	Small transmembrane antiviral restriction factor; no ChEMBL target hit.	Suppressing IFITM2 would be the only anti-IFN-marker direction, but target engagement is unclear.	Generic interferon-stimulated antiviral marker; no novel autoimmune modality.	Antiviral host defense, endosomal membrane and cholesterol biology.	NO	Demote as IFN/antiviral marker.	https://www.uniprot.org/uniprotkb/Q01629/entry
IFITM3	Raw five-disease breadth; strict-core residual survival is 0; MS direction negative/non-supportive.	Small transmembrane antiviral restriction factor; no ChEMBL target hit.	Suppressing IFITM3 would be the only anti-IFN-marker direction, but target engagement is unclear.	Heavy IFN/viral prior art; preprint hits reinforce generic IFN-axis saturation, not V3 novelty.	Antiviral host defense, endosomal cholesterol, influenza/COVID susceptibility concerns.	NO	Demote as IFN/antiviral marker.	https://www.uniprot.org/uniprotkb/Q01628/entry
CFB	Local extra: broad-positive 4 diseases; retained residual 4 diseases; strict-core residual only Crohn stromal; MS anchor absent.	Secreted complement alternative-pathway serine protease; strong ChEMBL activity landscape; oral factor B inhibitors exist.	Inhibit factor B / alternative complement amplification.	Direct prior art: iptacopan/LNP023 in IgA nephropathy and complement diseases; Google Patents factor B inhibitor method claims.	Encapsulated-bacteria infection risk, complement host defense, kidney/complement indication crowding.	NO	Use as druggability/prior-art comparator only.	https://clinicaltrials.gov/study/NCT04578834; https://www.ebi.ac.uk/chembl/target_report_card/CHEMBL5731/; https://patents.google.com/patent/WO2024176169A1/en
IL7R	Local extra: broad-positive 3 diseases; strict-core residual only UC stromal; MS anchor absent.	Cell-surface cytokine receptor; antibody blockade route exists even if gene-only ChEMBL query is sparse.	Block IL-7R alpha/CD127 signaling.	Direct prior art: lusvertikimab/OSE-127 anti-IL-7R in ulcerative colitis phase 2.	Systemic T-cell biology, TSLP receptor overlap, immune reconstitution and host-defense liabilities.	NO	Do not follow up; already target-class prior-arted in UC.	https://clinicaltrials.gov/study/NCT04882007; https://academic.oup.com/ecco-jcc/article/17/Supplement_1/i851/7010178; https://www.uniprot.org/uniprotkb/P16871/entry
CXCL8	Local extra: broad-positive 3 diseases; strict-core residual only UC stromal; MS anchor absent.	Secreted chemokine; ChEMBL target record; antibody/CXCR1/2 blockade ecosystem exists.	Block IL-8 or CXCR1/2 signaling.	Prior art saturated across inflammatory neutrophil biology and anti-IL8/CXCR blocker programs; not V3-specific.	Neutrophil recruitment, infection control, wound healing and epithelial repair.	NO	Do not follow up.	https://www.ebi.ac.uk/chembl/target_report_card/CHEMBL2157/; https://www.uniprot.org/uniprotkb/P10145/entry
