scope	check	status	detail
no_mapped_response_groups	no_overclaim_words	PASS	not_allowed not_allowed no response-validation conclusion is available because mapped responder and nonresponder groups are absent.
no_mapped_response_groups	no_kill_language_below_30_per_group	PASS	no
below_planning_floor	no_overclaim_words	PASS	not_allowed not_allowed the labeled return is below the v45 planning floor; no pass, fail, kill, or response-predictive language is allowed.
below_planning_floor	no_kill_language_below_30_per_group	PASS	no
gafson_sized_effect_estimate_only	no_overclaim_words	PASS	provisional_directional_support_only_if_all_v42_small_n_criteria_met not_allowed_as_kill this small return supplies an effect-size and uncertainty estimate only; it does not validate or kill the rule.
gafson_sized_effect_estimate_only	no_kill_language_below_30_per_group	PASS	no
small_to_mid_caution	no_overclaim_words	PASS	v42_class_only_with_small_cohort_caution v42_class_only_no_project_kill_without_clean_ci_and_diagnostics this return is in a small-to-mid planning band; the v42 class, ci width, and diagnostics bound any conclusion.
small_to_mid_caution	no_kill_language_below_30_per_group	PASS	no
minimum_decision_grade	no_overclaim_words	PASS	v42_pass_language_if_gates_and_diagnostics_clean v42_fail_language_if_gates_and_diagnostics_clean this cohort reaches the minimum decision-grade planning band only under clean-effect assumptions; diagnostics remain decisive.
minimum_decision_grade	no_kill_language_below_30_per_group	PASS	only_under_pre_registered_V42_failure_rules_and_clean_diagnostics
preferred_decision_grade	no_overclaim_words	PASS	v42_pass_language_if_gates_and_diagnostics_clean v42_fail_language_if_gates_and_diagnostics_clean this cohort is in the preferred planning range; interpretation follows the frozen v42 grid and diagnostic caveats.
preferred_decision_grade	no_kill_language_below_30_per_group	PASS	under_pre_registered_V42_failure_rules
beyond_simulated_grid	no_overclaim_words	PASS	v42_grid_applies_but_power_claim_requires_new_simulation v42_grid_applies_but_power_claim_requires_new_simulation this return exceeds the v43 simulated grid; apply the frozen v42 grid but do not quote a simulated power rate without extending the grid.
beyond_simulated_grid	no_kill_language_below_30_per_group	PASS	under_pre_registered_V42_failure_rules
gafson_small_complete	route_example_has_required_wording	PASS	gafson_sized_effect_estimate_only
gafson_partial_return	route_example_has_required_wording	PASS	below_planning_floor
karolinska_small_secondary	route_example_has_required_wording	PASS	below_planning_floor
gse228330_context_no_labels	route_example_has_required_wording	PASS	no_mapped_response_groups
