putative_source_module	target_module	n_exclusive_member_perturbation_rows	n_unique_perturbed_genes	perturbed_genes	n_stimuli	stimuli	target_effect_sign_consistency	source_target_shared_readout_genes	passes_strict_descriptive_orientation_constraint	module_edge_oriented	boundary
gilt_lysosomal_apc	hla_ii_apc	0	0	none	0	none	0.0	none	False	False	gene-member perturbation is not a do(module) intervention; the descriptive constraint only tests whether even a strong proxy is available
gilt_lysosomal_apc	ifn_apc	0	0	none	0	none	0.0	IFI30	False	False	gene-member perturbation is not a do(module) intervention; the descriptive constraint only tests whether even a strong proxy is available
gilt_lysosomal_apc	mif_cd74_receptor_state	0	0	none	0	none	0.0	none	False	False	gene-member perturbation is not a do(module) intervention; the descriptive constraint only tests whether even a strong proxy is available
hla_ii_apc	gilt_lysosomal_apc	2	2	HLA-DQB1;RFX5	1	IFNG	1.0	none	False	False	gene-member perturbation is not a do(module) intervention; the descriptive constraint only tests whether even a strong proxy is available
hla_ii_apc	ifn_apc	2	2	HLA-DQB1;RFX5	1	IFNG	0.5	CD74;CIITA	False	False	gene-member perturbation is not a do(module) intervention; the descriptive constraint only tests whether even a strong proxy is available
hla_ii_apc	mif_cd74_receptor_state	2	2	HLA-DQB1;RFX5	1	IFNG	0.5	CD74;HLA-DPA1;HLA-DPB1;HLA-DRA;HLA-DRB1	False	False	gene-member perturbation is not a do(module) intervention; the descriptive constraint only tests whether even a strong proxy is available
ifn_apc	gilt_lysosomal_apc	5	2	IRF1;STAT1	3	IFNB;IFNG;TNFA	0.6	IFI30	False	False	gene-member perturbation is not a do(module) intervention; the descriptive constraint only tests whether even a strong proxy is available
ifn_apc	hla_ii_apc	5	2	IRF1;STAT1	3	IFNB;IFNG;TNFA	0.6	CD74;CIITA	False	False	gene-member perturbation is not a do(module) intervention; the descriptive constraint only tests whether even a strong proxy is available
ifn_apc	mif_cd74_receptor_state	5	2	IRF1;STAT1	3	IFNB;IFNG;TNFA	0.6	CD74	False	False	gene-member perturbation is not a do(module) intervention; the descriptive constraint only tests whether even a strong proxy is available
mif_cd74_receptor_state	gilt_lysosomal_apc	0	0	none	0	none	0.0	none	False	False	gene-member perturbation is not a do(module) intervention; the descriptive constraint only tests whether even a strong proxy is available
mif_cd74_receptor_state	hla_ii_apc	0	0	none	0	none	0.0	CD74;HLA-DPA1;HLA-DPB1;HLA-DRA;HLA-DRB1	False	False	gene-member perturbation is not a do(module) intervention; the descriptive constraint only tests whether even a strong proxy is available
mif_cd74_receptor_state	ifn_apc	0	0	none	0	none	0.0	CD74	False	False	gene-member perturbation is not a do(module) intervention; the descriptive constraint only tests whether even a strong proxy is available
