gene	direct_positive_disease_count	direct_negative_disease_count	direct_positive_compartment_count	direct_negative_compartment_count	direct_positive_diseases	direct_negative_diseases	broad_rank	broad_discovery_priority_score	ms_wm_delta_log2	ms_wm_hedges_g	ms_wm_p	ms_wm_fdr	broad_existing_priority_score	broad_opentargets_disease_count	broad_opentargets_max_genetic_association	direct_top_positive_compartments	direct_top_negative_compartments	existing_positive_disease_count	existing_negative_disease_count	existing_positive_diseases	existing_negative_diseases	geneformer_sources	geneformer_contexts_with_token	geneformer_disease_cells_with_token	geneformer_support_contexts	geneformer_mean_cosine_z_vs_random	geneformer_mean_projection_shift	ms_positive_nominal	ms_positive_trend	manual_intervention_status	manual_intervention_reason	triage_score	routing_decision	routing_rationale
CHI3L1	3	0	4	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	nan		23.246925582569283	2.006853151074319	1.3467454734949036	0.0046126032857275	0.8344760564031432	4.938511651385653	0		ibd_uc_stromal:5.936,p=0.000562;ibd_crohn_stromal:4.697,p=0.0112;t1d_endothelial_cell:2.712,p=0.0378;t1d_stellate_cell:1.529,p=0.0434		1	0	MS		candidate_delete;pivot_panel_delete	9	29	1	0.13439571399252775	0.03107846025377505	True	True	demote	crowded YKL-40 biomarker/therapeutic-target prior art and generic injury/fibrosis biology	9.0	demote	manual audit or model veto already blocks promotion
FABP5	2	1	2	2	psoriasis;ulcerative colitis	ulcerative colitis		11.844596179019156	1.2651351909882678	1.354921443745131	0.004142204528345	0.8344760564031432	16.89192358038313	0		psoriasis_keratinocyte:3.864,p=0.00146;ibd_uc_myeloid:1.644,p=0.0281	ibd_uc_epithelial:-1.295,p=0.00533;ibd_uc_stromal:-1.696,p=0.0198	5	2	MS;SLE_B;SLE_CD4_T;Sjogren;psoriasis	MS;RA	phagolysosomal_matrix_delete;pivot_panel_delete	11	49	2	0.23134747031966066	-0.004541872721165401	True	True	demote	tractable but directionally conflicted and prior-art risk in EAE/MS and psoriasis	8.25	demote	manual audit or model veto already blocks promotion
CD44	2	1	3	1	Crohn disease;ulcerative colitis	ulcerative colitis		15.286751023530666	1.3446537852001974	0.9541987285932504	0.0331669831445104	0.8506970233122761	5.735020470613311	0		ibd_uc_epithelial:1.966,p=0.00158;ibd_crohn_epithelial:1.244,p=0.00208;ibd_crohn_myeloid:0.805,p=0.0119	ibd_uc_stromal:-0.482,p=0.0162	1	0	MS		phagolysosomal_matrix_delete;pivot_panel_delete	20	161	1	-0.4165399397438544	-0.0180111523656494	True	True	demote	crowded matrix/integrin biology plus Geneformer deletion veto	6.25	demote	manual audit or model veto already blocks promotion
ACSL3	3	0	5	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	nan		17.0	0.2210563122194138	0.4772641853565081	0.2754311664874719	0.9049965616313804		0		ibd_crohn_epithelial:1.074,p=5.86e-05;ibd_crohn_stromal:0.806,p=0.00859;ibd_uc_stromal:0.388,p=0.0182;ibd_uc_epithelial:0.896,p=0.0295;t1d_endothelial_cell:0.965,p=0.0318		0	0			pivot_panel_delete	8	26	1	-0.1629472025939936	-0.0106073091737925	False	False	unknown		5.5	demote	no MS white-matter positive anchor
CD300E	3	0	3	0	Crohn disease;psoriasis;ulcerative colitis	nan		12.0	-1.516556121882542	-0.7072457407806024	0.131192827685522	0.8989378106274888		0		ibd_crohn_myeloid:3.243,p=0.00817;ibd_uc_myeloid:3.72,p=0.00919;psoriasis_skin_apc:1.598,p=0.0116		0	0			pivot_panel_delete	2	12	1	1.016998788862656	0.0566442012786864	False	False	unknown		5.5	demote	no MS white-matter positive anchor
LGALS1	0	0	0	0	nan	nan		8.22964346336153	1.013381224940634	1.540425888122349	0.0020231848864174	0.8344760564031432	4.59286926723058	0				1	0	MS		phagolysosomal_matrix_delete	5	32	2	0.4419313803819345	-0.0309146638959646	True	True	demote	broad immunoregulatory/repair axis with crowded prior art	5.5	demote	manual audit or model veto already blocks promotion
LGALS8	0	0	0	0	nan	nan		0.0812832238811299	-0.2388239132166685	-0.7491197205215022	0.0878359645189382	0.8989378106274888	1.625664477622598	0				0	0			pivot_panel_delete	11	27	3	0.1361129469579393	0.0029729090165346	False	False	test_only_if_local_positive	suggested by prior-art scout, but local expression breadth must pass first	3.0	demote	no MS white-matter positive anchor
LAMP3	2	1	3	1	Crohn disease;ulcerative colitis	ulcerative colitis		10.0	1.112744457164954	0.6035372974366917	0.1588852707263668	0.8989378106274888		0		ibd_crohn_myeloid:4.27,p=9.16e-06;ibd_uc_myeloid:3.647,p=0.000148;ibd_crohn_stromal:1.752,p=0.0385	ibd_uc_epithelial:-0.594,p=0.0398	0	0			pivot_panel_delete	1	8	1	1.456825634832924	0.134614810347557	False	False	unknown		2.75	demote	no MS white-matter positive anchor
CD300LF	1	0	1	0	psoriasis	nan		4.0	-0.0991212524448474	-0.1661163850359562	0.7089814372180329	0.9669212366619434		0		psoriasis_skin_apc:2.246,p=0.0329		0	0			pivot_panel_delete	2	7	1	0.0511967910464192	-0.0270478781312704	False	False	test_only_if_local_positive	CD300F synonym candidate from prior-art scout; local symbol is CD300LF and MS anchor is weak	2.5	demote	no MS white-matter positive anchor
UGCG	0	1	0	1	nan	Sjogren syndrome		-4.0	0.2624763741177869	0.3661519349396278	0.4083782311239647	0.9175735237914778		0			sjogren_gland_apc:-0.615,p=0.0271	0	0			pivot_panel_delete	11	62	3	-0.0401887596057065	0.0005720691300335	False	False	test_only_if_local_positive	druggable sphingolipid node but local disease direction must support it	1.75	demote	no MS white-matter positive anchor
TYROBP	1	1	1	1	type 1 diabetes mellitus	ulcerative colitis		1.0	0.1685367778685798	0.5248086762818813	0.2296542729530867	0.9004758652001262		0		t1d_ductal_cell:1.254,p=0.0492	ibd_uc_stromal:-1.893,p=0.0245	0	0			phagolysosomal_matrix_delete	2	10	1	-0.3313239218720439	-0.0162116941064596	False	False	unknown		1.25	demote	no MS white-matter positive anchor
PLIN2	0	0	0	0	nan	nan		2.7038184742731084	0.6476104028056859	0.7408816807123307	0.1083756467628863	0.8989378106274888	-5.923630514537834	0				4	5	MS;SLE_myeloid;UC;lupus_nephritis	Crohn;RA;UC;lupus_nephritis;psoriasis	pivot_panel_delete	5	23	1	0.1478047992586003	0.0041103935334831	False	False	unknown		0.5	demote	no MS white-matter positive anchor
LGALS3	0	2	0	4	nan	Crohn disease;psoriasis		-6.738207447759177	0.77778251830029	0.925488558138732	0.0509037442942543	0.8793979920162018	5.235851044816448	0			ibd_crohn_stromal:-0.585,p=0.00451;ibd_crohn_myeloid:-1.135,p=0.00497;ibd_crohn_epithelial:-0.646,p=0.0302;psoriasis_skin_stromal:-0.54,p=0.0402	1	0	MS		phagolysosomal_matrix_delete	7	34	1	-0.0613042786047621	-0.0291034388886016	False	True	demote	failed residualized cross-disease local test despite MS foamy-state support	0.0	demote	manual audit or model veto already blocks promotion
GBA2	0	1	0	1	nan	ulcerative colitis		-4.0	-0.403083023644843	-1.35280360573655	0.0097512555991416	0.8349413280632139		0			ibd_uc_epithelial:-0.693,p=0.0162	0	0			pivot_panel_delete	6	15	1	-0.2522224013697639	0.0104257371276617	False	False	test_only_if_local_positive	glycosphingolipid node but MS and local direction are currently unfavorable	-0.25	demote	no MS white-matter positive anchor
