gene	accession	axis_role	project_status	primary_blocker	project_artifact	alphafold_entry	alphafold_model_version	sequence_length	mean_plddt	fraction_plddt_ge_70	fraction_plddt_lt_50	alphafold_source_url	alphafold_status	rcsb_exact_uniprot_polymer_count	rcsb_representative_polymer_entity	rcsb_source_url	structure_context_grade	therapeutic_gate_after_structure
CTSS	P25774	lysosomal antigen-processing effector	demoted	downstream, weak causal specificity, prior systemic route underwhelming	knowledge/candidates/CTSS.md	AF-P25774-F1	6	331	94.3042	0.945619	0.036254	https://alphafold.ebi.ac.uk/api/prediction/P25774	available	62	1GLO_1	https://search.rcsb.org/rcsbsearch/v2/query	high_context_availability	unchanged
GSK3B	P49841	partial CIITA/MHC-II decoupling controller	parked_partial	partial selectivity and pleiotropy	analysis/tier_0_triage/ciita_mediator_selectivity/decision.json	AF-P49841-F1	6	420	88.2256	0.864286	0.121429	https://alphafold.ebi.ac.uk/api/prediction/P49841	available	123	1GNG_1	https://search.rcsb.org/rcsbsearch/v2/query	high_context_availability	unchanged
HLA-DRA	P01903	MHC-II output/readout	monitoring_readout	direct intervention direction and safety are not established	docs/locked_rules/LOCKED_RULE_V22.md	AF-P01903-F1	6	254	89.1677	0.854331	0.015748	https://alphafold.ebi.ac.uk/api/prediction/P01903	available	143	1A6A_1	https://search.rcsb.org/rcsbsearch/v2/query	high_context_availability	unchanged
JAK1	P23458	upstream IFN controller	broad_control_only	broad IFN/APC suppression and existing pathway-level immunosuppression	analysis/v26_deep_structure/perturbation_module_matrix.tsv	AF-P23458-F1	6	1154	85.5703	0.864818	0.07279	https://alphafold.ebi.ac.uk/api/prediction/P23458	available	53	10PI_1	https://search.rcsb.org/rcsbsearch/v2/query	high_context_availability	unchanged
MIF	P14174	ligand/context arm	not_promoted	no MIF-specific adjusted support or stable therapy direction	analysis/v53_mif_cd74_grounded_audit/REPORT.md	AF-P14174-F1	6	115	98.5872	1.0	0.0	https://alphafold.ebi.ac.uk/api/prediction/P14174	available	117	1CA7_1	https://search.rcsb.org/rcsbsearch/v2/query	high_context_availability	unchanged
STAT1	P42224	IFN/APC transcriptional controller	broad_control_only	immune-tone confounder/controller rather than selective therapeutic node	docs/workups/treatment_response/CONFOUNDER_AUDIT_V32.md	AF-P42224-F1	6	750	87.2297	0.870667	0.065333	https://alphafold.ebi.ac.uk/api/prediction/P42224	available	10	1BF5_3	https://search.rcsb.org/rcsbsearch/v2/query	high_context_availability	unchanged
CD74	P04233	MHC-II chaperone/receptor-state readout	not_promoted	tone-loaded state readout; no receptor-specific adjusted support	analysis/v53_mif_cd74_grounded_audit/REPORT.md	AF-P04233-F1	6	296	69.9257	0.540541	0.27027	https://alphafold.ebi.ac.uk/api/prediction/P04233	available	24	1A6A_3	https://search.rcsb.org/rcsbsearch/v2/query	moderate_context_availability	unchanged
CDK19	Q9BWU1	Mediator-kinase surrogate	parked_translation_blocked	drug inhibition has not phenocopied MED16 APC selectivity	knowledge/candidates/CDK8_CDK19_MEDIATOR.md	AF-Q9BWU1-F1	6	502	76.5571	0.659363	0.26494	https://alphafold.ebi.ac.uk/api/prediction/Q9BWU1	available	0		https://search.rcsb.org/rcsbsearch/v2/query	moderate_context_availability	unchanged
CDK8	P49336	Mediator-kinase surrogate	parked_translation_blocked	drug inhibition has not phenocopied MED16 APC selectivity	knowledge/candidates/CDK8_CDK19_MEDIATOR.md	AF-P49336-F1	6	464	79.8183	0.721983	0.217672	https://alphafold.ebi.ac.uk/api/prediction/P49336	available	36	3RGF_1	https://search.rcsb.org/rcsbsearch/v2/query	moderate_context_availability	unchanged
IFI30	P13284	lysosomal thiol-reductase/readout	demoted	no MS expression/perturbation/modality chain; host-defense risk	knowledge/candidates/IFI30_GILT.md	AF-P13284-F1	6	250	83.2342	0.732	0.216	https://alphafold.ebi.ac.uk/api/prediction/P13284	available	0		https://search.rcsb.org/rcsbsearch/v2/query	moderate_context_availability	unchanged
IFNGR1	P15260	upstream IFN-gamma controller	broad_control_only	strong module movement is broad IFN/APC collapse, not selective decoupling	analysis/v26_deep_structure/perturbation_module_matrix.tsv	AF-P15260-F1	6	489	66.0079	0.456033	0.417178	https://alphafold.ebi.ac.uk/api/prediction/P15260	available	5	1FG9_2	https://search.rcsb.org/rcsbsearch/v2/query	moderate_context_availability	unchanged
RFX5	P48382	selective MHC-II transcriptional controller	parked	target-selective perturbation but no practical direct modality	knowledge/candidates/CIITA_SELECTIVE.md	AF-P48382-F1	6	616	57.1343	0.293831	0.602273	https://alphafold.ebi.ac.uk/api/prediction/P48382	available	3	2KW3_1	https://search.rcsb.org/rcsbsearch/v2/query	moderate_context_availability	unchanged
CIITA	P33076	MHC-II transcriptional gate	parked	direct modality impractical and broad loss immunologically unsafe	knowledge/candidates/CIITA_SELECTIVE.md	AF-P33076-F1	6	1130	68.7514	0.615044	0.29469	https://alphafold.ebi.ac.uk/api/prediction/P33076	available	0		https://search.rcsb.org/rcsbsearch/v2/query	low_context_availability	unchanged
