candidate	gene	intervention_node	source_reason	wave63_score	wave63_call	gate_pass_count	failed_gates	manual_or_prior_blocker	ms_l2g	ms_relevant_qtl_h4	strong_l2g_disease_count	relevant_qtl_coloc_disease_count	wave55_genetic_disease_count	local_positive_disease_count	local_negative_disease_count	residual_retained_disease_count	strict_residual_disease_count	ms_expression_min_p	ms_expression_min_fdr	lipid_lysosomal_myeloid_neighborhood	real_perturbation	direct_selectivity_score	direct_target_suppression	foundation_model_support	efferocytosis_support	route_literature_support	chembl_activity_count	route_druggability	wave62_call	wave31_call	wave34_call	wave34a_call	wave57_call	wave61_call	gate_ms_target_resolved	gate_cross_disease_target_resolved	gate_broad_genetic_support	gate_module_or_state_support	gate_strict_residual_or_ms_expression	gate_real_perturbation_support	gate_foundation_model_support	gate_repair_or_efferocytosis_guardrail	gate_druggable_or_modality	gate_no_manual_or_prior_blocker	gate_not_generic_or_cytotoxic
IL7R	IL7R	IL7R	wave62_parked_target_resolution	5.75	PARK_TRANSITION_CONTROLLER_NEEDS_MISSING_GATE	7	real_perturbation_support;repair_or_efferocytosis_guardrail;druggable_or_modality;no_manual_or_prior_blocker	prior_art_CD127_autoimmune_axis	0.9447864890098572	0.9844688660839735	4.0	4.0	7.0	3.0	0.0	2.0	1.0	0.5724603142052797	0.9431647247323408	False	False	0.0	0.0	True	False	False	0.0	0.0	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW		PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE		REOPEN_MODEL_SUPPORTED_INTERVENTION_FIRST		True	True	True	True	True	False	True	False	False	False	True
GALC	GALC	GALC	wave62_parked_target_resolution	3.25	PARK_TRANSITION_CONTROLLER_NEEDS_MISSING_GATE	5	cross_disease_target_resolved;strict_residual_or_ms_expression;real_perturbation_support;foundation_model_support;repair_or_efferocytosis_guardrail;no_manual_or_prior_blocker	enhance/replace galactocerebrosidase in principle, but autoimmune direction and delivery are unproven;NO_GO_LYSOSOMAL_MODEL_REOPENER;foundation_model_support; strict_ms_white_matter; module_specific_residual; real_perturbation_or_efferocytosis; directionality_safe_and_selective; prior_art_not_blocking	0.7024610638618469	0.9873343718864264	2.0	1.0	5.0	3.0	0.0	0.0	0.0	0.4547265367950667	0.9234563450681982	False	False	0.0	0.0	False	False	False	100.0	0.0	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW		PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE		NO_GO_MODEL_SCREEN		True	False	True	True	False	False	False	False	True	False	True
INAVA	INAVA	INAVA	wave62_parked_target_resolution	4.5	NO_GO_WAVE63_TRANSITION_CONTROLLER	5	module_or_state_support;strict_residual_or_ms_expression;real_perturbation_support;foundation_model_support;repair_or_efferocytosis_guardrail;druggable_or_modality		0.6894342303276062	0.9828462411264802	4.0	5.0	7.0	1.0	1.0	0.0	0.0	1.0	1.0	False	False	0.0	0.0	False	False	False	0.0	0.0	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY				True	True	True	False	False	False	False	False	False	True	True
ANKRD55	ANKRD55	ANKRD55	wave62_parked_target_resolution	4.5	NO_GO_WAVE63_TRANSITION_CONTROLLER	5	module_or_state_support;strict_residual_or_ms_expression;real_perturbation_support;foundation_model_support;repair_or_efferocytosis_guardrail;druggable_or_modality		0.7806254625320435	0.9983304925105227	4.0	3.0	10.0	0.0	0.0	0.0	0.0	0.8213839388878235	0.9761732664217524	False	False	0.0	0.0	False	False	False	0.0	0.0	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY				True	True	True	False	False	False	False	False	False	True	True
CD58	CD58	CD58	wave62_parked_target_resolution	3.5	NO_GO_WAVE63_TRANSITION_CONTROLLER	4	cross_disease_target_resolved;broad_genetic_support;strict_residual_or_ms_expression;real_perturbation_support;foundation_model_support;repair_or_efferocytosis_guardrail;druggable_or_modality		0.9513845443725586	0.9944626523267264	1.0	2.0	3.0	3.0	0.0	0.0	0.0	0.3110884246237163	0.9095100064215184	False	False	0.0	0.0	False	False	False	0.0	0.0	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE		PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE				True	False	False	True	False	False	False	False	False	True	True
PTGER4	PTGER4	PTGER4	wave62_parked_target_resolution	3.25	NO_GO_WAVE63_TRANSITION_CONTROLLER	5	module_or_state_support;strict_residual_or_ms_expression;real_perturbation_support;foundation_model_support;repair_or_efferocytosis_guardrail;no_manual_or_prior_blocker	EP4_directionality_prior_art_conflicted;prior_branch_blocker_or_directionality_unresolved;DEMOTE_NO_TARGET_LEVEL_GENETIC_PACKAGE	0.5558526515960693	0.9291922636901228	5.0	3.0	9.0	2.0	3.0	0.0	0.0	0.3034072589589571	0.9075477698307116	False	False	0.0	0.0	False	False	False	2168.0	0.0	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	DEMOTE_NO_TARGET_LEVEL_GENETIC_PACKAGE			True	True	True	False	False	False	False	False	True	False	True
TNFRSF1A	TNFRSF1A	TNFRSF1A	wave62_parked_target_resolution	3.25	NO_GO_WAVE63_TRANSITION_CONTROLLER	5	cross_disease_target_resolved;module_or_state_support;strict_residual_or_ms_expression;foundation_model_support;repair_or_efferocytosis_guardrail;no_manual_or_prior_blocker	TNF_axis_prior_art_and_MS_paradox_risk;Mixscale selectivity is not an autoimmune APC result; TNF blockade is saturated and demyelination risk makes it unsuitable as an MS cure route.;MS_directionally_unsafe_TNF_axis;NO_GO_WAVE61_GUARDRAIL	0.9539542198181152	0.999796162305538	3.0	4.0	7.0	0.0	0.0	0.0	0.0	0.3190864538699107	0.9120391943246274	False	True	0.6211601610564657	0.9683862679530189	False	False	False	0.0	3.0	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE	NO_GO_DYNAMIC_CONTROLLER	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY			NO_GO_WAVE61_GUARDRAIL	True	False	True	False	False	True	False	False	True	False	True
RGS1	RGS1	RGS1	wave62_parked_target_resolution	3.0	NO_GO_WAVE63_TRANSITION_CONTROLLER	4	cross_disease_target_resolved;module_or_state_support;strict_residual_or_ms_expression;real_perturbation_support;foundation_model_support;repair_or_efferocytosis_guardrail;druggable_or_modality		0.884235680103302	0.9856571406462532	4.0	2.0	5.0	1.0	2.0	0.0	0.0	0.8978310658595267	0.9847461495953936	False	False	0.0	0.0	False	False	False	0.0	0.0	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY				True	False	True	False	False	False	False	False	False	True	True
SP140	SP140	SP140	wave62_parked_target_resolution	2.5	NO_GO_WAVE63_TRANSITION_CONTROLLER	4	cross_disease_target_resolved;strict_residual_or_ms_expression;real_perturbation_support;foundation_model_support;repair_or_efferocytosis_guardrail;druggable_or_modality;no_manual_or_prior_blocker	genetic and state signal, but no correct-direction modality or direct perturbation validation;NO_GO_UNDRUGGABLE_CHROMATIN_CONTROLLER	0.8754889965057373	0.9868116204727	3.0	3.0	6.0	4.0	0.0	1.0	0.0	0.7262224269643743	0.9677805697088556	False	False	0.0	0.0	False	False	False	0.0	0.0	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW		PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE		NO_GO_MODEL_SCREEN		True	False	True	True	False	False	False	False	False	False	True
STAT4	STAT4	STAT4	wave62_parked_target_resolution	2.5	NO_GO_WAVE63_TRANSITION_CONTROLLER	4	module_or_state_support;strict_residual_or_ms_expression;real_perturbation_support;foundation_model_support;repair_or_efferocytosis_guardrail;druggable_or_modality;no_manual_or_prior_blocker	STAT4_TF_not_selectively_druggable;prior_branch_blocker_or_directionality_unresolved;DEMOTE_NOT_DRUGGABLE_IN_CORRECT_DIRECTION;NO_GO_WAVE61_GUARDRAIL	0.845672070980072	0.955404271318453	8.0	7.0	9.0	2.0	0.0	0.0	0.0	0.4607005214454064	0.9239963547089984	False	True	0.0	0.0	False	False	False	0.0	0.0	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	DEMOTE_NOT_DRUGGABLE_IN_CORRECT_DIRECTION	NO_GO_MODEL_SCREEN	NO_GO_WAVE61_GUARDRAIL	True	True	True	False	False	False	False	False	False	False	True
