candidate	gene	gate	passed	wave63_call
IL7R	IL7R	ms_target_resolved	True	PARK_TRANSITION_CONTROLLER_NEEDS_MISSING_GATE
IL7R	IL7R	cross_disease_target_resolved	True	PARK_TRANSITION_CONTROLLER_NEEDS_MISSING_GATE
IL7R	IL7R	broad_genetic_support	True	PARK_TRANSITION_CONTROLLER_NEEDS_MISSING_GATE
IL7R	IL7R	module_or_state_support	True	PARK_TRANSITION_CONTROLLER_NEEDS_MISSING_GATE
IL7R	IL7R	strict_residual_or_ms_expression	True	PARK_TRANSITION_CONTROLLER_NEEDS_MISSING_GATE
IL7R	IL7R	real_perturbation_support	False	PARK_TRANSITION_CONTROLLER_NEEDS_MISSING_GATE
IL7R	IL7R	foundation_model_support	True	PARK_TRANSITION_CONTROLLER_NEEDS_MISSING_GATE
IL7R	IL7R	repair_or_efferocytosis_guardrail	False	PARK_TRANSITION_CONTROLLER_NEEDS_MISSING_GATE
IL7R	IL7R	druggable_or_modality	False	PARK_TRANSITION_CONTROLLER_NEEDS_MISSING_GATE
IL7R	IL7R	no_manual_or_prior_blocker	False	PARK_TRANSITION_CONTROLLER_NEEDS_MISSING_GATE
IL7R	IL7R	not_generic_or_cytotoxic	True	PARK_TRANSITION_CONTROLLER_NEEDS_MISSING_GATE
GALC	GALC	ms_target_resolved	True	PARK_TRANSITION_CONTROLLER_NEEDS_MISSING_GATE
GALC	GALC	cross_disease_target_resolved	False	PARK_TRANSITION_CONTROLLER_NEEDS_MISSING_GATE
GALC	GALC	broad_genetic_support	True	PARK_TRANSITION_CONTROLLER_NEEDS_MISSING_GATE
GALC	GALC	module_or_state_support	True	PARK_TRANSITION_CONTROLLER_NEEDS_MISSING_GATE
GALC	GALC	strict_residual_or_ms_expression	False	PARK_TRANSITION_CONTROLLER_NEEDS_MISSING_GATE
GALC	GALC	real_perturbation_support	False	PARK_TRANSITION_CONTROLLER_NEEDS_MISSING_GATE
GALC	GALC	foundation_model_support	False	PARK_TRANSITION_CONTROLLER_NEEDS_MISSING_GATE
GALC	GALC	repair_or_efferocytosis_guardrail	False	PARK_TRANSITION_CONTROLLER_NEEDS_MISSING_GATE
GALC	GALC	druggable_or_modality	True	PARK_TRANSITION_CONTROLLER_NEEDS_MISSING_GATE
GALC	GALC	no_manual_or_prior_blocker	False	PARK_TRANSITION_CONTROLLER_NEEDS_MISSING_GATE
GALC	GALC	not_generic_or_cytotoxic	True	PARK_TRANSITION_CONTROLLER_NEEDS_MISSING_GATE
INAVA	INAVA	ms_target_resolved	True	NO_GO_WAVE63_TRANSITION_CONTROLLER
INAVA	INAVA	cross_disease_target_resolved	True	NO_GO_WAVE63_TRANSITION_CONTROLLER
INAVA	INAVA	broad_genetic_support	True	NO_GO_WAVE63_TRANSITION_CONTROLLER
INAVA	INAVA	module_or_state_support	False	NO_GO_WAVE63_TRANSITION_CONTROLLER
INAVA	INAVA	strict_residual_or_ms_expression	False	NO_GO_WAVE63_TRANSITION_CONTROLLER
INAVA	INAVA	real_perturbation_support	False	NO_GO_WAVE63_TRANSITION_CONTROLLER
