route	track	genes	direction	modality	manual_prior_status	manual_blocker	max_expr_positive_disease_count	max_strict_residual_disease_count	max_ot_credible_disease_count_ge_0_5	max_ot_credible_disease_count_ge_0_8	max_geneformer_support_contexts	real_perturbation_alignment_calls	direct_perturbation_calls	max_chembl_activity_records	best_chembl_nM	l1000_gene_or_target_hits	treatment_baseline_signal_count	treatment_baseline_nominal_signal_count	treatment_pharmacodynamic_signal_count	genetics_score	perturbation_score	druggability_score	response_score	penalty	priority_score	route_call	gate_failures
GPR65_pH_endolysosomal_gpcr	metabolite_barrier_and_genetics	GPR65	agonize or positively modulate acidic-tissue cAMP signaling if disease variants reduce protective function	GPCR small-molecule agonist/PAM	crowded	GPR65/TDAG8 IBD biology and modulator patents were already identified in Wave20; no new population or non-IBD delta yet.	1.0	0.0	5.0	2.0	0.0	no_rescue		99.0	364.84	0	0	0	0	5.0	0.0	3.0	0.0	4.0	4.0	PARK_REVIEW	no_positive_independent_perturbation_or_model_alignment;crowded_or_approved_prior_art
PTPN2_TCPTP_restoration	genetics_restoration	PTPN2	restore TCPTP negative regulation of JAK/STAT/barrier signaling	restoration/stabilization required; inhibitors are wrong direction	wrong_direction	Strong genetics, but therapeutic direction is restoration; no target-selective clinical-ready TCPTP activator/restorer exists.	4.0	0.0	8.0	4.0	5.0	model_and_gse162463_screen_align_relative_to_ctsh		100.0	3.0	0	0	0	0	5.0	1.0	2.0	0.0	4.0	4.0	PARK_REVIEW	modality_blocker_wrong_direction
IL10_augmentation	genetics_restoration	IL10;IL10RA;IL10RB	augment IL-10 anti-inflammatory signaling in deficient subgroup	cytokine/agonist/gene delivery	crowded	IL-10 augmentation has extensive inflammatory disease prior art and delivery/safety constraints; no V3-defined subgroup yet.	1.0	0.0	7.0	7.0	0.0			0.0		0	0	0	0	5.0	0.0	1.0	0.0	4.0	2.0	NO_GO	no_positive_independent_perturbation_or_model_alignment;weak_or_wrong_direction_modality;crowded_or_approved_prior_art
IRF5_CARD9_myeloid_program	genetics_restoration	IRF5;CARD9	inhibit pathogenic myeloid inflammatory programming only if independent of generic IFN/NF-kB	TF/pathway inhibition is difficult; CARD9 pathway modulation indirect	crowded	IRF5/CARD9 are known autoimmune/myeloid axes; no cross-disease V3 novelty or direct selectivity package.	2.0	0.0	9.0	9.0	0.0	no_rescue	null_or_wrong_direction	0.0		0	0	0	0	5.0	0.0	1.0	0.0	4.0	2.0	NO_GO	no_positive_independent_perturbation_or_model_alignment;weak_or_wrong_direction_modality;crowded_or_approved_prior_art
CLEC16A_mitophagy_restoration	genetics_restoration	CLEC16A	restore CLEC16A-linked mitophagy/autophagy quality control	indirect mitophagy/autophagy modulation	locus_ambiguous	16p13 locus ambiguity and no selective CLEC16A drug or target-engagement package.	1.0	0.0	7.0	0.0	0.0	no_rescue		0.0		0	0	0	0	5.0	0.0	1.0	0.0	5.0	1.0	NO_GO	no_positive_independent_perturbation_or_model_alignment;weak_or_wrong_direction_modality;modality_blocker_locus_ambiguous
baseline_module_response_biomarker	treatment_response_stratification	CD74;IFI30;CTSS;LIPA;APOE;C1QA;C1QB;C1QC;GPNMB;SPP1	use baseline lipid-lysosomal/APC module to stratify biologic/JAK/S1P/fumarate response	biomarker, not direct target	needs_prediction	Wave18 found no corrected baseline response predictor; only pharmacodynamic comparator signals so far.	4.0	0.0	0.0	0.0	3.0	model_and_gse162463_screen_align_relative_to_ctsh;model_contradicted_by_gse162463_screen;model_with_readout_concordance_only;no_rescue		1000.0	0.1	96	0	10	1	0.0	-1.0	3.0	0.5	2.0	0.5	NO_GO	no_corrected_baseline_response_predictor
SH2B3_LNK_restoration	genetics_restoration	SH2B3	restore LNK cytokine-signaling brake in hematopoietic cells	protein/RNA/gene restoration would be required	no_modality	Broad pleiotropic 12q24 locus and no direct modality for tissue-selective LNK restoration.	1.0	0.0	10.0	9.0	2.0	model_only_no_real_perturbation_alignment		0.0		0	0	0	0	5.0	0.0	0.0	0.0	5.0	0.0	NO_GO	no_positive_independent_perturbation_or_model_alignment;weak_or_wrong_direction_modality;modality_blocker_no_modality
TNFAIP3_A20_restoration	genetics_restoration	TNFAIP3	restore A20 NF-kB/TLR/TNF brake	restoration or pathway-specific mimicry	no_modality	Strong biology but direct A20 restoration is not currently a tractable selective drug modality; prior art is crowded.	3.0	0.0	7.0	7.0	2.0	model_only_no_real_perturbation_alignment		0.0		0	0	0	0	5.0	0.0	0.0	0.0	5.0	0.0	NO_GO	no_positive_independent_perturbation_or_model_alignment;weak_or_wrong_direction_modality;modality_blocker_no_modality
ATG16L1_xenophagy_restoration	genetics_restoration	ATG16L1	restore autophagy/xenophagy competence without broad autophagy toxicity	indirect autophagy modulation	no_selectivity	Autophagy modulation is broad; no selective ATG16L1 restoration modality is evident.	0.0	0.0	8.0	8.0	0.0			0.0		0	0	0	0	5.0	0.0	0.0	0.0	5.0	0.0	NO_GO	no_positive_independent_perturbation_or_model_alignment;weak_or_wrong_direction_modality;modality_blocker_no_selectivity
AHR_tryptophan_barrier_tolerance	metabolite_barrier	AHR;CYP1A1;CYP1B1	activate ligand-dependent epithelial/immune tolerance if local ligand deficiency or barrier readout is demonstrated	small-molecule AHR ligands or microbiome/metabolite intervention	crowded	AHR/tryptophan tolerance is broad autoimmune/IBD/skin prior art; local V3 data do not yet define a new autoimmune subgroup.	2.0	0.0	0.0	0.0	0.0			100.0	0.4467	0	0	0	0	0.0	0.0	3.0	0.0	5.0	-2.0	NO_GO	insufficient_cross_disease_genetics;no_positive_independent_perturbation_or_model_alignment;crowded_or_approved_prior_art
