route	database	query	url
FPR2_ANXA1_BIASED_RESOLUTION	GooglePatents	FPR2 biased agonist autoimmune disease	https://patents.google.com/?q=FPR2+biased+agonist+autoimmune+disease
FPR2_ANXA1_BIASED_RESOLUTION	Espacenet	FPR2 biased agonist autoimmune disease	https://worldwide.espacenet.com/patent/search?q=FPR2+biased+agonist+autoimmune+disease
FPR2_ANXA1_BIASED_RESOLUTION	GooglePatents	annexin A1 mimetic autoimmune multiple sclerosis	https://patents.google.com/?q=annexin+A1+mimetic+autoimmune+multiple+sclerosis
FPR2_ANXA1_BIASED_RESOLUTION	Espacenet	annexin A1 mimetic autoimmune multiple sclerosis	https://worldwide.espacenet.com/patent/search?q=annexin+A1+mimetic+autoimmune+multiple+sclerosis
FPR2_ANXA1_BIASED_RESOLUTION	GooglePatents	resolvin FPR2 autoimmune disease	https://patents.google.com/?q=resolvin+FPR2+autoimmune+disease
FPR2_ANXA1_BIASED_RESOLUTION	Espacenet	resolvin FPR2 autoimmune disease	https://worldwide.espacenet.com/patent/search?q=resolvin+FPR2+autoimmune+disease
CD300_RECEPTOR_SPECIFIC_TUNING	GooglePatents	CD300A agonist antibody autoimmune disease	https://patents.google.com/?q=CD300A+agonist+antibody+autoimmune+disease
CD300_RECEPTOR_SPECIFIC_TUNING	Espacenet	CD300A agonist antibody autoimmune disease	https://worldwide.espacenet.com/patent/search?q=CD300A+agonist+antibody+autoimmune+disease
CD300_RECEPTOR_SPECIFIC_TUNING	GooglePatents	CD300F CD300LF agonist antibody autoimmune	https://patents.google.com/?q=CD300F+CD300LF+agonist+antibody+autoimmune
CD300_RECEPTOR_SPECIFIC_TUNING	Espacenet	CD300F CD300LF agonist antibody autoimmune	https://worldwide.espacenet.com/patent/search?q=CD300F+CD300LF+agonist+antibody+autoimmune
CD300_RECEPTOR_SPECIFIC_TUNING	GooglePatents	CD300E antagonist inflammatory bowel disease	https://patents.google.com/?q=CD300E+antagonist+inflammatory+bowel+disease
CD300_RECEPTOR_SPECIFIC_TUNING	Espacenet	CD300E antagonist inflammatory bowel disease	https://worldwide.espacenet.com/patent/search?q=CD300E+antagonist+inflammatory+bowel+disease
