gene	wave81_call	score	direct_perturbation	direct_table_presence	direct_perturbation_detail	foundation_model_support	foundation_table_presence	foundation_model_detail	ms_anchor	genetics_or_target_resolution	broad_positive_disease_count	broad_positive_diseases	ibd_response_nominal	ibd_response_fdr10	modality_channel	prior_not_blocked	blocker	sources	wave62_call	ms_delta_log2	ms_p	wave71_call	decision_reason
DAB2	PARK_PERTURBATION_FIRST_CANDIDATE	9	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		1	0	0		1	0	0	1		wave37_efferocytosis_crispr		0.5378984279794476	0.0111306912319104	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
CD9	PARK_PERTURBATION_FIRST_CANDIDATE	8	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		1	0	0		0	0	0	1		wave37_efferocytosis_crispr		1.1100295973517351	0.0019686305906988	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
PARK7	PARK_PERTURBATION_FIRST_CANDIDATE	8	0	1		1	1	wave57:support=2,strong=0,token_contexts=3	0	1	2	psoriasis;ulcerative colitis	1	0	1	1		wave57_geneformer	NO_GO_WAVE62_TARGET_RESOLUTION	0.1710418567143854	0.4469378955677691	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
PSAP	PARK_PERTURBATION_FIRST_CANDIDATE	7	0	1		1	1	wave57:support=1,strong=0,token_contexts=6	1	0	0		0	0	0	1		wave57_geneformer		0.4733416802617221	0.0222704205658317		perturbation/model support exists but critical MS/genetics/modality/direction gates fail
FAM49B	PARK_PERTURBATION_FIRST_CANDIDATE	6	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	3	Crohn disease;psoriasis;ulcerative colitis	0	0	0	1		wave37_efferocytosis_crispr		0.1048061004481475	0.3462797066387407	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
LRRC61	PARK_PERTURBATION_FIRST_CANDIDATE	6	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	4	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis	0	0	0	1		wave37_efferocytosis_crispr		0.697050672079687	0.5819581822185158	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
LYN	PARK_PERTURBATION_FIRST_CANDIDATE	6	0	1		1	1	wave70c:support=3,strong=1,token_contexts=6	0	0	3	Crohn disease;psoriasis;ulcerative colitis	1	0	0	1		wave70c_geneformer		0.1003572031246236	0.4510979646191576	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
HEXA	PARK_PERTURBATION_FIRST_CANDIDATE	5	0	1		1	1	wave57:support=1,strong=1,token_contexts=3	0	0	1	Crohn disease	1	0	0	1		wave57_geneformer		-0.2333966796222828	0.3783657469096832		perturbation/model support exists but critical MS/genetics/modality/direction gates fail
HEXB	PARK_PERTURBATION_FIRST_CANDIDATE	5	0	1		1	1	wave57:support=1,strong=1,token_contexts=4	0	0	0		1	0	0	1		wave57_geneformer		0.2440950857530737	0.2023278254000029		perturbation/model support exists but critical MS/genetics/modality/direction gates fail
SP140	NO_GO_PERTURBATION_FIRST_BLOCKED	8	0	1		0	1		1	1	4	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis	1	0	1	0	closed prior SP140 branch: direct modulation is prior-art/chemistry-limited and retained only as comparator or Crohn-loss stratification	wave57_geneformer;wave69d_geneformer	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW	-0.0867628128456026	0.7262224269643743	NO_REOPEN_BLOCKED_BRANCH	closed prior SP140 branch: direct modulation is prior-art/chemistry-limited and retained only as comparator or Crohn-loss stratification
STAT4	NO_GO_PERTURBATION_FIRST_BLOCKED	7	0	1		0	1		1	1	2	Crohn disease;ulcerative colitis	1	0	1	0	generic JAK/STAT/Th1-Th17 transcription factor axis; not selectively druggable in correct direction	wave15_direct_perturbation;wave57_geneformer;wave69d_geneformer	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW	0.8684079555977076	0.4607005214454064	PARK_PRIOR_ART_OR_HOST_DEFENSE_PENALIZED	generic JAK/STAT/Th1-Th17 transcription factor axis; not selectively druggable in correct direction
RGS14	NO_GO_NO_PERTURBATION_SUPPORT	9	0	1		0	1		1	1	1	Crohn disease	1	0	1	1		wave69d_geneformer	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE	-0.5035394425450566	0.0463387063426136	NO_REOPEN_INSUFFICIENT_CONVERGENCE	candidate lacks direct perturbation or model support
DAP	NO_GO_NO_PERTURBATION_SUPPORT	7	0	1		0	1		1	0	3	Crohn disease;psoriasis;ulcerative colitis	1	0	0	1		wave57_geneformer		0.3933456450044126	0.0080691967127082	NO_REOPEN_INSUFFICIENT_CONVERGENCE	candidate lacks direct perturbation or model support
FMNL2	NO_GO_NO_PERTURBATION_SUPPORT	7	0	1		0	0		1	0	4	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	1	0	0	1		wave15_direct_perturbation		0.4116873433440275	0.0323812070948891	NO_REOPEN_INSUFFICIENT_CONVERGENCE	candidate lacks direct perturbation or model support
