gene	analysis_role	wave82_call	route_score	hard_failures	wave81_score	direct_perturbation	foundation_model_support	ms_anchor	genetics_or_target_resolution	target_resolved_local	broad_positive_disease_count	ibd_response_fdr10	accessible_surface_secreted	chembl_activity_count	modality_channel	plausible_modality	desired_direction	route_blocker	wave62_call	wave34_call	wave39_call	wave55_l2g_diseases	decision_reason
PARK7	residual_candidate	PARK_ROUTE_POSSIBLE_BUT_EVIDENCE_INCOMPLETE	4	no_ms_anchor;insufficient_cross_disease_breadth;no_fdr_response_support	8	0	1	0	1	0	2.0	0	0	0.0	1	small-molecule DJ-1/PARK7 modulators exist as a broad stress-biology concept, but no local autoimmune/MS route is resolved	unresolved; oxidative-stress/neurodegeneration biology could imply restoration, while inflammatory-state expression does not	no local MS anchor, generic stress biology, and target-resolution artifacts do not support a disease-specific intervention	NO_GO_WAVE62_TARGET_RESOLUTION	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE			some route exists locally, but critical disease anchoring or direction gates fail
DAB2	residual_candidate	NO_GO_NO_CREDIBLE_INTERVENTION_ROUTE	2	no_reachable_modality;no_genetic_target_resolution;insufficient_cross_disease_breadth;no_fdr_response_support	9	1	0	1	0	0	0.0	0	0	0.0	0	none mature; intracellular adaptor/endocytic protein	unresolved; efferocytosis screen signal does not define a clinically reachable DAB2 intervention	no genetics, no broad recurrence, no surface/secreted route, and no target chemistry in local artifacts		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY			local evidence remains perturbation/model signal without a clinically reachable intervention route
CD9	residual_candidate	NO_GO_NO_CREDIBLE_INTERVENTION_ROUTE	2	no_reachable_modality;no_genetic_target_resolution;insufficient_cross_disease_breadth;no_fdr_response_support	8	1	0	1	0	0	0.0	0	0	0.0	0	antibody or tetraspanin-targeted biologic is technically possible but biologically broad	unresolved; Wave81 only shows efferocytosis screen and MS-expression signal, not whether CD9 should be reduced or restored	tetraspanin pleiotropy, no genetics, no cross-disease breadth in Wave81, and prior Wave71 flags disease-state direction conflict					local evidence remains perturbation/model signal without a clinically reachable intervention route
PSAP	residual_candidate	NO_GO_NO_CREDIBLE_INTERVENTION_ROUTE	2	no_reachable_modality;no_genetic_target_resolution;insufficient_cross_disease_breadth;no_fdr_response_support	7	0	1	1	0	0	0.0	0	0	0.0	0	protein/peptide or lysosomal-lipid support is conceivable, but not supported by the local cross-autoimmune evidence	likely restoration/neurotrophic support if anything, but local autoimmune direction is not established	no genetics/modality channel in Wave81, weak cross-autoimmune recurrence, and no resolved intervention biomarker					local evidence remains perturbation/model signal without a clinically reachable intervention route
LYN	residual_candidate	NO_GO_NO_CREDIBLE_INTERVENTION_ROUTE	2	no_reachable_modality;no_genetic_target_resolution;no_ms_anchor;no_fdr_response_support	6	0	1	0	0	0	3.0	0	0	0.0	0	kinase inhibitors exist for SRC-family biology, but not with LYN-selective autoimmune-myeloid specificity here	unresolved; Wave70C model signal is an inhibitory-receptor comparator, not a safe LYN intervention direction	SRC-family broad selectivity/safety liability, no MS anchor, and no target-resolved genetics in Wave81		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY			local evidence remains perturbation/model signal without a clinically reachable intervention route
FAM49B	residual_candidate	NO_GO_NO_CREDIBLE_INTERVENTION_ROUTE	2	no_reachable_modality;no_genetic_target_resolution;no_ms_anchor;no_fdr_response_support	6	1	0	0	0	0	3.0	0	0	0.0	0	none mature; intracellular actin/Rac regulatory biology	unresolved; efferocytosis screen suggests loss may improve uptake, but disease-state expression is weak and not MS anchored	no MS anchor, no chemistry, no target-resolution genetics, and screen FDR did not validate in prior Wave71 notes		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY			local evidence remains perturbation/model signal without a clinically reachable intervention route
LRRC61	residual_candidate	NO_GO_NO_CREDIBLE_INTERVENTION_ROUTE	2	no_reachable_modality;no_genetic_target_resolution;no_ms_anchor;no_fdr_response_support	6	1	0	0	0	0	4.0	0	0	0.0	0	none credible from local artifacts	unresolved	broad expression recurrence without MS anchor or druggability; prior Wave71 flags too few guides and no ChEMBL route			NO_GO_SURFACEOME_RESCUE		local evidence remains perturbation/model signal without a clinically reachable intervention route
DAP	residual_candidate	NO_GO_NO_CREDIBLE_INTERVENTION_ROUTE	2	no_reachable_modality;no_genetic_target_resolution;no_fdr_response_support	7	0	0	1	0	0	3.0	0	0	0.0	0	none credible for selective systemic therapy	unresolved; expression recurrence suggests state marker, not whether DAP activity should be inhibited or restored	intracellular ribosome/autophagy protein, no target-resolved genetics, no surface/secreted route		PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	NO_GO_SURFACEOME_RESCUE		local evidence remains perturbation/model signal without a clinically reachable intervention route
FMNL2	residual_candidate	NO_GO_NO_CREDIBLE_INTERVENTION_ROUTE	2	no_reachable_modality;no_genetic_target_resolution;no_fdr_response_support	7	0	0	1	0	0	4.0	0	0	0.0	0	no selective FMNL2 route; broad formin/actin modulation would be toxic and nonselective	unresolved; actin/migration expression signal does not specify safe suppression vs restoration	intracellular actin regulator, no target-resolved genetics, no local ChEMBL route, not surface/secreted despite broad recurrence			NO_GO_SURFACEOME_RESCUE		local evidence remains perturbation/model signal without a clinically reachable intervention route
HEXA	residual_candidate	NO_GO_NO_CREDIBLE_INTERVENTION_ROUTE	1	no_reachable_modality;no_genetic_target_resolution;no_ms_anchor;insufficient_cross_disease_breadth;no_fdr_response_support	5	0	1	0	0	0	1.0	0	0	0.0	0	enzyme replacement/gene therapy conceptually exists for lysosomal disease, not supported here for autoimmune modulation	likely restoration if anything, but Wave81 has no MS anchor or cross-disease target-resolution support	lysosomal enzyme biology is nonspecific; no MS anchor, no genetics, and no autoimmune intervention direction in local outputs					local evidence remains perturbation/model signal without a clinically reachable intervention route
HEXB	residual_candidate	NO_GO_NO_CREDIBLE_INTERVENTION_ROUTE	1	no_reachable_modality;no_genetic_target_resolution;no_ms_anchor;insufficient_cross_disease_breadth;no_fdr_response_support	5	0	1	0	0	0	0.0	0	0	0.0	0	enzyme replacement/gene therapy conceptually exists for lysosomal disease, not supported here for autoimmune modulation	likely restoration if anything, but Wave81 has no MS anchor or cross-disease target-resolution support	lysosomal enzyme biology is nonspecific; no MS anchor, no genetics, and no autoimmune intervention direction in local outputs					local evidence remains perturbation/model signal without a clinically reachable intervention route
SP140	false_positive_control	NO_GO_FALSE_POSITIVE_CONTROL	6	no_fdr_response_support	8	0	0	1	1	1	4.0	0	0	0.0	1	SP140 reader-domain inhibition exists, but this branch was previously closed for V3 promotion	conflicted; autoimmune risk direction is compatible with loss/restoration biology while available chemical matter inhibits SP140	closed prior SP140 branch: prior art, MS local null, direction conflict, and no positive Wave81 support after strict gating	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	NO_GO_SURFACEOME_RESCUE		included to verify Wave81 proxy fixes; not eligible for Wave82 promotion
RGS14	false_positive_control	NO_GO_FALSE_POSITIVE_CONTROL	5	insufficient_cross_disease_breadth;no_fdr_response_support	9	0	0	1	1	1	1.0	0	0	0.0	1	none mature; hypothetical intracellular PPI/scaffold modulation	unresolved; local MS white-matter expression is lower while genetics/response proxies do not define restoration vs inhibition	single-disease local breadth, no positive Wave81 perturbation/model support, no surface/secreted route, no ChEMBL activity in local target-resolution artifacts	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY			included to verify Wave81 proxy fixes; not eligible for Wave82 promotion
STAT4	false_positive_control	NO_GO_FALSE_POSITIVE_CONTROL	5	insufficient_cross_disease_breadth;no_fdr_response_support	7	0	0	1	1	1	2.0	0	0	0.0	1	indirect IL-12/TYK2/JAK pathway modulation, not selective STAT4 modulation	broad suppression of Th1/Th17 signaling is plausible but crowded and not lipid-lysosomal specific	direct Wave15 perturbation was null/wrong-direction and prior audits demoted generic JAK/STAT biology	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY			included to verify Wave81 proxy fixes; not eligible for Wave82 promotion
