section	artifact	required_when	source_or_template	expected_status	redaction_required	notes	cohort	package_state	resolved_source	has_placeholder	required_now	exists	observed_status	check_status
receipt_and_terms	package_receipt_manifest	all_received_packages	docs/validation/input_schemas/V45_package_receipt_manifest_template.tsv	complete	yes		gafson_pending	not_received	docs/validation/input_schemas/V45_package_receipt_manifest_template.tsv	False	False	True		REFERENCE_PRESENT
receipt_and_terms	data_use_terms_summary	all_received_packages	docs/validation/input_schemas/V45_data_use_terms_capture_template.tsv	approved_for_preflight	yes		gafson_pending	not_received	docs/validation/input_schemas/V45_data_use_terms_capture_template.tsv	False	False	True		REFERENCE_PRESENT
integrity	checksum_manifest	all_received_packages	analysis/validation_command_runs/checksum_manifest/<cohort>/manifest_audit_summary.json	PASS	yes		gafson_pending	not_received	analysis/validation_command_runs/checksum_manifest/gafson_pending/manifest_audit_summary.json	True	False	False		NOT_YET_APPLICABLE
integrity	no_raw_git_scan	before_commit	analysis/v45_no_raw_git_scanner/summary.json	PASS	yes		gafson_pending	not_received	analysis/v45_no_raw_git_scanner/summary.json	False	True	True	PASS	PRESENT
integrity	locked_artifact_hash_audit	scored_packages	analysis/v45_locked_artifact_hash_audit/locked_artifact_hash_audit_summary.json	PASS	yes		gafson_pending	not_received	analysis/v45_locked_artifact_hash_audit/locked_artifact_hash_audit_summary.json	False	False	True	PASS	REFERENCE_PRESENT
intake	intake_preflight	all_received_packages	analysis/validation_command_runs/intake_preflight/<cohort>/preflight_summary.json	PASS	yes		gafson_pending	not_received	analysis/validation_command_runs/intake_preflight/gafson_pending/preflight_summary.json	True	False	False		NOT_YET_APPLICABLE
intake	module_coverage_precheck	expression_matrix_packages	analysis/validation_command_runs/module_coverage/<cohort>/module_coverage_precheck_summary.json	PASS	yes		gafson_pending	not_received	analysis/validation_command_runs/module_coverage/gafson_pending/module_coverage_precheck_summary.json	True	False	False		NOT_YET_APPLICABLE
intake	subject_map_sanity	paired_delta_packages	analysis/validation_command_runs/subject_map_sanity/<cohort>/subject_map_summary.json	PASS	yes		gafson_pending	not_received	analysis/validation_command_runs/subject_map_sanity/gafson_pending/subject_map_summary.json	True	False	False		NOT_YET_APPLICABLE
preregistration	preregistration_or_addendum	scored_packages	docs/validation/<applicable_preregistration_or_addendum>.md	committed_blind	no		gafson_pending	not_received	docs/validation/PREREGISTRATION_V42.md	True	False	True		NOT_YET_APPLICABLE
software	precommit_readiness	scored_packages	analysis/v45_precommit_readiness/precommit_readiness_summary.json	PASS	no		gafson_pending	not_received	analysis/v45_precommit_readiness/precommit_readiness_summary.json	False	False	True	PASS	REFERENCE_PRESENT
software	regression_aggregator	scored_packages	analysis/v45_regression_aggregator/regression_aggregator_summary.json	PASS	no		gafson_pending	not_received	analysis/v45_regression_aggregator/regression_aggregator_summary.json	False	False	True	PASS	REFERENCE_PRESENT
harness	validation_summary	scored_packages	analysis/validation_runs/<cohort>/validation_summary.json	complete	yes		gafson_pending	not_received	analysis/validation_runs/gafson_pending/validation_summary.json	True	False	False		NOT_YET_APPLICABLE
harness	locked_rule_metrics	scored_packages	analysis/validation_runs/<cohort>/locked_rule_metrics.tsv	complete	yes		gafson_pending	not_received	analysis/validation_runs/gafson_pending/locked_rule_metrics.tsv	True	False	False		NOT_YET_APPLICABLE
harness	confounder_adjustment_metrics	scored_packages	analysis/validation_runs/<cohort>/confounder_adjustment_metrics.tsv	complete	yes		gafson_pending	not_received	analysis/validation_runs/gafson_pending/confounder_adjustment_metrics.tsv	True	False	False		NOT_YET_APPLICABLE
harness	batch_diagnostic_metrics	scored_packages	analysis/validation_runs/<cohort>/batch_diagnostic_metrics.tsv	complete	yes		gafson_pending	not_received	analysis/validation_runs/gafson_pending/batch_diagnostic_metrics.tsv	True	False	False		NOT_YET_APPLICABLE
report	validation_result_report	all_packages	analysis/validation_runs/<cohort>/VALIDATION_RESULT_REPORT.md	complete	yes		gafson_pending	not_received	analysis/validation_runs/gafson_pending/VALIDATION_RESULT_REPORT.md	True	False	False		NOT_YET_APPLICABLE
report	failure_taxonomy_code	unscoreable_or_blocked_packages	docs/validation/input_schemas/V45_preflight_failure_taxonomy.tsv	named	yes		gafson_pending	not_received	docs/validation/input_schemas/V45_preflight_failure_taxonomy.tsv	False	False	True		REFERENCE_PRESENT
redaction	sensitive_data_redaction_check	all_handoffs	docs/validation/input_schemas/V45_sensitive_data_redaction_checklist.tsv	complete	yes		gafson_pending	not_received	docs/validation/input_schemas/V45_sensitive_data_redaction_checklist.tsv	False	True	True		PRESENT
