component	reference_design	hard_boundary	evidence_type	supporting_artifact
role	P1 longitudinal progression; optional linked P2	Do not substitute relapse, stage, morphology, or pharmacodynamic change	grounded metadata/method audit	docs/validation/PROGRESSION_COHORT_ACQUISITION_SPEC_V54.md
total sample size	450 across 3 balanced sites for the stress-tested transport scenario	Not a universal minimum; rerun blinded cohort-specific power at actual event rate/effect assumptions	seeded synthetic method behavior	analysis/v54_progression_multisite_transportability/transport_readiness.tsv
site allocation	150/150/150 target; predeclare every site	60/30/10 allocation did not pass full transport at the same total n	seeded synthetic method behavior	analysis/v54_progression_multisite_transportability/transport_readiness.tsv
progression event yield	30% cumulative event setting; median minimum 26 events/site in passing cells	15% event setting did not pass transport by n=450; fewer than 10 events is descriptive-only	seeded synthetic method behavior	analysis/v54_progression_multisite_transportability/transport_readiness.tsv
clinical visits	quarterly assessment over the modeled 2-year horizon	Actual cadence and confirmation interval must be frozen from protocol; annual schedules lost substantial ascertainment/power	seeded synthetic method behavior	analysis/v54_progression_visit_schedule_robustness/calibrated_observed_route_power.tsv
endpoint confirmation	raw components plus later protocol-valid confirmation; CDP and PIRA separate	Missing/mistimed confirmation remains inconclusive, never negative	synthetic regression behavior	analysis/v54_progression_endpoint_adjudication/summary.json
visit missingness	capture expected/actual date, attendance, and reason for every visit	Score-dependent or joint score/risk attendance invalidates ordinary observed-time inference	seeded synthetic method behavior	analysis/v54_progression_visit_schedule_robustness/null_calibration_by_route_mechanism.tsv
molecular score reliability	blinded pilot/test-retest estimate before choosing repeat count	Repeat collection is conditionally useful only from low reliability with sufficiently independent error	seeded synthetic method behavior	analysis/v54_progression_repeated_score_reliability/repeat_measurement_power_gains.tsv
molecular repeats	one at reliability about 0.70; consider 3 fixed-average repeats near reliability 0.40 if errors are demonstrably not shared	No outcome-informed weighting/timepoint selection; repeats cannot repair sparse events	seeded synthetic method behavior	analysis/v54_progression_repeated_score_reliability/summary.json
death/competing event	capture date/cause and freeze cause-specific sensitivity before score access	Joint score/progression-risk death invalidates ordinary censoring; no post-hoc death composite	seeded synthetic method behavior	analysis/v54_progression_competing_risk_robustness/summary.json
dropout/censoring	complete dates/reasons plus IPCW, worst-case, joint-dependence, and time-variation diagnostics when required	Unknown/outcome-related loss fails closed; crossing effects cannot be rescued by comparing window p-values	seeded synthetic + gate behavior	docs/validation/PROGRESSION_EVENT_TIME_ASSUMPTION_GATE_V54.md
primary inference	site- and treatment/source-stratified event-time route	Pooled route is invalid under site-score/baseline-hazard alignment	seeded synthetic method behavior	analysis/v54_progression_multisite_transportability/null_calibration_by_route.tsv
transport decision	global positive + every-site direction + every leave-site-out positive + >=10 events/site + heterogeneity p>=0.05	Global significance alone is not transport	seeded synthetic method behavior	docs/plans/PROGRESSION_MULTISITE_TRANSPORTABILITY_V54.md
P2 composition	direct linked composition in both compartments; direct interaction only	Noisy composition under true imbalance and unadjusted analyses are invalid	seeded synthetic + gate behavior	docs/validation/PROGRESSION_P2_COMPOSITION_ACCEPTANCE_V54.md
P2 sample planning	paired where possible; rerun grid with blinded pairing/correlation/composition reliability	Synthetic 0.7-SD interaction ranged from 15-80/group; not an empirical effect or universal minimum	seeded synthetic method behavior	analysis/v54_progression_p2_interaction_power/minimum_group_n.tsv
therapeutic interpretation	P1 association -> P2 localization -> separate P3 direction-resolved functional validation	A progression predictor is not a causal target and cannot establish halting progression	grounded project decision boundary	analysis/v54_progression_intervention_direction_map/summary.json
