pathway	perturbation	split	split_rule
IFNB	IFNAR1	held_out	sorted_by_pathway_perturbation_holdout_i_mod_5_eq_0
IFNB	IRF1	train	sorted_by_pathway_perturbation_holdout_i_mod_5_eq_0
IFNB	JAK1	train	sorted_by_pathway_perturbation_holdout_i_mod_5_eq_0
IFNB	NFKB1	train	sorted_by_pathway_perturbation_holdout_i_mod_5_eq_0
IFNB	SOCS1	train	sorted_by_pathway_perturbation_holdout_i_mod_5_eq_0
IFNB	STAT1	held_out	sorted_by_pathway_perturbation_holdout_i_mod_5_eq_0
IFNB	TYK2	train	sorted_by_pathway_perturbation_holdout_i_mod_5_eq_0
IFNG	HLA-DQB1	held_out	sorted_by_pathway_perturbation_holdout_i_mod_5_eq_0
IFNG	IFNGR1	train	sorted_by_pathway_perturbation_holdout_i_mod_5_eq_0
IFNG	IFNGR2	train	sorted_by_pathway_perturbation_holdout_i_mod_5_eq_0
IFNG	IRF1	train	sorted_by_pathway_perturbation_holdout_i_mod_5_eq_0
IFNG	JAK1	train	sorted_by_pathway_perturbation_holdout_i_mod_5_eq_0
IFNG	JAK2	held_out	sorted_by_pathway_perturbation_holdout_i_mod_5_eq_0
IFNG	NFKB1	train	sorted_by_pathway_perturbation_holdout_i_mod_5_eq_0
IFNG	RFX5	train	sorted_by_pathway_perturbation_holdout_i_mod_5_eq_0
IFNG	STAT1	train	sorted_by_pathway_perturbation_holdout_i_mod_5_eq_0
TNFA	CHUK	held_out	sorted_by_pathway_perturbation_holdout_i_mod_5_eq_0
TNFA	IKBKB	train	sorted_by_pathway_perturbation_holdout_i_mod_5_eq_0
TNFA	IKBKG	train	sorted_by_pathway_perturbation_holdout_i_mod_5_eq_0
TNFA	IRF1	train	sorted_by_pathway_perturbation_holdout_i_mod_5_eq_0
TNFA	MAP3K7	train	sorted_by_pathway_perturbation_holdout_i_mod_5_eq_0
TNFA	NFKB1	held_out	sorted_by_pathway_perturbation_holdout_i_mod_5_eq_0
TNFA	RELB	train	sorted_by_pathway_perturbation_holdout_i_mod_5_eq_0
TNFA	TNFRSF1A	train	sorted_by_pathway_perturbation_holdout_i_mod_5_eq_0
