claim_id	plain_language_statement	onboarding_status	evidence_role	controlling_artifacts	allowed_scope	forbidden_overread
B01	MS involves immune-mediated injury in the central nervous system, including damage to myelin and nerve fibers.	BACKGROUND_ORIENTATION	background_not_project_result	docs/history/MS_RESEARCH_LOG_2026-05-26.md	One-sentence orientation, explicitly labeled background rather than a result produced here.	Do not imply that V55 analyzed disease causation or settled every MS mechanism.
B02	Relapse activity and disability progression are related but not interchangeable outcomes.	SUPPORTED_BOUNDARY	project_grounded_design_boundary	docs/history/PROGRESSION_FRONTIER_V54.md;docs/validation/PROGRESSION_COHORT_ACQUISITION_SPEC_V54.md	Explain that relapses are episodes of inflammatory activity while progression asks about accumulated disability over time.	Do not imply that every patient follows one trajectory or that relapse has no relationship to disability.
M01	The bounded APC/HLA-II early-treatment score is the project's one live clinical lead.	LIVE_PROVISIONAL	project_provisional	docs/findings/FINDING_V22.md;docs/reports/THERAPEUTIC_PATH_V52.md	Call it a provisional early monitoring signal awaiting independent validation.	Do not call it a validated biomarker, treatment selector, target, cure, or clinical tool.
M02	The locked score produced mixed results across therapies and cohorts.	LIVE_PROVISIONAL	project_provisional	docs/findings/FINDING_V22.md;docs/locked_rules/LOCKED_RULE_V22.md	State that the MS DMF cohort passed while fingolimod and psoriasis adalimumab did not; cross-disease tofacitinib support is bounded.	Do not describe the rule as broadly predictive across MS drugs, diseases, tissues, or outcomes.
M03	Within its bounded 19-person evidence set, the simple locked score outperformed more flexible alternatives and survived several statistical stress tests.	SUPPORTED_METHOD	project_supported_method	docs/workups/treatment_response/ROBUSTNESS_MAP_V28.md	Explain tool robustness together with tiny-sample and external-validation caveats.	Do not imply that repeated analysis substitutes for an independent cohort or that flexible modeling was comprehensively ruled out.
M04	The monitoring signal is not explained by the tested steroid-response or simple cell-composition signatures, but broader immune tone attenuates it.	SUPPORTED_BOUNDED	project_supported	docs/workups/treatment_response/CONFOUNDER_AUDIT_V32.md	Describe it as partially confounded or immune-tone bounded, with direct caveats about marker proxies and n=19.	Do not call it a pure APC/HLA-II mechanism or claim direct steroid exposure was measured.
M05	A monitoring signal can report whether biology is changing after treatment without identifying what drug target should be changed.	SUPPORTED_BOUNDARY	project_grounded_interpretation	docs/reports/THERAPEUTIC_PATH_V52.md;docs/history/V54_RUN_SUMMARY.md	Use monitoring-versus-target as a central conceptual distinction.	Do not convert predictive or pharmacodynamic association into causality, efficacy, or target evidence.
G01	Among the tested autoimmune comparators, ulcerative colitis had the strongest genome-wide genetic relationship with MS.	ROBUST_CONTEXT	project_robust_context	docs/reports/FINDINGS_REPORT_V37.md;docs/history/LEAD_SLATE_V21.md	Present as useful, low-novelty genetic backdrop within the tested comparator set.	Do not claim UC is the cause of MS or that this relationship transfers a treatment target.
G02	At ZMIZ1, the same expression-increasing direction was associated with higher MS risk but lower Crohn risk.	SUPPORTED_DECOUPLING	project_supported	docs/workups/genetics/GENETICS_EQTL_WORKUP_V16.md;docs/reports/FINDINGS_REPORT_V37.md	Use as a warning that a shared locus can point in opposite disease directions.	Do not nominate ZMIZ1 as a treatment target from this comparison.
G03	The chr1 KIF21B/GPR25 region appears biologically real, but causal-gene uncertainty and restoration or up-function direction make it therapeutically hard.	CLOSED_DIRECTION	project_supported_closure	docs/workups/genetics/GENETICS_CHR1_REEVALUATION_V19.md;docs/reports/THERAPEUTIC_PATH_V52.md	Explain that tractability depends on the genetically required direction, not just protein class or pocket shape.	Do not call GPR25 actionable because it resembles a GPCR or KIF21B closed because it is a kinesin.
