rank	route	direction	blocking_status	lead_indication_if_any	prior_art_summary	safety_liability	delivery_feasibility	chemical_or_modality_precedent	biomarker_readout	verdict
1	specialized_pro_resolving_mediator_FPR2_axis	agonism_not_inhibition	NOT_BLOCKED_BUT_IMMATURE	IBD first; MS only after CNS/peripheral PK-PD proof	PubMed 545-hit query includes MS SPM pilot, FPR2-biased colitis efferocytosis, stable RvD1 analog EAE; patents exist but not fully blocking for cross-autoimmune use	FPR2 ligand bias can switch resolving versus inflammatory signaling; lipid mediator stability	Small molecule/stable lipid analog plausible in gut/skin; CNS uncertain	ChEMBL FPR2; lipoxin/resolvin ChEMBL/PubChem; FPR2 patents	Tissue efferocytosis index; SPM lipidomics; FPR2 response; S100A8/A9 and neutrophil program down; resolution macrophage markers	Least blocked route, but not yet a finding
2	CD300_family_modulation	receptor_specific_agonism_or_inhibitory_tuning	NOT_BLOCKED_BUT_DIRECTION_AMBIGUOUS	RA synovium or tissue-injury model first	PubMed 26 autoimmune and 145 CD300 lipid/efferocytosis hits; patents on CD300 antibodies; no autoimmune clinical trials in query	Family receptors differ; CD300A/F/B/E direction cannot be collapsed; viral and mast-cell biology risks	Antibody feasible peripherally; CNS difficult	Patent antibody precedent; no clinical-grade autoimmune CD300 modality found	Receptor occupancy; apoptotic-cell/myelin efferocytosis; IL1B/TNF suppression without uptake loss	Plausible whitespace only if receptor-specific direction is proven
3	NPC1_NPC2_cholesterol_egress	functional_rescue_enhancement	NOT_PRIOR_ART_BLOCKED_BUT_TRANSLATIONALLY_WEAK	No lead indication until ex vivo macrophage assay works	NPC/HPBCD clinical precedent; no autoimmune NPC1 intervention trial found	HPBCD exposure, ototoxicity concern, intrathecal/lumbar-puncture burden	Peripheral feasible; CNS high burden	Adrabetadex/HPBCD trials; ChEMBL NPC1; PubChem adrabetadex	Filipin/lysosomal cholesterol; oxysterols; efferocytosis under lipid overload; NPC1/NPC2 rescue	Readout-like route, not target-ready
4	LIPA_LAL_enhancement	enhancement_replacement_not_inhibition	NOT_DIRECTLY_AUTOIMMUNE_BLOCKED_BUT_WEAK	Peripheral macrophage lipid-overload indication only if signal emerges	Sebelipase alfa LAL-D clinical modality; no autoimmune sebelipase trial in query; LAL variants patents	Infusion/immunogenicity; systemic lipid flux; no immune selectivity	Reticuloendothelial feasible; CNS not established	Sebelipase alfa ChEMBL; LIPA ChEMBL; LAL-D trials	LAL activity; cholesteryl ester storage; lipid droplets; GPNMB/APOE/LPL state markers	Parked, not promoted
5	MERTK_AXL_TAM_GAS6_PROS1_agonism	agonism_restoration	PARTLY_BLOCKED_AND_DIFFICULT	Lupus or RA before MS	TAM activation and autoimmune reviews; lupus MerTK/Gas6 model; MERTK agonistic antibodies and anti-MerTK patent claims	TAM agonism may suppress host defense; AXL/GAS6 fibrosis/tumor risks; PROS1/GAS6 coagulation biology	Peripheral biologic plausible; CNS difficult	ChEMBL MERTK/AXL/TYRO3/GAS6/PROS1; MERTK agonistic antibody patents	sMERTK; GAS6/PROS1; pMERTK; apoptotic-cell/myelin uptake; cytokines after debris challenge	Mechanistically relevant but crowded and not V3-causal
6	GPNMB_non_depleting_repair_handle	agonism_or_delivery_handle_not_depletion	PARTLY_BLOCKED_FOR_MS_REPAIR	Biomarker/delivery-handle research only	PPARgamma-GPNMB remyelination paper blocks a direct MS repair claim; anti-GPNMB antibody patents and ADC precedent	Depletion could remove repair cells; ADC payload incompatible with chronic autoimmune repair	Peripheral antibodies feasible; CNS hard	GPNMB ChEMBL target; glembatumumab vedotin ChEMBL	GPNMB protein; GPNMB+ cell fraction; remyelination/OPC markers; no depletion	Marker/handle only
7	TREM2_agonism	agonist_antibody_activation	BLOCKED_FOR_NOVELTY	None as novel V3 route; use as comparator	TREM2 activation remyelination in MS model; AL002 phase 1/2 AD trials; direct TREM2 agonist patent	Microglial activation timing risk; lipid loading/inflammation if wrong dose; antibody CNS exposure	Antibody CNS penetration low without engineering	ChEMBL TREM2; AL002 trials; TREM2 agonist patents	CSF sTREM2; microglial phagocytosis; myelin debris clearance; GPNMB/APOE/LPL shift	Occupied field, not a V3 novelty route
8	LXR_ABCA1_ABCG1_activation	LXR_agonism_efflux_activation	BLOCKED_BY_PRIOR_ART_AND_SAFETY	None as generic route	LXR EAE paper from 2006; LXR human lipid/neutrophil effects; broad LXR patents	Hepatic lipogenesis, hypertriglyceridemia, neutrophil/lipoprotein effects	Oral exposure feasible; selectivity and CNS microglia are blockers	ChEMBL LXR alpha/beta; LXR-623; T0901317/GW3965	ABCA1/ABCG1 induction; cholesterol efflux; oxysterols; plasma TG/HDL	Blocked unless tissue-selective non-lipogenic variant appears
9	PPAR_RXR_retinoid_modulation	agonism_or_modulation	BLOCKED_BY_PRIOR_ART_AND_TOXICITY	None as generic route	PPAR autoimmune literature saturated; rosiglitazone UC RCT; PPARgamma-GPNMB remyelination prior art	Edema, weight, fracture/CV context; retinoid teratogenicity and lipid/thyroid toxicity	Oral feasible; breadth is blocker	ChEMBL PPARG/RXRA/RARG and pioglitazone/rosiglitazone/bexarotene	PPARG/RXR targets; adiponectin/metabolic labs; GPNMB induction	No-go
10	TAM_receptor_inhibition	inhibition	BLOCKED_AND_WRONG_DIRECTION	Oncology only	AXL/MERTK inhibitor trials and MERTK inhibitor patents; wrong direction for efferocytosis	May impair apoptotic-cell clearance and worsen lupus-like biology; kinase toxicity	Small-molecule delivery feasible, making wrong-direction risk actionable	Bemcentinib, UNC2025-like matter; AXL/MERTK trials	Reduced pMERTK/AXL, reduced efferocytosis, increased debris	No-go for resolution
