failure_mode	n_items
module_specificity_failure	3
transfer_invalid	2
hard_protective_direction	2
causal_gene_ambiguity	2
axis_mismatch	2
baseline_not_dynamic	2
compartment_mismatch	2
opposite_direction	1
weak_modality_fit	1
mixed_signals	1
direction_conflict	1
distinct_causal_variants	1
overlap_not_mechanism	1
downstream_context_dependence	1
context_dependence	1
invariance_not_supported	1
underpowered_modality_count	1
generalization_failure	1
heldout_validation_failure	1
scope_too_broad	1
complexity_no_improvement	1
small_n_overfit_risk	1
cross_disease_generalization_failure	1
weak_expression_support	1
immature_chemical_matter	1
marker_not_driver	1
weak_genetic_support	1
prior_art_not_enough	1
subthreshold_coloc	1
missing_qtl_direction	1
coloc_failure	1
expression_cannot_rescue	1
random_control_failure	1
donor_aware_nonreplication	1
coupling_not_causality	1
bottleneck_not_proven	1
confounder_context_not_mechanism	1
direction_not_actionable	1
