field	available	verified	n_nonmissing	source_file	notes
subject_id	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
sample_id	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
visit_id	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
collection_date	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
days_from_baseline	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
compartment	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
cell_type_or_bulk	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
ms_course	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
course_adjudication_method	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
age_at_collection	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
sex	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
ancestry_or_genotype_pcs	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
edss_value	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
edss_assessment_date	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
edss_confirmed_change	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
t25fw_value	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
nine_hole_peg_value	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
progression_event	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
progression_definition	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
progression_confirmation_interval_days	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
pira_label	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
pira_definition	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
relapse_onset_date	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
relapse_recovery_date	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
steroid_start_date	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
steroid_dose_and_route	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
infection_date_and_status	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
dmt_name	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
dmt_start_date	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
dmt_stop_date	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
dmt_dose_or_infusion_date	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
treatment_switch_reason	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
mri_date	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
new_enlarging_t2_count	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
gadolinium_enhancing_count	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
prl_or_slowly_expanding_lesion_id	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
prl_detection_protocol	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
prl_persistence_or_change	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
expression_file	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
expression_scale	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
feature_annotation_file	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
feature_id_version	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
processing_batch	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
collection_site	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
library_or_array_platform	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
rin_or_quality_metric	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
library_depth_or_array_qc	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
cell_count_file	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
paired_compartment_sample_id	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
perturbation_id	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
perturbation_target	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
perturbation_direction	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
perturbation_dose	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
donor_id	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
primary_human_context	yes	yes	24	analysis/v54_progression_p1_analysis_release_gate/runs/continue_accrual/upstream/runs/continue_accrual/inputs/SYNTHETIC_ONLY.tsv	SYNTHETIC fixture; no biological data
