scenario	step_order	state	description	score_read_allowed	report_state_allowed	path
scored_canonical_clean	1	RECEIVED	package receipt logged; no package content interpreted	false	false	RECEIVED;TERMS_ALLOWED;FORMAT_CANONICAL;COMPLETENESS_PASS;SCHEMA_PASS;LABELS_CLASSIFIED;SAFE_CLASS_ASSIGNED;REPORT_READY
scored_canonical_clean	2	TERMS_ALLOWED	data-use terms permit the selected aggregate route	false	false	RECEIVED;TERMS_ALLOWED;FORMAT_CANONICAL;COMPLETENESS_PASS;SCHEMA_PASS;LABELS_CLASSIFIED;SAFE_CLASS_ASSIGNED;REPORT_READY
scored_canonical_clean	3	FORMAT_CANONICAL	canonical aggregate files/columns identified	false	false	RECEIVED;TERMS_ALLOWED;FORMAT_CANONICAL;COMPLETENESS_PASS;SCHEMA_PASS;LABELS_CLASSIFIED;SAFE_CLASS_ASSIGNED;REPORT_READY
scored_canonical_clean	4	COMPLETENESS_PASS	redaction and required-output completeness gate passed	false	false	RECEIVED;TERMS_ALLOWED;FORMAT_CANONICAL;COMPLETENESS_PASS;SCHEMA_PASS;LABELS_CLASSIFIED;SAFE_CLASS_ASSIGNED;REPORT_READY
scored_canonical_clean	5	SCHEMA_PASS	aggregate schema validation passed	false	false	RECEIVED;TERMS_ALLOWED;FORMAT_CANONICAL;COMPLETENESS_PASS;SCHEMA_PASS;LABELS_CLASSIFIED;SAFE_CLASS_ASSIGNED;REPORT_READY
scored_canonical_clean	6	LABELS_CLASSIFIED	analyzable-pair and response-label coverage classified	false	false	RECEIVED;TERMS_ALLOWED;FORMAT_CANONICAL;COMPLETENESS_PASS;SCHEMA_PASS;LABELS_CLASSIFIED;SAFE_CLASS_ASSIGNED;REPORT_READY
scored_canonical_clean	7	SAFE_CLASS_ASSIGNED	V46 safe-interpretation class assigned	false	false	RECEIVED;TERMS_ALLOWED;FORMAT_CANONICAL;COMPLETENESS_PASS;SCHEMA_PASS;LABELS_CLASSIFIED;SAFE_CLASS_ASSIGNED;REPORT_READY
scored_canonical_clean	8	REPORT_READY	result report may use only the safe class's allowed language	true	true	RECEIVED;TERMS_ALLOWED;FORMAT_CANONICAL;COMPLETENESS_PASS;SCHEMA_PASS;LABELS_CLASSIFIED;SAFE_CLASS_ASSIGNED;REPORT_READY
scored_noncanonical_clean	1	RECEIVED	package receipt logged; no package content interpreted	false	false	RECEIVED;TERMS_ALLOWED;FORMAT_NONCANONICAL;FORMAT_NORMALIZED;COMPLETENESS_PASS;SCHEMA_PASS;LABELS_CLASSIFIED;SAFE_CLASS_ASSIGNED;REPORT_READY
scored_noncanonical_clean	2	TERMS_ALLOWED	data-use terms permit the selected aggregate route	false	false	RECEIVED;TERMS_ALLOWED;FORMAT_NONCANONICAL;FORMAT_NORMALIZED;COMPLETENESS_PASS;SCHEMA_PASS;LABELS_CLASSIFIED;SAFE_CLASS_ASSIGNED;REPORT_READY
scored_noncanonical_clean	3	FORMAT_NONCANONICAL	accepted aliases detected; adapter required	false	false	RECEIVED;TERMS_ALLOWED;FORMAT_NONCANONICAL;FORMAT_NORMALIZED;COMPLETENESS_PASS;SCHEMA_PASS;LABELS_CLASSIFIED;SAFE_CLASS_ASSIGNED;REPORT_READY
scored_noncanonical_clean	4	FORMAT_NORMALIZED	noncanonical aggregate aliases normalized	false	false	RECEIVED;TERMS_ALLOWED;FORMAT_NONCANONICAL;FORMAT_NORMALIZED;COMPLETENESS_PASS;SCHEMA_PASS;LABELS_CLASSIFIED;SAFE_CLASS_ASSIGNED;REPORT_READY
scored_noncanonical_clean	5	COMPLETENESS_PASS	redaction and required-output completeness gate passed	false	false	RECEIVED;TERMS_ALLOWED;FORMAT_NONCANONICAL;FORMAT_NORMALIZED;COMPLETENESS_PASS;SCHEMA_PASS;LABELS_CLASSIFIED;SAFE_CLASS_ASSIGNED;REPORT_READY
scored_noncanonical_clean	6	SCHEMA_PASS	aggregate schema validation passed	false	false	RECEIVED;TERMS_ALLOWED;FORMAT_NONCANONICAL;FORMAT_NORMALIZED;COMPLETENESS_PASS;SCHEMA_PASS;LABELS_CLASSIFIED;SAFE_CLASS_ASSIGNED;REPORT_READY
scored_noncanonical_clean	7	LABELS_CLASSIFIED	analyzable-pair and response-label coverage classified	false	false	RECEIVED;TERMS_ALLOWED;FORMAT_NONCANONICAL;FORMAT_NORMALIZED;COMPLETENESS_PASS;SCHEMA_PASS;LABELS_CLASSIFIED;SAFE_CLASS_ASSIGNED;REPORT_READY
scored_noncanonical_clean	8	SAFE_CLASS_ASSIGNED	V46 safe-interpretation class assigned	false	false	RECEIVED;TERMS_ALLOWED;FORMAT_NONCANONICAL;FORMAT_NORMALIZED;COMPLETENESS_PASS;SCHEMA_PASS;LABELS_CLASSIFIED;SAFE_CLASS_ASSIGNED;REPORT_READY
scored_noncanonical_clean	9	REPORT_READY	result report may use only the safe class's allowed language	true	true	RECEIVED;TERMS_ALLOWED;FORMAT_NONCANONICAL;FORMAT_NORMALIZED;COMPLETENESS_PASS;SCHEMA_PASS;LABELS_CLASSIFIED;SAFE_CLASS_ASSIGNED;REPORT_READY
unknown_alias_branch_clean	1	RECEIVED	package receipt logged; no package content interpreted	false	false	RECEIVED;TERMS_ALLOWED;FORMAT_UNKNOWN;FORMAT_NORMALIZED;COMPLETENESS_PASS;SCHEMA_PASS;LABELS_CLASSIFIED;SAFE_CLASS_ASSIGNED;REPORT_READY
unknown_alias_branch_clean	2	TERMS_ALLOWED	data-use terms permit the selected aggregate route	false	false	RECEIVED;TERMS_ALLOWED;FORMAT_UNKNOWN;FORMAT_NORMALIZED;COMPLETENESS_PASS;SCHEMA_PASS;LABELS_CLASSIFIED;SAFE_CLASS_ASSIGNED;REPORT_READY
unknown_alias_branch_clean	3	FORMAT_UNKNOWN	format state unknown; alias branch required	false	false	RECEIVED;TERMS_ALLOWED;FORMAT_UNKNOWN;FORMAT_NORMALIZED;COMPLETENESS_PASS;SCHEMA_PASS;LABELS_CLASSIFIED;SAFE_CLASS_ASSIGNED;REPORT_READY
unknown_alias_branch_clean	4	FORMAT_NORMALIZED	noncanonical aggregate aliases normalized	false	false	RECEIVED;TERMS_ALLOWED;FORMAT_UNKNOWN;FORMAT_NORMALIZED;COMPLETENESS_PASS;SCHEMA_PASS;LABELS_CLASSIFIED;SAFE_CLASS_ASSIGNED;REPORT_READY
unknown_alias_branch_clean	5	COMPLETENESS_PASS	redaction and required-output completeness gate passed	false	false	RECEIVED;TERMS_ALLOWED;FORMAT_UNKNOWN;FORMAT_NORMALIZED;COMPLETENESS_PASS;SCHEMA_PASS;LABELS_CLASSIFIED;SAFE_CLASS_ASSIGNED;REPORT_READY
unknown_alias_branch_clean	6	SCHEMA_PASS	aggregate schema validation passed	false	false	RECEIVED;TERMS_ALLOWED;FORMAT_UNKNOWN;FORMAT_NORMALIZED;COMPLETENESS_PASS;SCHEMA_PASS;LABELS_CLASSIFIED;SAFE_CLASS_ASSIGNED;REPORT_READY
unknown_alias_branch_clean	7	LABELS_CLASSIFIED	analyzable-pair and response-label coverage classified	false	false	RECEIVED;TERMS_ALLOWED;FORMAT_UNKNOWN;FORMAT_NORMALIZED;COMPLETENESS_PASS;SCHEMA_PASS;LABELS_CLASSIFIED;SAFE_CLASS_ASSIGNED;REPORT_READY
unknown_alias_branch_clean	8	SAFE_CLASS_ASSIGNED	V46 safe-interpretation class assigned	false	false	RECEIVED;TERMS_ALLOWED;FORMAT_UNKNOWN;FORMAT_NORMALIZED;COMPLETENESS_PASS;SCHEMA_PASS;LABELS_CLASSIFIED;SAFE_CLASS_ASSIGNED;REPORT_READY
unknown_alias_branch_clean	9	REPORT_READY	result report may use only the safe class's allowed language	true	true	RECEIVED;TERMS_ALLOWED;FORMAT_UNKNOWN;FORMAT_NORMALIZED;COMPLETENESS_PASS;SCHEMA_PASS;LABELS_CLASSIFIED;SAFE_CLASS_ASSIGNED;REPORT_READY
terms_blocked	1	RECEIVED	package receipt logged; no package content interpreted	false	false	RECEIVED;TERMS_BLOCKED;REPAIR_REQUEST_READY
terms_blocked	2	TERMS_BLOCKED	data-use terms block local package handling	false	false	RECEIVED;TERMS_BLOCKED;REPAIR_REQUEST_READY
terms_blocked	3	REPAIR_REQUEST_READY	repair request can be drafted; no result interpretation	false	false	RECEIVED;TERMS_BLOCKED;REPAIR_REQUEST_READY
unscoreable_completeness_block	1	RECEIVED	package receipt logged; no package content interpreted	false	false	RECEIVED;TERMS_ALLOWED;FORMAT_CANONICAL;COMPLETENESS_BLOCK;REPAIR_REQUEST_READY
unscoreable_completeness_block	2	TERMS_ALLOWED	data-use terms permit the selected aggregate route	false	false	RECEIVED;TERMS_ALLOWED;FORMAT_CANONICAL;COMPLETENESS_BLOCK;REPAIR_REQUEST_READY
unscoreable_completeness_block	3	FORMAT_CANONICAL	canonical aggregate files/columns identified	false	false	RECEIVED;TERMS_ALLOWED;FORMAT_CANONICAL;COMPLETENESS_BLOCK;REPAIR_REQUEST_READY
unscoreable_completeness_block	4	COMPLETENESS_BLOCK	redaction/completeness gate blocked	false	false	RECEIVED;TERMS_ALLOWED;FORMAT_CANONICAL;COMPLETENESS_BLOCK;REPAIR_REQUEST_READY
unscoreable_completeness_block	5	REPAIR_REQUEST_READY	repair request can be drafted; no result interpretation	false	false	RECEIVED;TERMS_ALLOWED;FORMAT_CANONICAL;COMPLETENESS_BLOCK;REPAIR_REQUEST_READY
schema_blocked	1	RECEIVED	package receipt logged; no package content interpreted	false	false	RECEIVED;TERMS_ALLOWED;FORMAT_CANONICAL;COMPLETENESS_PASS;SCHEMA_BLOCK;REPAIR_REQUEST_READY
