rank	lead_id	workstream	candidate	verdict_class	score	mechanism_axis	nominal_PP.H4	nominal_PP.H3	min_sensitivity_PP.H4	susie_PP.H4	susie_PP.H3	causal_gene_confidence	effect_direction	druggability_direction_match	prior_art_status	verdict	next_action	evidence_refs	top_genes
1	B1_APC_HLAII_treatment_response	B_unpopulated_axes	APC/HLA-II treatment-response architecture	promising_followup	7.2	treatment-response architecture; IFN/APC-HLA-II remodeling						not gene target; biomarker/mechanism axis	anti-TNF IBD: early IFN/APC downshift and HLA-II restoration; MS IFN-beta: HLA-II competence/induction	monitoring/stratification yes; direct drug target not yet identified	biomarker-transfer/new dynamic-rule angle rather than target novelty	Most actionable non-genetic lead: dynamic APC remodeling should be tested as an MS response-monitoring or subgroup biomarker, not as baseline static IFN/APC.	Design MS DMT early-timepoint study measuring HLA-II/IFN-APC delta and relapse/MRI outcome; require pre-specified direction by therapy class.	knowledge/hypotheses/HYP_V6_006_ANTITNF_HLAII_REMODELING.md; UC_STATIC_DYNAMIC_APC_DECOUPLING_V11.md	
2	C1_dynamic_IFN_APC_monitoring_transfer	C_repositioning_from_agreement	Transfer dynamic mucosal IFN/APC response monitoring to MS DMT monitoring	promising_followup	7.0	MS-IBD treatment-response agreement with compartment caveat						not gene target	protective response is dynamic downshift/remodeling, not high baseline	yes as biomarker-transfer; no as drug repositioning	new transfer-validity framing	High-value clinical utility lead: use early APC delta as response-monitoring endpoint/subgroup selector in MS rather than importing IBD drugs directly.	Pre-register an MS early-treatment delta rule by therapy mechanism and test on independent DMT cohorts.	UC_STATIC_DYNAMIC_APC_DECOUPLING_V11.md; HYP_V6_006	
3	B2_postpartum_APC_split	B_unpopulated_axes	Postpartum HLA-II/CD64 APC-axis split	promising_followup	6.6	pregnancy/natural experiment; postpartum flare biology						not gene target; natural-experiment state	healthy: HLA-II rebound with CD64 suppression; autoimmune contexts uncouple arms	unclear; biomarker/flare-timing first, intervention later	new cross-disease decoupling framing; no target claim	Good Tier -1/Tier 0 biology lead, especially for postpartum MS flare prediction, but no direct druggable node yet.	Find postpartum MS blood/CSF cohort and test HLA-II/CD64 split against relapse timing.	knowledge/hypotheses/HYP_V6_013_POSTPARTUM_APC_AXIS_SPLIT_STATE.md; knowledge/hypotheses/HYP_V6_007_SLE_PREGNANCY_HLAII_CD64_DECOUPLING.md	
4	D1_ZMIZ1_opposite_direction	D_decoupling_as_signal	ZMIZ1 chr10 MS-Crohn opposite-direction locus	hard_target_real_biology	6.4	shared genetics / opposite expression direction						moderate: shared disease coloc and eQTLGen exact variants regulate ZMIZ1	expression-increasing alleles are MS-risk and Crohn-protective	no direct ChEMBL target; opposite direction blocks Crohn-to-MS transfer	known genetics, new decoupling framing	Locked decoupling finding, not a therapeutic lead. Use as pattern template for other opposite-direction loci.	Run full-summary QTL coloc only for publication-grade writeup; do not use as transfer target.	GENETICS_EQTL_WORKUP_V16.md; MATRIX_STATUS.md	
5	C2_FPR2_biased_resolution_IBD_first_MS_bridge	C_repositioning_from_agreement	FPR2/ALX biased pro-resolution agonism	hard_target_real_biology	5.8	resolution/efferocytosis transfer, IBD/LN-first with possible MS bridge						not genetically anchored for MS	desired: increase cargo clearance and reduce lipid-inflammatory stress without IFN/HLA collapse	possible: GPCR agonism/biased agonism has chemical precedent, but ligand-bias sign risk is material	crowded P1, not P0; V20 contribution would be cargo- and ligand-bias-specific	Worth keeping as a wet-lab resolution-route comparator, not a computationally promoted MS therapeutic lead.	Run cargo-resolved FPR2 perturbation in myelin-loaded human microglia/IBD macrophages before any MS claim.	knowledge/candidates/FPR2_ALX.md	
6	A1_ZFP36L1_chr14_MS_Crohn	A_next_tier_coloc	ZFP36L1 / chr14:68710199-69753364	promising_followup	5.656	MS-Crohn shared/suggestive genetics; RNA decay immune regulator	0.739974687791038	0.2589096817221004	0.2179883411839962			low_to_moderate: region-level suggestive H4 only; gene has QTL/L2G breadth but no allele-aligned disease-vs-QTL coloc in this run	unresolved; QTL proxy values vary across Crohn/RA/T1D contexts	unknown; ZFP36L1 is an RNA-binding/regulatory protein, direct small-molecule modulation not established here	known immune regulator; no V20 MS-specific intervention claim	Best next genetics follow-up after chr1/chr10: suggestive H4 and immune-regulatory plausibility, but needs SuSiE-coloc and allele-aligned QTL direction before target work.	Run bounded SuSiE-coloc for chr14; if H4 survives, run immune QTL colocalization and direction-matched modality audit.	analysis/v14_locus_landscape/region_landscape_rollup.tsv; analysis/v14_locus_landscape/shared_locus_gene_landscape.tsv	ZFP36L1;ACTN1;RAD51B;EXD2;DCAF5;GALNT16
7	A2_REL_PUS10_chr2_MS_UC	A_next_tier_coloc	REL/PUS10/USP34 region chr2:60689469-61742410	promising_followup	4.618	MS-UC moderate unresolved genetics; NF-kB/lymphocyte biology candidate region	0.48401687960314793	0.5153418869960971	0.08302939297259752			low: region PP.H4 and PP.H3 both moderate; no causal-gene resolution	unresolved	unknown; REL/NF-kB modulation has direction and safety risk	NF-kB/REL biology is crowded; possible contribution only if allele-resolved MS-UC direction and subgroup emerge	Not a target yet, but a rational next genetics-region test because it sits just below the prior focus loci and may connect to lymphocyte/APC control.	Run SuSiE-coloc and QTL direction for REL/PUS10/USP34 before any drug inference.	analysis/v13_genetics_coloc/coloc_region_summary_annotated.tsv; analysis/v14_locus_landscape/region_landscape_rollup.tsv	PUS10;USP34;REL;C2orf74;BCL11A;XPO1;AHSA2;KIAA1841
8	A4_STAT3_chr17_MS_Crohn	A_next_tier_coloc	STAT3/STAT5 region chr17:40014201-41029835	negative_or_not_now	4.552	nominal first-pass MS-Crohn genetics; cytokine signaling	0.9412594556547467	0.058637221668092473	0.6141288816584397	0.0267570011193013	0.604986704498299	failed bounded SuSiE-coloc: max PP.H4 0.026757, max PP.H3 0.604987	not pursued because shared signal collapsed	not applicable; genetics failed	high prior-art cytokine pathway	Closed as a V20 lead; prior first-pass signal did not survive multi-signal follow-up.	Do not spend further effort unless new fine-mapped data appear.	analysis/v14_susie_coloc/susie_coloc_rollup.tsv; GENETICS_AXIS_V15_NEXT_TIER_SUSIE_ADDENDUM.md	STAT3;PSMC3IP;MLX;TUBG2;DHX58;NAGLU;AOC3;TUBG1
9	D3_MHC_distinct_causal_variants	D_decoupling_as_signal	MHC/HLA overlap mostly PP.H3 distinct variants	negative_or_not_now	4.5	genetic decoupling in antigen-presentation superlocus						negative for simple shared causal variants	not applicable	not a target; transfer-validity warning	known MHC centrality; V20 contribution is colocalization-based non-transfer warning	Important negative: autoimmune HLA overlap should not be treated as simple shared causal biology between MS and gut diseases.	Use as guardrail in map synthesis; no therapeutic target work.	GENETICS_AXIS_V13_COLOCALIZATION_CHECKPOINT.md; analysis/v13_genetics_coloc/coloc_region_summary_annotated.tsv	
10	C3_TYK2_allosteric_subgroup	C_repositioning_from_agreement	Allosteric TYK2 inhibition in biomarker-defined MS subgroup	negative_or_not_now	3.5	IFN/JAK autoimmune agreement						not supported by shared MS-gut coloc in V20	unresolved MS subgroup; generic inhibition too broad	drug exists/class tractable, but MS direction/subgroup absent	very high crowding; no MS-specific V20 contribution	Do not prioritize without a treatment-by-biomarker signal; druggability exists but biology is generic.	Only reopen if TYK2/JAK activity predicts response after IFN/APC and inflammatory-burden adjustment.	knowledge/candidates/TYK2.md	
