gene	ms_wm_delta	ms_wm_hedges_g	ms_wm_p	ms_wm_fdr	direct_contexts	direct_positive_contexts_p_lt_0_10	direct_negative_contexts_p_lt_0_10	direct_positive_diseases	direct_negative_diseases	direct_best_context	direct_best_delta	direct_best_p	n_primary_contexts	nonresponse_high_contexts	responder_high_contexts	ibd_weighted_g_resp_minus_non	ibd_median_auc_nonresponse	ibd_min_p	ibd_wave86_call	ra_tested	ra_n	ra_effect_resp_minus_non	ra_hedges_g_resp_minus_non	ra_auc_nonresponse	ra_p	ra_nonresponse_high	pso_ada_n	pso_ada_effect_resp_minus_non	pso_ada_hedges_g_resp_minus_non	pso_ada_auc_nonresponse	pso_ada_p	pso_ada_fdr	pso_ada_nonresponse_high	genetics_score	genetic_breadth_count	genetic_breadth_diseases	wave55_score	wave55_do_not_promote	wave81_call	wave81_score	wave82_wave81_call	wave82_manual_blocker	wave82_chembl_exact_human_target_count	wave82_hard_failures	wave82_call	wave83_call	wave83_total_score	wave83_hard_failures	wave83_manual_closure_reason	wave83_chembl_activity_count	wave83_primary_route_note	geneformer_sources	geneformer_rows	geneformer_usable_rows	geneformer_token_not_detected_rows	geneformer_support_fields	wave91_score	wave91_failures	wave91_call	intervention_route	manual_liability	manual_druggability_0_4	manual_prior_pressure_0_3
FABP5	1.2651351909882678	1.354921443745131	0.004142204528345	0.8344760564031432	12.0	2.0	1.0	psoriasis;ulcerative colitis	ulcerative colitis	ibd_uc_epithelial	-0.2088092216381994	0.0304723054244837	4.0	2.0	2.0	0.1922229705106065	0.4333333333333333	0.1366984315089653	NO_GENE_LEVEL_CONVERGENCE	True	46	-0.29001608286958935	-0.40812865900826223	0.6071428571428572	0.20102419037506208	True	14.0	-0.0590861666558789	-0.1782167767536191	0.5333333333333333	0.7058869342534636	0.8144849241386118	True																			results_v3/geneformer_pivot_panel_delete/geneformer_pivot_panel_context_metrics_ranked.tsv	13.0	5.0	8.0	candidate_support_flag;candidate_strong_support_flag	7.050000000000001	case_control_negative_context_present;weak_or_inconsistent_response_direction	PARK_CONTROLLER_FOR_DEEP_VALIDATION	fatty-acid binding protein inhibitor	pleiotropic lipid signaling and barrier/keratinocyte biology	3	1
PPARG	1.33861418076643	1.4721350014716328	0.0023372069061631	0.8344760564031432																True	46	-0.36024830018873305	-0.5574272981325838	0.6540178571428572	0.09833515699731123	True													NO_GO_NO_PERTURBATION_SUPPORT	5.0																	4.55	weak_or_inconsistent_response_direction;no_usable_foundation_model_rows;manual_prior_or_class_pressure	PARK_MARKER_OR_WEAK_CONTROLLER	PPAR-gamma agonism/modulation	approved agonists but edema/weight/cardiometabolic liabilities and extensive autoimmune prior art	4	3
LPL	1.7595984466157422	1.873091309632819	0.0006219963760009	0.7144250374746858	12.0	1.0	1.0	Crohn disease	psoriasis	psoriasis_skin_apc	-0.1231656529176921	0.0157779954179735	4.0	3.0	1.0	-0.2044930888200467	0.5470238095238096	0.2508045528382732	NO_GENE_LEVEL_CONVERGENCE	True	46	-0.3481992757718184	-0.3945944269012455	0.6361607142857143	0.15776007776894857	True	14.0	-0.67165690386129	-2.208896818102851	0.9555555555555556	0.0111077018243163	0.499846582094236	True																			results_v3/geneformer_pivot_panel_delete/geneformer_pivot_panel_context_metrics_ranked.tsv	13.0	0.0	13.0	candidate_support_flag;candidate_strong_support_flag	4.35	case_control_negative_context_present;no_usable_foundation_model_rows;weak_direct_druggability;major_safety_or_selectivity_liability	PARK_MARKER_OR_WEAK_CONTROLLER	enzyme/extracellular lipid hydrolysis	systemic triglyceride biology; direct autoimmune modulation unsafe/unselective	1	1
GPNMB	1.4339584334150557	1.3559119980959509	0.0049097425501504	0.8344760564031432	12.0	0.0	2.0		psoriasis;ulcerative colitis	ibd_uc_myeloid	-0.4361496697900381	0.034288376346186	4.0	4.0	0.0	-0.4940102664867415	0.6546875	0.0593992925429057	NO_GENE_LEVEL_CONVERGENCE	True	46	0.5530605483065542	0.7697284758520732	0.2879464285714286	0.01402287379398626	False	14.0	0.2852969377755601	0.3127096489382849	0.4222222222222223	0.5054725225116155	0.8144849241386118	False																			results_v3/geneformer_pivot_panel_delete/geneformer_pivot_panel_context_metrics_ranked.tsv	13.0	4.0	9.0	candidate_support_flag;candidate_strong_support_flag	4.1000000000000005	case_control_negative_context_present;weak_or_inconsistent_response_direction	PARK_MARKER_OR_WEAK_CONTROLLER	surface/secreted glycoprotein; antibody/ADC precedent, agonism unresolved	direction uncertain; oncology ADC precedent mostly depletes target cells	3	1
ABCG1	0.8150581476256988	1.1366601392043985	0.014073891674355	0.8372898579012464																True	46	-0.07530197197462415	-0.08674680410800191	0.5245535714285714	0.7895037109894214	True																															3.3500000000000005	weak_or_inconsistent_response_direction;no_usable_foundation_model_rows;weak_direct_druggability	NO_GO_LIPID_NEIGHBORHOOD_NODE	cholesterol efflux transporter, indirect activation	poor direct small-molecule target; usually reached through LXR	1	1
LIPA	0.4580110941773352	0.492824360482639	0.2725305004844303	0.9049965616313804	12.0	4.0	3.0	Crohn disease;psoriasis;type 1 diabetes mellitus	Crohn disease;Sjogren syndrome;ulcerative colitis	t1d_ductal_cell	0.3159850825415997	0.0015668692536479	4.0	2.0	2.0	-0.2766827407534235	0.5708333333333333	0.0902300159649081	NO_GENE_LEVEL_CONVERGENCE	True	46	0.07950749920154651	0.11095483586002752	0.484375	0.7228506020981389	False	14.0	0.1842381384071895	0.2899847883550518	0.4	0.6094744139778947	0.8144849241386118	False						NO_GO_NO_PERTURBATION_SUPPORT	3.0												results_v3/wave57_intervention_first_geneformer_screen/wave57_geneformer_metrics.tsv	11.0	4.0	7.0	candidate_support_flag;candidate_strong_support_flag	3.3500000000000005	no_nominal_ms_wm_up_anchor;case_control_negative_context_present;weak_or_inconsistent_response_direction	NO_GO_LIPID_NEIGHBORHOOD_NODE	lysosomal acid lipase replacement/activation	enzyme replacement exists but CNS/tissue macrophage delivery is difficult	3	1
ACSL1	0.0335463402392637	0.0225704767524932	0.9588038259244676	0.995447887770418	12.0	3.0	2.0	Crohn disease;ulcerative colitis	Sjogren syndrome;type 1 diabetes mellitus	t1d_ductal_cell	-0.1007254807794258	0.0131083707502967	4.0	4.0	0.0	-1.3279261929404635	0.8218005952380952	0.0004432276564367	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR	True	46	0.17766766272895537	0.18007044261002547	0.4508928571428571	0.5266539806543222	False	14.0	0.2400802042604309	0.4198246571680756	0.4222222222222223	0.3924565886552149	0.8144849241386118	False																			results_v3/geneformer_broad_residual_delete/geneformer_broad_residual_context_metrics_ranked.tsv	13.0	7.0	6.0	candidate_support_flag;candidate_strong_support_flag	3.3	no_nominal_ms_wm_up_anchor;case_control_negative_context_present;weak_or_inconsistent_response_direction	NO_GO_LIPID_NEIGHBORHOOD_NODE	long-chain acyl-CoA synthetase inhibition	metabolic housekeeping; prior V3 module-adjusted demotion	2	1
ABCA1	0.6056046515502906	0.9473719198656124	0.0344909063382469	0.8506970233122761																True	46	0.4120655110764965	0.5137347418231666	0.34375	0.07379359884130901	False																															3.0	weak_or_inconsistent_response_direction;no_usable_foundation_model_rows;weak_direct_druggability	NO_GO_LIPID_NEIGHBORHOOD_NODE	cholesterol efflux transporter, indirect activation	poor direct small-molecule target; usually reached through LXR/apoA1	1	1
PLIN2	0.6476104028056859	0.7408816807123307	0.1083756467628863	0.8989378106274888	12.0	0.0	0.0			ibd_crohn_epithelial	-0.1028716188138055	0.1113394181315504	4.0	3.0	1.0	-0.1578972552265166	0.528125	0.0952038842349049	NO_GENE_LEVEL_CONVERGENCE	True	46	-0.18477437080089926	-0.25784475880812124	0.5446428571428572	0.44003784548354913	True	14.0	-0.1372322943584141	-0.3209970434108142	0.5333333333333333	0.4717861507383435	0.8144849241386118	True																			results_v3/geneformer_pivot_panel_delete/geneformer_pivot_panel_context_metrics_ranked.tsv	13.0	5.0	8.0	candidate_support_flag;candidate_strong_support_flag	2.2	no_nominal_ms_wm_up_anchor;weak_direct_druggability	NO_GO_LIPID_NEIGHBORHOOD_NODE	lipid droplet coat protein	intracellular structural marker, no clean modality	0	0
NR1H2	0.0646192467591699	0.0904160790158108	0.8274524136837126	0.9761732664217524																True	46	-0.0329180536043098	-0.039516568372623295	0.5	0.9063786927761193	True																															1.9500000000000002	no_nominal_ms_wm_up_anchor;weak_or_inconsistent_response_direction;no_usable_foundation_model_rows;manual_prior_or_class_pressure	NO_GO_LIPID_NEIGHBORHOOD_NODE	LXR-beta nuclear receptor agonism/modulation	LXR-class lipogenesis/sterol biology; CNS-selective beta agonism would be needed	4	2
