claim_id	status	n_reader_documents	reader_documents	n_controlling_artifacts	plain_language_statement
A01	NEXT_ACTION	27	CASE_STUDY_MONITOR_VS_TARGET.md;CHALLENGE_THE_PROJECT.md;COLLABORATOR_BRIEF_V55.md;COLLABORATOR_ROUTES.md;CONTRIBUTE_A_DATA_SOURCE.md;DATA_THAT_WOULD_CHANGE_THE_ANSWER.md;FAILURE_MODE_ATLAS.md;FAQ.md;FIRST_IDEA_IN_TEN_MINUTES.md;GLOSSARY.md;HOW_TO_CONTRIBUTE_IDEAS.md;HOW_TO_READ_NULLS_AND_BOUNDARIES.md;HOW_TO_READ_NUMBERS_WITHOUT_OVERREADING.md;IDEA_TRANSFORMATIONS.md;KNOWN_NON_SOLUTIONS.md;LEAD_STATUS_CARDS.md;MS_RESEARCH_EXPLAINED.md;MYTHS_AND_ACTUAL_FINDINGS.md;OPEN_PROBLEMS_FOR_COLLABORATORS.md;PUBLIC_ISSUE_EXAMPLES.md;QUESTION_STARTERS_BY_DISCIPLINE.md;REPOSITORY_TOUR.md;RESEARCH_EVOLUTION_TIMELINE.md;REVIEW_RESPONSE_TEMPLATES.md;STATUS_DECODER.md;VISUAL_INDEX.md;WHAT_HAPPENS_TO_YOUR_IDEA.md	2	The next clinically relevant test is a frozen external validation of the monitoring score on a correctly structured paired cohort.
A02	NEXT_ACTION	16	CASE_STUDY_PROGRESSION_SNAPSHOT_VS_MOVIE.md;CHALLENGE_THE_PROJECT.md;COLLABORATOR_BRIEF_V55.md;CONTRIBUTE_A_DATA_SOURCE.md;DATA_THAT_WOULD_CHANGE_THE_ANSWER.md;FIRST_IDEA_IN_TEN_MINUTES.md;GLOSSARY.md;KNOWN_NON_SOLUTIONS.md;LEAD_STATUS_CARDS.md;MS_RESEARCH_EXPLAINED.md;MYTHS_AND_ACTUAL_FINDINGS.md;OPEN_PROBLEMS_FOR_COLLABORATORS.md;QUESTION_STARTERS_BY_DISCIPLINE.md;RESEARCH_EVOLUTION_TIMELINE.md;STATUS_DECODER.md;VISUAL_INDEX.md	3	The next progression test requires a microglia-compatible longitudinal package with repeated confirmed-disability data and provenance.
A03	SUPPORTED_METHOD	17	CASE_STUDY_MONITOR_VS_TARGET.md;COLLABORATOR_BRIEF_V55.md;DATA_THAT_WOULD_CHANGE_THE_ANSWER.md;FAILURE_MODE_ATLAS.md;FAQ.md;FIRST_IDEA_IN_TEN_MINUTES.md;GLOSSARY.md;HOW_TO_READ_NULLS_AND_BOUNDARIES.md;KNOWN_NON_SOLUTIONS.md;LEAD_STATUS_CARDS.md;MYTHS_AND_ACTUAL_FINDINGS.md;OPEN_PROBLEMS_FOR_COLLABORATORS.md;QUESTION_STARTERS_BY_DISCIPLINE.md;REPOSITORY_TOUR.md;RESEARCH_EVOLUTION_TIMELINE.md;STATUS_DECODER.md;VISUAL_INDEX.md	1	Seeded method simulations indicate that a very small monitoring-validation cohort may remain inconclusive unless the true effect is large and labels are clean.
A04	DATA_BLOCKED	17	COLLABORATOR_BRIEF_V55.md;CONTRIBUTE_A_DATA_SOURCE.md;FAILURE_MODE_ATLAS.md;FAQ.md;FIRST_IDEA_IN_TEN_MINUTES.md;GLOSSARY.md;HOW_TO_CONTRIBUTE_IDEAS.md;HOW_TO_READ_NULLS_AND_BOUNDARIES.md;IDEA_TRANSFORMATIONS.md;KNOWN_NON_SOLUTIONS.md;OPEN_PROBLEMS_FOR_COLLABORATORS.md;QUESTION_STARTERS_BY_DISCIPLINE.md;RESEARCH_EVOLUTION_TIMELINE.md;REVIEW_RESPONSE_TEMPLATES.md;STATUS_DECODER.md;VISUAL_INDEX.md;WHAT_HAPPENS_TO_YOUR_IDEA.md	2	The audited public-data search found no fresh ready-to-run primary monitoring-validation cohort; Gafson remains an access request and Karolinska requires response-label mapping.
B01	BACKGROUND_ORIENTATION	3	COLLABORATOR_BRIEF_V55.md;GLOSSARY.md;MS_RESEARCH_EXPLAINED.md	1	MS involves immune-mediated injury in the central nervous system, including damage to myelin and nerve fibers.
B02	SUPPORTED_BOUNDARY	12	CASE_STUDY_LEARNING_PATH.md;CASE_STUDY_PROGRESSION_SNAPSHOT_VS_MOVIE.md;CHALLENGE_THE_PROJECT.md;COLLABORATOR_BRIEF_V55.md;CONTRIBUTE_A_DATA_SOURCE.md;FAQ.md;FIRST_IDEA_IN_TEN_MINUTES.md;GLOSSARY.md;KNOWN_NON_SOLUTIONS.md;MS_RESEARCH_EXPLAINED.md;QUESTION_STARTERS_BY_DISCIPLINE.md;VISUAL_INDEX.md	2	Relapse activity and disability progression are related but not interchangeable outcomes.
C01	SUPPORTED_BOUNDED	16	CASE_STUDY_BRAIN_BANK_CONFOUND.md;CASE_STUDY_LEARNING_PATH.md;CONFOUND_CHECK_QUICK_REFERENCE.md;CONTRIBUTE_A_DATA_SOURCE.md;DATA_THAT_WOULD_CHANGE_THE_ANSWER.md;FAILURE_MODE_ATLAS.md;FAQ.md;HOW_TO_READ_NUMBERS_WITHOUT_OVERREADING.md;KNOWN_NON_SOLUTIONS.md;LEAD_STATUS_CARDS.md;MS_RESEARCH_EXPLAINED.md;MYTHS_AND_ACTUAL_FINDINGS.md;OPEN_PROBLEMS_FOR_COLLABORATORS.md;RESEARCH_EVOLUTION_TIMELINE.md;VISUAL_INDEX.md;WORKED_SUBMISSION_LIFECYCLE.md	2	A CD44/CXCR4-high MS microglial state was reproduced in bounded analyses, but one discovery partition was strongly brain-bank sensitive.
C02	SUPPORTED_METHOD	22	CASE_STUDY_BRAIN_BANK_CONFOUND.md;CASE_STUDY_LEARNING_PATH.md;COLLABORATOR_BRIEF_V55.md;CONFOUND_CHECK_QUICK_REFERENCE.md;CONTRIBUTE_A_DATA_SOURCE.md;DATA_THAT_WOULD_CHANGE_THE_ANSWER.md;FAILURE_MODE_ATLAS.md;FAQ.md;FIRST_IDEA_IN_TEN_MINUTES.md;GLOSSARY.md;HOW_TO_READ_NUMBERS_WITHOUT_OVERREADING.md;IDEA_TRANSFORMATIONS.md;KNOWN_NON_SOLUTIONS.md;LEAD_STATUS_CARDS.md;MS_RESEARCH_EXPLAINED.md;MYTHS_AND_ACTUAL_FINDINGS.md;OPEN_PROBLEMS_FOR_COLLABORATORS.md;PUBLIC_ISSUE_EXAMPLES.md;QUESTION_STARTERS_BY_DISCIPLINE.md;RESEARCH_EVOLUTION_TIMELINE.md;VISUAL_INDEX.md;WORKED_SUBMISSION_LIFECYCLE.md	2	Brain-bank or acquisition-source imbalance can mimic a disease signal when source and diagnosis are entangled.
D01	SUPPORTED_CONTEXT	18	CASE_STUDY_MONITOR_VS_TARGET.md;COLLABORATOR_BRIEF_V55.md;COLLABORATOR_ROUTES.md;DATA_THAT_WOULD_CHANGE_THE_ANSWER.md;FAILURE_MODE_ATLAS.md;FAQ.md;FIRST_IDEA_IN_TEN_MINUTES.md;GLOSSARY.md;IDEA_TRANSFORMATIONS.md;KNOWN_NON_SOLUTIONS.md;LEAD_STATUS_CARDS.md;MS_RESEARCH_EXPLAINED.md;MYTHS_AND_ACTUAL_FINDINGS.md;OPEN_PROBLEMS_FOR_COLLABORATORS.md;PUBLIC_ISSUE_EXAMPLES.md;QUESTION_STARTERS_BY_DISCIPLINE.md;RESEARCH_EVOLUTION_TIMELINE.md;VISUAL_INDEX.md	2	A coupled APC remodeling pattern recurs across the held data, linking HLA-II, IFN/APC, MIF/CD74-related state, IFN readout, and lysosomal processing.
D02	NEGATIVE_ESTABLISHED	19	CASE_STUDY_MONITOR_VS_TARGET.md;CHALLENGE_THE_PROJECT.md;COLLABORATOR_BRIEF_V55.md;COLLABORATOR_ROUTES.md;DATA_THAT_WOULD_CHANGE_THE_ANSWER.md;FAILURE_MODE_ATLAS.md;FAQ.md;FIRST_IDEA_IN_TEN_MINUTES.md;HOW_TO_READ_NULLS_AND_BOUNDARIES.md;IDEA_TRANSFORMATIONS.md;KNOWN_NON_SOLUTIONS.md;LEAD_STATUS_CARDS.md;MS_RESEARCH_EXPLAINED.md;MYTHS_AND_ACTUAL_FINDINGS.md;OPEN_PROBLEMS_FOR_COLLABORATORS.md;PUBLIC_ISSUE_EXAMPLES.md;QUESTION_STARTERS_BY_DISCIPLINE.md;RESEARCH_EVOLUTION_TIMELINE.md;VISUAL_INDEX.md	2	Adding coupled-axis features or flexible multifeature models did not improve the locked monitoring score.
D03	NEGATIVE_ESTABLISHED	14	COLLABORATOR_BRIEF_V55.md;FAILURE_MODE_ATLAS.md;FAQ.md;FIRST_IDEA_IN_TEN_MINUTES.md;HOW_TO_READ_NULLS_AND_BOUNDARIES.md;IDEA_TRANSFORMATIONS.md;KNOWN_NON_SOLUTIONS.md;LEAD_STATUS_CARDS.md;MS_RESEARCH_EXPLAINED.md;MYTHS_AND_ACTUAL_FINDINGS.md;OPEN_PROBLEMS_FOR_COLLABORATORS.md;QUESTION_STARTERS_BY_DISCIPLINE.md;RESEARCH_EVOLUTION_TIMELINE.md;VISUAL_INDEX.md	2	The project could not validate a broad patient-level immune-state simulator from the held data.
D04	CORPUS_BOUNDARY	18	CHALLENGE_THE_PROJECT.md;COLLABORATOR_BRIEF_V55.md;DATA_THAT_WOULD_CHANGE_THE_ANSWER.md;FAILURE_MODE_ATLAS.md;FAQ.md;FIRST_IDEA_IN_TEN_MINUTES.md;GLOSSARY.md;HOW_TO_READ_NULLS_AND_BOUNDARIES.md;HOW_TO_READ_NUMBERS_WITHOUT_OVERREADING.md;IDEA_TRANSFORMATIONS.md;KNOWN_NON_SOLUTIONS.md;LEAD_STATUS_CARDS.md;MS_RESEARCH_EXPLAINED.md;MYTHS_AND_ACTUAL_FINDINGS.md;OPEN_PROBLEMS_FOR_COLLABORATORS.md;QUESTION_STARTERS_BY_DISCIPLINE.md;RESEARCH_EVOLUTION_TIMELINE.md;VISUAL_INDEX.md	1	Joint inference recovered the already-known APC and immune-tone structures but no unexpected held-out-validated signal.
D05	CORPUS_BOUNDARY	18	CASE_STUDY_CONTEXT_TO_TEST.md;CHALLENGE_THE_PROJECT.md;COLLABORATOR_BRIEF_V55.md;DATA_THAT_WOULD_CHANGE_THE_ANSWER.md;FAQ.md;FIRST_IDEA_IN_TEN_MINUTES.md;GLOSSARY.md;HOW_TO_READ_NULLS_AND_BOUNDARIES.md;HOW_TO_READ_NUMBERS_WITHOUT_OVERREADING.md;IDEA_TRANSFORMATIONS.md;KNOWN_NON_SOLUTIONS.md;LEAD_STATUS_CARDS.md;MS_RESEARCH_EXPLAINED.md;MYTHS_AND_ACTUAL_FINDINGS.md;OPEN_PROBLEMS_FOR_COLLABORATORS.md;QUESTION_STARTERS_BY_DISCIPLINE.md;RESEARCH_EVOLUTION_TIMELINE.md;VISUAL_INDEX.md	2	The rational discovery boundary is new data rather than more unconstrained mining of the same held corpus.
E01	GOVERNANCE	20	CASE_STUDY_CONTEXT_TO_TEST.md;CHALLENGE_THE_PROJECT.md;COLLABORATOR_BRIEF_V55.md;COLLABORATOR_WORKSHOP_GUIDE.md;CONTRIBUTE_A_DATA_SOURCE.md;FAILURE_MODE_ATLAS.md;FAQ.md;FIRST_IDEA_IN_TEN_MINUTES.md;GLOSSARY.md;HOW_TO_CONTRIBUTE_IDEAS.md;KNOWN_NON_SOLUTIONS.md;MS_RESEARCH_EXPLAINED.md;PUBLIC_ISSUE_EXAMPLES.md;QUESTION_STARTERS_BY_DISCIPLINE.md;REPOSITORY_TOUR.md;RESEARCH_EVOLUTION_TIMELINE.md;REVIEW_RESPONSE_TEMPLATES.md;STATUS_DECODER.md;VISUAL_INDEX.md;WHAT_HAPPENS_TO_YOUR_IDEA.md	2	Project-grounded findings are rerunnable here; provisional findings have some internal support but still need decisive outside validation.
E02	GOVERNANCE	22	CASE_STUDY_CONTEXT_TO_TEST.md;CHALLENGE_THE_PROJECT.md;COLLABORATOR_BRIEF_V55.md;COLLABORATOR_WORKSHOP_GUIDE.md;CONTRIBUTE_A_DATA_SOURCE.md;FAILURE_MODE_ATLAS.md;FAQ.md;FIRST_IDEA_IN_TEN_MINUTES.md;GLOSSARY.md;HOW_TO_CONTRIBUTE_IDEAS.md;IDEA_TRANSFORMATIONS.md;KNOWN_NON_SOLUTIONS.md;MS_RESEARCH_EXPLAINED.md;MYTHS_AND_ACTUAL_FINDINGS.md;PUBLIC_ISSUE_EXAMPLES.md;QUESTION_STARTERS_BY_DISCIPLINE.md;REPOSITORY_TOUR.md;RESEARCH_EVOLUTION_TIMELINE.md;REVIEW_RESPONSE_TEMPLATES.md;STATUS_DECODER.md;VISUAL_INDEX.md;WHAT_HAPPENS_TO_YOUR_IDEA.md	2	Outside-source knowledge is kept separate as context and never becomes project evidence merely by being cited.
E03	GOVERNANCE	22	CASE_STUDY_CONTEXT_TO_TEST.md;CHALLENGE_THE_PROJECT.md;COLLABORATOR_BRIEF_V55.md;COLLABORATOR_WORKSHOP_GUIDE.md;FAILURE_MODE_ATLAS.md;FAQ.md;FIRST_IDEA_IN_TEN_MINUTES.md;GLOSSARY.md;HOW_TO_CONTRIBUTE_IDEAS.md;IDEA_TRANSFORMATIONS.md;KNOWN_NON_SOLUTIONS.md;MS_RESEARCH_EXPLAINED.md;MYTHS_AND_ACTUAL_FINDINGS.md;OPEN_PROBLEMS_FOR_COLLABORATORS.md;PUBLIC_ISSUE_EXAMPLES.md;QUESTION_STARTERS_BY_DISCIPLINE.md;REPOSITORY_TOUR.md;RESEARCH_EVOLUTION_TIMELINE.md;REVIEW_RESPONSE_TEMPLATES.md;STATUS_DECODER.md;VISUAL_INDEX.md;WHAT_HAPPENS_TO_YOUR_IDEA.md	2	Claude, Gemini, and RPT can suggest questions or confusion points, but their output is not evidence.
F01	SUPPORTED_METHOD	3	COLLABORATOR_BRIEF_V55.md;FAILURE_MODE_ATLAS.md;RESEARCH_EVOLUTION_TIMELINE.md	2	In the project's 20-item documented failure frame, context or axis dependence was enriched among cross-axis transfer failures; direction and modality patterns were suggestive rather than established.
G01	ROBUST_CONTEXT	8	COLLABORATOR_BRIEF_V55.md;GLOSSARY.md;KNOWN_NON_SOLUTIONS.md;LEAD_STATUS_CARDS.md;MS_RESEARCH_EXPLAINED.md;MYTHS_AND_ACTUAL_FINDINGS.md;RESEARCH_EVOLUTION_TIMELINE.md;VISUAL_INDEX.md	2	Among the tested autoimmune comparators, ulcerative colitis had the strongest genome-wide genetic relationship with MS.
G02	SUPPORTED_DECOUPLING	20	CHALLENGE_THE_PROJECT.md;COLLABORATOR_BRIEF_V55.md;COLLABORATOR_ROUTES.md;CONTRIBUTE_A_DATA_SOURCE.md;DATA_THAT_WOULD_CHANGE_THE_ANSWER.md;FAILURE_MODE_ATLAS.md;FAQ.md;GLOSSARY.md;HOW_TO_CONTRIBUTE_IDEAS.md;KNOWN_NON_SOLUTIONS.md;LEAD_STATUS_CARDS.md;MS_RESEARCH_EXPLAINED.md;MYTHS_AND_ACTUAL_FINDINGS.md;OPEN_PROBLEMS_FOR_COLLABORATORS.md;QUESTION_STARTERS_BY_DISCIPLINE.md;RESEARCH_EVOLUTION_TIMELINE.md;REVIEW_RESPONSE_TEMPLATES.md;STATUS_DECODER.md;VISUAL_INDEX.md;WHAT_HAPPENS_TO_YOUR_IDEA.md	2	At ZMIZ1, the same expression-increasing direction was associated with higher MS risk but lower Crohn risk.
