source	label	url	relevance
OneK1K	OneK1K official page	https://onek1k.org/	direct genotype-linked PBMC sc-eQTL documentation
OneK1K	OneK1K top eQTL Zenodo	https://zenodo.org/records/18870747/files/OneK1K_TensorQTL_top_eQTL_summary.zip?download=1	direct genotype-linked immune cell top eQTL summary
OneK1K	OneK1K CD4 ET eQTL table	https://onek1k.s3.ap-southeast-2.amazonaws.com/eqtl/cd4et_eqtl_table.tsv.gz	direct genotype-linked immune cell eQTL table
DICE	DICE downloads page	https://dice-database.org/downloads	immune-cell eQTL/expression documentation
DICE	DICE mean TPM	https://dice-database.org/download/mean_tpm_merged.csv	immune-cell expression context
DICE	DICE B naive unfiltered eQTL	https://downloads.dice-database.org/downloads/DICE_DB_1/eqtl/unfiltered/B_CELL_NAIVE.vcf.gz	immune-cell eQTL
DICE	DICE CD4 naive unfiltered eQTL	https://downloads.dice-database.org/downloads/DICE_DB_1/eqtl/unfiltered/CD4_NAIVE.vcf.gz	immune-cell eQTL
DICE	DICE CD8 naive unfiltered eQTL	https://downloads.dice-database.org/downloads/DICE_DB_1/eqtl/unfiltered/CD8_NAIVE.vcf.gz	immune-cell eQTL
eQTL Catalogue	eQTL Catalogue API docs	https://www.ebi.ac.uk/eqtl/api-docs/	cell-type eQTL API documentation
eQTL Catalogue	eQTL Catalogue studies API	https://www.ebi.ac.uk/eqtl/api/studies?size=5	API smoke test
CELLxGENE	CELLxGENE Census docs	https://chanzuckerberg.github.io/cellxgene-census/python-api.html	single-cell expression API documentation
BLUEPRINT	BLUEPRINT portal	https://blueprint-epigenome.eu/	immune epigenome/expression source
IUPHAR	GtoPdb GPR25 search	https://www.guidetopharmacology.org/services/targets?name=GPR25	GPR25 target/ligand source
GPCRdb	GPCRdb protein GPR25	https://gpcrdb.org/services/protein/gpr25_human/	GPR25 GPCR annotation
